name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalAssets,"717,458,000","650,180,000","516,403,000","504,184,000","483,384,000","449,008,000","439,913,000","429,807,000","395,620,000","371,424,000","352,152,000","342,251,000","319,525,000","308,197,000","314,024,000","320,271,000","306,945,000","296,780,000","303,138,000","285,011,000","265,283,000","256,530,000","257,277,000","257,527,000","236,669,000","232,854,000","255,098,000","250,012,000","236,759,000","233,117,000","247,509,000","241,652,000","228,719,000","215,444,000","220,138,000","221,214,000","194,473,000","193,493,000","196,254,000","203,554,000","184,765,000","178,981,000","182,254,000","186,360,000","170,243,000","160,277,000","161,613,000","159,313,000","160,167,000","156,211,000","154,270,000","154,203,000","145,468,000","140,743,000","146,821,000","143,958,000","138,958,000","137,140,000","143,300,000","147,789,000","136,424,000","130,056,000","140,871,000","125,166,000","120,888,000","113,606,000","114,692,000","108,979,000","110,367,000","105,227,000","105,625,000","97,287,000","97,584,000","102,085,000","93,761,000","92,681,000","90,589,000","91,713,000","91,643,000","85,112,000","84,921,000","76,295,000","77,425,000","84,890,000","84,248,000","76,818,000","74,654,000","66,263,000","63,271,000","58,656,000","56,841,000","53,970,000","50,827,000","50,506,000","51,098,000","48,633,000","44,602,000","42,769,000","41,169,000","36,955,000","34,553,000","35,569,000","36,501,000","33,936,000","30,163,000","32,200,000","32,300,000","30,500,000","30,500,000","32,600,000","29,800,000","30,200,000","28,500,000","24,100,000","22,800,000","21,900,000","20,400,000","15,700,000","18,700,000","17,700,000","15,100,000","14,300,000","10,900,000","12,400,000","12,300,000","14,300,000","15,700,000","14,300,000","14,500,000"
	CurrentAssets,"283,696,000","218,080,000","270,615,000","259,140,000","245,407,000","220,251,000","225,531,000","219,775,000","196,966,000","187,549,000","170,536,000","168,630,000","146,798,000","140,861,000","144,696,000","154,665,000","154,687,000","153,727,000","164,141,000","159,716,000","146,210,000","140,981,000","141,364,000","144,729,000","130,191,000","124,213,000","144,920,000","152,906,000","136,689,000","131,083,000","142,059,000","141,901,000","138,396,000","113,623,000","109,121,000","121,411,000","96,027,000","91,546,000","97,294,000","103,192,000","89,473,000","84,387,000","90,799,000","97,722,000","94,135,000","91,748,000","94,275,000","94,979,000","94,468,000","96,240,000","92,767,000","92,253,000","83,662,000","80,118,000","87,769,000","86,633,000","79,670,000","76,295,000","82,222,000","85,777,000","74,859,000","70,759,000","81,143,000","66,651,000","66,394,000","62,950,000","62,956,000","58,251,000","59,684,000","55,998,000","59,183,000","54,466,000","61,027,000","64,635,000","58,460,000","56,384,000","45,254,000","46,482,000","48,377,000","42,102,000","51,780,000","42,273,000","43,555,000","50,398,000","51,600,000","47,358,000","46,147,000","39,238,000","40,215,000","36,477,000","35,770,000","34,357,000","31,559,000","31,953,000","32,069,000","29,682,000","27,607,000","26,142,000","28,976,000","26,217,000","23,773,000","24,581,000","26,423,000","23,585,000","19,473,000","21,100,000","21,700,000","20,300,000","21,400,000","23,800,000","21,100,000","22,300,000","20,400,000","15,900,000","15,400,000","14,400,000","13,200,000","9,300,000","12,200,000","11,000,000","8,300,000","7,600,000","7,000,000","8,600,000","8,500,000","10,500,000","11,800,000","10,800,000","11,000,000"
		CashCashEquivalentsAndShortTermInvestments,"5,633,000","2,859,000","101,813,000","111,427,000","97,047,000","79,025,000","70,603,000","61,284,000","35,677,000","26,797,000","28,373,000","17,683,000","7,143,000","1,994,000","10,677,000","24,329,000","23,115,000","30,414,000","39,897,000","51,804,000","41,882,000","43,748,000","41,312,000","44,344,000","43,203,000","30,432,000","48,929,000","49,941,000","42,690,000","40,022,000","42,121,000","45,645,000","51,583,000","36,235,000","21,896,000","30,228,000","16,853,000","9,111,000","10,294,000","6,595,000","3,245,000","13,000","2,850,000","4,659,000","11,478,000","11,913,000","15,545,000","15,720,000","23,484,000","25,639,000","17,894,000","13,920,000","3,725,000","269,000","330,000","505,000","5,474,000","879,000","2,715,000","326,000","550,000","288,000","467,000","1,066,000","3,466,000","1,837,000","394,000","2,736,000","3,370,000","3,994,000","2,013,000","3,517,000","10,201,000","16,186,000","14,616,000","10,677,000","4,869,000","5,071,000","1,784,000","164,000","10,653,000","1,123,000","28,000","13,000","15,000","17,000","30,000","13,000","22,000","25,000","752,000","23,000","369,000","25,000","13,000","16,000","11,000","26,000","1,117,000","527,000","211,000","138,000","25,000","13,000","21,000","700,000",,,,,,,,"100,000",,,,"100,000","400,000",,"-200,000","300,000",,,"-100,000","400,000",,,
			CashAndCashEquivalents,"5,633,000","2,859,000","101,813,000","111,427,000","97,047,000","79,025,000","70,603,000","61,284,000","35,677,000","26,797,000","28,373,000","13,683,000","7,143,000","1,994,000","7,265,000","15,854,000","8,173,000","21,457,000","23,515,000","33,552,000","31,623,000","24,153,000","14,562,000","12,209,000","17,248,000","7,908,000","29,863,000","37,600,000","33,526,000","21,952,000","18,819,000","16,484,000","19,670,000","12,085,000","2,289,000","19,415,000","9,717,000","3,159,000","8,217,000","5,341,000","3,245,000","13,000","2,278,000","2,331,000","6,229,000","2,393,000","4,149,000","4,101,000","15,590,000","25,639,000","17,894,000","13,920,000","3,725,000","269,000","330,000","505,000","5,474,000","879,000","2,715,000","326,000","550,000","288,000","467,000","66,000","3,466,000","837,000","394,000","236,000","370,000","994,000","13,000","17,000","201,000","6,186,000","4,616,000","677,000","4,869,000","5,071,000","1,784,000","164,000","10,653,000","1,123,000","28,000","13,000","15,000","17,000","30,000","13,000","22,000","25,000","752,000","23,000","369,000","25,000","13,000","16,000","11,000","26,000","1,117,000","527,000","211,000","138,000","25,000","13,000","21,000","700,000",,,,,,,,"100,000",,,,"100,000","400,000",,"-200,000","300,000",,,"-100,000","400,000",,,
			OtherShortTermInvestments,,,,,,,,,,,,"4,000,000",,"0","3,412,000","8,475,000","14,942,000","8,957,000","16,382,000","18,252,000","10,259,000","19,595,000","26,750,000","32,135,000","25,955,000","22,524,000","19,066,000","12,341,000","9,164,000","18,070,000","23,302,000","29,161,000","31,913,000","24,150,000","19,607,000","10,813,000","7,136,000","5,952,000","2,077,000","1,254,000",,"0","572,000","2,328,000","5,249,000","9,520,000","11,396,000","11,619,000","7,894,000",,,,,,,,,,,,,,,"1,000,000",,"1,000,000",,"2,500,000","3,000,000","3,000,000","2,000,000","3,500,000","10,000,000","10,000,000","10,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"125,829,000","82,252,000","60,787,000","56,682,000","59,964,000","52,005,000","66,138,000","61,576,000","69,921,000","68,200,000","59,981,000","72,207,000","63,471,000","60,209,000","53,527,000","58,416,000","61,662,000","52,009,000","57,370,000","43,949,000","47,411,000","49,265,000","55,831,000","59,177,000","42,026,000","54,749,000","48,021,000","48,891,000","42,271,000","46,691,000","54,815,000","52,924,000","45,733,000","40,165,000","47,927,000","50,547,000","39,554,000","44,588,000","44,712,000","52,311,000","44,803,000","44,180,000","40,108,000","42,720,000","38,608,000","39,927,000","36,965,000","36,459,000","30,496,000","33,381,000","35,728,000","41,262,000","40,891,000","38,804,000","48,029,000","49,555,000","36,502,000","38,813,000","41,887,000","46,177,000","37,535,000","36,748,000","46,350,000","37,637,000","34,265,000","32,487,000","33,487,000","27,731,000","28,698,000","27,121,000","31,292,000","24,623,000","22,123,000","22,553,000","24,406,000","27,303,000","20,053,000","22,306,000","26,894,000","22,204,000","22,560,000","23,392,000","26,185,000","31,029,000","29,886,000","28,247,000","29,465,000","23,123,000","21,970,000","21,327,000","22,794,000","20,363,000","19,005,000","17,933,000","19,397,000","15,370,000","14,495,000","14,018,000","13,871,000","12,678,000","11,815,000","13,539,000","15,019,000","12,192,000","8,032,000","9,800,000","10,500,000","9,600,000","7,900,000","11,900,000","10,900,000","12,400,000","9,700,000","8,100,000","6,900,000","6,900,000","5,200,000","4,100,000","6,500,000","6,400,000","4,400,000","3,100,000","3,200,000","4,300,000","3,600,000","4,700,000","4,900,000","4,500,000","4,600,000"
			AccountsReceivable,"113,736,000","70,780,000","58,756,000","53,311,000","52,579,000","47,387,000","62,195,000","56,394,000","69,894,000","67,399,000","56,083,000","68,933,000","58,688,000","54,078,000","51,207,000","53,418,000","54,319,000","50,338,000","57,342,000","43,114,000","44,377,000","43,001,000","53,334,000","58,483,000","42,001,000","50,024,000","45,825,000","45,480,000","39,865,000","44,092,000","54,785,000","52,895,000","45,704,000","39,063,000","46,129,000","50,108,000","38,551,000","43,866,000","42,371,000","52,087,000","34,523,000","34,137,000","40,082,000","42,694,000","38,582,000","39,901,000","36,939,000","36,459,000","30,496,000","33,381,000","35,728,000","41,262,000","40,891,000","38,804,000","48,029,000","49,555,000","36,502,000","38,813,000","41,887,000","46,177,000","37,535,000","36,748,000","46,350,000","37,637,000","34,265,000","32,487,000","33,487,000","27,731,000","28,698,000","27,121,000","31,292,000","24,623,000","22,123,000","22,553,000","24,406,000","27,303,000","20,053,000","22,306,000","26,894,000","22,204,000","22,560,000","23,392,000","26,185,000","31,029,000","29,886,000","28,247,000","29,465,000","23,123,000","21,970,000","21,327,000","22,794,000","20,363,000","19,005,000","17,933,000","19,397,000","15,370,000","14,495,000","14,018,000","13,871,000","12,678,000","11,815,000","13,539,000","15,019,000","12,192,000","8,032,000",,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"114,573,000","71,329,000","59,233,000","53,829,000","53,072,000","47,893,000","62,741,000","56,823,000","70,541,000","67,752,000","56,436,000","69,325,000","59,067,000","54,342,000","51,384,000","53,626,000","54,427,000","50,457,000","57,462,000","43,195,000","44,651,000","43,091,000","53,479,000","58,556,000","42,239,000","50,139,000","45,948,000","45,549,000","39,977,000","44,263,000","54,919,000","53,080,000","45,767,000","39,256,000","46,302,000","50,262,000","38,872,000","43,918,000",,,,"34,405,000",,"43,164,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-837,000","-549,000","-477,000","-518,000","-493,000","-506,000","-546,000","-429,000","-647,000","-353,000","-353,000","-392,000","-379,000","-264,000","-177,000","-208,000","-108,000","-119,000","-120,000","-81,000","-274,000","-90,000","-145,000","-73,000","-238,000","-115,000","-123,000","-69,000","-112,000","-171,000","-134,000","-185,000","-63,000","-193,000","-173,000","-154,000","-321,000","-52,000",,,,"-268,000",,"-470,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,"32,000","32,000","32,000","31,000","29,000","28,000","27,000","29,000","28,000","28,000","27,000","27,000","28,000","27,000","27,000","28,000","28,000","26,000","25,000","25,000","25,000","25,000","25,000","23,000","24,000","26,000","25,000","30,000","30,000","29,000","29,000","29,000","29,000","29,000","28,000","28,000","28,000","27,000","27,000","27,000","26,000","26,000","26,000","26,000","26,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
