name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
OperatingCashFlow,"-89,729,000","-29,038,000","-73,365,000","-2,831,000","15,505,000","-24,927,000","1,929,000","-8,456,000","16,569,000","17,162,000","-5,351,000","-14,249,000","12,355,000","12,787,000","-760,000","3,818,000","4,666,000","13,273,000","16,803,000","3,180,000","24,115,000","1,410,000","-2,124,000","19,402,000","10,303,000","2,564,000","-631,000","12,869,000","5,727,000","270,000","-1,016,000","2,475,000","3,703,000","-9,234,000","-2,899,988","7,161,000","5,913,000","-1,515,000","4,440,130","1,903,000","2,402,000","1,401,000","3,666,200","3,254,000","10,003,000","1,373,000","6,736,573","1,111,000","13,400,000","10,274,000","2,443,282","19,466,000","24,835,000","25,575,000","10,061,173","13,760,000","15,837,000","11,335,000","18,637,949","8,696,000","10,187,000","-1,557,000","3,206,670","9,610,000","9,871,000","10,230,000","9,924,330","11,214,000","6,326,000","3,326,000","6,284,361","10,266,000","18,539,000","8,179,000","8,628,566","14,900,000","12,397,000","15,873,000","-3,446,120","14,144,000","16,985,000","13,738,000","2,530,441"
	CashFlowFromContinuingOperatingActivities,"-89,729,000","-29,038,000","-73,365,000","-2,831,000","15,505,000","-24,927,000","1,929,000","-8,456,000","16,569,000","17,162,000","-5,351,000","-14,249,000","12,355,000","12,787,000","-760,000","3,818,000","4,666,000","13,273,000","16,803,000","3,180,000","24,115,000","1,410,000","-2,124,000","19,402,000","10,303,000","2,564,000","-631,000","12,869,000","5,727,000","270,000","-1,016,000","2,475,000","3,703,000","-9,234,000","-2,899,988","7,161,000","5,913,000","-1,515,000","4,440,130","1,903,000","2,402,000","1,401,000","3,666,200","3,254,000","10,003,000","1,373,000","6,736,573","1,111,000","13,400,000","10,274,000","2,443,282","19,466,000","24,835,000","25,575,000","10,061,173","13,760,000","15,837,000","11,335,000","18,637,949","8,696,000","10,187,000","-1,557,000","3,065,020","9,727,000","9,849,000","10,098,000","9,444,959","11,319,000","6,715,000","3,380,000","8,404,384","10,266,000","18,539,000","8,179,000","8,647,739","14,901,000","12,376,000","16,167,000","24,370","14,144,000","16,985,000","13,738,000","2,530,441"
		NetIncomeFromContinuingOperations,"174,537,000","61,983,000","77,573,000","23,433,000","11,548,000","19,448,000","4,822,000","-1,148,000","-14,048,000","-1,768,000","-600,000","-2,697,000","-51,270,000","-1,376,000","-19,343,000","-118,000","1,824,000","1,920,000","28,256,000","7,044,000","5,220,000","-1,718,000","-7,649,000","14,289,000","-17,095,000","19,186,000","-5,927,000","5,151,000","2,680,000","3,050,000","-20,086,000","-7,484,000","-3,182,000","-782,000","-52,584,323","914,000","-1,457,000","1,158,000",,,,,,,,"207,000","-6,003,863","916,000","1,178,000","1,135,000","398,308","968,000","2,292,000","3,036,000","-161,336,613","6,171,000","6,371,000","5,850,000","7,267,509","7,049,000","5,461,000","4,802,000","7,511,389","122,000","4,433,000","4,570,000","4,885,386","4,982,000","1,249,000","3,636,000","5,570,695","5,134,000","5,097,000","4,857,000","5,136,785","6,803,000","6,830,000","7,051,000","8,881,705","5,872,000","8,032,000","6,997,000","-8,499,958"
		OperatingGainsLosses,,,,,,,,,,,,,,"360,000","43,000",,,,"0","0","0","3,388,000","14,165,000","-7,105,000","5,139,000","-16,436,000","9,516,000","5,078,000","-362,000","-2,147,000","9,363,000",,"0","0","45,296","71,000","73,000","-2,739,000","-497",,,,,,,,,,,,,,,,,,,,,,,,,,,"-235,000","2,153,937","-288,000","1,206,000","206,000","-302,775","48,000","530,000","626,000","776,084","819,000","943,000","371,000","-376,334","4,143,000","74,000","285,000",
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","0","0","45,286","71,000","73,000","-4,158,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"0","0","0","-1,581,000","14,165,000","-7,105,000","3,571,000","-16,436,000","9,516,000","2,894,000","-362,000","-2,147,000","9,363,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"10,318,000","2,719,000","2,720,000","2,680,000","2,199,000","2,253,000","2,199,000","3,247,000","3,929,000","3,296,000","4,627,000","2,907,000","3,557,000","2,984,000","3,016,000","2,892,000","2,963,000","2,909,000","2,849,000","2,849,000","2,285,000","2,191,000","2,213,000","2,092,000","2,465,000","2,412,000","2,217,000","1,935,000","1,972,000","1,942,000","2,065,000","2,016,000","1,601,000","1,759,000","1,543,765","1,442,000","1,606,000","1,588,000","2,135,927","2,023,000","2,378,000","2,411,000","2,416,085","2,381,000","2,681,000","2,806,000","2,851,415","2,745,000","3,184,000","3,114,000","3,100,056","3,039,000","3,324,000","3,328,000","3,421,509","2,502,000","2,420,000","2,459,000","2,791,167","1,992,000","1,875,000","1,853,000","2,015,998","1,733,000","1,739,000","1,678,000","2,928,896","1,562,000","1,571,000","1,486,000","1,833,268","1,518,000","1,895,000","2,301,000","2,232,955","2,206,000","1,871,000","1,815,000","1,858,956","1,823,000","1,525,000","1,465,000",
			DepreciationAndAmortization,"10,318,000","2,719,000","2,720,000","2,680,000","2,199,000","2,253,000","2,199,000","3,247,000","3,929,000","3,296,000","4,627,000","2,907,000","3,557,000","2,984,000","3,016,000","2,892,000","2,963,000","2,909,000","2,849,000","2,849,000","2,285,000","2,191,000","2,213,000","2,092,000","2,465,000","2,412,000","2,217,000","1,935,000","1,972,000","1,942,000","2,065,000","2,016,000","1,601,000","1,759,000","1,543,765","1,442,000","1,606,000","1,588,000","2,135,927","2,023,000","2,378,000","2,411,000","2,416,085","2,381,000","2,681,000","2,806,000","2,851,415","2,745,000","3,184,000","3,114,000","3,100,056","3,039,000","3,324,000","3,328,000","3,421,509","2,502,000","2,420,000","2,459,000","2,791,167","1,992,000","1,875,000","1,853,000","2,015,998","1,733,000","1,739,000","1,678,000","2,928,896","1,562,000","1,571,000","1,486,000","1,833,268","1,518,000","1,895,000","2,301,000","2,232,955","2,206,000","1,871,000","1,815,000","1,858,956","1,823,000","1,525,000","1,465,000",
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,070,000","1,005,000","817,000","974,000","933,688","890,000","1,040,000","1,022,000","1,194,184","1,220,000","1,559,000","1,593,000","1,597,677","1,548,000","1,804,000","1,841,000","1,887,548","1,782,000","2,221,000","2,153,000","2,128,088","2,034,000","2,306,000","2,305,000","2,284,712","1,789,000","1,777,000","1,786,000","1,950,538","1,370,000","1,505,000","1,484,000","1,428,441","1,315,000","1,383,000","1,322,000","1,607,513","1,206,000","1,215,000","1,130,000","1,170,984","1,024,000","1,352,000","1,593,000","1,193,591","1,230,000","1,038,000","1,068,000","1,047,004","1,042,000","740,000","695,000",
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"995,000","1,011,000","784,000","785,000","610,077","552,000","566,000","566,000","941,743","803,000","819,000","818,000","818,408","833,000","877,000","965,000","963,867","963,000","963,000","961,000","971,968","1,005,000","1,018,000","1,023,000","1,136,797","713,000","643,000","673,000","840,629","622,000","370,000","369,000","587,557","418,000","356,000","356,000","1,321,383","356,000","356,000","356,000","662,284","494,000","543,000","708,000","1,039,364","976,000","833,000","747,000","811,952","781,000","785,000","770,000",
