name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,12/31/2013
TotalAssets,"460,150,000","497,020,000","530,241,000","535,154,000","576,484,000","590,824,000","335,496,000","353,065,000","372,751,000","372,121,000","299,910,000","308,720,000","242,138,000","251,313,000","194,981,000","207,574,000","217,165,000","101,778,000","104,655,000","111,065,000","117,923,000","129,647,000","140,139,000","99,851,000","104,207,000","113,321,000","120,124,000","51,688,000","55,526,000","5,520,000","8,498,000","12,863,000"
	CurrentAssets,"353,848,000","392,059,000","425,069,000","430,426,000","471,822,000","487,345,000","233,214,000","255,436,000","279,805,000","307,754,000","245,591,000","263,629,000","199,619,000","209,088,000","128,821,000","134,608,000","184,828,000","101,047,000","103,872,000","109,821,000","116,633,000","128,349,000","138,924,000","98,702,000","103,247,000","112,366,000","119,224,000","49,477,000","53,440,000","3,670,000","7,431,000","12,859,000"
		CashCashEquivalentsAndShortTermInvestments,"346,593,000","388,740,000","421,459,000","426,830,000","466,353,000","482,719,000","228,690,000","249,803,000","275,895,000","304,115,000","240,561,000","257,783,000","196,590,000","205,730,000","127,478,000","132,103,000","182,697,000","100,014,000","103,125,000","108,754,000","114,705,000","126,473,000","137,583,000","98,222,000","102,265,000","111,280,000","118,365,000","49,012,000","53,139,000","3,618,000","7,357,000","12,793,000"
			CashAndCashEquivalents,"130,552,000","232,694,000","245,644,000","264,608,000","252,540,000","297,098,000","82,226,000","163,203,000","190,520,000","185,383,000","89,195,000","64,833,000","124,464,000","111,355,000","38,076,000","52,548,000","171,136,000","78,720,000","49,146,000","27,610,000","25,273,000","29,798,000","83,004,000","38,519,000","58,706,000","80,042,000","89,248,000","49,012,000","53,139,000","3,618,000","7,357,000","12,793,000"
			OtherShortTermInvestments,"216,041,000","156,046,000","175,815,000","162,222,000","213,813,000","185,621,000","146,464,000","86,600,000","85,375,000","118,732,000","151,366,000","192,950,000","72,126,000","94,375,000","89,402,000","79,555,000","11,561,000","21,294,000","53,979,000","81,144,000","89,432,000","96,675,000","54,579,000","59,703,000","43,559,000","31,238,000","29,117,000",,,,,
		PrepaidAssets,"7,255,000","3,319,000","3,610,000","3,596,000","5,469,000","4,626,000","4,524,000","5,633,000","3,910,000","3,639,000","5,030,000","5,846,000","3,029,000","3,358,000","1,343,000","2,505,000","2,131,000","1,033,000","747,000","1,067,000","1,928,000","1,876,000","1,341,000","480,000","982,000","1,086,000","859,000","465,000","301,000","52,000","74,000","66,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
	TotalNonCurrentAssets,"106,300,000","104,961,000","105,172,000","104,728,000","104,662,000","103,479,000","102,282,000","97,629,000","92,946,000","64,367,000","54,319,000","45,091,000","42,519,000","42,225,000","66,160,000","72,966,000","32,337,000","731,000","783,000","1,244,000","1,290,000","1,298,000","1,215,000","1,149,000","960,000","955,000","900,000","2,211,000","2,086,000","1,850,000","1,067,000","4,000"
		NetPPE,"73,687,000","72,348,000","72,568,000","72,124,000","71,931,000","70,641,000","69,444,000","64,834,000","60,151,000","31,346,000","21,524,000","12,296,000","9,724,000","2,027,000","1,245,000","976,000","1,146,000","563,000","601,000","1,076,000","1,122,000","1,130,000","1,045,000","976,000","790,000","812,000","756,000","29,000",,"0","0","0"
			GrossPPE,"79,674,000","77,571,000","76,802,000","75,551,000","74,651,000","72,687,000","70,864,000","65,975,000","61,174,000","32,251,000","22,328,000","12,979,000","10,305,000","2,506,000","1,630,000","1,374,000","1,499,000","898,000","898,000","1,414,000","1,397,000","1,561,000","1,418,000","1,310,000","1,089,000","1,074,000","763,000","30,000",,"217,000","217,000","217,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0",,,,,
				MachineryFurnitureEquipment,"14,643,000","14,515,000","14,098,000","13,976,000","13,754,000","13,416,000","10,117,000","2,735,000","2,410,000","452,000","453,000","452,000","452,000","452,000","426,000","307,000","457,000","453,000","453,000","453,000","453,000","670,000","660,000","622,000","601,000","586,000","280,000","14,000",,"217,000","217,000","217,000"
				OtherProperties,"64,598,000","62,649,000","62,598,000","61,536,000","60,868,000","59,242,000","60,718,000","63,211,000","58,735,000","3,961,000","4,104,000","4,302,000","4,203,000","1,556,000","1,140,000","1,067,000","1,042,000","0","14,000","516,000","499,000","446,000","313,000","243,000","43,000","43,000","38,000","16,000",,"0",,"0"
				ConstructionInProgress,,,,,,"0","0","0","0","27,809,000","17,742,000","8,196,000","5,368,000","469,000",,,,,,,,,,,,,,,,,,
