name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalRevenue,"8,248,116,000","2,109,115,000","1,946,364,000","2,013,971,000","2,178,666,000","2,049,489,000","1,518,744,000","1,866,116,000","1,665,768,000","1,258,722,000","1,055,590,000","1,481,014,000","850,169,000","1,266,986,000","1,100,912,000","1,565,090,000","1,766,757,000","1,994,963,000","1,680,738,000","2,163,790,000","1,326,765,000","1,730,845,000","2,126,361,000","1,805,653,000","1,735,210,000","1,512,750,000","1,529,143,000","2,006,936,000","1,453,402,000","1,624,495,000","1,538,871,000","1,453,466,000","1,413,175,000","1,581,547,000","1,488,653,000","1,495,979,000","2,097,667,000","1,833,454,000","1,696,781,000","1,619,814,000"
	OperatingRevenue,"8,248,116,000","2,109,115,000","1,946,364,000","2,013,971,000","2,178,666,000","2,049,489,000","1,518,744,000","1,866,116,000","1,665,768,000","1,258,722,000","1,055,590,000","1,481,014,000","850,169,000","1,266,986,000","1,100,912,000","1,565,090,000","1,766,757,000","1,994,963,000","1,680,738,000","2,163,790,000","1,326,765,000","1,730,845,000","2,126,361,000","1,805,653,000","1,735,210,000","1,512,750,000","1,529,143,000","2,006,936,000","1,453,402,000","1,624,495,000","1,538,871,000","1,453,466,000","1,413,175,000","1,581,547,000","1,488,653,000","1,495,979,000","2,097,667,000","1,833,454,000","1,696,781,000","1,619,814,000"
CostOfRevenue,"7,966,970,000","2,037,032,000","1,880,441,000","1,957,962,000","2,091,535,000","1,981,318,000","1,499,993,000","1,829,971,000","1,637,741,000","1,236,247,000","1,047,459,000","1,472,674,000","843,719,000","1,258,270,000","1,092,595,000","1,556,615,000","1,760,963,000","1,987,536,000","1,671,822,000","2,156,484,000","1,320,686,000","1,723,513,000","2,116,502,000","1,797,589,000","1,727,647,000","1,505,892,000","1,523,467,000","1,992,512,000","1,447,451,000","1,618,871,000","1,531,678,000","1,447,736,000","1,408,088,000","1,574,010,000","1,480,819,000","1,488,796,000","2,086,164,000","1,825,898,000","1,690,527,000","1,614,669,000"
GrossProfit,"281,146,000","72,083,000","65,923,000","56,009,000","87,131,000","68,171,000","18,751,000","36,145,000","28,027,000","22,475,000","8,131,000","8,340,000","6,450,000","8,716,000","8,317,000","8,475,000","5,794,000","7,427,000","8,916,000","7,306,000","6,079,000","7,332,000","9,859,000","8,064,000","7,563,000","6,858,000","5,676,000","14,424,000","5,951,000","5,624,000","7,193,000","5,730,000","5,087,000","7,537,000","7,834,000","7,183,000","11,503,000","7,556,000","6,254,000","5,145,000"
OperatingExpense,"104,948,000","28,042,000","26,971,000","24,948,000","24,987,000","14,783,000","9,033,000","10,006,000","10,228,000","10,388,000","7,870,000","8,270,000","8,422,000","8,258,000","8,103,000","7,719,000","7,650,000","9,423,000","9,349,000","6,976,000","5,559,000","5,989,000","6,131,000","5,664,000","5,931,000","5,366,000","4,528,000","6,408,000","4,069,000","4,089,000","4,754,000","4,219,000","3,067,000","4,351,000","4,503,000","3,849,000","4,048,000","3,985,000","2,994,000","3,204,000"
	SellingGeneralAndAdministration,"83,365,000","20,494,000","18,713,000","16,677,000","24,987,000","14,783,000","9,033,000","10,006,000","10,228,000","10,388,000","7,870,000","8,270,000","8,422,000","8,258,000","8,103,000","7,719,000","7,650,000","9,423,000","9,349,000","6,976,000","5,559,000","5,989,000","6,131,000","5,664,000","5,931,000","5,366,000","4,528,000","6,408,000","4,069,000","4,089,000","4,754,000","4,219,000","3,067,000","4,351,000","4,503,000","3,849,000","4,048,000","3,985,000","2,994,000","3,204,000"
	DepreciationAmortizationDepletionIncomeStatement,,"7,548,000","8,258,000","8,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,"7,548,000","8,258,000","8,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"176,198,000","44,041,000","38,952,000","31,061,000","62,144,000","53,388,000","9,718,000","26,139,000","17,799,000","12,087,000","261,000","70,000","-1,972,000","458,000","214,000","756,000","-1,856,000","-1,996,000","-433,000","330,000","520,000","1,343,000","3,728,000","2,400,000","1,632,000","1,492,000","1,148,000","8,016,000","1,882,000","1,535,000","2,439,000","1,511,000","2,020,000","3,186,000","3,331,000","3,334,000","7,455,000","3,571,000","3,260,000","1,941,000"
NetNonOperatingInterestIncomeExpense,"-138,000","-86,000","-144,000","58,000","34,000","-611,000","-504,000","-310,000","-316,000","917,000","1,151,000","626,000","561,000","568,000","-4,000","999,000","1,432,000","445,000","-91,000","428,000","723,000","583,000","512,000","643,000","325,000","592,000","860,000","699,000","469,000","450,000","429,000","414,000","247,000","389,000","514,000","516,000","839,000","1,178,000","1,169,000","1,123,000"
	InterestIncomeNonOperating,"21,359,000","5,343,000","5,251,000","5,531,000","5,234,000","4,724,000","4,533,000","3,983,000","3,269,000","5,968,000","6,232,000","5,768,000","5,260,000","4,807,000","4,652,000","4,551,000","5,589,000","4,087,000","3,268,000","3,161,000","3,452,000","3,283,000","2,959,000","2,884,000","2,430,000","2,250,000","2,182,000","1,933,000","1,591,000","1,607,000","1,398,000","1,477,000","1,294,000","1,391,000","1,403,000","1,504,000","1,674,000","1,953,000","2,114,000","2,052,000"
	InterestExpenseNonOperating,"21,497,000","5,429,000","5,395,000","5,473,000","5,200,000","5,335,000","5,037,000","4,293,000","3,585,000","5,051,000","5,081,000","5,142,000","4,699,000","4,239,000","4,656,000","3,552,000","4,157,000","3,642,000","3,359,000","2,733,000","2,729,000","2,700,000","2,447,000","2,241,000","2,105,000","1,658,000","1,322,000","1,234,000","1,122,000","1,157,000","969,000","1,063,000","1,047,000","1,002,000","889,000","988,000","835,000","775,000","945,000","929,000"
OtherIncomeExpense,"7,350,000","1,966,000","1,884,000","1,674,000","1,826,000","34,003,000","2,586,000","4,388,000","4,878,000","418,000","275,000","-288,000","448,000","337,000","734,000","178,000","-2,487,000","67,000","790,000","-40,000","76,000","212,000","90,000","-45,000","178,000","5,000","150,000","-39,000","226,000","-123,000","-75,000","-9,000",,"-60,000","24,000","36,000","54,000","-46,000","48,000","-26,000"
