name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"1,903,200,000","1,841,100,000","1,791,000,000","1,726,000,000","1,676,000,000","780,978,000","811,379,000","532,227,000","541,484,000","301,822,000"
	CurrentAssets,"1,391,600,000","1,368,000,000","1,514,800,000","1,490,200,000","1,462,600,000","687,177,000","725,019,000","447,426,000","458,546,000","219,821,000"
		CashCashEquivalentsAndShortTermInvestments,"660,000,000","775,800,000","1,013,000,000","1,079,100,000","1,146,400,000","409,309,000","474,631,000","185,561,000","215,951,000","33,987,000"
			CashAndCashEquivalents,"108,400,000","104,700,000","241,700,000","409,900,000","1,146,400,000","409,309,000","474,631,000","185,561,000","215,951,000","33,987,000"
				CashFinancial,,"104,700,000","241,700,000","409,900,000","1,146,400,000","409,309,000","474,631,000","185,561,000","215,951,000","33,987,000"
			OtherShortTermInvestments,"551,600,000","671,100,000","771,300,000","669,200,000",,,,,,
		Receivables,"699,500,000","562,500,000","464,500,000","384,200,000","294,700,000","256,500,000","224,453,000","244,016,000","226,448,000","168,158,000"
			AccountsReceivable,"697,000,000","559,400,000","464,500,000","384,200,000","294,700,000","256,500,000","224,453,000","244,016,000","226,448,000","168,158,000"
			OtherReceivables,"2,500,000","3,100,000",,,,,,,,
		PrepaidAssets,"15,200,000","7,900,000","9,600,000","3,700,000","6,000,000","6,765,000","9,424,000","2,519,000","1,759,000","1,382,000"
		RestrictedCash,"16,900,000","15,700,000","16,600,000","15,900,000","10,400,000","10,416,000","10,391,000","10,391,000","10,391,000","8,266,000"
		OtherCurrentAssets,,"6,100,000","11,100,000","7,300,000","5,100,000","4,187,000","6,120,000","4,939,000","3,997,000","8,028,000"
	TotalNonCurrentAssets,"511,600,000","473,100,000","276,200,000","235,800,000","213,400,000","93,801,000","86,360,000","84,801,000","82,938,000","82,001,000"
		NetPPE,"341,100,000","302,500,000","258,600,000","219,200,000","196,700,000","78,791,000","72,190,000","70,479,000","68,508,000","67,396,000"
			GrossPPE,"341,100,000","347,000,000","258,600,000","253,700,000","227,400,000","106,339,000","96,669,000","92,174,000","87,626,000","84,106,000"
				Properties,,"0",,"0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,,"82,600,000",,"48,500,000","43,300,000","38,479,000","33,009,000","29,840,000","26,093,000","24,286,000"
				OtherProperties,"341,100,000","157,700,000","258,600,000","127,400,000","112,600,000",,,,,
				ConstructionInProgress,,"18,600,000",,"6,800,000","4,000,000","4,242,000","5,227,000","4,648,000","4,196,000","3,212,000"
				Leases,,"88,100,000",,"71,000,000","67,500,000","63,618,000","58,433,000","57,686,000","57,337,000","56,608,000"
