name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010
TotalRevenue,"2,491,000,000","677,000,000","644,000,000","567,000,000","603,000,000","588,000,000","535,000,000","532,000,000","377,000,000","637,000,000","617,000,000","669,000,000","737,000,000","675,000,000","647,000,000","692,000,000","711,000,000","663,000,000","588,000,000","595,000,000","580,000,000","499,000,000","468,900,000","434,300,000","474,900,000","462,100,000","478,200,000","493,000,000","511,000,000","503,600,000","544,400,000","553,300,000","536,100,000","493,600,000","491,000,000","466,300,000","512,100,000","457,400,000","487,000,000","493,500,000","559,400,000","601,900,000","516,100,000","574,000,000","555,700,000","517,000,000","460,400,000","482,000,000","510,200,000"
	OperatingRevenue,"2,491,000,000","677,000,000","644,000,000","567,000,000","603,000,000","588,000,000","535,000,000","532,000,000","377,000,000","637,000,000","617,000,000","669,000,000","737,000,000","675,000,000","647,000,000","692,000,000","711,000,000","663,000,000","588,000,000","595,000,000","580,000,000","499,000,000","468,900,000","434,300,000","474,900,000","462,100,000","478,200,000","493,000,000","511,000,000","503,600,000","544,400,000","553,300,000","536,100,000","493,600,000","491,000,000","466,300,000","512,100,000","457,400,000","487,000,000","493,500,000","559,400,000","601,900,000","516,100,000","574,000,000","555,700,000","517,000,000","460,400,000","482,000,000","510,200,000"
CostOfRevenue,"1,317,000,000","357,000,000","339,000,000","306,000,000","315,000,000","297,000,000","282,000,000","278,000,000","212,000,000","311,000,000","319,000,000","321,000,000","348,000,000","316,000,000","309,000,000","324,000,000","337,000,000","321,000,000","300,000,000","293,000,000","290,000,000","248,000,000","251,200,000","229,600,000","248,200,000","247,000,000","256,000,000","256,900,000","274,700,000","264,400,000","288,800,000","294,000,000","297,600,000","271,100,000","279,600,000","260,200,000","286,000,000","259,100,000","292,800,000","269,100,000","307,500,000","318,100,000","293,600,000","316,400,000","311,200,000","287,000,000","266,200,000","279,900,000","287,600,000"
GrossProfit,"1,174,000,000","320,000,000","305,000,000","261,000,000","288,000,000","291,000,000","253,000,000","254,000,000","165,000,000","326,000,000","298,000,000","348,000,000","389,000,000","359,000,000","338,000,000","368,000,000","374,000,000","342,000,000","288,000,000","302,000,000","290,000,000","251,000,000","217,700,000","204,700,000","226,700,000","215,100,000","222,200,000","236,100,000","236,300,000","239,200,000","255,600,000","259,300,000","238,500,000","222,500,000","211,400,000","206,100,000","226,100,000","198,300,000","194,200,000","224,400,000","251,900,000","283,800,000","222,500,000","257,600,000","244,500,000","230,000,000","194,200,000","202,100,000","222,600,000"
OperatingExpense,"483,000,000","118,000,000","129,000,000","115,000,000","121,000,000","111,000,000","120,000,000","126,000,000","107,000,000","111,000,000","131,000,000","124,000,000","130,000,000","115,000,000","127,000,000","122,000,000","126,000,000","120,000,000","128,000,000","104,000,000","113,000,000","102,000,000","108,000,000","100,700,000","99,600,000","104,400,000","105,000,000","124,200,000","98,800,000","95,600,000","121,900,000","111,300,000","105,500,000","107,100,000","110,700,000","94,000,000","106,400,000","116,900,000","128,600,000","132,600,000","132,300,000","129,100,000","136,000,000","133,500,000","124,900,000","131,200,000","112,900,000","121,300,000","118,800,000"
	SellingGeneralAndAdministration,"307,000,000","75,000,000","79,000,000","73,000,000","80,000,000","73,000,000","80,000,000","93,000,000","69,000,000","75,000,000","92,000,000","85,000,000","93,000,000","84,000,000","90,000,000","89,000,000","93,000,000","92,000,000","97,000,000","78,000,000","88,000,000","79,000,000","83,500,000","80,000,000","77,800,000","82,600,000","81,500,000","86,600,000","75,600,000","73,400,000","88,800,000","87,500,000","85,100,000","83,200,000","87,400,000","74,000,000","85,600,000","87,900,000","112,000,000","96,700,000","109,100,000","101,200,000","110,000,000","101,600,000","96,700,000","100,900,000","101,200,000","96,300,000","95,400,000"
	ResearchAndDevelopment,"176,000,000","43,000,000","50,000,000","42,000,000","41,000,000","38,000,000","40,000,000","33,000,000","38,000,000","36,000,000","47,000,000","39,000,000","37,000,000","31,000,000","37,000,000","33,000,000","33,000,000","28,000,000","31,000,000","26,000,000","25,000,000","23,000,000","24,500,000","20,700,000","21,800,000","21,800,000","23,500,000","23,600,000","23,200,000","22,200,000","33,600,000","24,500,000","21,200,000","24,500,000","24,400,000","20,900,000","22,800,000","29,000,000","28,100,000","35,900,000","23,200,000","27,900,000","26,000,000","31,900,000","28,200,000","30,300,000","27,100,000","25,000,000","23,400,000"
	OtherOperatingExpenses,,,,,,,,,,,"-8,000,000",,,,,,,,,,,,,,,,"0","14,000,000",,,"-500,000","-700,000","-800,000","-600,000","-1,100,000","-900,000","-2,000,000",,,,,,,,,,,,
OperatingIncome,"691,000,000","202,000,000","176,000,000","146,000,000","167,000,000","180,000,000","133,000,000","128,000,000","58,000,000","215,000,000","167,000,000","224,000,000","259,000,000","244,000,000","211,000,000","246,000,000","248,000,000","222,000,000","160,000,000","198,000,000","177,000,000","149,000,000","109,700,000","104,000,000","127,100,000","110,700,000","117,200,000","111,900,000","137,500,000","143,600,000","133,700,000","148,000,000","133,000,000","115,400,000","100,700,000","112,100,000","119,700,000","81,400,000","65,600,000","91,800,000","119,600,000","154,700,000","86,500,000","124,100,000","119,600,000","98,800,000","81,300,000","80,800,000","103,800,000"
NetNonOperatingInterestIncomeExpense,"-116,000,000","-29,000,000","-29,000,000","-28,000,000","-30,000,000","-29,000,000","-37,000,000","-34,000,000","-33,000,000","-33,000,000","-33,000,000","-32,000,000","-33,000,000","-36,000,000","-31,000,000","-30,000,000","-30,000,000","-30,000,000","-25,000,000","-26,000,000","-27,000,000","-25,000,000","-16,900,000","-33,800,000","-27,800,000","-34,100,000","-20,800,000","-33,900,000","-48,200,000","-36,900,000","-37,400,000","-29,600,000","-37,400,000","-35,400,000","-29,100,000","-37,600,000","-33,900,000","-33,900,000","-41,700,000","-40,800,000","-34,100,000","-40,700,000","-33,400,000","-63,300,000","-71,000,000","-49,600,000","-38,000,000","-82,000,000","-84,800,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,"100,000","200,000","200,000","200,000","200,000","100,000","200,000","200,000","200,000","300,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","100,000","300,000","300,000","300,000","200,000","200,000","200,000","2,500,000","400,000","200,000"
	InterestExpenseNonOperating,"116,000,000","29,000,000","29,000,000","28,000,000","30,000,000","29,000,000","37,000,000","34,000,000","33,000,000","33,000,000","33,000,000","32,000,000","33,000,000","36,000,000","31,000,000","30,000,000","30,000,000","30,000,000","25,000,000","26,000,000","27,000,000","25,000,000","16,900,000","22,400,000","28,000,000","34,300,000","21,000,000","34,000,000","48,400,000","37,100,000","37,600,000","29,600,000","36,800,000","35,300,000","28,600,000","37,500,000","33,500,000","34,100,000","35,800,000","40,900,000","34,400,000","41,000,000","33,700,000","63,500,000","71,200,000","49,800,000","40,500,000","82,400,000","85,000,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,"100,000","11,600,000",,,,,,,"0","300,000","800,000","300,000","700,000","300,000","600,000",,,,,,,,,,,,
OtherIncomeExpense,"6,000,000","-10,000,000","7,000,000","6,000,000","3,000,000","3,000,000","-12,000,000","4,000,000","5,000,000","-1,000,000","0","2,000,000","3,000,000","3,000,000","-6,000,000","2,000,000","4,000,000","-1,000,000","-51,000,000","-2,000,000","-4,000,000","3,000,000","1,900,000","800,000","-200,000","-100,000","-76,700,000","-4,200,000","-2,200,000","1,500,000","-18,500,000","-2,100,000","-900,000","-700,000","-4,100,000","-2,100,000","-4,000,000","-3,100,000","-2,800,000","-1,800,000","-22,800,000","-30,800,000","-3,300,000","-3,700,000","-59,800,000","5,700,000","-8,300,000","8,300,000","-2,500,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","-3,900,000","-2,000,000","3,300,000","-3,000,000","-1,400,000","-900,000","-900,000","-1,500,000","-1,600,000","-4,000,000",,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,"-2,000,000",,,,"-4,000,000",,,,"-32,000,000",,,,"0",,"0",,"-77,200,000","0","0","-1,500,000","-15,600,000","-2,300,000","0","0","-2,800,000","-500,000","0",,"2,900,000","-1,800,000","-22,800,000","-30,800,000","-3,300,000","-3,700,000","-59,800,000","5,700,000","-8,600,000","8,300,000","-2,500,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,"2,000,000",,,,"4,000,000",,,,"32,000,000",,,,"0",,"0",,"80,000,000","0","0","1,300,000","15,400,000",,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","2,000,000","0","0","2,500,000","0","0",,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,800,000",,,"200,000","200,000","300,000",,,"300,000","500,000",,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"2,000,000","-10,000,000","3,000,000","6,000,000","3,000,000","3,000,000","-12,000,000","4,000,000","5,000,000","-1,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","4,000,000","-1,000,000","-14,000,000","-2,000,000","-4,000,000","3,000,000","400,000","800,000","-200,000","-100,000","400,000","-300,000","-200,000","-300,000","100,000","1,600,000","-900,000","200,000","200,000","-1,500,000","-2,600,000","-3,100,000","2,600,000",,,,,,,,,,
PretaxIncome,"581,000,000","163,000,000","154,000,000","124,000,000","140,000,000","154,000,000","84,000,000","98,000,000","30,000,000","181,000,000","134,000,000","194,000,000","229,000,000","211,000,000","174,000,000","218,000,000","222,000,000","191,000,000","84,000,000","170,000,000","146,000,000","127,000,000","94,700,000","71,000,000","99,100,000","76,500,000","19,700,000","73,800,000","87,100,000","108,200,000","77,800,000","116,300,000","94,700,000","79,300,000","67,500,000","72,400,000","81,800,000","44,400,000","21,100,000","49,200,000","62,700,000","83,200,000","49,800,000","57,100,000","-11,200,000","54,900,000","35,000,000","7,100,000","16,500,000"
TaxProvision,"130,000,000","34,000,000","36,000,000","30,000,000","30,000,000","34,000,000","24,000,000","21,000,000","7,000,000","42,000,000","27,000,000","45,000,000","48,000,000","44,000,000","27,000,000","51,000,000","48,000,000","40,000,000","-131,000,000","59,000,000","51,000,000","44,000,000","33,500,000","26,400,000","38,300,000","28,200,000","6,700,000","27,300,000","32,700,000","39,800,000","27,300,000","47,500,000","37,500,000","27,200,000","24,600,000","27,900,000","31,300,000","16,900,000","9,900,000","17,000,000","-350,100,000","25,200,000","5,300,000","18,300,000","6,000,000","18,000,000","10,900,000","13,100,000","15,400,000"
NetIncomeCommonStockholders,"451,000,000","129,000,000","118,000,000","94,000,000","110,000,000","120,000,000","60,000,000","77,000,000","23,000,000","139,000,000","107,000,000","149,000,000","181,000,000","167,000,000","147,000,000","167,000,000","174,000,000","151,000,000","215,000,000","111,000,000","95,000,000","83,000,000","61,200,000","44,600,000","60,800,000","48,300,000","13,000,000","46,500,000","54,400,000","68,400,000","50,500,000","68,800,000","57,200,000","52,100,000","42,900,000","44,500,000","50,500,000","27,500,000","11,200,000","32,200,000","412,800,000","58,000,000","44,500,000","38,800,000","-17,200,000","36,900,000","24,100,000","-6,000,000","1,100,000"
	NetIncome,"451,000,000","129,000,000","118,000,000","94,000,000","110,000,000","120,000,000","60,000,000","77,000,000","23,000,000","139,000,000","107,000,000","149,000,000","181,000,000","167,000,000","147,000,000","167,000,000","174,000,000","151,000,000","215,000,000","111,000,000","95,000,000","83,000,000","61,200,000","44,600,000","60,800,000","48,300,000","13,000,000","46,500,000","54,400,000","68,400,000","50,500,000","68,800,000","57,200,000","52,100,000","42,900,000","44,500,000","50,500,000","27,500,000","11,200,000","32,200,000","412,800,000","58,000,000","44,500,000","38,800,000","-17,200,000","36,900,000","24,100,000","-6,000,000","1,100,000"
		NetIncomeIncludingNoncontrollingInterests,"451,000,000","129,000,000","118,000,000","94,000,000","110,000,000","120,000,000","60,000,000","77,000,000","23,000,000","139,000,000","107,000,000","149,000,000","181,000,000","167,000,000","147,000,000","167,000,000","174,000,000","151,000,000","215,000,000","111,000,000","95,000,000","83,000,000","61,200,000","44,600,000","60,800,000","48,300,000","13,000,000","46,500,000","54,400,000","68,400,000","50,500,000","68,800,000","57,200,000","52,100,000","42,900,000","44,500,000","50,500,000","27,500,000","11,200,000","32,200,000","412,800,000","58,000,000","44,500,000","38,800,000","-17,200,000","36,900,000","24,100,000","-6,000,000","1,100,000"
			NetIncomeContinuousOperations,"451,000,000","129,000,000","118,000,000","94,000,000","110,000,000","120,000,000","60,000,000","77,000,000","23,000,000","139,000,000","107,000,000","149,000,000","181,000,000","167,000,000","147,000,000","167,000,000","174,000,000","151,000,000","215,000,000","111,000,000","95,000,000","83,000,000","61,200,000","44,600,000","60,800,000","48,300,000","13,000,000","46,500,000","54,400,000","68,400,000","50,500,000","68,800,000","57,200,000","52,100,000","42,900,000","44,500,000","50,500,000","27,500,000","11,200,000","32,200,000","412,800,000","58,000,000","44,500,000","38,800,000","-17,200,000","36,900,000","24,100,000","-6,000,000","1,100,000"
DilutedNIAvailtoComStockholders,"451,000,000","129,000,000","118,000,000","94,000,000","110,000,000","120,000,000","60,000,000","77,000,000","23,000,000","139,000,000","107,000,000","149,000,000","181,000,000","167,000,000","147,000,000","167,000,000","174,000,000","151,000,000","215,000,000","111,000,000","95,000,000","83,000,000","61,200,000","44,600,000","60,800,000","48,300,000","13,000,000","46,500,000","54,400,000","68,400,000","50,500,000","68,800,000","57,200,000","52,100,000","42,900,000","44,500,000","50,500,000","27,500,000","11,200,000","32,200,000","412,800,000","58,000,000","44,500,000","38,800,000","-17,200,000","36,900,000","24,100,000","-6,000,000","1,100,000"
BasicEPS,,"1.32","1.16","0.89","1.01","1.08","0.54","0.68","0.2","1.2","0.9","1.24","1.47","1.33","1.15","1.28","1.3","1.09","1.52","0.75","0.63","0.53","0.37","0.27","0.36","0.28","0.08","0.27","0.3","0.38","0.28","0.38","0.32","0.29","0.24","0.24","0.27","0.15","0.06","0.18","2.28","0.32",,"0.214","-0.095","0.2",,"-0.033","0.006"
DilutedEPS,,"1.3","1.15","0.89","1.01","1.07","0.53","0.68","0.2","1.2","0.9","1.23","1.46","1.32","1.14","1.27","1.29","1.08","1.51","0.75","0.63","0.52","0.36","0.27","0.36","0.28","0.08","0.27","0.3","0.38","0.28","0.38","0.31","0.28","0.23","0.24","0.26","0.15","0.06","0.17","2.21","0.31",,"0.214","-0.095","0.2",,"-0.033","0.006"
BasicAverageShares,,"97,727,273","101,724,138","106,000,000","109,000,000","111,000,000","111,111,111","113,235,294","115,000,000","115,833,333","118,888,889","120,161,290","123,129,252","126,000,000","127,826,087","130,468,750","133,846,154","139,000,000","141,447,368","148,000,000","150,793,651","156,603,774","165,405,405","165,185,185","168,888,889","172,500,000","162,500,000","172,222,222","181,333,333","180,000,000","180,357,143","181,052,632","178,750,000","179,655,172","178,750,000","185,416,667","187,037,037","183,333,333","186,666,667","178,888,889","181,052,632","181,400,000",,"181,400,000","181,400,000","181,400,000",,"181,400,000","181,400,000"
DilutedAverageShares,,"99,230,769","102,608,696","106,000,000","109,000,000","112,000,000","113,207,547","113,235,294","115,000,000","115,833,333","118,888,889","121,138,211","123,972,603","127,000,000","128,947,368","131,496,063","134,883,721","140,000,000","142,384,106","148,000,000","150,793,651","159,615,385","170,000,000","165,185,185","168,888,889","172,500,000","162,500,000","172,222,222","181,333,333","180,000,000","180,357,143","181,052,632","184,516,129","186,071,429","186,521,739","185,416,667","194,230,769","183,333,333","186,666,667","189,411,765","186,787,330","186,200,000",,"181,400,000","181,400,000","181,400,000",,"181,400,000","181,400,000"
TotalOperatingIncomeAsReported,"691,000,000","202,000,000","176,000,000","146,000,000","167,000,000","180,000,000","133,000,000","128,000,000","58,000,000","215,000,000","165,000,000","224,000,000","259,000,000","244,000,000","207,000,000","246,000,000","248,000,000","222,000,000","128,000,000","198,000,000","177,000,000","149,000,000","109,700,000","104,000,000","127,100,000","110,700,000","37,200,000","111,900,000","137,500,000","142,300,000","117,800,000","147,300,000","132,200,000","114,800,000","99,600,000","111,200,000","117,700,000","81,400,000","54,100,000","91,800,000","119,600,000","154,700,000","86,500,000","124,100,000","119,600,000","98,800,000","65,900,000","80,800,000","103,800,000"
