name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
TotalAssets,"1,487,231,000","1,466,919,000","1,428,591,000","1,350,715,000","1,310,500,000","1,269,228,000","1,224,961,000","1,161,057,000","1,136,376,000","1,120,157,000","1,062,550,000","1,011,080,000","968,190,000","933,424,000","883,744,000","833,249,000","795,140,000","779,956,000","727,170,000","707,635,000","655,443,000","627,559,000","584,753,000","580,002,000","556,046,000","559,412,000","534,323,000","525,171,000","525,464,000","489,847,000","472,170,000","487,369,000","465,956,000","462,754,000","400,021,000","393,505,000","367,923,000","385,524,000","381,001,000","385,921,000","369,230,000","373,877,725","365,205,718","347,013,124","343,175,692","92,327,131","80,531,926","81,340,381","77,473,444","80,139,887","81,860,906","84,721,076","89,507,492","96,228,505","98,205,857","99,294,976","102,682,025","105,000,071","105,420,383","105,958,781","69,095,168","72,331,536","73,145,521","72,656,342","73,311,110","73,819,417","72,610,497","70,899,952","70,576,685","73,892,163","70,175,605","72,716,367","74,380,191","46,201,646","47,507,784","34,895,652","36,556,895","39,639,216","40,190,437","42,803,599","48,742,164","48,569,569","46,133,213","29,545,787","31,948,535","32,079,794","28,196,976","11,810,408","13,095,564","10,316,850","9,300,000","10,600,000","2,600,000","3,100,000","3,700,000","4,400,000","5,000,000","5,400,000","5,200,000","1,900,000","2,800,000","3,300,000","3,800,000","4,200,000","200,000","0"
	CurrentAssets,"959,786,000","925,934,000","1,055,139,000","992,892,000","959,335,000","924,606,000","886,154,000","830,159,000","812,071,000","792,439,000","731,016,000","688,694,000","652,172,000","634,840,000","617,791,000","569,365,000","547,964,000","519,182,000","450,651,000","436,885,000","383,742,000","385,370,000","342,030,000","366,320,000","432,395,000","447,684,000","423,895,000","410,220,000","407,340,000","370,505,000","350,998,000","363,411,000","337,729,000","327,048,000","280,302,000","274,051,000","248,088,000","267,545,000","260,490,000","372,069,000","355,331,000","362,304,027","353,660,693","335,781,957","332,593,915","82,399,509","70,327,722","70,434,372","65,792,877","67,629,576","68,455,567","70,452,605","74,480,468","80,369,761","81,504,706","82,362,367","85,104,750","86,770,169","86,901,792","86,822,083","49,222,568","51,805,413","51,529,330","49,606,589","50,510,656","50,322,767","46,361,506","44,327,141","43,339,745","48,035,191","53,840,748","56,359,295","57,102,369","27,874,481","27,852,193","14,562,931","18,158,758","21,408,355","21,603,283","23,369,081","28,620,275","28,458,420","26,378,543","9,124,244","11,095,211","10,922,146","6,563,890","7,805,813","9,049,690","6,578,674","7,600,000","10,100,000","2,500,000","2,900,000","3,500,000","4,200,000","4,900,000","5,300,000","5,100,000","1,800,000","2,600,000","3,100,000","3,600,000","4,200,000","200,000","0"
		CashCashEquivalentsAndShortTermInvestments,"682,479,000","663,187,000","788,943,000","733,454,000","726,999,000","730,008,000","672,668,000","644,021,000","639,776,000","646,088,000","597,056,000","552,711,000","526,597,000","515,345,000","493,610,000","457,428,000","457,257,000","420,286,000","365,435,000","365,555,000","324,978,000","328,009,000","285,868,000","316,211,000","379,589,000","395,494,000","361,549,000","356,237,000","328,528,000","288,506,000","268,359,000","290,885,000","266,921,000","272,610,000","248,278,000","244,685,000","220,847,000","243,941,000","238,778,000","350,016,000","338,577,000","346,089,270","337,953,614","326,398,791","324,925,312","73,163,397","65,007,202","66,092,924","63,020,995","63,874,081","66,024,043","68,130,048","72,181,005","77,454,200","79,059,836","79,889,236","82,165,411","83,659,657","83,663,809","84,243,157","46,786,776","49,055,285","47,086,233","46,273,838","47,703,283","47,844,491","43,613,647","41,698,219","41,837,547","45,189,044","52,490,298","54,820,693","55,787,030","26,881,911","27,006,287","13,610,378","17,163,862","20,568,314","20,296,833","7,382,039","10,133,211","12,399,331","10,098,976","7,364,051","9,690,234","10,405,260","6,142,143","7,537,885","8,697,755","5,858,533","6,900,000","9,700,000","1,400,000","1,800,000","100,000","300,000","300,000","100,000","3,900,000","800,000","700,000","600,000","1,100,000","2,000,000",,
			CashAndCashEquivalents,"357,424,000","311,993,000","535,157,000","542,914,000","726,279,000","630,012,000","162,620,000","133,566,000","222,744,000","131,627,000","235,541,000","324,277,000","225,048,000","211,022,000","101,638,000","103,777,000","177,154,000","132,840,000","69,153,000","109,438,000","96,117,000","139,365,000","54,416,000","69,930,000","110,091,000","97,513,000","89,956,000","109,251,000","125,189,000","45,418,000","37,391,000","75,554,000","35,931,000","70,586,000","67,085,000","80,702,000","45,536,000","85,923,000","74,193,000","159,599,000","144,246,000","111,795,229","67,124,442","65,240,065","258,105,759","20,368,852","8,202,740","11,754,285","7,553,643","22,701,126","10,608,785","9,881,422","6,064,487","28,321,581","54,415,132","39,540,102","12,702,080","33,870,696","60,605,836","61,495,627","24,524,178","31,097,533","29,459,946","25,194,983","28,057,278","30,654,249","31,139,911","32,806,773","20,163,499","18,930,581","14,499,593","18,264,308","43,548,959","14,070,207","21,658,422","7,676,427","11,049,558","15,905,416","17,512,267","4,403,484","5,523,761","7,883,132","6,267,549","3,165,470","5,734,534","7,701,040","4,240,915","4,088,810","4,578,378","1,558,473","1,900,000","8,700,000","1,400,000","1,800,000","100,000","300,000","300,000","100,000","3,900,000","800,000","700,000","600,000","1,100,000","2,000,000",,
			OtherShortTermInvestments,"325,055,000","351,194,000","253,786,000","190,540,000","720,000","99,996,000","510,048,000","510,455,000","417,032,000","514,461,000","361,515,000","228,434,000","301,549,000","304,323,000","391,972,000","353,651,000","280,103,000","287,446,000","296,282,000","256,117,000","228,861,000","188,644,000","231,452,000","246,281,000","269,498,000","297,981,000","271,593,000","246,986,000","203,339,000","243,088,000","230,968,000","215,331,000","230,990,000","202,024,000","181,193,000","163,983,000","175,311,000","158,018,000","164,585,000","190,417,000","194,331,000","234,294,041","270,829,172","261,158,726","66,819,553","52,794,545","56,804,462","54,338,639","55,467,352","41,172,955","55,415,258","58,248,626","66,116,518","49,132,619","24,644,704","40,349,134","69,463,331","49,788,961","23,057,973","22,747,530","22,262,598","17,957,752","17,626,287","21,078,855","19,646,005","17,190,242","12,473,736","8,891,446","21,674,048","26,258,463","37,990,705","36,556,385","12,238,071","12,811,704","5,347,865","5,933,951","6,114,304","4,662,898","2,784,566","2,978,555","4,609,450","4,516,199","3,831,427","4,198,581","3,955,700","2,704,220","1,901,228","3,449,075","4,119,377","4,300,060","5,000,000","1,000,000",,,,,,,,,,,,,,
		Receivables,"104,947,000","107,639,000","96,235,000","99,629,000","91,327,000","82,261,000","99,350,000","68,498,000","82,592,000","60,452,000","65,774,000","66,952,000","52,124,000","43,129,000","43,207,000","35,583,000","22,768,000","52,355,000","43,256,000","39,702,000","36,321,000","24,994,000","22,476,000","17,984,000","20,866,000","24,729,000","28,350,000","17,378,000","18,164,000","22,075,000","22,107,000","20,500,000","24,508,000","15,657,000","17,785,000","14,451,000","10,527,000","8,657,000","7,871,000","9,580,000","8,708,000","10,726,524","11,761,280","6,541,232","5,985,388","7,247,873","4,696,340","3,885,380","2,399,297","3,344,255","1,886,345","1,760,763","1,813,358","2,450,444","1,792,761","1,729,665","2,314,768","2,395,416","2,489,838","1,837,673","1,770,851","2,113,263","3,741,121","2,533,583","2,276,110","1,944,099","2,282,602","2,175,278","1,145,528","2,588,279","953,713","1,139,782","1,108,683","805,602","609,148","616,020","880,965","662,822","599,723","450,592","492,457","540,855","423,284","321,685","280,190","312,076","167,480","52,656","40,761","267,423","300,000","100,000","200,000","100,000","100,000","100,000","200,000","100,000",,,,,,,,
			AccountsReceivable,"104,947,000","107,639,000","96,235,000","99,629,000","91,327,000","82,261,000","99,350,000","68,498,000","82,592,000","60,452,000","65,774,000","66,952,000","52,124,000","43,129,000","43,207,000","35,583,000","22,768,000","52,355,000","43,256,000","39,702,000","36,321,000","24,994,000","22,476,000","17,984,000","20,866,000","24,729,000","28,350,000","17,378,000","18,164,000","22,075,000","22,107,000","20,500,000","24,508,000","15,657,000","17,785,000","14,451,000","10,527,000","8,657,000","7,871,000","9,580,000","8,708,000","10,726,524","11,761,280","6,541,232","5,985,388","7,247,873","4,696,340","3,885,380","2,399,297","3,344,255","1,886,345","1,760,763","1,813,358","2,450,444","1,792,761","1,729,665","2,314,768","2,395,416","2,489,838","1,837,673","1,770,851","2,113,263","3,741,121","2,533,583","2,276,110","1,944,099","2,282,602","2,175,278","1,145,528","2,588,279","953,713","1,139,782","1,108,683","805,602","609,148","616,020","880,965","662,822","599,723","450,592","492,457","540,855","423,284","321,685","280,190",,,,,,,,,,,,,,,,,,,,,
		Inventory,"143,240,000","134,160,000","121,485,000","104,653,000","101,422,000","91,591,000","84,098,000","84,523,000","74,068,000","63,953,000","57,771,000","60,138,000","68,041,000","70,000,000","69,031,000","56,043,000","53,638,000","36,265,000","32,733,000","24,437,000","16,668,000","17,314,000","16,103,000","16,467,000","14,709,000","12,748,000","13,688,000","16,969,000","38,967,000","37,109,000","29,834,000","20,664,000","14,592,000","10,595,000","7,852,000","8,673,000","9,082,000","11,018,000","9,451,000","8,571,000","5,574,000","3,842,729","2,230,620",,,,,,,"641","42,700","1,330","2,209","2,209","2,209","2,209","41,165","41,165","2,209","2,209","25,265","30,598","30,598","97,987","39,726","36,431","38,222","39,691","39,691","19,941","33,704","20,853","27,327","33,044","28,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RawMaterials,"79,834,000","75,227,000","73,100,000","62,011,000","60,458,000","46,843,000","42,031,000","36,065,000","31,802,000","25,920,000","27,454,000","31,700,000","34,600,000","31,203,000","28,740,000","20,208,000","20,496,000","17,464,000","13,051,000","8,992,000","6,539,000","6,539,000","6,538,000","6,538,000","6,538,000","6,539,000","6,538,000","7,053,000","7,053,000","7,696,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"14,974,000","16,065,000","11,411,000","8,052,000","2,882,000","9,904,000","2,079,000","3,222,000","5,234,000","7,987,000","7,036,000","5,709,000","205,000","781,000","7,721,000","5,203,000","8,615,000","2,977,000","4,833,000","6,489,000","2,704,000","3,719,000","1,281,000","1,776,000","1,734,000","1,064,000","1,055,000","1,888,000","2,188,000","4,419,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
