name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
OperatingCashFlow,"273,431,000","1,257,000","66,825,000","76,516,000","128,833,000","-23,937,000","7,000","47,574,000","101,981,000","-59,669,000","-63,722,000","95,439,000","72,515,000","66,636,000","113,666,000","181,919,000","111,428,000","99,952,000","164,124,000","200,556,000","162,017,000","22,920,000","107,642,000","110,597,000","112,445,000","77,677,000","50,969,000","194,161,000","70,075,000","57,921,000","33,158,000","30,255,000","36,030,000","33,316,000","33,735,000","32,767,000","31,858,000","26,929,000","24,830,000","16,522,000","15,104,000","14,570,000","9,229,000","8,495,000","4,919,000","1,774,000","3,942,000","3,444,000","1,402,000","1,069,000"
	CashFlowFromContinuingOperatingActivities,"273,431,000","1,257,000","66,825,000","76,516,000","128,833,000","-23,937,000","7,000","47,574,000","101,981,000","-59,669,000","-63,722,000","95,439,000","72,515,000","66,636,000","113,666,000","181,919,000","111,428,000","99,952,000","164,124,000","200,556,000","162,017,000","22,920,000","107,642,000","110,597,000","112,445,000","77,677,000","50,969,000","194,161,000","70,075,000","57,921,000","33,158,000","30,255,000","36,030,000","33,316,000","33,735,000","32,767,000","31,858,000","26,929,000","24,830,000","16,522,000","15,104,000","14,570,000","9,229,000","8,495,000","4,919,000","1,774,000","3,942,000","3,444,000","1,402,000","1,069,000"
		NetIncomeFromContinuingOperations,"-532,996,000","-343,684,000","-42,865,000","-51,364,000","-95,083,000","-627,599,000","-306,130,000","-361,230,000","-2,718,993,000","-404,057,000","931,728,000","-565,842,000","-484,646,000","-30,155,000","-413,082,000","-13,946,000","-41,848,000","-26,299,000","-294,584,000","72,589,000","105,192,000","52,190,000","24,655,000","71,904,000","103,136,000","91,031,000","57,976,000","78,761,000","103,084,000","16,215,000","30,912,000","47,947,000","51,002,000","29,850,000","39,204,000","33,963,000","30,762,000","21,994,000","21,145,000","17,728,000","16,555,000","12,777,000","11,371,000","16,279,000","8,338,000","7,376,000","6,895,000","5,172,000","3,589,000","2,098,000"
		OperatingGainsLosses,"25,107,000","133,057,000","-71,393,000","59,682,000","-96,239,000","65,769,000","102,557,000","44,668,000","379,942,000","-105,223,000","-1,639,834,000","-318,853,000","251,000,000","-90,788,000","-33,587,000","-48,918,000","-44,577,000","-50,709,000","-71,987,000","-89,988,000","-137,584,000","-120,854,000","-32,651,000","-27,835,000","-58,957,000","-53,548,000","-5,822,000","18,568,000","-53,182,000","-26,349,000","-20,813,000","3,327,000","-33,704,000","-22,639,000","-30,862,000","-26,070,000","-26,552,000","-21,802,000","-65,365,000","-2,639,000","-1,484,000","751,000","-4,386,000","-7,611,000","-4,350,000","-4,414,000","-3,071,000","-2,317,000","-1,472,000","-1,525,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,"-42,702,000","-18,444,000","-40,669,000","-72,541,000","-15,190,000","-6,862,000","-5,502,000","-11,151,000","-5,844,000","-51,119,000","-2,490,000","-5,732,000",,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"89,000",,,,,,,,,,,,,,,,,,"90,000","54,000","97,000","0","24,000","28,000"
			GainLossOnInvestmentSecurities,,,"-197,000","-514,000","-2,968,000","-45,750,000","-26,661,000","-12,248,000","4,919,000","-7,932,000","-1,590,209,000","-236,785,000","-6,624,000","-52,301,000","-70,965,000","-35,120,000","-42,702,000","-18,444,000","-40,669,000","-72,541,000","-15,190,000","-6,862,000","-5,502,000","-11,151,000","-5,844,000","-51,119,000","-2,490,000","-5,732,000",,,,,,,"0","-1,018,000",,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-104,387,000","-116,000","-71,196,000","60,196,000","-93,271,000","111,519,000","129,218,000","56,916,000","375,023,000","-97,291,000","-49,625,000","-82,068,000","257,624,000","-38,487,000","37,378,000","-13,798,000","-1,875,000","-32,265,000","-31,318,000","-17,447,000","-122,394,000","-113,992,000","-27,149,000","-16,684,000","-53,113,000","-2,429,000","-3,421,000","-6,879,000","-52,442,000","-26,349,000","-20,813,000","-9,263,000","-21,114,000","-22,639,000","-30,862,000","-25,052,000","-22,992,000","-21,802,000","-65,365,000","-2,639,000","-1,484,000","751,000","-4,386,000","-7,467,000","-4,440,000","-4,468,000","-2,565,000","-2,317,000","-1,496,000","-1,553,000"
		DepreciationAmortizationDepletion,"571,058,000","130,906,000","138,042,000","138,095,000","170,113,000","190,305,000","138,819,000","166,425,000","135,547,000","137,491,000","119,376,000","171,347,000","154,742,000","150,797,000","144,495,000","145,310,000","137,896,000","144,705,000","164,554,000","162,694,000","153,111,000","137,420,000","42,406,000","43,593,000","39,541,000","46,142,000","39,368,000","42,656,000","36,645,000","22,308,000","5,080,000","1,592,000","1,253,000","1,252,000",,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"571,058,000","130,906,000","138,042,000","138,095,000","170,113,000","190,305,000","138,819,000","166,425,000","135,547,000","137,491,000","119,376,000","171,347,000","154,742,000","150,797,000","144,495,000","145,310,000","137,896,000","144,705,000","164,554,000","162,694,000","153,111,000","137,420,000","42,406,000","43,593,000","39,541,000","46,142,000","39,368,000","42,656,000","36,645,000","22,308,000","5,080,000","1,592,000","1,253,000","1,252,000",,,,,,,,,,,,,,,,
