name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,09/30/2014,05/31/2014
TotalAssets,"221,670,000","222,105,000","228,687,000","229,089,000","222,081,000","201,668,000","204,867,000","203,429,000","218,777,000","221,195,000","169,828,000","164,677,000","160,842,000","169,002,000","184,689,000","112,189,000","111,416,000","116,091,000","118,763,000","114,031,800","113,120,560","117,551,889","117,553,798","117,596,122","117,692,675","117,812,946","117,885,816","118,016,807","118,298,030","104,705","97,485"
	CurrentAssets,"23,387,000","26,387,000","37,626,000","41,358,000","40,108,000","23,278,000","30,733,000","38,457,000","59,358,000","78,802,000","45,503,000","58,871,000","63,438,000","76,932,000","95,819,000","26,129,000","32,052,000","42,865,000","50,812,000","92,785","255,501","44,280","54,661","149,875","205,977","371,678","480,090","633,570","998,030","6,343","74,985"
		CashCashEquivalentsAndShortTermInvestments,"22,358,000","25,552,000","36,743,000","40,595,000","39,290,000","22,608,000","29,933,000","37,579,000","58,279,000","77,943,000","44,215,000","57,116,000","61,657,000","75,622,000","94,015,000","23,934,000","29,770,000","40,766,000","49,769,000","50,539","196,517","23,865","34,940","113,704","157,422","324,991","379,939","479,086","878,685","6,343","74,985"
			CashAndCashEquivalents,"22,358,000","25,552,000","36,743,000","40,595,000","39,290,000","22,608,000","29,933,000","37,579,000","58,279,000","15,736,000","3,841,000","4,543,000","5,569,000","3,169,000","33,880,000","18,846,000","24,705,000","35,703,000","44,709,000","50,539","196,517","23,865","34,940","113,704","157,422","324,991","379,939","479,086","878,685","6,343","74,985"
				CashFinancial,,,,,,,,,,,,,,,,,,,"44,709,000",,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,"0","0","0","0","62,207,000","40,374,000","52,573,000","56,088,000","72,453,000","60,135,000","5,088,000","5,065,000","5,063,000","5,060,000",,,,,,,,,,,,
		PrepaidAssets,"663,000","417,000","652,000","503,000","654,000","403,000","515,000","567,000","594,000","478,000","701,000","866,000","1,000,000","493,000","747,000","686,000","887,000","572,000","720,000","42,246","58,984","20,415","19,721","36,171","48,555","46,687","100,151","154,484","119,345",,
		CurrentDeferredAssets,,,,,,,,,,,"198,000",,,,,"127,000",,"0",,,,,,,,,"0","0","0",,
		HedgingAssetsCurrent,,,,,,,,,,"0","73,000","260,000","405,000","562,000","703,000","876,000","1,018,000","1,191,000","57,000",,,,,,,,,,,,
		OtherCurrentAssets,"366,000","418,000","231,000","260,000","164,000","267,000","285,000","311,000","485,000","381,000","316,000","629,000","376,000","255,000","354,000","506,000","377,000","336,000","266,000",,,,,,,,,,,,
