name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
OperatingCashFlow,"831,752,000","233,182,000","187,794,000","213,413,000","197,363,000","205,208,000","117,546,000","80,818,000","30,928,000","198,785,000","166,616,000","219,605,000","142,658,000","221,423,000","136,215,000","212,596,000","119,866,000","185,756,000","109,607,000","196,864,000","107,551,000","184,689,000","108,925,000","195,103,000","106,484,000","103,858,000","52,863,000","104,756,000","61,310,000","100,759,000","52,252,000","94,786,000","46,494,000","79,727,000","67,424,000","6,776,000","10,191,000","-3,759,000","5,783,000"
	CashFlowFromContinuingOperatingActivities,"831,752,000","233,182,000","187,794,000","213,413,000","197,363,000","205,208,000","117,546,000","80,818,000","30,928,000","198,785,000","166,616,000","219,605,000","142,658,000","221,423,000","136,215,000","212,596,000","119,866,000","185,756,000","109,607,000","196,864,000","107,551,000","184,689,000","108,925,000","195,103,000","106,484,000","103,858,000","52,863,000","104,756,000","61,310,000","100,759,000","52,252,000","94,786,000","46,494,000","79,727,000","67,424,000","6,776,000","10,191,000","-3,759,000","5,783,000"
		NetIncomeFromContinuingOperations,"528,594,000","121,692,000","119,627,000","149,059,000","138,216,000","127,184,000","169,341,000","127,126,000","112,350,000","96,894,000","114,291,000","90,547,000","93,033,000","93,010,000","45,931,000","104,815,000","91,998,000","96,772,000","93,259,000","97,014,000","96,334,000","93,991,000","93,692,000","89,600,000","73,264,000","32,749,000","29,773,000","5,317,000","45,945,000","47,087,000","44,158,000","49,902,000","47,012,000","44,312,000","9,236,000","2,681,000","4,699,000","3,214,000","2,105,000"
		OperatingGainsLosses,,"-51,000","-7,029,000","-14,815,000",,,"-41,390,000","783,000","-3,000","17,330,000","42,000","21,051,000","6,000","7,000","-45,000","129,000",,,"15,000","421,000","-11,000","105,000","5,000","-445,000","0","-15,000","96,000","22,000","66,000","1,000","-3,000","-146,000","1,000","158,000","-8,000","-1,000","-2,000","-28,000","-48,000"
			GainLossOnSaleOfPPE,,"-51,000",,,"93,000","0","-41,390,000","4,000","-8,000","1,000","42,000","37,000","6,000","7,000","-45,000","129,000","225,000","0","15,000","421,000","-11,000","105,000","5,000","-445,000","0","-15,000","96,000","22,000","66,000","1,000","-3,000","-146,000","1,000","158,000","-8,000","-1,000","-2,000","-28,000","-48,000"
		DepreciationAmortizationDepletion,"255,624,000","65,119,000","65,845,000","63,504,000","61,156,000","61,544,000","61,901,000","61,101,000","60,410,000","59,583,000","59,710,000","60,322,000","77,271,000","61,668,000","57,439,000","29,994,000","30,251,000","30,681,000","30,896,000","31,359,000","31,012,000","30,568,000","30,598,000","29,476,000","28,560,000","27,083,000","27,198,000","27,557,000","27,617,000","27,411,000","27,446,000","26,526,000","26,349,000","26,522,000","18,097,000","3,611,000","3,627,000","3,588,000","3,451,000"
			DepreciationAndAmortization,"255,624,000","65,119,000","65,845,000","63,504,000","61,156,000","61,544,000","61,901,000","61,101,000","60,410,000","59,583,000","59,710,000","60,322,000","77,271,000","61,668,000","57,439,000","29,994,000","30,251,000","30,681,000","30,896,000","31,359,000","31,012,000","30,568,000","30,598,000","29,476,000","28,560,000","27,083,000","27,198,000","27,557,000","27,617,000","27,411,000","27,446,000","26,526,000","26,349,000","26,522,000","18,097,000","3,611,000","3,627,000","3,588,000","3,451,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,"27,083,000","27,198,000","27,557,000","27,617,000","27,411,000","27,446,000","26,526,000","26,349,000","26,522,000","18,097,000","3,611,000","3,627,000","3,588,000","3,451,000"
		DeferredTax,"5,138,000","0","7,731,000","-2,486,000","-107,000","188,000","535,000","934,000","-1,056,000","38,000","-227,000","-62,000","-218,000","-248,000","-223,000","-182,000","-281,000","164,000","1,385,000","-666,000","-538,000","-742,000","-538,000","-173,000","-745,000","-79,000","1,366,000","-642,000","-1,151,000","-386,000","-160,000","-1,226,000","-1,021,000","-898,000","-3,095,000","-2,178,000","-501,000","128,000","-884,000"
			DeferredIncomeTax,"5,138,000","0","7,731,000","-2,486,000","-107,000","188,000","535,000","934,000","-1,056,000","38,000","-227,000","-62,000","-218,000","-248,000","-223,000","-182,000","-281,000","164,000","1,385,000","-666,000","-538,000","-742,000","-538,000","-173,000","-745,000","-79,000","1,366,000","-642,000","-1,151,000","-386,000","-160,000","-1,226,000","-1,021,000","-898,000","-3,095,000","-2,178,000","-501,000","128,000","-884,000"
		AssetImpairmentCharge,,,,,,,"0","0",,,"0","0","0","13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"34,882,000","26,656,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"18,643,000","7,600,000","3,645,000","3,786,000","3,612,000","5,788,000","3,352,000","8,353,000","4,064,000","4,235,000","3,845,000","3,845,000","4,183,000","4,325,000","3,274,000","3,275,000","616,000","3,987,000","3,685,000","3,695,000","3,773,000","4,483,000","4,508,000","4,641,000","4,591,000","4,572,000","4,153,000","4,153,000","4,111,000","4,394,000","3,635,000","3,536,000","3,136,000","1,951,000",,,"0","0",
		OtherNonCashItems,"1,921,000","-2,373,000","1,071,000","1,581,000","1,642,000","1,642,000","-63,318,000","-143,977,000","-126,540,000","11,414,000","11,502,000","11,450,000","11,542,000","11,535,000","16,618,000","17,908,000","19,655,000","19,874,000","19,872,000","19,874,000","19,749,000","19,502,000","19,501,000","17,774,000","17,006,000","19,538,000","20,242,000","45,560,000","2,019,000","2,020,000","2,019,000","2,020,000","2,011,000","2,007,000",,,,,
		ChangeInWorkingCapital,"8,752,000","14,539,000","-11,322,000","12,784,000","-7,249,000","8,862,000","-12,875,000","26,498,000","-18,297,000","9,291,000","-22,547,000","32,452,000","-43,159,000","38,126,000","-46,233,000","56,657,000","-26,071,000","34,278,000","-39,505,000","45,167,000","-42,768,000","36,782,000","-38,841,000","54,230,000","-16,192,000","20,010,000","-29,965,000","22,789,000","-17,297,000","20,232,000","-24,843,000","14,174,000","-30,994,000","5,675,000","40,358,000","2,663,000","2,368,000","-10,661,000","1,159,000"
			ChangeInPrepaidAssets,,,,"3,713,000","396,000","2,907,000","-7,991,000","-571,000","-4,533,000","6,467,000","-3,947,000","189,000","1,034,000","-3,346,000","101,000","349,000","-122,000","-1,001,000","-3,828,000","-841,000","407,000","-1,070,000","-3,028,000","14,798,000","-8,054,000","3,849,000","-8,682,000","-4,416,000","2,552,000","838,000","-2,926,000","9,621,000","-12,095,000","-5,201,000","296,000","-934,000","133,000","-380,000","1,449,000"
			ChangeInPayablesAndAccruedExpense,"7,547,000","11,475,000","-7,114,000","9,721,000","-9,283,000","7,848,000","-8,407,000","24,367,000","-18,487,000","6,957,000","-20,532,000","32,826,000","-44,380,000","42,436,000","-45,014,000","55,998,000","-25,999,000","34,757,000","-38,347,000","44,313,000","-45,287,000","38,482,000","-37,253,000","38,974,000","-7,413,000","15,459,000","-23,494,000","28,179,000","-20,058,000","18,945,000","-22,013,000","4,553,000","-18,619,000","9,475,000","40,881,000","3,224,000","1,935,000","-10,348,000","726,000"
				ChangeInPayable,"1,059,000","-1,096,000","2,549,000","-1,405,000","-1,002,000","2,620,000","-939,000","-1,385,000","1,873,000","-801,000","673,000","140,000","-1,553,000","-885,000","253,000","1,767,000","-369,000","-4,000","-6,000","345,000","-4,847,000","3,570,000","522,000","586,000","467,000","-156,000","-1,231,000","754,000","-1,246,000","-179,000","1,814,000","-19,368,000","4,026,000","-6,349,000","12,959,000","3,087,000","2,330,000","-10,027,000","1,441,000"
					ChangeInTaxPayable,,,"3,609,000","836,000","-2,134,000","2,748,000",,"-1,103,000","1,088,000","-134,000","-167,000","145,000","-1,022,000","924,000","-407,000","377,000","-340,000","221,000","-286,000","342,000","-4,324,000","3,751,000","73,000","284,000","757,000","-201,000","-269,000","73,000","-1,926,000","1,166,000","1,984,000","-9,705,000","-4,114,000","-6,392,000","10,290,000","3,253,000","2,372,000","-10,204,000","1,602,000"
