name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
OperatingCashFlow,"159,233,000","63,729,000","27,497,000","42,585,000","25,422,000","84,647,000","70,110,000","52,614,000","141,866,000","21,920,000","42,313,000","73,115,000","25,609,000","991,000","79,188,000","30,484,000","33,667,000","3,851,000","48,398,000","44,512,000","11,127,000","10,053,000","41,434,000","13,333,000","23,399,000","13,022,000","23,284,000","23,923,000","30,245,000","20,415,000","5,070,000","23,881,000","22,385,000","-8,784,000","14,641,000","27,433,000","6,700,000","-10,351,000","27,078,000","16,455,000","6,793,000","-19,816,000","51,645,000","1,478,000","-4,377,000","-19,066,000","46,620,000","-3,772,000","762,000","-11,461,000","9,497,000","24,803,000","23,884,000","-3,933,000","35,895,000","20,943,000","27,059,000","-1,046,000","58,101,000","17,145,000","21,224,000","-12,828,000","24,100,000","5,556,000","8,586,000","-20,508,000","22,955,000","8,103,000","11,929,000","-5,541,000","13,403,000","5,121,000","12,393,000","-4,733,000","1,390,000","534,000","13,923,000","-2,343,000","283,000","12,114,000","10,955,000","-9,262,000","25,051,000","9,772,000","25,170,000","6,836,000","34,868,000","5,806,000","18,392,000","-894,000","16,100,000","-2,200,000","3,000,000","1,500,000","14,400,000","-7,700,000","-8,200,000","-4,000,000","-2,900,000"
	CashFlowFromContinuingOperatingActivities,"159,233,000","63,729,000","27,497,000","42,585,000","25,422,000","84,647,000","70,110,000","52,614,000","141,866,000","21,920,000","42,313,000","73,115,000","25,609,000","991,000","79,188,000","30,484,000","33,667,000","3,851,000","48,398,000","44,512,000","11,127,000","10,053,000","41,434,000","13,333,000","23,399,000","13,022,000","23,284,000","23,923,000","30,245,000","20,415,000","5,070,000","23,881,000","22,385,000","-8,784,000","14,641,000","27,433,000","6,700,000","-10,351,000","27,078,000","16,455,000","6,793,000","-19,816,000","51,645,000","1,478,000","-4,377,000","-19,066,000","46,620,000","-3,772,000","762,000","-11,461,000","9,497,000","24,803,000","23,884,000","-3,933,000","35,895,000","20,943,000","27,059,000","-1,046,000","58,101,000","17,145,000","21,224,000","-12,828,000","24,101,000","5,765,000","8,586,000","-20,508,000","22,955,000","8,103,000","11,929,000","-5,541,000","13,403,000","5,121,000","12,393,000","-4,733,000","1,390,000","534,000","13,923,000","-2,343,000","283,000","12,114,000","10,955,000","-9,262,000","25,051,000","9,772,000","25,170,000","6,836,000","34,868,000","5,806,000","18,392,000","-894,000","16,100,000","-2,200,000","3,000,000","1,500,000","14,400,000","-7,700,000","-8,200,000","-4,000,000","-2,900,000"
		NetIncomeFromContinuingOperations,"203,619,000","86,762,000","37,595,000","46,297,000","32,965,000","26,491,000","42,840,000","50,088,000","39,495,000","17,716,000","34,052,000","36,233,000","24,173,000","19,866,000","25,156,000","38,541,000","32,547,000","16,659,000","7,539,000","22,284,000","17,972,000","7,477,000","16,867,000","20,471,000","17,803,000","9,755,000","14,883,000","19,886,000","15,782,000","6,889,000","11,821,000","9,379,000","6,336,000","1,063,000","5,935,000","11,612,000","8,314,000","2,695,000","5,145,000","5,325,000","4,047,000","-2,668,000","2,085,000","-36,569,000","3,162,000","-5,170,000","5,796,000","5,371,000","1,646,000","1,927,000","7,602,000","9,540,000","10,098,000","6,942,000","12,491,000","13,765,000","15,193,000","8,241,000","8,681,000","11,478,000","10,501,000","1,806,000","7,514,000","8,962,000","7,921,000","4,327,000","-17,564,000","6,131,000","4,678,000","529,000","2,006,000","3,490,000","4,174,000","1,043,000","-9,319,000","5,983,000","2,573,000","-4,816,000","-334,000","3,740,000","4,768,000","-217,254,000","3,091,000","5,642,000","3,291,000","1,100,000","-16,267,000","-3,689,000","-905,000","4,008,000","8,200,000","12,900,000","14,600,000","6,600,000","12,400,000","10,900,000","8,300,000","3,400,000","3,500,000"
		OperatingGainsLosses,"-1,513,000","-323,000","-519,000","-180,000","-491,000","-350,000","-202,000","-377,000","-312,000","-554,000","-582,000","-708,000","-192,000","-219,000","-315,000","-219,000","-200,000","-211,000","-206,000","-184,000","-126,000","-154,000","-238,000","-166,000","-212,000","-145,000","-255,000","-298,000","-151,000","-176,000","-82,000","-526,000","-89,000","-133,000","-222,000","-117,000","-111,000","-139,000","-53,000","-99,000","-239,000","-216,000","-77,000","-58,000","-19,000","-85,000","-23,000","733,000","-468,000","-767,000","-27,000","-8,000","6,000","-2,000","21,000","-183,000","-103,000","-30,000","48,000","32,000","-27,000","-19,000","29,000","124,000","-662,000","384,000","25,653,000","619,000","1,815,000","227,000","1,478,000","686,000","290,000","1,407,000","16,731,000","-2,453,000","1,929,000","2,883,000","-2,247,000","4,085,000","-517,000","217,764,000","5,284,000","2,192,000","1,512,000","1,380,000","17,666,000","11,822,000","6,850,000","59,000","1,100,000","200,000","-100,000","200,000","800,000","100,000","0","100,000","-400,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"0","-762,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,"-219,000","-315,000","-219,000","-200,000","-211,000","-206,000","-184,000","-126,000","-154,000","-238,000","-166,000","-212,000","-145,000","-255,000","-298,000","-151,000","-176,000","-82,000",,"-89,000","-133,000","-222,000","-117,000","-111,000","-139,000",,,"-239,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"73,805,000","20,837,000","18,944,000","18,326,000","15,698,000","15,976,000","14,505,000","15,350,000","18,083,000","12,691,000","13,129,000","13,424,000","14,295,000","10,724,000","11,957,000","11,010,000","10,482,000","9,240,000","10,120,000","10,437,000","10,760,000","6,139,000","6,495,000","6,513,000","6,900,000","6,258,000","6,030,000","5,922,000","5,841,000","5,623,000","5,974,000","5,708,000","5,000,000","4,654,000","4,653,000","4,605,000","4,539,000","4,775,000","5,149,000","5,332,000","5,012,000","5,137,000","5,825,000","4,696,000","4,713,000","4,819,000","5,560,000","4,802,000","3,444,000","3,636,000","3,631,000","3,250,000","3,340,000","3,278,000","3,123,000","3,635,000","3,368,000","2,567,000","1,959,000","1,725,000","1,706,000","1,570,000","1,384,000","1,360,000","1,338,000","1,283,000","1,288,000","1,361,000","1,279,000","1,185,000","4,533,000","1,419,000","1,264,000","1,234,000","4,812,000","-2,275,000","1,761,000","2,541,000","3,673,000","1,695,000","1,687,000","2,188,000","6,394,000","6,130,000","5,973,000","5,969,000","6,489,000","6,222,000","6,084,000","6,107,000","6,100,000","6,000,000","5,700,000","5,300,000","4,800,000","4,000,000","3,100,000","2,100,000","2,100,000"
			DepreciationAndAmortization,"73,805,000","20,837,000","18,944,000","18,326,000","15,698,000","15,976,000","14,505,000","15,350,000","18,083,000","12,691,000","13,129,000","13,424,000","14,295,000","10,724,000","11,957,000","11,010,000","10,482,000","9,240,000","10,120,000","10,437,000","10,760,000","6,139,000","6,495,000","6,513,000","6,900,000","6,258,000","6,030,000","5,922,000","5,841,000","5,623,000","5,974,000","5,708,000","5,000,000","4,654,000","4,653,000","4,605,000","4,539,000","4,775,000","5,149,000","5,332,000","5,012,000","5,137,000","5,825,000","4,696,000","4,713,000","4,819,000","5,560,000","4,802,000","3,444,000","3,636,000","3,631,000","3,250,000","3,340,000","3,278,000","3,123,000","3,635,000","3,368,000","2,567,000","1,959,000","1,725,000","1,706,000","1,570,000","1,384,000","1,360,000","1,338,000","1,283,000","1,288,000","1,361,000","1,279,000","1,185,000","4,533,000","1,419,000","1,264,000","1,234,000","4,812,000","-2,275,000","1,761,000","2,541,000","3,673,000","1,695,000","1,687,000","2,188,000","6,394,000","6,130,000","5,973,000","5,969,000","6,489,000","6,222,000","6,084,000","6,107,000","6,100,000","6,000,000","5,700,000","5,300,000","4,800,000","4,000,000","3,100,000","2,100,000","2,100,000"
				Depreciation,"29,434,000","8,046,000","7,373,000","7,141,000","6,874,000","7,051,000","7,113,000","7,185,000","7,172,000","6,461,000","6,268,000","6,209,000","6,180,000","5,833,000","5,970,000","5,661,000","5,556,000","5,413,000","5,338,000","5,117,000","5,020,000","4,577,000","4,537,000","4,476,000","4,749,000","4,219,000","4,150,000","4,045,000","3,948,000","3,792,000","3,766,000","3,648,000","3,219,000","3,050,000","2,929,000","2,866,000","2,799,000","2,846,000","2,869,000","2,921,000","2,946,000","3,057,000","3,443,000","2,974,000","3,013,000","3,161,000","3,366,000","2,925,000","2,461,000","2,473,000","2,667,000","2,541,000","2,381,000","2,435,000","2,580,000","2,231,000","1,498,000","2,540,000","1,932,000","1,698,000","1,679,000","1,544,000","1,360,000","1,335,000","1,313,000","1,258,000","1,293,000","1,307,000","1,153,000","1,065,000","1,067,000","1,315,000","1,164,000","1,138,000","3,648,000","-1,028,000","1,387,000","1,336,000",,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"44,371,000","12,791,000","11,571,000","11,185,000","8,824,000","8,925,000","7,392,000","8,165,000","10,911,000","6,230,000","6,861,000","7,215,000","8,115,000","4,891,000","5,987,000","5,349,000","4,926,000","3,827,000","4,782,000","5,320,000","5,740,000","1,562,000","1,958,000","2,037,000","2,151,000","2,039,000","1,880,000","1,877,000","1,893,000","1,831,000","2,208,000","2,060,000","1,781,000","1,604,000","1,724,000","1,739,000","1,740,000","1,929,000","2,280,000","2,411,000","2,066,000","2,080,000","2,382,000","1,722,000","1,700,000","1,658,000","2,194,000","1,877,000","983,000","1,163,000","964,000","709,000","959,000","843,000","543,000","1,404,000","1,870,000","27,000","27,000","27,000","27,000","26,000","24,000","25,000","25,000","25,000","-5,000","54,000","126,000","120,000","3,466,000","104,000","100,000","96,000","1,164,000","-1,247,000","374,000","1,205,000",,,,,,,,,,,,,,,,,,,,,
