name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,11/30/1990,11/30/1989
TotalAssets,"1,354,582,000","1,353,116,000","1,363,537,000","1,275,487,000","1,239,994,000","1,027,057,000","1,041,782,000","919,468,000","895,602,000","890,182,000","881,271,000","859,925,000","829,905,000","615,891,000","640,609,000","625,432,000","636,973,000","683,140,000","718,718,000","725,816,000","737,064,000","741,131,000","754,827,000","832,779,000","834,230,000","876,868,000","877,123,000","886,634,000","877,018,000","889,592,000","703,061,000","676,644,000","673,349,000","690,434,000","682,187,000","686,590,000","711,093,000","780,374,000","884,977,000","906,326,000","899,311,000","908,880,000","865,310,000","910,760,000","960,229,000","965,832,000","936,823,000","860,320,000","862,046,000","830,848,000","798,850,000","764,050,000","758,173,000","742,209,000","752,370,000","713,924,000","755,002,000","747,442,000","761,828,000","720,575,000","697,745,000","669,283,000","670,239,000","639,202,000","626,998,000","621,039,000","566,838,000","537,880,000","501,292,000","466,135,000","446,814,000","408,901,000","411,849,000","396,849,000","367,770,000","338,906,000","341,224,000","317,519,000","290,166,000","304,812,000","306,551,000","297,091,000","299,380,000","289,022,000","281,483,000","282,705,000","278,805,000","276,347,000","277,126,000","270,656,000","256,600,000","217,800,000","207,100,000","204,900,000","206,700,000","190,200,000","179,800,000","168,000,000","171,700,000","154,500,000","170,800,000","174,500,000","173,200,000","169,400,000","173,900,000","178,400,000","175,700,000","154,800,000","149,900,000","137,900,000","134,600,000","122,700,000","118,700,000","111,900,000","107,800,000","97,000,000","92,600,000","86,200,000","81,400,000","74,200,000","67,300,000","63,600,000","60,300,000","52,800,000","27,800,000","17,100,000"
	CurrentAssets,"355,869,000","342,622,000","337,808,000","508,897,000","470,968,000","239,309,000","238,935,000","320,206,000","291,398,000","274,738,000","284,665,000","236,294,000","204,306,000","215,684,000","228,819,000","197,394,000","200,621,000","237,652,000","263,407,000","261,627,000","311,308,000","336,938,000","336,053,000","308,963,000","299,373,000","330,895,000","323,409,000","330,367,000","312,579,000","312,298,000","385,673,000","352,682,000","321,107,000","347,691,000","337,811,000","335,637,000","357,848,000","432,841,000","526,818,000","471,755,000","450,951,000","451,716,000","407,777,000","468,422,000","518,757,000","517,153,000","483,858,000","394,377,000","392,022,000","349,772,000","357,619,000","308,770,000","280,122,000","256,478,000","246,252,000","354,475,000","383,575,000","351,099,000","464,423,000","417,118,000","395,079,000","361,114,000","360,139,000","342,566,000","333,928,000","325,530,000","366,327,000","339,404,000","299,961,000","300,079,000","278,255,000","258,597,000","257,738,000","240,438,000","293,730,000","265,180,000","265,680,000","240,684,000","244,828,000","258,748,000","258,878,000","249,252,000","249,445,000","240,859,000","234,472,000","234,779,000","229,672,000","241,972,000","243,323,000","238,841,000","225,900,000","187,900,000","175,500,000","174,600,000","173,000,000","157,600,000","147,700,000","134,700,000","141,800,000","125,500,000","139,900,000","142,500,000","141,000,000","136,000,000","140,800,000","145,600,000","144,100,000","124,500,000","121,600,000","112,000,000","111,400,000","100,600,000","98,700,000","92,500,000","89,900,000","81,400,000","79,500,000","74,900,000","71,500,000","65,100,000","58,600,000","56,300,000","54,000,000","47,600,000","23,200,000","14,100,000"
		CashCashEquivalentsAndShortTermInvestments,"225,913,000","173,322,000","157,373,000","383,677,000","362,660,000","114,371,000","105,995,000","230,119,000","203,645,000","177,055,000","173,685,000","145,397,000","128,553,000","133,458,000","139,513,000","137,881,000","144,200,000","167,497,000","183,609,000","191,316,000","245,082,000","264,192,000","249,754,000","232,684,000","229,109,000","251,491,000","241,279,000","218,304,000","199,121,000","211,164,000","283,268,000","261,292,000","226,576,000","248,049,000","231,440,000","241,982,000","255,804,000","321,375,000","355,217,000","352,207,000","328,248,000","315,164,000","261,416,000","346,543,000","388,978,000","370,839,000","322,396,000","269,213,000","260,568,000","210,567,000","224,121,000","186,517,000","148,735,000","123,849,000","118,529,000","231,463,000","259,026,000","224,083,000","339,525,000","306,971,000","270,777,000","233,820,000","241,315,000","237,116,000","226,664,000","207,109,000","266,420,000","252,782,000","219,952,000","204,674,000","191,267,000","185,390,000","175,615,000","148,787,000","219,131,000","203,203,000","190,593,000","168,769,000","177,193,000","196,742,000","191,121,000","182,172,000","174,516,000","173,576,000","166,748,000","162,923,000","158,106,000","172,927,000","168,608,000","166,147,000","158,700,000","130,300,000","40,800,000","37,000,000","50,200,000","33,100,000","27,400,000","30,000,000","39,500,000","26,900,000","25,100,000","35,200,000","30,900,000","30,900,000","32,000,000","32,300,000","33,500,000","18,700,000","18,700,000","22,000,000","24,500,000","15,900,000","19,900,000","14,500,000","20,600,000","18,800,000","18,300,000","12,700,000","6,300,000","11,200,000","6,200,000","7,100,000","7,800,000","6,200,000","11,100,000","7,000,000"
			CashAndCashEquivalents,,"171,666,000","155,406,000","379,895,000","357,360,000","107,698,000","97,990,000","220,575,000","193,222,000","161,094,000","154,259,000","124,020,000","103,249,000","106,516,000","105,126,000","98,697,000","97,121,000","117,111,000","133,464,000","144,757,000","197,886,000","226,907,000","207,036,000","188,084,000","179,733,000","203,704,000","212,379,000","189,113,000","166,020,000","187,035,000","263,082,000","242,380,000","201,971,000","219,356,000","198,818,000","215,342,000","218,387,000","279,217,000","301,792,000","294,398,000","241,884,000","231,695,000","161,095,000","257,769,000","310,442,000","312,148,000","286,559,000","255,049,000","227,728,000","179,164,000","175,873,000","112,119,000","133,903,000","114,950,000","96,485,000","212,269,000","216,613,000","166,941,000","53,879,000","50,486,000","48,407,000","56,445,000","46,449,000","49,556,000","48,609,000","70,586,000","57,399,000","58,778,000","68,437,000","64,942,000","141,449,000","141,495,000","116,905,000","91,628,000","152,117,000","125,530,000","114,718,000","109,697,000","117,425,000","130,304,000","124,530,000","117,438,000","108,337,000","104,478,000","98,173,000","101,226,000","90,722,000","93,257,000","101,276,000","81,913,000","81,700,000","69,200,000","40,800,000","37,000,000","50,200,000","33,100,000","27,400,000","30,000,000","39,500,000","26,900,000","25,100,000","35,200,000","30,900,000","30,900,000","32,000,000","32,300,000","33,500,000","18,700,000","18,700,000","22,000,000","24,500,000","15,900,000","19,900,000","14,500,000","20,600,000","18,800,000","18,300,000","12,700,000","6,300,000","11,200,000","6,200,000","7,100,000","7,800,000","6,200,000","11,100,000","7,000,000"
				CashFinancial,,"146,323,000","130,371,000","356,690,000","335,668,000","87,403,000","79,026,000","214,037,000","187,573,000","147,494,000","144,346,000","116,146,000","99,571,000","94,904,000","101,316,000","92,827,000","96,523,000","113,420,000","130,547,000","137,911,000","191,940,000","210,872,000","196,863,000","179,548,000","174,198,000","196,422,000","186,241,000","163,248,000","144,175,000","144,157,000","195,189,000","173,237,000","127,279,000","160,799,000","144,305,000","156,428,000","170,476,000","186,961,000","176,201,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"25,343,000","25,035,000","23,205,000","21,692,000","20,295,000","18,964,000","6,538,000","5,649,000","13,600,000","9,913,000","7,874,000","3,678,000","11,612,000","3,810,000","5,870,000","598,000","3,691,000","2,917,000","6,846,000","5,946,000","16,035,000","10,173,000","8,536,000","5,535,000","7,282,000","26,138,000","25,865,000","21,845,000","42,878,000","67,893,000","69,143,000","74,692,000","58,557,000","54,513,000","58,914,000","47,911,000","92,256,000","125,591,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,"1,656,000","1,967,000","3,782,000","5,300,000","6,673,000","8,005,000","9,544,000","10,423,000","15,961,000","19,426,000","21,377,000","25,304,000","26,942,000","34,387,000","39,184,000","47,079,000","50,386,000","50,145,000","46,559,000","47,196,000","37,285,000","42,718,000","44,600,000","49,376,000","47,787,000","28,900,000","29,191,000","33,101,000","24,129,000","20,186,000","18,912,000","24,605,000","28,693,000","32,622,000","26,640,000","37,417,000","42,158,000","53,425,000","57,809,000","86,364,000","83,469,000","100,321,000","88,774,000","78,536,000","58,691,000","35,837,000","14,164,000","32,840,000","31,403,000","48,248,000","74,398,000","14,832,000","8,899,000","22,044,000","19,194,000","42,413,000","57,142,000","285,646,000","256,485,000","222,370,000","177,375,000","194,866,000","187,560,000","178,055,000","136,523,000","209,021,000","194,004,000","151,515,000","139,732,000","49,818,000","43,895,000","58,710,000","57,159,000","67,014,000","77,673,000","75,875,000","59,072,000","59,768,000","66,438,000","66,591,000","64,734,000","66,179,000","69,098,000","68,575,000","61,697,000","67,384,000","79,670,000","67,332,000","84,234,000","77,000,000","61,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"97,468,000","113,644,000","125,631,000","105,510,000","87,202,000","101,672,000","108,957,000","74,430,000","67,067,000","73,092,000","83,700,000","70,993,000","57,200,000","56,693,000","58,450,000","45,817,000","42,577,000","53,843,000","61,210,000","51,860,000","43,894,000","48,905,000","65,678,000","55,758,000","48,294,000","58,829,000","66,459,000","60,335,000","56,440,000","59,647,000","68,311,000","57,840,000","58,023,000","58,960,000","66,784,000","53,620,000","50,772,000","64,026,000","70,793,000","75,849,000","85,787,000","102,645,000","110,927,000","83,887,000","91,738,000","104,381,000","119,273,000","84,966,000","86,842,000","96,000,000","98,872,000","83,819,000","88,880,000","96,911,000","94,795,000","90,160,000","88,041,000","92,453,000","93,998,000","76,127,000","84,415,000","91,663,000","82,762,000","67,248,000","71,613,000","77,592,000","66,592,000","52,128,000","55,617,000","70,857,000","63,503,000","50,307,000","56,002,000","66,112,000","52,065,000","42,205,000","54,008,000","51,270,000","48,676,000","42,951,000","46,085,000","47,277,000","54,230,000","47,905,000","46,070,000","50,248,000","49,429,000","43,967,000","49,636,000","50,789,000","48,000,000","38,900,000","43,500,000","41,200,000","40,800,000","36,200,000","36,700,000","33,300,000","35,700,000","29,100,000","30,900,000","29,800,000","34,500,000","30,000,000","34,200,000","36,600,000","41,700,000","30,400,000","29,200,000","25,900,000","28,600,000","26,300,000","26,100,000","23,800,000","23,200,000","16,400,000","18,200,000","14,100,000","12,900,000","11,600,000","14,400,000","13,400,000","11,800,000","9,400,000","10,000,000","6,000,000"
			AccountsReceivable,"64,733,000","86,601,000","99,815,000","77,031,000","64,045,000","77,573,000","84,040,000","60,463,000","54,527,000","62,184,000","72,820,000","63,617,000","52,040,000","54,572,000","58,450,000","45,817,000","42,577,000","53,843,000","61,210,000","51,860,000","43,894,000","48,905,000","65,678,000","55,758,000","48,294,000","58,829,000","66,459,000","60,335,000","56,440,000","59,647,000","68,311,000","57,840,000","58,023,000","58,960,000","66,784,000","53,620,000","50,772,000","64,026,000","70,793,000","75,849,000","85,787,000","102,645,000","110,927,000","83,887,000","91,738,000","104,381,000","119,273,000","84,966,000","86,842,000","96,000,000","98,872,000","83,819,000","88,880,000","96,911,000","94,795,000","90,160,000","88,041,000","92,453,000","93,998,000","76,127,000","84,415,000","91,663,000","82,762,000","67,248,000","71,613,000","77,592,000","66,592,000","52,128,000","55,617,000","70,857,000","63,503,000","50,307,000","56,002,000","66,112,000","52,065,000","42,205,000","54,008,000","51,270,000","48,676,000","42,951,000","46,085,000","47,277,000","54,230,000","47,905,000","46,070,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"87,349,000","100,449,000","77,609,000","64,706,000","78,305,000","85,355,000","61,391,000","55,408,000","63,116,000","73,645,000","64,291,000","52,835,000","55,297,000","59,160,000","46,518,000","43,297,000","54,628,000","61,886,000","52,694,000","44,945,000","49,950,000","66,821,000",,"49,832,000","60,746,000","68,652,000","62,354,000","58,718,000","62,113,000","70,903,000","60,462,000","60,713,000","61,755,000","69,937,000","56,012,000","53,308,000","67,074,000","73,817,000","79,224,000","88,813,000","105,524,000","117,610,000","88,681,000","96,790,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
