name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
TotalAssets,"2,200,606,000","2,159,119,000","2,150,885,000","2,249,825,000","2,225,946,000","2,390,946,000","2,376,467,000","2,485,373,000","2,459,960,000","2,320,409,000","2,261,766,000","2,299,077,000","2,337,088,000","2,380,728,000","780,973,000","759,482,000","898,973,000","857,999,000","834,100,000","801,274,000","778,102,000","740,998,000","727,926,000","681,874,000","664,586,000","656,685,000","660,474,000","647,836,000","644,442,000","608,074,000","601,167,000","589,978,000","566,517,000","575,725,000","554,506,000","525,386,000","510,852,000","505,781,000","517,825,000","495,740,000","475,705,000","613,272,000","628,229,000","628,828,000","609,507,000","584,838,000","571,756,000","567,386,000","553,819,000","529,589,000","515,144,000","490,678,000","470,996,000","477,879,000","477,437,000","465,197,000","467,464,000","458,803,000","455,129,000","425,821,000","413,500,000","409,564,000","412,133,000","403,016,000","387,496,000","392,709,000","386,763,000","372,869,000","371,614,000","374,313,000","363,291,000","354,956,000","343,463,000","332,934,000","315,617,000","289,785,000","276,426,000","269,323,000","258,385,000","247,878,000","227,047,000","214,716,000","196,681,000","184,703,000","168,659,000","159,044,000","136,106,000","119,632,000","92,039,000","82,900,000"
	CurrentAssets,"627,220,000","573,812,000","534,981,000","593,900,000","662,927,000","603,920,000","577,069,000","678,872,000","676,301,000","526,843,000","508,556,000","474,992,000","502,015,000","525,147,000","522,781,000","490,906,000","631,186,000","588,043,000","550,982,000","517,802,000","488,706,000","457,309,000","437,091,000","391,370,000","371,516,000","364,458,000","494,508,000","479,078,000","483,547,000","444,457,000","427,993,000","412,831,000","389,947,000","396,736,000","365,712,000","341,225,000","326,046,000","310,910,000","317,888,000","299,930,000","278,537,000","415,511,000","430,405,000","433,797,000","421,344,000","396,027,000","381,029,000","376,363,000","362,732,000","336,643,000","316,852,000","283,687,000","260,219,000","328,875,000","330,592,000","314,974,000","313,846,000","309,988,000","310,754,000","279,972,000","265,088,000","257,554,000","261,505,000","258,384,000","247,850,000","253,266,000","245,807,000","241,266,000","237,708,000","240,240,000","229,681,000","225,688,000","211,004,000","198,089,000","179,112,000","159,736,000","145,293,000","135,237,000","123,283,000","111,691,000","97,606,000","100,913,000","96,454,000","90,221,000","83,753,000","78,316,000","59,053,000","51,746,000","34,353,000","32,700,000"
		CashCashEquivalentsAndShortTermInvestments,"237,685,000","200,023,000","185,979,000","228,506,000","324,836,000","278,895,000","257,354,000","354,708,000","340,702,000","194,328,000","188,495,000","168,678,000","192,260,000","208,880,000","352,921,000","310,579,000","461,434,000","425,502,000","397,890,000","363,902,000","343,683,000","305,714,000","287,479,000","243,087,000","226,388,000","218,118,000","354,190,000","338,693,000","333,651,000","295,429,000","284,155,000","265,515,000","239,147,000","246,463,000","226,029,000","201,611,000","188,354,000","169,619,000","178,459,000","166,896,000","155,062,000","293,628,000","302,546,000","292,939,000","278,334,000","262,951,000","254,164,000","250,069,000","241,715,000","224,810,000","199,952,000","171,237,000","158,971,000","223,098,000","226,417,000","203,941,000","205,602,000","209,427,000","212,472,000","183,961,000","163,568,000","160,395,000","165,930,000","169,482,000","173,712,000","178,710,000","171,041,000","165,702,000","163,682,000","169,796,000","157,318,000","155,885,000","140,264,000","127,359,000","111,318,000","99,268,000","87,886,000","76,796,000","69,605,000","59,622,000","51,424,000","58,374,000","47,677,000","33,903,000","25,993,000","15,227,000","9,971,000","10,101,000","41,000","100,000"
			CashAndCashEquivalents,"237,685,000","200,023,000","185,979,000","228,506,000","324,836,000","278,895,000","257,354,000","354,708,000","340,702,000","194,328,000","188,495,000","168,678,000","192,260,000","208,880,000","352,921,000","186,124,000","461,434,000","377,230,000","397,890,000","363,902,000","343,683,000","305,714,000","287,479,000","243,087,000","226,388,000","218,118,000","354,190,000","338,693,000","333,651,000","295,429,000","284,155,000","265,515,000","239,147,000","246,463,000","226,029,000","201,611,000","188,354,000","169,619,000","178,459,000","166,896,000","155,062,000","293,628,000","302,546,000","292,939,000","278,334,000","262,951,000","254,164,000","250,069,000","241,715,000","224,810,000","199,952,000","171,237,000","158,971,000","218,148,000","221,467,000","186,841,000","164,288,000","54,617,000","54,557,000","49,516,000","57,818,000","54,130,000","54,965,000","49,417,000","47,597,000","52,290,000","44,436,000","45,701,000","44,077,000","169,796,000","157,318,000","155,885,000","140,264,000","127,359,000","111,318,000","99,268,000","87,886,000","76,796,000","69,605,000","59,622,000","51,424,000","58,374,000","47,677,000","33,903,000","25,993,000","15,227,000","9,971,000","10,101,000","41,000","100,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,"124,455,000",,"48,272,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","4,950,000","4,950,000","17,100,000","41,314,000","154,810,000","157,915,000","134,445,000","105,750,000","106,265,000","110,965,000","120,065,000","126,115,000","126,420,000","126,605,000","120,001,000","119,605,000",,,,,,,,,,,,,,,,,,,,,
		Receivables,"169,345,000","166,957,000","150,099,000","170,346,000","146,238,000","139,840,000","134,023,000","137,736,000","151,959,000","144,741,000","146,113,000","135,235,000","131,880,000","138,580,000","75,886,000","74,017,000","70,086,000","69,871,000","64,793,000","66,338,000","59,438,000","66,828,000","62,830,000","55,840,000","52,087,000","54,998,000","49,405,000","49,994,000","55,812,000","61,365,000","60,693,000","55,375,000","53,133,000","52,078,000","54,640,000","55,921,000","51,220,000","63,247,000","53,506,000","57,428,000","50,802,000","50,432,000","52,747,000","56,989,000","60,049,000","62,740,000","57,456,000","55,673,000","54,828,000","49,904,000","53,538,000","49,218,000","28,327,000","33,488,000","41,630,000","51,797,000","46,538,000","50,064,000","52,302,000","51,435,000","47,563,000","47,808,000","48,028,000","48,215,000","34,140,000","42,486,000","36,759,000","31,952,000","31,828,000","32,596,000","41,347,000","37,952,000","38,452,000","41,009,000","37,564,000","30,501,000","28,147,000","28,141,000","26,082,000","28,214,000","21,532,000","19,899,000","26,735,000","29,373,000","29,604,000","43,445,000","30,595,000","27,534,000","21,344,000","22,600,000"
			AccountsReceivable,"169,345,000","166,957,000","150,099,000","170,346,000","146,238,000","139,840,000","134,023,000","137,736,000","151,959,000","144,741,000","146,113,000","135,235,000","131,880,000","138,580,000","75,886,000","74,017,000","70,086,000","69,871,000","64,793,000","66,338,000","59,438,000","66,828,000","62,830,000","55,840,000","52,087,000","54,998,000","49,405,000","49,994,000","55,812,000","61,365,000","60,693,000","55,375,000","53,133,000","52,078,000","54,640,000","55,921,000","51,220,000","63,247,000","53,506,000","57,428,000","50,802,000","50,432,000","52,747,000","56,989,000","60,049,000","62,740,000","57,456,000","55,673,000","54,828,000","49,904,000","53,538,000","49,218,000","28,327,000","33,488,000","41,630,000","51,797,000","46,538,000","50,064,000","52,302,000","51,435,000","47,563,000","47,808,000","48,028,000","48,215,000","34,140,000","42,486,000","36,759,000","31,952,000","31,828,000","32,596,000","41,347,000","37,952,000","38,452,000","41,009,000","37,564,000","30,501,000","28,147,000","28,141,000","26,082,000","28,214,000","21,532,000","19,899,000","26,735,000","29,373,000","29,604,000","43,445,000",,,,
				GrossAccountsReceivable,"169,805,000","167,437,000","150,626,000","170,870,000","146,805,000","140,483,000","134,606,000","140,140,000","154,677,000","147,147,000","148,490,000","137,158,000","133,584,000","140,420,000","77,786,000","75,834,000","71,903,000","71,656,000","66,540,000","68,137,000","61,146,000","68,576,000","64,658,000","57,100,000","53,308,000","56,229,000","50,629,000","51,236,000","57,072,000","62,676,000","62,085,000","56,797,000","54,518,000","53,448,000","56,172,000","59,985,000","55,281,000","67,712,000","58,263,000","62,440,000","55,625,000","51,486,000","53,837,000","58,119,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-460,000","-480,000","-527,000","-524,000","-567,000","-643,000","-583,000","-2,404,000","-2,718,000","-2,406,000","-2,377,000","-1,923,000","-1,704,000","-1,840,000","-1,900,000","-1,817,000","-1,817,000","-1,785,000","-1,747,000","-1,799,000","-1,708,000","-1,748,000","-1,828,000","-1,260,000","-1,221,000","-1,231,000","-1,224,000","-1,242,000","-1,260,000","-1,311,000","-1,392,000","-1,422,000","-1,385,000","-1,370,000","-1,532,000","-4,064,000","-4,061,000","-4,465,000","-4,757,000","-5,012,000","-4,823,000","-1,054,000","-1,090,000","-1,130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,757,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,757,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"184,730,000","174,445,000","173,464,000","169,147,000","161,771,000","157,355,000","159,134,000","161,805,000","157,872,000","156,140,000","145,278,000","145,783,000","147,324,000","138,377,000","71,926,000","77,302,000","76,813,000","73,982,000","71,873,000","70,759,000","69,778,000","71,088,000","72,123,000","74,645,000","76,325,000","76,179,000","70,678,000","67,592,000","64,273,000","62,618,000","64,979,000","70,904,000","71,574,000","66,118,000","63,786,000","64,531,000","66,075,000","62,879,000","66,472,000","58,795,000","56,818,000","57,747,000","56,128,000","54,747,000","55,608,000","54,246,000","51,896,000","50,179,000","47,323,000","43,970,000","44,940,000","45,099,000","52,764,000","57,700,000","47,466,000","46,217,000","49,696,000","41,287,000","37,266,000","35,746,000","42,102,000","41,951,000","40,326,000","32,201,000","32,890,000","24,460,000","28,797,000","32,702,000","31,512,000","30,480,000","24,474,000","24,565,000","23,861,000","22,682,000","23,814,000","22,439,000","22,869,000","24,390,000","21,959,000","18,620,000","18,282,000","16,944,000","16,806,000","20,880,000","19,546,000","14,730,000","14,014,000","12,795,000","10,779,000","8,600,000"
