name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
			LongTermDebt,"293,280,000","297,354,000","301,038,000","305,346,000","309,524,000","313,619,000","317,908,000","322,427,000","326,674,000","330,701,000","320,914,000","329,594,000","338,274,000","346,953,000","355,633,000","374,320,000","408,259,000","416,970,000","425,719,000","431,498,000","437,432,000","348,348,000","720,700,000","32,142,000","394,709,000","394,511,000"
		NonCurrentDeferredLiabilities,"4,986,000","4,950,000","4,327,000","3,751,000","3,797,000","3,821,000","4,601,000","4,447,000","4,010,000","4,837,000","4,663,000","4,633,000","4,611,000","4,635,000","10,110,000","9,705,000","9,288,000","9,318,000","5,893,000","6,269,000","7,533,000","7,452,000","6,404,000","6,295,000","6,698,000","7,112,000"
			NonCurrentDeferredTaxesLiabilities,"4,986,000","4,950,000","4,327,000","3,751,000","3,797,000","3,821,000","4,601,000","4,447,000","4,010,000","4,837,000","4,663,000","4,633,000","4,611,000","4,635,000","10,110,000","9,705,000","9,288,000","9,318,000","5,893,000","6,269,000","7,533,000","7,452,000","6,404,000","6,295,000","6,698,000","7,112,000"
		NonCurrentAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,"0","0",,"0","145,384,000"
		EmployeeBenefits,"93,821,000","93,705,000","102,588,000","122,651,000","121,811,000","121,929,000","109,206,000","122,702,000","119,705,000","118,852,000","83,429,000","106,701,000","104,226,000","102,077,000","93,057,000","130,812,000","130,660,000","130,160,000","123,401,000","139,892,000","137,434,000","135,339,000","110,049,000","118,693,000","117,991,000","119,549,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"93,821,000","93,705,000","102,588,000","122,651,000","121,811,000","121,929,000","109,206,000","122,702,000","119,705,000","118,852,000","83,429,000","106,701,000","104,226,000","102,077,000","93,057,000","130,812,000","130,660,000","130,160,000","123,401,000","139,892,000","137,434,000","135,339,000","110,049,000","118,693,000","117,991,000","119,549,000"
		OtherNonCurrentLiabilities,"45,887,000","43,237,000","48,529,000","50,558,000","48,876,000","52,128,000","50,956,000","49,480,000","51,813,000","51,908,000","51,074,000","52,406,000","53,539,000","16,105,000","15,764,000","16,811,000","18,443,000","16,701,000","16,529,000","16,162,000","15,366,000","14,101,000","20,844,000","21,247,000","16,680,000","12,284,000"
TotalEquityGrossMinorityInterest,"1,111,925,000","1,083,566,000","1,176,064,000","1,161,573,000","1,086,077,000","1,017,379,000","993,261,000","933,287,000","919,110,000","951,633,000","967,571,000","958,037,000","946,637,000","926,984,000","913,590,000","907,166,000","886,069,000","847,392,000","842,668,000","831,284,000","800,882,000","768,823,000","421,515,000","731,902,000","347,519,000","324,542,000"
	StockholdersEquity,"1,070,393,000","1,046,143,000","1,139,599,000","1,124,691,000","1,050,959,000","984,075,000","961,984,000","898,543,000","886,200,000","919,247,000","936,807,000","926,251,000","913,412,000","894,872,000","885,022,000","878,884,000","854,199,000","814,728,000","810,656,000","798,188,000","768,808,000","735,865,000","388,183,000","699,694,000","312,734,000","291,287,000"
		CapitalStock,"76,000","3,375,000","1,462,000","1,597,000","173,000","202,000","551,000","392,000","622,000","883,000","420,000","76,000","76,000","75,000","75,000","75,000","75,000","74,000","74,000","74,000","74,000","74,000","131,061,000","71,000","131,038,000","131,058,000"
			PreferredStock,,"3,299,000","1,386,000","1,521,000","97,000","126,000","475,000","316,000","546,000","807,000","344,000",,,,,,,,,,,"0","131,036,000",,"131,036,000","131,036,000"
