name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"4,610,953,000","1,298,123,000","1,256,403,000","1,075,107,000","981,320,000","919,553,000","952,730,000","924,812,000","779,243,000","838,859,000","900,681,000","913,275,000","921,163,000","932,998,000","1,018,293,000","933,224,000","1,179,093,000","1,095,971,000","1,162,576,000","1,054,360,000","924,513,000","893,448,000","978,560,000","932,814,000","855,557,000","805,859,000","890,272,000","899,869,000","899,513,000","835,941,000","915,361,000","913,386,000","893,930,000","848,449,000","885,252,000","882,981,000","836,685,000","768,980,000","801,023,000","804,888,000","778,312,000","739,885,000","746,067,000","760,379,000","759,709,000","485,379,000","479,913,000","478,417,000","458,113,000","417,294,000","407,881,000","388,781,000","362,613,000","351,695,000","430,472,000","514,212,000","490,929,000","424,995,000","445,464,000","417,842,000","401,565,000","393,297,000","425,460,000","432,009,000","395,253,000","356,745,000","420,611,000","399,400,000","371,630,000","339,858,000","387,429,000","362,105,000","348,971,000","328,302,000","359,196,000","339,484,000","331,651,000","329,284,000","346,100,000","356,666,000","327,595,000","305,299,000","332,327,000","323,046,000","318,023,000","345,935,000","1,256,108,000","44,223,000","44,583,000","39,465,000","-798,085,000","333,300,000","319,400,000","307,700,000","-695,666,000","295,900,000","283,100,000","255,100,000","-662,945,000","273,500,000","268,200,000","251,100,000","-405,036,000","238,600,000","209,200,000","48,800,000"
	OperatingRevenue,"4,610,953,000","1,298,123,000","1,256,403,000","1,075,107,000","981,320,000","919,553,000","952,730,000","924,812,000","779,243,000","838,859,000","900,681,000","913,275,000","921,163,000","932,998,000","1,018,293,000","933,224,000","1,179,093,000","1,095,971,000","1,162,576,000","1,054,360,000","924,513,000","893,448,000","978,560,000","932,814,000","855,557,000","805,859,000","890,272,000","899,869,000","899,513,000","835,941,000","915,361,000","913,386,000","893,930,000","848,449,000","885,252,000","882,981,000","836,685,000","768,980,000","801,023,000","804,888,000","778,312,000","739,885,000","746,067,000","760,379,000","759,709,000","485,379,000","479,913,000","478,417,000","458,113,000","417,294,000","407,881,000","388,781,000","362,613,000","351,695,000","430,472,000","514,212,000","490,929,000","424,995,000","445,464,000","417,842,000","401,565,000","393,297,000","425,460,000","432,009,000","395,253,000","356,745,000","420,611,000","399,400,000","371,630,000","339,858,000","387,429,000","362,105,000","348,971,000","328,302,000","359,196,000","339,484,000","331,651,000","329,284,000","346,100,000","356,666,000","327,595,000","305,299,000","332,327,000","323,046,000","318,023,000","345,935,000","1,256,108,000","44,223,000","44,583,000","39,465,000","-798,085,000","333,300,000","319,400,000","307,700,000","-695,666,000","295,900,000","283,100,000","255,100,000","-662,945,000","273,500,000","268,200,000","251,100,000","-405,036,000","238,600,000","209,200,000","48,800,000"
CostOfRevenue,"3,905,043,000","1,083,106,000","1,043,671,000","917,507,000","860,759,000","810,806,000","847,171,000","816,777,000","671,994,000","734,265,000","774,821,000","778,057,000","788,460,000","805,709,000","879,706,000","818,240,000","1,042,903,000","973,180,000","1,024,485,000","937,836,000","823,196,000","791,863,000","858,106,000","821,360,000","741,067,000","697,472,000","773,498,000","794,805,000","797,784,000","746,813,000","825,451,000","820,190,000","795,345,000","759,705,000","790,164,000","789,857,000","741,212,000","681,642,000","707,644,000","713,301,000","690,954,000","656,143,000","662,301,000","673,657,000","674,956,000","428,072,000","423,271,000","421,020,000","407,537,000","368,476,000","361,322,000","340,581,000","316,850,000","306,526,000","376,662,000","451,052,000","431,090,000","367,493,000","385,074,000","360,332,000","343,802,000","336,636,000","367,242,000","374,673,000","339,805,000","309,175,000","370,869,000","350,273,000","324,721,000","296,613,000","341,377,000","314,077,000","305,306,000","286,498,000","317,485,000","296,023,000","288,191,000","287,234,000","303,174,000","314,385,000","290,999,000","264,290,000","289,302,000","278,475,000","272,692,000","299,899,000",,,,,,"291,500,000","280,200,000","268,200,000",,"259,100,000","249,200,000","224,400,000",,"239,500,000","235,400,000","220,700,000",,"209,800,000","184,000,000","43,400,000"
GrossProfit,"705,910,000","215,017,000","212,732,000","157,600,000","120,561,000","108,747,000","105,559,000","108,035,000","107,249,000","104,594,000","125,860,000","135,218,000","132,703,000","127,289,000","138,587,000","114,984,000","136,190,000","122,791,000","138,091,000","116,524,000","101,317,000","101,585,000","120,454,000","111,454,000","114,490,000","108,387,000","116,774,000","105,064,000","101,729,000","89,128,000","89,910,000","93,196,000","98,585,000","88,744,000","95,088,000","93,124,000","95,473,000","87,338,000","93,379,000","91,587,000","87,358,000","83,742,000","83,766,000","86,722,000","84,753,000","57,307,000","56,642,000","57,397,000","50,576,000","48,818,000","46,559,000","48,200,000","45,763,000","45,169,000","53,810,000","63,160,000","59,839,000","57,502,000","60,390,000","57,510,000","57,763,000","56,661,000","58,218,000","57,336,000","55,448,000","47,570,000","49,742,000","49,127,000","46,909,000","43,245,000","46,052,000","48,028,000","43,665,000","41,804,000","41,711,000","43,461,000","43,460,000","42,050,000","42,926,000","42,281,000","36,596,000","41,009,000","43,025,000","44,571,000","45,331,000","46,036,000",,,,,,"41,800,000","39,200,000","39,500,000",,"36,800,000","33,900,000","30,700,000",,"34,000,000","32,800,000","30,400,000",,"28,800,000","25,200,000","5,400,000"
OperatingExpense,"376,444,000","99,957,000","95,147,000","97,727,000","83,613,000","84,696,000","74,387,000","74,118,000","86,271,000","84,835,000","86,996,000","97,972,000","91,982,000","91,700,000","90,343,000","80,250,000","104,237,000","99,658,000","96,964,000","94,855,000","84,739,000","84,408,000","89,615,000","81,599,000","80,193,000","79,544,000","81,433,000","71,646,000","72,253,000","70,333,000","65,133,000","63,295,000","67,658,000","68,248,000","64,933,000","61,829,000","65,009,000","62,601,000","61,731,000","61,236,000","59,508,000","61,231,000","56,628,000","60,079,000","60,835,000","40,547,000","37,424,000","36,690,000","34,861,000","34,576,000","31,042,000","32,308,000","32,317,000","34,493,000","30,689,000","35,877,000","35,769,000","36,514,000","34,827,000","32,776,000","35,598,000","38,383,000","36,297,000","35,497,000","35,554,000","33,871,000","33,391,000","33,695,000","33,445,000","330,723,000","-864,609,000","340,851,000","340,705,000","322,005,000","-836,546,000","332,288,000","325,737,000","324,911,000","38,628,000","37,768,000","37,493,000","37,782,000","39,388,000","44,032,000","40,107,000","341,386,000","40,565,000","39,289,000","37,894,000","37,131,000","-743,119,000","303,700,000","292,200,000","279,400,000","-649,472,000","268,800,000","258,700,000","233,800,000","71,760,000","8,500,000","8,600,000","7,500,000","50,739,000","6,100,000","5,900,000","1,000,000"
	SellingGeneralAndAdministration,"336,524,000","89,002,000","83,962,000","88,815,000","74,745,000","76,194,000","66,095,000","66,421,000","78,646,000","77,212,000","79,665,000","90,671,000","84,887,000","84,946,000","85,005,000","76,450,000","78,308,000","76,511,000","72,887,000","71,529,000","65,152,000","64,003,000","68,646,000","60,251,000","59,685,000","60,507,000","59,988,000","51,818,000","53,600,000","53,547,000","46,997,000","44,736,000","50,237,000","52,524,000","48,964,000","45,645,000","49,730,000","47,774,000","5,008,000","59,625,000","57,771,000","59,571,000","54,993,000","58,519,000","59,363,000","39,611,000","36,477,000","35,752,000","33,927,000","33,603,000","30,097,000","31,359,000","31,193,000","33,337,000","29,719,000","34,882,000","34,778,000","10,150,000","10,001,000","9,596,000","10,218,000","11,601,000","11,344,000","9,890,000","9,740,000","9,158,000","8,556,000","9,052,000","9,489,000","9,752,000","9,600,000","9,023,000","10,315,000","10,281,000","10,718,000","11,041,000","12,105,000","11,788,000","11,879,000","11,822,000","11,610,000","11,513,000","12,072,000","16,989,000","12,340,000","12,212,000","12,711,000","11,698,000","11,064,000","11,367,000","10,232,000","9,500,000","9,400,000","9,100,000","9,685,000","8,000,000","7,500,000","7,600,000","7,578,000","6,800,000","7,000,000","6,100,000","6,147,000","5,100,000","4,900,000","1,000,000"
		GeneralAndAdministrativeExpense,"336,524,000","89,002,000","83,962,000","88,815,000","74,745,000","76,194,000","66,095,000","66,421,000","78,646,000","77,212,000","79,665,000","90,671,000","84,887,000","84,946,000","85,005,000","76,450,000","78,308,000","76,511,000","72,887,000","71,529,000","65,152,000","64,003,000","68,646,000","60,251,000","59,685,000","60,507,000","59,988,000","51,818,000","53,600,000","53,547,000","46,997,000","44,736,000","50,237,000","52,524,000","48,964,000","45,645,000","49,730,000","47,774,000","46,114,000","45,815,000","44,170,000","59,571,000","54,993,000","58,519,000","59,363,000","39,611,000","36,477,000","35,752,000","33,927,000","33,603,000","30,097,000","31,359,000","31,193,000","33,337,000","29,719,000","34,882,000","34,778,000","10,150,000","10,001,000","9,596,000","10,218,000","11,601,000","11,344,000","9,890,000","9,740,000","9,158,000","8,556,000","9,052,000","9,489,000","9,752,000","9,600,000","9,023,000","10,315,000","10,281,000","10,718,000","11,041,000","12,105,000","11,788,000","11,879,000","11,822,000","11,610,000","11,513,000","12,072,000","16,989,000","12,340,000","12,212,000",,,,,,"9,500,000","9,400,000","9,100,000",,"8,000,000","7,500,000","7,600,000",,"6,800,000","7,000,000","6,100,000",,"5,100,000","4,900,000","1,000,000"
			SalariesAndWages,"259,215,000","68,926,000","70,544,000","65,370,000","54,375,000","56,951,000","42,649,000","45,576,000","49,676,000","50,876,000","53,311,000","59,765,000","60,859,000","62,028,000","59,290,000","57,123,000","58,092,000","56,007,000","51,046,000","49,126,000","45,038,000","43,179,000","50,384,000","42,610,000","43,602,000","43,863,000","44,268,000","36,357,000","38,837,000","39,476,000","32,964,000","30,868,000","35,556,000","37,092,000","33,868,000","31,888,000","35,002,000","34,583,000","33,023,000","31,385,000","31,436,000","33,299,000","29,474,000","32,023,000","32,746,000","26,801,000","26,270,000","25,547,000","23,863,000","23,458,000","21,004,000","22,237,000","22,063,000","23,214,000","19,878,000","24,116,000","24,301,000","-25,363,000","-23,791,000","-22,100,000","-24,177,000","-25,610,000","-23,881,000","-23,965,000","-24,286,000","-22,854,000","-22,561,000","-22,242,000","-21,503,000","-21,875,000","-21,623,000","-21,995,000","-22,233,000","-22,342,000","-21,291,000","-22,508,000","-22,853,000","-23,328,000","-23,237,000","-23,294,000","-23,348,000","-23,597,000","-23,319,000","-23,461,000","-23,497,000","-24,705,000",,,,,,"-21,000,000","-20,600,000","-20,800,000",,"-18,400,000","-17,600,000","-16,900,000",,"-16,200,000","-16,000,000","-15,300,000",,"-13,900,000","-12,500,000","-2,600,000"
			OtherGandA,"77,309,000","20,076,000","13,418,000","23,445,000","20,370,000","19,243,000","23,446,000","20,845,000","28,970,000","26,336,000","26,354,000","30,906,000","24,028,000","22,918,000","25,715,000","19,327,000","20,216,000","20,504,000","21,841,000","22,403,000","20,114,000","20,824,000","18,262,000","17,641,000","16,083,000","16,644,000","15,720,000","15,461,000","14,763,000","14,071,000","14,033,000","13,868,000","14,681,000","15,432,000","15,096,000","13,757,000","14,728,000","13,191,000","13,091,000","14,430,000","12,734,000","26,272,000","25,519,000","26,496,000","26,617,000","12,810,000","10,207,000","10,205,000","10,064,000","10,145,000","9,093,000","9,122,000","9,130,000","10,123,000","9,841,000","10,766,000","10,477,000","35,513,000","33,792,000","31,696,000","34,395,000","37,211,000","35,225,000","33,855,000","34,026,000","32,012,000","31,117,000","31,294,000","30,992,000","31,627,000","31,223,000","31,018,000","32,548,000","32,623,000","32,009,000","33,549,000","34,958,000","35,116,000","35,116,000","35,116,000","34,958,000","35,110,000","35,391,000","40,450,000","35,837,000","36,917,000",,,,,,"30,500,000","30,000,000","29,900,000",,"26,400,000","25,100,000","24,500,000",,"23,000,000","23,000,000","21,400,000",,"19,000,000","17,400,000","3,600,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,810,000","13,601,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
