name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
				LongTermDebtPayments,"-1,652,000,000","-317,000,000","-1,122,000,000","-142,000,000","-71,000,000","-957,000,000","-473,000,000","-507,000,000","-110,000,000","-437,000,000","-784,000,000","-84,000,000","-312,000,000","-304,000,000","-425,000,000","-100,000,000","-206,000,000","-79,000,000","-108,000,000","-82,000,000","-67,000,000","-75,000,000","-60,000,000",,,,"-99,000,000","-251,000,000","-537,000,000","-61,000,000","-33,000,000","-47,000,000","-74,000,000","-74,000,000","-34,000,000","-10,000,000","-14,000,000","-13,000,000","-6,000,000","-5,000,000","-8,000,000","-24,000,000"
			NetShortTermDebtIssuance,"-227,000,000","-20,000,000","-77,000,000","-67,000,000","-63,000,000","-170,000,000","0","0",,,"-130,000,000","0",,,"0","0",,,,"0","0","0",,,,,,,,,,"0",,,,,,,,,,
				ShortTermDebtPayments,"-227,000,000","-20,000,000","-77,000,000","-67,000,000","-63,000,000","-170,000,000","0","0",,,"-130,000,000","0",,,"0","0",,,,"0","0","0",,,,,,,,,,"0",,,,,,,,,,
		NetCommonStockIssuance,,,"0","0","0","0","4,000,000","20,000,000","28,000,000","10,000,000","100,000,000","0","0","0","2,000,000","76,000,000","65,000,000","10,000,000","0","18,000,000","9,000,000","7,000,000","0","0",,,"0","-1,000,000",,,"0",,,,"0",,,,,,,
			CommonStockIssuance,,,"0","0","0","0","4,000,000","20,000,000","28,000,000","10,000,000","100,000,000","0","0","0","2,000,000","76,000,000","65,000,000","10,000,000","0","18,000,000","9,000,000","7,000,000","0","0",,,"0","-1,000,000",,,"0",,,,"0",,,,,,,
		CashDividendsPaid,"-272,000,000","-70,000,000","-69,000,000","-67,000,000","-66,000,000","-66,000,000","-64,000,000","-63,000,000","-42,000,000","-42,000,000","-39,000,000","-39,000,000","-38,000,000","-39,000,000","-64,000,000","-61,000,000","-58,000,000","-55,000,000","-53,000,000","-45,000,000","-51,000,000","-53,000,000","-56,000,000","-44,000,000","-42,000,000","-41,000,000","-40,000,000","-38,000,000","-31,000,000","-30,000,000","-29,000,000","-27,000,000","-46,000,000","-22,000,000","-15,000,000","-395,000,000","-13,000,000","-299,000,000","-40,000,000","-9,000,000","-17,000,000","-6,000,000"
			CommonStockDividendPaid,,,,,,,"-64,000,000","-63,000,000","-42,000,000","-42,000,000","-39,000,000","-39,000,000","-38,000,000","-39,000,000","-64,000,000","-61,000,000","-58,000,000","-55,000,000","-53,000,000","-45,000,000","-51,000,000","-53,000,000","-56,000,000","-44,000,000","-42,000,000","-41,000,000","-40,000,000","-38,000,000","-31,000,000","-30,000,000","-29,000,000","-27,000,000","-46,000,000","-22,000,000","-15,000,000","-395,000,000","-13,000,000","-299,000,000","-40,000,000","-9,000,000","-17,000,000","-6,000,000"
		NetOtherFinancingCharges,"676,000,000","-51,000,000","708,000,000","-15,000,000","34,000,000","227,000,000","90,000,000","-15,000,000","-72,000,000","154,000,000","179,000,000","-4,000,000","-45,000,000","19,000,000","-11,000,000","-1,000,000","59,000,000","30,000,000","29,000,000","-9,000,000","-4,000,000","-27,000,000","6,000,000","-123,000,000","-4,000,000","6,000,000","-35,000,000","-2,000,000",,,"-1,000,000","-13,000,000","-3,000,000","-8,000,000","21,000,000","-1,000,000","17,000,000","129,000,000","75,000,000","134,000,000","87,000,000","47,000,000"
OtherCashAdjustmentInsideChangeinCash,"-19,000,000","-5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"466,000,000","466,000,000","654,000,000","555,000,000","470,000,000","431,000,000","465,000,000","537,000,000","416,000,000","380,000,000","417,000,000","397,000,000","296,000,000","298,000,000","583,000,000","389,000,000","269,000,000","277,000,000","316,000,000","319,000,000","295,000,000","213,000,000","317,000,000","200,000,000","89,000,000","76,000,000","111,000,000","125,000,000","281,000,000","114,000,000","391,000,000","372,000,000","87,000,000","420,000,000","36,000,000","121,000,000","17,000,000","23,000,000","22,000,000","30,000,000","27,000,000","25,000,000"
	ChangesInCash,"35,000,000","-188,000,000","99,000,000","85,000,000","39,000,000","-34,000,000","-72,000,000","121,000,000","36,000,000","-37,000,000","20,000,000","101,000,000","-2,000,000","-285,000,000","194,000,000","120,000,000","-8,000,000","-39,000,000","-14,000,000","24,000,000","-83,000,000","-109,000,000","117,000,000","111,000,000","13,000,000","-35,000,000","-37,000,000","-156,000,000","167,000,000","-292,000,000","19,000,000","285,000,000","-356,000,000","384,000,000","-85,000,000","104,000,000","-6,000,000","1,000,000","-8,000,000","3,000,000","2,000,000","1,000,000"
	BeginningCashPosition,"431,000,000","654,000,000","555,000,000","470,000,000","431,000,000","465,000,000","537,000,000","416,000,000","380,000,000","417,000,000","397,000,000","296,000,000","298,000,000","583,000,000","389,000,000","269,000,000","277,000,000","316,000,000","319,000,000","295,000,000","213,000,000","322,000,000","200,000,000","89,000,000","76,000,000","111,000,000","125,000,000","281,000,000","114,000,000","406,000,000","372,000,000","87,000,000","420,000,000","36,000,000","121,000,000","17,000,000","23,000,000","22,000,000","30,000,000","27,000,000","25,000,000","24,000,000"
InterestPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,000,000",,,,"-9,000,000"
CapitalExpenditure,"-140,000,000","-47,000,000","-27,000,000","-31,000,000","-14,000,000","-79,000,000","-29,000,000","-12,000,000","-43,000,000","-40,000,000","-28,000,000","-104,000,000","-80,000,000","-16,000,000","-21,000,000","-17,000,000","-27,000,000","-18,000,000","-8,000,000","-10,000,000","-9,000,000","-4,000,000","-4,000,000","-5,000,000","-4,000,000","-7,000,000","-13,000,000","-8,000,000","-5,000,000","-3,000,000","-5,000,000",,"-10,000,000","-19,000,000","-6,000,000","-50,000,000","-3,000,000","-179,000,000","-107,000,000","-117,000,000","-124,000,000","-32,000,000"
IssuanceOfCapitalStock,,,"0","0","0","0","4,000,000","20,000,000","28,000,000","10,000,000","100,000,000","0","0","0","2,000,000","76,000,000","65,000,000","10,000,000","0","18,000,000","9,000,000","7,000,000","0","0",,,"0","-1,000,000",,,"0",,,,"0",,,,,,,
IssuanceOfDebt,"1,425,000,000","274,000,000","936,000,000","98,000,000","117,000,000","1,199,000,000","309,000,000","489,000,000","340,000,000","211,000,000","759,000,000","93,000,000","511,000,000","4,000,000","600,000,000","0","228,000,000","34,000,000","55,000,000","0","0","41,000,000","491,000,000",,,,"255,000,000","14,000,000","365,000,000","210,000,000","0","538,000,000","41,000,000","345,000,000","0","0","64,000,000","356,000,000","68,000,000","39,000,000","4,000,000","6,000,000"
RepaymentOfDebt,"-1,879,000,000","-337,000,000","-1,199,000,000","-209,000,000","-134,000,000","-1,127,000,000","-473,000,000","-507,000,000","-375,000,000","-437,000,000","-914,000,000","-84,000,000","-334,000,000","-304,000,000","-425,000,000","-100,000,000","-296,000,000","-79,000,000","-108,000,000","-82,000,000","-67,000,000","-75,000,000","-426,000,000",,,,"-99,000,000","-251,000,000","-537,000,000","-61,000,000","-33,000,000","-47,000,000","-74,000,000","-74,000,000","-34,000,000","-10,000,000","-14,000,000","-13,000,000","-6,000,000","-5,000,000","-8,000,000","-24,000,000"
FreeCashFlow,"607,000,000","46,000,000","145,000,000","257,000,000","180,000,000","-32,000,000","75,000,000","245,000,000","57,000,000","44,000,000","75,000,000","120,000,000","9,000,000","45,000,000","81,000,000","198,000,000","89,000,000","47,000,000","134,000,000","193,000,000","101,000,000","57,000,000","117,000,000","236,000,000","92,000,000","95,000,000","91,000,000","173,000,000","5,000,000","75,000,000","24,000,000","122,000,000","47,000,000","-3,000,000","32,000,000","64,000,000","-24,000,000","-169,000,000","-69,000,000","-155,000,000","-60,000,000","-38,000,000"
