name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalAssets,"1,932,349,000","1,845,250,000","1,789,259,000","1,647,395,000","1,610,585,000","1,548,774,000","1,565,680,000","1,538,200,000","1,577,259,000","1,415,693,000","1,422,272,000","1,352,120,000","1,246,857,000","1,133,743,000","1,088,092,000","1,085,958,000","1,015,547,000","967,647,000","952,719,000","940,330,000","927,196,000","800,370,000","808,612,000","828,907,000","795,705,000","729,193,000","750,987,000","756,339,000","739,523,000","686,445,000","679,494,000","682,691,000","643,845,000","616,801,000","605,675,000","600,517,000","535,054,000","519,688,000","542,262,000","531,864,000","514,924,000","474,886,000","474,000,000","460,149,000","458,508,000","452,157,000","465,122,000","465,278,000","467,851,000","466,426,000","496,541,000","495,274,000","501,752,000","515,752,000","577,774,000","592,989,000","575,552,000","560,583,000","539,650,000","518,684,000","509,512,000","487,400,000","493,586,000","479,237,000","554,852,000","554,741,000","546,729,000","521,291,000","517,499,000","508,738,000","513,853,000","503,840,000","486,393,000","464,066,000","463,593,000","457,906,000","446,458,000","444,343,000","453,308,000"
	CurrentAssets,"510,666,000","416,255,000","450,609,000","353,881,000","348,315,000","271,696,000","280,117,000","269,643,000","305,908,000","232,379,000","249,709,000","261,389,000","241,087,000","213,373,000","224,657,000","232,687,000","225,999,000","203,581,000","200,599,000","197,630,000","184,648,000","166,479,000","166,402,000","172,141,000","175,435,000","158,989,000","185,737,000","193,997,000","196,018,000","189,636,000","193,460,000","194,515,000","186,368,000","170,253,000","169,153,000","167,402,000","159,619,000","144,163,000","156,741,000","151,692,000","150,018,000","142,816,000","147,999,000","155,396,000","163,355,000","153,496,000","160,074,000","152,743,000","145,586,000","134,553,000","157,193,000","150,509,000","151,416,000","156,034,000","179,441,000","185,759,000","164,261,000","151,609,000","155,140,000","151,261,000","143,390,000","133,684,000","174,833,000","180,651,000","172,021,000","174,245,000","180,084,000","160,814,000","158,324,000","153,264,000","173,271,000","168,556,000","152,132,000","154,514,000","160,508,000","161,133,000","152,230,000","139,489,000","137,174,000"
		CashCashEquivalentsAndShortTermInvestments,"141,325,000","106,588,000","121,702,000","52,860,000","53,260,000","25,308,000","25,469,000","29,280,000","46,909,000","248,000","15,000","503,000","31,000","2,194,000","529,000","1,189,000","496,000","4,720,000","81,000","399,000","711,000","1,539,000","789,000","360,000","238,000","124,000","4,540,000","3,663,000","196,000","4,367,000","7,244,000","1,788,000","842,000","159,000","4,060,000","2,872,000","437,000","321,000","804,000","826,000","60,000","1,317,000","3,522,000","10,716,000","22,001,000","29,045,000","27,208,000","13,629,000","6,372,000","8,746,000","18,203,000","10,422,000","11,950,000","27,061,000","21,134,000","5,565,000","5,332,000","6,656,000","3,771,000","6,279,000","6,968,000","10,669,000","47,816,000","47,602,000","5,219,000","16,865,000","3,943,000","8,353,000","10,809,000","7,499,000","23,787,000","21,024,000","5,945,000","30,870,000","31,280,000","32,316,000","23,135,000","21,872,000","2,383,000"
			CashAndCashEquivalents,"141,325,000","106,588,000","121,702,000","52,860,000","53,260,000","25,308,000","25,469,000","29,280,000","46,909,000","248,000","15,000","503,000","31,000","2,194,000","529,000","1,189,000","496,000","4,720,000","81,000","399,000","711,000","1,539,000","789,000","360,000","238,000","124,000","4,540,000","3,663,000","196,000","4,367,000","7,244,000","1,788,000","842,000","159,000","4,060,000","2,872,000","437,000","321,000","804,000","826,000","60,000","1,317,000","3,522,000","10,716,000","22,001,000","29,045,000","27,208,000","13,629,000","6,372,000","8,746,000","18,203,000","10,422,000","11,950,000","27,061,000","21,134,000","5,565,000","5,332,000","6,656,000","3,771,000","6,279,000","6,968,000","10,669,000","47,816,000","47,602,000","5,219,000","16,865,000","3,943,000","8,353,000","10,809,000","7,499,000","23,787,000","21,024,000","5,945,000","30,870,000","31,280,000","32,316,000","23,135,000","21,872,000","2,383,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,383,000"
		Receivables,"322,343,000","276,755,000","295,862,000","262,711,000","242,895,000","216,995,000","226,677,000","206,281,000","217,436,000","204,407,000","218,000,000","227,046,000","202,133,000","183,437,000","197,973,000","200,644,000","191,437,000","174,274,000","172,119,000","167,012,000","148,968,000","142,072,000","143,461,000","142,331,000","137,607,000","139,967,000","139,041,000","146,202,000","140,330,000","146,702,000","146,597,000","148,850,000","141,917,000","131,434,000","127,542,000","130,929,000","126,597,000","109,078,000","124,822,000","123,697,000","120,743,000","110,748,000","115,166,000","114,661,000","110,672,000","100,018,000","104,473,000","101,435,000","99,211,000","95,603,000","97,444,000","96,733,000","96,320,000","93,691,000","121,533,000","127,690,000","116,352,000","114,329,000","118,156,000","114,695,000","105,532,000","95,779,000","95,002,000","95,959,000","130,531,000","126,824,000","141,927,000","122,266,000","114,801,000","116,636,000","118,695,000","112,901,000","110,453,000","93,283,000","98,079,000","94,673,000","94,410,000","86,908,000","99,233,000"
			AccountsReceivable,"322,343,000","276,755,000","295,862,000","261,113,000","242,895,000","216,899,000","226,677,000","205,131,000","210,894,000","196,119,000","218,000,000","227,046,000","202,133,000","181,612,000","197,973,000","200,644,000","191,437,000","170,610,000","172,119,000","167,012,000","148,968,000","135,083,000","143,461,000","142,331,000","137,607,000","124,222,000","139,041,000","146,202,000","140,330,000","128,367,000","146,597,000","148,850,000","141,917,000","117,937,000","127,542,000","130,929,000","126,597,000","106,814,000","124,822,000","123,697,000","120,743,000","107,436,000","115,166,000","114,661,000","110,672,000","94,569,000","104,473,000","101,435,000","99,211,000","87,507,000","97,444,000","96,733,000","96,320,000","93,691,000","121,533,000","127,690,000","116,352,000","107,116,000","118,156,000","114,695,000","105,532,000","95,779,000","95,002,000","95,959,000","130,531,000","126,824,000","141,927,000","122,266,000","114,801,000","110,044,000","118,695,000","112,901,000","110,453,000","93,283,000","98,079,000","94,673,000","94,410,000","86,908,000","99,233,000"
				GrossAccountsReceivable,,"282,285,000",,,,"222,565,000",,,,"199,861,000",,,,"185,640,000",,,,"174,601,000",,,,"138,305,000",,,,"127,770,000",,,,"132,235,000",,,,"121,674,000",,,,"110,695,000",,,,"111,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-5,530,000",,,,"-5,666,000",,,,"-3,742,000",,,,"-4,028,000",,,,"-3,991,000",,,,"-3,222,000",,,,"-3,548,000",,,,"-3,868,000",,,,"-3,737,000",,,,"-3,881,000",,,,"-3,811,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"0","0","1,598,000","0","96,000","0","1,150,000","6,542,000","8,288,000",,,,"1,825,000",,,,"3,664,000",,,,"6,989,000",,,,"15,745,000",,,,"18,335,000",,,,"13,497,000",,,,"2,264,000",,,,"3,312,000",,,,"5,449,000",,,,"8,096,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,
