name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,12/31/2008
TotalAssets,"12,689,000,000","12,603,000,000","9,477,000,000","8,962,000,000","8,769,000,000","9,129,000,000","9,225,000,000","8,580,000,000","8,298,000,000","8,417,000,000","8,129,000,000","8,082,000,000","8,035,000,000","7,643,000,000","7,724,000,000","7,316,000,000","7,987,000,000","7,672,000,000","7,861,000,000","7,901,000,000","7,763,000,000","7,749,000,000","7,647,000,000","7,706,000,000","7,899,000,000","7,596,000,000","7,672,000,000","7,842,000,000","7,909,000,000","8,143,000,000","8,069,000,000","8,013,000,000","8,176,000,000","8,177,000,000","7,869,000,000","7,707,000,000","7,722,000,000","7,640,000,000","7,736,000,000","7,681,000,000","7,562,000,000","7,507,000,000","7,387,000,000","6,997,000,000","7,278,000,000","7,243,000,000","7,232,000,000","7,170,000,000","7,154,000,000","7,155,000,000","7,054,000,000","6,739,000,000","6,119,000,000"
	CurrentAssets,"2,597,000,000","2,062,000,000","3,239,000,000","2,474,000,000","2,332,000,000","2,563,000,000","2,638,000,000","1,938,000,000","1,753,000,000","1,706,000,000","1,476,000,000","1,304,000,000","1,302,000,000","1,345,000,000","1,943,000,000","1,727,000,000","2,196,000,000","1,327,000,000","1,268,000,000","1,363,000,000","1,048,000,000","1,139,000,000","1,219,000,000","1,347,000,000","1,462,000,000","1,124,000,000","1,287,000,000","1,483,000,000","1,574,000,000","1,709,000,000","1,113,000,000","1,354,000,000","1,462,000,000","1,163,000,000","1,756,000,000","1,839,000,000","1,696,000,000","1,758,000,000","1,876,000,000","1,440,000,000","1,581,000,000","1,591,000,000","1,688,000,000","1,898,000,000","2,185,000,000","2,165,000,000","2,200,000,000","2,211,000,000","2,162,000,000","1,989,000,000","1,894,000,000","1,529,000,000","1,057,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,305,000,000","1,187,000,000","2,775,000,000","1,737,000,000","1,628,000,000","1,882,000,000","2,088,000,000","1,503,000,000","1,262,000,000","961,000,000","723,000,000","577,000,000","601,000,000","686,000,000","1,231,000,000","782,000,000","1,214,000,000","552,000,000","439,000,000","451,000,000","426,000,000","538,000,000","590,000,000","691,000,000","826,000,000","503,000,000","634,000,000","724,000,000","643,000,000","815,000,000","293,000,000","583,000,000","795,000,000","484,000,000","812,000,000","805,000,000","787,000,000","927,000,000","988,000,000","906,000,000","1,051,000,000","1,122,000,000","1,196,000,000","1,397,000,000","1,663,000,000","1,634,000,000","1,610,000,000","1,623,000,000","1,308,000,000","1,327,000,000","1,297,000,000","968,000,000","428,000,000"
			CashAndCashEquivalents,"1,023,000,000","960,000,000","2,418,000,000","1,144,000,000","1,078,000,000","1,207,000,000","1,778,000,000","1,438,000,000","1,194,000,000","893,000,000","660,000,000","515,000,000","547,000,000","570,000,000","1,014,000,000","628,000,000","1,160,000,000","503,000,000","383,000,000","400,000,000","374,000,000","482,000,000","544,000,000","642,000,000","771,000,000","457,000,000","569,000,000","644,000,000","563,000,000","685,000,000","263,000,000","553,000,000","765,000,000","454,000,000","774,000,000","718,000,000","330,000,000","413,000,000","446,000,000","404,000,000","542,000,000","534,000,000","690,000,000","876,000,000","1,136,000,000","1,110,000,000","1,006,000,000","1,179,000,000","1,308,000,000","1,327,000,000","1,297,000,000","968,000,000","428,000,000"
			OtherShortTermInvestments,"282,000,000","227,000,000","357,000,000","593,000,000","550,000,000","675,000,000","310,000,000","65,000,000","68,000,000","68,000,000","63,000,000","62,000,000","54,000,000","116,000,000","217,000,000","154,000,000","54,000,000","49,000,000","56,000,000","51,000,000","52,000,000","56,000,000","46,000,000","49,000,000","55,000,000","46,000,000","65,000,000","80,000,000","80,000,000","130,000,000","30,000,000","30,000,000","30,000,000","30,000,000","38,000,000","87,000,000","457,000,000","514,000,000","542,000,000","502,000,000","509,000,000","588,000,000","506,000,000","521,000,000","527,000,000","524,000,000","604,000,000","444,000,000",,,,,
		Receivables,"655,000,000","633,000,000","373,000,000","360,000,000","340,000,000","316,000,000","322,000,000","313,000,000","365,000,000","421,000,000","434,000,000","497,000,000","472,000,000","427,000,000","436,000,000","379,000,000","367,000,000","350,000,000","360,000,000","368,000,000","367,000,000","304,000,000","318,000,000","330,000,000","328,000,000","298,000,000","325,000,000","343,000,000","362,000,000","274,000,000","309,000,000","316,000,000","323,000,000","273,000,000","290,000,000","606,000,000","572,000,000","531,000,000","605,000,000","358,000,000","349,000,000","225,000,000","286,000,000","233,000,000","215,000,000","272,000,000","287,000,000","313,000,000",,"410,000,000","330,000,000","255,000,000","353,000,000"
			AccountsReceivable,"655,000,000","633,000,000","373,000,000","360,000,000","340,000,000","316,000,000","322,000,000","313,000,000","365,000,000","421,000,000","434,000,000","497,000,000","472,000,000","427,000,000","436,000,000","379,000,000","367,000,000","350,000,000","360,000,000","368,000,000","367,000,000","304,000,000","318,000,000","330,000,000","328,000,000","298,000,000","325,000,000","343,000,000","362,000,000","274,000,000","309,000,000","316,000,000","323,000,000","273,000,000","290,000,000","606,000,000","572,000,000","531,000,000","542,000,000","280,000,000","267,000,000","225,000,000","218,000,000","233,000,000","215,000,000",,,,,,,"255,000,000",
				GrossAccountsReceivable,"711,000,000","686,000,000","431,000,000","418,000,000","397,000,000","372,000,000","368,000,000","351,000,000","403,000,000","453,000,000","464,000,000","525,000,000","502,000,000","453,000,000","461,000,000","403,000,000","390,000,000","371,000,000","381,000,000","389,000,000","385,000,000","322,000,000","335,000,000","347,000,000","344,000,000","313,000,000","340,000,000","358,000,000","377,000,000","287,000,000","321,000,000","328,000,000","335,000,000","284,000,000","302,000,000","618,000,000","584,000,000","542,000,000","551,000,000","289,000,000","276,000,000","235,000,000","229,000,000","245,000,000","230,000,000",,,,,,,"270,000,000",
				AllowanceForDoubtfulAccountsReceivable,"-56,000,000","-53,000,000","-58,000,000","-58,000,000","-57,000,000","-56,000,000","-46,000,000","-38,000,000","-38,000,000","-32,000,000","-30,000,000","-28,000,000","-30,000,000","-26,000,000","-25,000,000","-24,000,000","-23,000,000","-21,000,000","-21,000,000","-21,000,000","-18,000,000","-18,000,000","-17,000,000","-17,000,000","-16,000,000","-15,000,000","-15,000,000","-15,000,000","-15,000,000","-13,000,000","-12,000,000","-12,000,000","-12,000,000","-11,000,000","-12,000,000","-12,000,000","-12,000,000","-11,000,000","-9,000,000","-9,000,000","-9,000,000","-10,000,000","-11,000,000","-12,000,000","-15,000,000",,,,,,,"-15,000,000",
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,000,000","78,000,000","82,000,000",,"68,000,000",,,,,,,,,,
