name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,06/30/2005,03/31/2005
OperatingCashFlow,"-94,032,000","-23,255,000","-81,387,000","7,200,000","3,410,000","-23,857,000","73,499,000","-77,169,000","151,840,000","57,479,000","88,082,000","69,211,000","64,128,000","-5,009,000","33,453,000","71,924,000","60,620,000","37,964,000","83,555,000","83,235,000","133,108,000","66,766,000","88,451,000","99,442,000","107,496,000","70,343,000","90,181,000","91,361,000","100,767,000","10,057,000","85,804,000","12,634,000","91,518,000","52,696,000","117,046,000","104,247,000","80,343,000","64,485,000","82,991,000","79,431,000","82,854,000","45,693,000","56,425,000","54,650,000","64,686,000","92,666,000","49,089,000","64,384,000","67,642,000","47,129,000","51,248,000","72,900,000","44,315,000","68,757,000","29,413,000","30,630,000","36,095,000","40,629,000","61,253,000","53,499,000","56,082,000","28,828,000","32,235,000","30,438,000","11,120,000","12,119,000","15,989,000","-4,428,000"
	CashFlowFromContinuingOperatingActivities,"-94,032,000","-23,255,000","-81,387,000","7,200,000","3,410,000","-23,857,000","73,499,000","-77,169,000","151,866,000","57,453,000","88,082,000","69,211,000","64,128,000","-5,009,000","33,453,000","71,924,000","60,620,000","37,964,000","83,555,000","83,235,000","133,108,000","66,766,000","88,451,000","99,442,000","107,496,000","70,343,000","90,181,000","91,361,000","100,767,000","10,057,000","85,804,000","12,634,000","91,518,000","52,696,000","117,046,000","104,247,000","80,343,000","64,485,000","82,991,000","79,431,000","82,854,000","45,693,000","56,425,000","54,650,000","64,686,000","92,666,000","49,089,000","64,384,000","67,642,000","47,129,000","51,248,000","72,900,000","44,315,000","68,757,000","29,413,000","30,630,000","36,095,000","40,629,000","61,253,000","53,499,000","56,082,000","28,828,000","32,235,000","30,438,000","11,120,000","12,119,000","15,989,000","-4,428,000"
		NetIncomeFromContinuingOperations,"-91,093,000","-100,032,000","-81,720,000","174,263,000","-83,604,000","-108,303,000","-44,139,000","-124,993,000","-118,420,000","369,497,000","-91,323,000","-78,508,000","-56,055,000","-42,606,000","131,531,000","-37,140,000","-165,509,000","-457,234,000","15,021,000","-413,929,000","-46,337,000","-126,361,000","-268,600,000","-51,728,000","-35,491,000","-48,817,000","-174,303,000","-68,336,000","-84,807,000","-130,709,000","-106,796,000","-37,036,000","-3,295,000","-2,299,000","-975,000","-967,000","-5,200,000","3,558,000","-24,487,000",,,"-10,338,000",,,,"-12,305,000","-8,136,000","-16,913,000","-9,557,000","-14,295,000","-20,799,000","-21,290,000","-10,530,000","-13,636,000","-278,786,000","-35,877,000","-3,485,000","-55,093,000","-49,237,000","-58,927,000","-18,675,000","-35,140,000","-37,357,000","-31,145,000","-20,259,000","-19,326,000","-5,954,000","-1,310,000"
		OperatingGainsLosses,"-294,889,000","1,785,000","4,052,000","-286,901,000","-13,867,000","-581,000","942,000","6,001,000","748,000","-391,012,000","-3,498,000","3,970,000","844,000","1,443,000","-202,913,000","-8,450,000","-21,772,000","-39,227,000","-16,080,000","7,602,000","5,198,000","-278,000","-5,248,000","1,539,000","-136,000","-3,604,000","575,000","19,000","748,000","-890,000","3,134,000","2,025,000","3,035,000","287,000","-656,000","1,025,000","-1,364,000","-1,176,000","3,357,000","2,837,000","-87,000","-1,702,000","401,000","-2,553,000","15,108,000","1,313,000","-3,037,000","1,132,000","237,000","-234,000","-3,844,000","1,580,000","-3,023,000","-754,000","-2,020,000","-358,000","745,000","363,000","2,658,000","12,136,000","-17,148,000","6,411,000","-7,589,000","11,789,000","2,987,000","10,444,000",,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","636,000","1,538,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,000",,,,,,,"2,111,000","0","103,000","-4,455,000",,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-3,403,000",,,,,,,,,"1,000","37,000","27,000","148,000","250,000","10,000","217,000","-74,000","15,000","74,000","39,000","46,000","150,000","0","4,000","24,000","7,000","164,000","76,000","550,000","532,000","10,000","1,322,000","847,000","-386,000","1,377,000","-1,836,000","-135,000","-7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-6,031,000","4,894,000","1,547,000","1,474,000","-13,946,000","531,000","1,244,000","293,000","-438,000","1,008,000","970,000","2,057,000","991,000","526,000","1,897,000","1,340,000","1,324,000","4,243,000","4,516,000","6,722,000","4,570,000","-981,000","-1,182,000","878,000","-338,000","-1,018,000","38,000","1,578,000","672,000","-1,484,000","742,000","1,246,000","-1,523,000","-636,000","-493,000","-431,000","-445,000","-115,000","3,277,000","249,000","-145,000","107,000","-1,137,000","117,000","-146,000","-266,000","1,020,000","-272,000","256,000","-397,000","728,000","402,000","-581,000","-584,000",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"346,482,000","87,226,000","87,028,000","86,539,000","85,731,000","85,764,000","89,340,000","89,551,000","94,710,000","92,053,000","96,108,000","94,680,000","94,983,000","97,719,000","106,748,000","111,809,000","118,444,000","118,211,000","119,908,000","121,193,000","123,579,000","130,078,000","131,510,000","133,163,000","135,682,000","129,447,000","128,894,000","161,331,000","225,483,000","220,808,000","216,202,000","178,810,000","75,166,000","74,334,000","72,237,000","72,744,000","71,602,000","69,228,000","66,979,000","67,419,000","68,147,000","67,817,000","66,479,000","68,381,000","72,587,000","74,486,000","72,874,000","77,195,000","75,578,000","75,657,000","45,957,000","69,150,000","76,848,000","63,479,000","132,650,000","64,277,000","65,040,000","65,721,000","61,315,000","73,979,000","78,854,000","69,258,000","70,045,000","58,103,000","30,716,000","21,832,000","10,207,000","5,596,000"
			DepreciationAndAmortization,"346,482,000","87,226,000","87,028,000","86,539,000","85,731,000","85,764,000","89,340,000","89,551,000","94,710,000","92,053,000","96,108,000","94,680,000","94,983,000","97,719,000","106,748,000","111,809,000","118,444,000","118,211,000","119,908,000","121,193,000","123,579,000","130,078,000","131,510,000","133,163,000","135,682,000","129,447,000","128,894,000","161,331,000","225,483,000","220,808,000","216,202,000","178,810,000","75,166,000","74,334,000","72,237,000","72,744,000","71,602,000","69,228,000","66,979,000","67,419,000","68,147,000","67,817,000","66,479,000","68,381,000","72,587,000","74,486,000","72,874,000","77,195,000","75,578,000","75,657,000","45,957,000","69,150,000","76,848,000","63,479,000","132,650,000","64,277,000","65,040,000","65,721,000","61,315,000","73,979,000","78,854,000","69,258,000","70,045,000","58,103,000","30,716,000","21,832,000","10,207,000","5,596,000"
