name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,12/31/1991
TotalAssets,"32,939,998,000","32,258,355,000","32,665,566,000","33,691,962,000","34,347,073,000","32,465,187,000","31,828,810,000","33,306,543,000","33,445,053,000","30,320,284,000","29,825,461,000","29,808,962,000","28,720,049,000","27,698,270,000","27,093,540,000","24,057,036,000","23,970,972,000","22,296,317,000","22,099,314,000","22,024,168,000","22,017,257,000","22,310,324,000","22,450,262,000","22,471,493,000","20,963,413,000","20,921,855,000","20,958,848,000","21,395,194,000","20,869,593,000","20,713,190,000","19,599,910,000","20,012,211,000","20,126,140,000","20,072,947,000","20,086,245,000","19,950,794,000","19,866,101,000","19,827,930,000","19,668,222,000","19,696,104,000","20,028,959,000","19,804,405,000","20,170,026,000","19,948,498,000","19,775,492,000","19,694,904,000","18,605,808,000","18,303,014,000","18,037,146,000","18,233,494,000","17,186,295,000","16,336,657,000","16,191,027,000","16,463,310,000","15,770,686,000","16,461,036,000","15,551,733,000","14,982,281,000","15,165,818,000","14,560,302,000","13,694,072,000","13,393,088,000","12,211,732,000","12,300,086,000","11,551,727,000","11,255,771,000","11,244,200,000","11,591,538,000","11,600,111,000","11,964,084,000","12,001,769,000","12,013,625,000","11,558,477,000","11,322,742,000","11,068,003,000","10,882,635,000","10,476,360,000","10,538,531,000","10,513,140,000","10,581,325,000","10,309,535,000","10,368,782,000","9,901,433,000","9,588,601,000","8,886,172,000","7,828,465,000","7,752,463,000","6,862,903,000","6,445,138,000","6,380,511,000","6,427,900,000","5,874,400,000","5,784,300,000","5,686,076,000","5,820,100,000","5,827,500,000","5,833,100,000","5,339,700,000","5,134,000,000","3,211,800,000","2,898,900,000","2,842,300,000","2,610,700,000","2,514,600,000","2,531,900,000","2,203,200,000","2,187,200,000","2,195,400,000","1,862,800,000","1,865,000,000","1,861,300,000","1,874,400,000","1,802,200,000","1,811,800,000","1,829,800,000","1,861,600,000","1,850,100,000","1,841,700,000","1,631,700,000"
	CurrentAssets,"3,176,939,000","3,600,271,000","4,167,381,000","5,009,230,000","5,649,969,000","4,311,747,000","3,531,795,000","4,684,440,000","4,594,201,000","1,162,628,000","1,203,957,000","1,282,967,000","1,333,122,000","1,242,044,000","1,359,000,000","1,099,896,000","1,034,526,000","843,028,000","798,152,000","767,641,000","756,689,000","748,305,000","803,069,000","857,938,000","892,286,000","837,022,000","900,826,000","913,391,000","951,203,000","801,083,000","860,226,000","978,340,000","1,010,933,000","956,374,000","1,018,675,000","953,094,000","958,614,000","888,060,000","1,033,180,000","954,148,000","1,123,497,000","969,288,000","1,223,118,000","1,326,876,000","1,214,686,000","1,015,071,000","1,043,307,000","911,148,000","917,228,000","1,026,391,000","1,020,636,000","910,461,000","900,159,000","977,337,000","1,045,854,000","1,243,819,000","1,249,056,000","992,791,000","1,060,271,000","747,524,000","694,368,000","501,904,000","519,105,000","669,677,000","553,835,000","377,010,000","451,101,000","578,706,000","562,188,000","860,606,000","983,313,000","961,124,000","806,915,000","574,550,000","678,287,000","844,316,000","427,507,000","447,743,000","841,431,000","804,030,000","852,425,000","886,114,000","927,023,000","1,005,768,000","465,538,000","310,719,000","307,270,000","205,399,000","229,013,000","194,377,000","792,700,000","319,800,000","264,200,000","286,331,000","447,300,000","459,600,000","657,600,000","211,100,000","315,000,000","120,800,000","113,300,000","112,400,000","190,100,000","95,300,000","107,700,000","87,800,000","85,100,000","108,800,000","106,000,000","118,100,000","85,200,000","101,000,000","74,500,000","81,000,000","85,100,000","103,900,000","95,700,000","107,000,000","91,600,000"
		CashCashEquivalentsAndShortTermInvestments,"1,968,504,000","2,701,770,000","3,289,326,000","4,250,369,000","5,091,463,000","3,684,474,000","3,016,788,000","4,146,691,000","3,890,811,000","243,738,000","276,730,000","235,001,000","248,197,000","287,852,000","254,821,000","108,998,000","111,245,000","120,112,000","139,950,000","130,477,000","109,309,000","132,603,000","178,428,000","175,164,000","117,360,000","121,565,000","147,419,000","159,360,000","229,705,000","189,241,000","183,181,000","185,262,000","216,508,000","204,687,000","209,567,000","205,174,000","215,888,000","194,855,000","241,237,000","212,209,000","277,533,000","262,186,000","451,460,000","551,460,000","470,258,000","419,929,000","479,445,000","364,336,000","361,211,000","398,713,000","285,863,000","309,758,000","455,884,000","484,813,000","460,592,000","687,466,000","757,418,000","444,676,000","411,906,000","212,365,000","199,616,000","104,520,000","220,538,000","323,183,000","271,977,000","125,385,000","189,206,000","298,028,000","311,340,000","628,578,000","740,874,000","706,337,000","552,997,000","330,086,000","380,040,000","528,983,000","150,813,000","242,584,000","641,808,000","593,864,000","629,817,000","727,178,000","764,590,000","819,087,000","285,724,000","177,810,000","195,577,000","94,011,000","102,901,000","63,470,000","664,800,000","156,800,000","108,300,000","172,921,000","350,700,000","370,000,000","548,100,000","110,800,000","135,300,000","44,800,000","37,600,000","40,400,000","97,200,000","28,000,000","27,100,000","31,300,000","31,100,000","34,800,000","31,400,000","23,900,000","38,800,000","57,300,000","27,300,000","32,300,000","30,900,000","41,600,000","34,600,000","56,500,000","27,400,000"
			CashAndCashEquivalents,"1,968,504,000","2,701,770,000","3,289,326,000","4,250,369,000","5,091,463,000","3,684,474,000","3,016,788,000","4,146,691,000","3,890,811,000","243,738,000","276,730,000","235,001,000","248,197,000","287,852,000","254,821,000","108,998,000","111,245,000","120,112,000","139,950,000","130,477,000","109,309,000","132,603,000","178,428,000","175,164,000","117,360,000","121,565,000","147,419,000","159,360,000","229,705,000","189,241,000","183,181,000","185,262,000","216,508,000","204,687,000","209,567,000","205,174,000","215,888,000","194,855,000","241,237,000","212,209,000","277,533,000","262,186,000","451,460,000","551,460,000","470,258,000","419,929,000","441,930,000","318,820,000","278,104,000","284,619,000","285,863,000","309,758,000","455,884,000","402,878,000","301,963,000","387,158,000","441,127,000","230,784,000","411,906,000","212,365,000","199,616,000","104,520,000","220,538,000","323,183,000","271,977,000","125,385,000","189,206,000","298,028,000","311,340,000","628,578,000","740,874,000","706,337,000","552,997,000","330,086,000","380,040,000","528,983,000","150,813,000","242,584,000","641,808,000","593,864,000","629,817,000","727,178,000","764,590,000","819,087,000","285,724,000","177,810,000","195,577,000","94,011,000","102,901,000","63,470,000","664,800,000","156,800,000","108,300,000","172,921,000","350,700,000","370,000,000","548,100,000","110,800,000","135,300,000","44,800,000","37,600,000","40,400,000","97,200,000","28,000,000","27,100,000","31,300,000","31,100,000","34,800,000","31,400,000","23,900,000","38,800,000","57,300,000","27,300,000","32,300,000","30,900,000","41,600,000","34,600,000","56,500,000","27,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","37,515,000","45,516,000","83,107,000","114,094,000",,,,"81,935,000","158,629,000","300,308,000","316,291,000","213,892,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"506,160,000","408,067,000","397,232,000","345,055,000","226,740,000","284,149,000","165,225,000","205,921,000","220,876,000","305,821,000","348,991,000","340,921,000","374,982,000","324,507,000","385,297,000","355,729,000","387,862,000","318,641,000","285,332,000","263,992,000","292,975,000","291,899,000","273,422,000","215,804,000","253,303,000","238,972,000","241,638,000","212,454,000","297,073,000","261,392,000","252,918,000","293,516,000","299,036,000","259,746,000","342,021,000","310,051,000","308,030,000","281,421,000","301,110,000","284,658,000","313,001,000","292,447,000","303,919,000","273,708,000","276,885,000","266,710,000","279,388,000","212,204,000","257,592,000","338,804,000","334,666,000","241,224,000","194,508,000","271,287,000","324,131,000","250,557,000","236,293,000","313,640,000","337,889,000","212,685,000","207,020,000","185,886,000","106,691,000","84,398,000","82,259,000","95,254,000","74,813,000","82,933,000","82,239,000","84,899,000","86,701,000","94,957,000","88,206,000","89,489,000","98,592,000","106,906,000","103,058,000","79,535,000","82,358,000","87,514,000","74,520,000","72,196,000","66,509,000","78,262,000","62,546,000","53,609,000","40,246,000","36,729,000","47,527,000","53,459,000","52,300,000","91,400,000","78,800,000","36,532,000","40,000,000","29,000,000","26,000,000","22,600,000","26,500,000","18,900,000","17,300,000","15,500,000","17,600,000","18,200,000","14,500,000","12,200,000","9,400,000","10,700,000","10,200,000","9,400,000","8,700,000","7,800,000","8,000,000","7,500,000","8,700,000","8,500,000","8,800,000","11,000,000","9,700,000"
			AccountsReceivable,"506,160,000","408,067,000","397,232,000","345,055,000","226,740,000","284,149,000","165,225,000","205,921,000","220,876,000","305,821,000","348,991,000","340,921,000","374,982,000","324,507,000","385,297,000","355,729,000","387,862,000","318,641,000","285,332,000","263,992,000","292,975,000","291,899,000","273,422,000","215,804,000","253,303,000","238,972,000","241,638,000","212,454,000","297,073,000","261,392,000","252,918,000","293,516,000","299,036,000","259,746,000","342,021,000","310,051,000","308,030,000","281,421,000","301,110,000","284,658,000","313,001,000","292,447,000","303,919,000","273,708,000","276,885,000","266,710,000","279,388,000","212,204,000","257,592,000","338,804,000","334,666,000","241,224,000","194,508,000","271,287,000","324,131,000","250,557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"512,259,000","421,478,000","409,601,000","349,514,000","231,049,000","288,016,000","172,898,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-6,099,000","-13,411,000","-12,369,000","-4,459,000","-4,309,000","-3,867,000","-7,673,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"179,466,000","150,224,000","142,408,000","132,888,000","119,405,000","118,703,000","142,432,000","152,596,000","177,705,000","162,107,000","167,213,000","168,009,000","157,939,000","153,573,000","152,157,000","121,879,000","110,826,000","111,393,000","119,949,000","109,136,000","108,427,000","114,087,000","118,849,000","112,380,000","121,392,000","121,332,000","131,108,000","140,228,000","125,063,000","123,490,000","136,162,000","143,375,000","145,155,000","151,244,000","160,225,000","141,440,000","145,922,000","146,295,000","143,954,000","146,711,000","147,898,000","144,553,000","152,273,000","145,547,000","140,557,000","126,797,000","113,061,000","110,695,000","111,349,000","107,877,000","109,663,000","102,520,000","91,957,000","96,077,000","114,290,000","118,343,000","98,037,000","96,813,000","88,796,000","86,567,000","80,781,000","76,969,000","69,432,000","74,866,000","59,027,000","57,803,000","68,880,000","67,544,000","59,585,000","60,260,000","60,069,000","64,965,000","56,628,000","53,277,000","47,267,000","48,275,000","44,673,000","37,299,000","34,849,000","33,423,000","34,280,000","33,493,000","34,191,000","32,913,000","31,841,000","30,115,000","26,890,000","27,161,000","23,929,000","26,398,000","30,400,000","30,800,000","30,800,000","31,834,000","28,800,000","28,700,000","35,900,000","37,300,000","38,200,000","26,200,000","21,800,000","22,700,000","18,800,000","18,000,000","19,300,000","16,800,000","16,400,000","15,900,000","13,600,000","13,600,000","12,000,000","12,100,000","10,800,000","10,400,000","11,400,000","13,700,000","14,800,000","12,900,000","11,700,000"
