name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019
TotalAssets,"527,085,000","539,139,000","527,838,000","537,049,000","545,639,000","442,319,000","133,890,000","93,236,000"
	CurrentAssets,"457,456,000","411,699,000","514,267,000","525,326,000","536,237,000","433,128,000","123,325,000","86,806,000"
		CashCashEquivalentsAndShortTermInvestments,"445,226,000","400,074,000","506,604,000","517,773,000","531,142,000","431,863,000","121,506,000","86,020,000"
			CashAndCashEquivalents,"225,334,000","232,813,000","331,402,000","370,675,000","445,763,000","333,585,000","17,706,000","17,485,000"
				CashEquivalents,"225,334,000",,,,,,,
			OtherShortTermInvestments,"219,892,000","167,261,000","175,202,000","147,098,000","85,379,000","98,278,000","103,800,000","68,535,000"
		Receivables,"4,459,000","4,144,000","2,540,000","1,675,000","513,000","361,000","1,231,000","326,000"
			AccountsReceivable,"2,793,000","2,495,000","1,165,000","896,000",,,,
			AccruedInterestReceivable,,,,,,"120,000","309,000","313,000"
			DuefromRelatedPartiesCurrent,"1,126,000","1,283,000","703,000","439,000","101,000","99,000","905,000","0"
			OtherReceivables,"540,000","366,000","672,000","340,000","412,000","142,000","17,000","13,000"
		Inventory,"3,550,000","4,145,000","2,557,000","2,670,000","1,541,000","551,000",,
			RawMaterials,"1,866,000","1,836,000","1,743,000","1,833,000","622,000",,,
			WorkInProcess,"360,000","221,000",,,,,,
			FinishedGoods,"1,324,000","2,088,000","814,000","837,000","919,000",,,
		PrepaidAssets,"4,221,000","3,336,000","2,566,000","3,208,000","3,041,000","452,000","588,000","460,000"
		OtherCurrentAssets,,,,,,"-99,000",,
	TotalNonCurrentAssets,"69,629,000","127,440,000","13,571,000","11,723,000","9,402,000","9,191,000","10,565,000","6,430,000"
		NetPPE,"42,065,000","33,229,000","12,588,000","10,776,000","8,682,000","8,441,000","8,635,000","5,687,000"
			GrossPPE,"47,706,000","38,137,000","16,661,000","14,169,000","11,515,000","10,792,000","10,512,000","6,432,000"
				Properties,"0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"1,126,000","939,000","1,822,000","907,000","447,000","423,000","391,000","349,000"
				OtherProperties,"43,199,000","33,965,000","12,470,000","10,893,000","8,774,000","8,075,000","7,827,000","3,788,000"
				ConstructionInProgress,"259,000","784,000",,,,,"0","0"
				Leases,"3,122,000","2,449,000","2,369,000","2,369,000","2,294,000","2,294,000","2,294,000","2,295,000"
			AccumulatedDepreciation,"-5,641,000","-4,908,000","-4,073,000","-3,393,000","-2,833,000","-2,351,000","-1,877,000","-745,000"
		InvestmentsAndAdvances,"26,550,000","93,186,000",,,,,,
		OtherNonCurrentAssets,"1,014,000","1,025,000","983,000","947,000","720,000","750,000","1,930,000","743,000"
TotalLiabilitiesNetMinorityInterest,"40,627,000","36,223,000","12,642,000","11,005,000","9,869,000","10,710,000","8,354,000","5,557,000"
	CurrentLiabilities,"11,152,000","13,423,000","9,553,000","8,355,000","7,396,000","8,094,000","5,874,000","3,815,000"
		PayablesAndAccruedExpenses,"6,623,000","7,453,000","5,574,000","5,196,000","5,508,000","4,792,000","3,701,000","2,134,000"
			Payables,"3,291,000","4,246,000","2,947,000","1,602,000","1,933,000","2,115,000","670,000","701,000"
				AccountsPayable,"3,291,000","3,789,000","2,573,000","1,602,000","1,933,000","2,115,000","670,000","701,000"
				TotalTaxPayable,,"457,000","374,000",,,,,
			CurrentAccruedExpenses,"3,332,000","3,207,000","2,627,000","3,594,000","3,575,000","2,677,000","3,031,000","1,433,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"3,045,000","4,730,000","3,600,000","2,486,000","1,446,000","2,866,000","1,565,000","1,336,000"
		CurrentDebtAndCapitalLeaseObligation,"1,090,000","864,000",,,,,,
			CurrentCapitalLeaseObligation,"1,090,000","864,000",,,,,,
		CurrentDeferredLiabilities,"394,000","376,000","379,000","673,000","442,000","436,000","608,000","345,000"
			CurrentDeferredRevenue,"394,000","376,000","111,000","445,000","256,000","250,000","425,000","175,000"
		OtherCurrentLiabilities,,,,,"483,000","484,000","495,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"29,475,000","22,800,000","3,089,000","2,650,000","2,473,000","2,616,000","2,480,000","1,742,000"
		LongTermDebtAndCapitalLeaseObligation,"29,134,000","22,459,000",,,,,,
			LongTermCapitalLeaseObligation,"29,134,000","22,459,000",,,,,,
		NonCurrentDeferredLiabilities,,"0","2,687,000","2,248,000","1,884,000","1,899,000","1,916,000","1,673,000"
		OtherNonCurrentLiabilities,"341,000","341,000","402,000","402,000","589,000","717,000","564,000","69,000"
TotalEquityGrossMinorityInterest,"486,458,000","502,916,000","515,196,000","526,044,000","535,770,000","431,609,000","125,536,000","87,679,000"
	StockholdersEquity,"486,458,000","502,916,000","515,196,000","526,044,000","535,770,000","431,609,000","125,536,000","87,679,000"
		CapitalStock,"1,000","1,000","1,000","1,000","1,000","1,000","0","107,953,000"
			PreferredStock,"0","0","0","0","0","0","0","107,953,000"
			CommonStock,"1,000","1,000","1,000","1,000","1,000","1,000","0","0"
		AdditionalPaidInCapital,"638,860,000","629,981,000","621,994,000","614,483,000","607,531,000","486,915,000","167,993,000","2,288,000"
		RetainedEarnings,"-150,176,000","-126,530,000","-106,791,000","-88,406,000","-71,790,000","-55,361,000","-42,600,000","-22,586,000"
		GainsLossesNotAffectingRetainedEarnings,"-2,227,000","-536,000","-8,000","-34,000","28,000","54,000","143,000","24,000"
TotalCapitalization,"486,458,000","502,916,000","515,196,000","526,044,000","535,770,000","431,609,000","125,536,000","87,679,000"
PreferredStockEquity,,,,,,,"162,849,000","107,953,000"
CommonStockEquity,"486,458,000","502,916,000","515,196,000","526,044,000","535,770,000","431,609,000","125,536,000","-20,274,000"
CapitalLeaseObligations,"30,224,000","23,323,000",,,,,,
NetTangibleAssets,"486,458,000","502,916,000","515,196,000","526,044,000","535,770,000","431,609,000","125,536,000","87,679,000"
WorkingCapital,"446,304,000","398,276,000","504,714,000","516,971,000","528,841,000","425,034,000","117,451,000","82,991,000"
InvestedCapital,"486,458,000","502,916,000","515,196,000","526,044,000","535,770,000","431,609,000","125,536,000","-20,274,000"
