name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"1,224,104,000","378,652,000","415,545,000","202,467,000","227,440,000","213,764,000","212,253,000","180,064,000","163,701,000","226,720,000","204,901,000","287,506,000","397,613,000","378,290,000","360,360,000","273,304,000","322,555,000","421,788,000","239,803,000","311,955,000","363,370,000","253,964,000","153,269,000","52,891,000","91,474,000","71,383,000"
	OperatingRevenue,"1,203,727,000","382,433,000","396,790,000","199,745,000","224,759,000","206,989,000","206,261,000","175,229,000","159,043,000","221,338,000","198,048,000","280,841,000","387,429,000","369,681,000","349,851,000","264,908,000","315,045,000","412,879,000","228,843,000","302,958,000","351,788,000","241,056,000","146,750,000","44,395,000","85,415,000","65,154,000"
CostOfRevenue,"563,417,000","142,381,000","161,301,000","98,627,000","161,108,000","162,145,000","202,978,000","158,434,000","138,419,000","159,075,000","149,189,000","197,804,000","213,207,000","190,373,000","168,584,000","173,892,000","185,881,000","198,460,000","142,133,000","196,549,000","167,947,000","114,323,000","96,313,000","58,785,000","108,992,000","76,995,000"
GrossProfit,"660,687,000","236,271,000","254,244,000","103,840,000","66,332,000","51,619,000","9,275,000","21,630,000","25,282,000","67,645,000","55,712,000","89,702,000","184,406,000","187,917,000","191,776,000","99,412,000","136,674,000","223,328,000","97,670,000","115,406,000","195,423,000","139,641,000","56,956,000","-5,894,000","-17,518,000","-5,612,000"
OperatingExpense,"176,197,000","39,726,000","48,808,000","36,397,000","51,266,000","40,540,000","47,053,000","36,157,000","30,613,000","37,148,000","31,642,000","35,103,000","36,461,000","31,138,000","33,029,000","33,428,000","34,592,000","32,786,000","31,168,000","32,636,000","28,310,000","19,752,000","19,230,000","27,054,000","21,636,000","44,126,000"
	SellingGeneralAndAdministration,"41,885,000","13,929,000","9,411,000","7,430,000","11,115,000","7,637,000","7,774,000","8,192,000","8,457,000","8,456,000","7,964,000","9,362,000","10,783,000","8,905,000","7,570,000","7,357,000","13,465,000","8,234,000","13,380,000","9,243,000","8,660,000","5,170,000","10,176,000","4,516,000","5,815,000","15,168,000"
		GeneralAndAdministrativeExpense,,"13,929,000",,"7,430,000","11,115,000",,,,"8,457,000",,,,"10,783,000","8,905,000","7,570,000","7,357,000","13,465,000","8,234,000","13,380,000","9,243,000","8,660,000","5,170,000","10,176,000","4,516,000","5,815,000","15,168,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","6,160,000"
			OtherGandA,,"13,929,000",,"7,430,000","11,115,000",,,,"8,457,000",,,,"10,783,000","8,905,000","7,570,000","7,357,000","13,465,000","8,234,000","13,380,000","9,243,000","8,660,000","5,170,000","10,176,000","4,516,000","5,815,000","9,008,000"
	DepreciationAmortizationDepletionIncomeStatement,"134,312,000","25,797,000","39,397,000","28,967,000","40,151,000","32,903,000","39,279,000","27,965,000","22,156,000","28,692,000","23,678,000","25,741,000","25,678,000","22,233,000","25,459,000","26,071,000","21,127,000","24,552,000","17,788,000","23,393,000","19,650,000","14,582,000","9,054,000","22,538,000","15,821,000","28,958,000"
