name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,811,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"44,313,000","11,305,000","10,928,000","10,915,000","11,165,000","10,418,000","10,288,000","10,366,000","9,085,000","10,168,000","12,130,000","11,893,000","10,831,000","9,354,000","9,051,000","9,201,000","9,979,000","10,359,000","9,586,000","9,688,000","9,395,000","9,470,000","9,608,000","9,483,000","9,492,000","10,105,000","-5,116,000","8,774,000","9,490,000","9,442,000","9,377,000","9,378,000","9,056,000","8,864,000","8,852,000","7,216,000","6,085,000","6,112,000",,,,"4,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"44,313,000","11,305,000","10,928,000","10,915,000","11,165,000","10,418,000","10,288,000","10,366,000","9,085,000","10,168,000","12,130,000","11,893,000","10,831,000","9,354,000","9,051,000","9,201,000","9,979,000","10,359,000","9,586,000","9,688,000","9,395,000","9,470,000","9,608,000","9,483,000","9,492,000","10,105,000","-5,116,000","8,774,000","9,490,000","9,442,000","9,377,000","9,378,000","9,056,000","8,864,000","8,852,000","7,216,000","6,085,000","6,112,000",,,,"4,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-10,914,000","-644,000","-9,378,000","-198,000","-694,000","-269,000","17,860,000","14,415,000","-49,114,000","57,898,000","-44,206,000","-27,789,000","5,418,000","-972,000","-1,966,000","-292,000","-32,000","-749,000","-15,686,000","208,000","-200,000","-481,000","-5,571,000","-3,678,000","-3,679,000","-5,127,000","18,297,000","-9,346,000","-4,097,000","-17,461,000","1,954,000","2,551,000","-7,749,000","-10,423,000","-2,640,000","2,423,000","-3,964,000","-6,668,000","-1,340,000","-125,000","-1,811,000","-5,462,000","-19,409,000","1,000","-268,000","70,000","218,000","0","0","0","2,628,000","0","0","186,000","-1,244,000","-604,000","-670,000","-149,000","19,010,000","0","-212,000","1,012,000","-29,378,000","-12,388,000","798,000","1,967,000","-25,483,000","-456,000","-470,000","-522,000",,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-10,914,000","-644,000","-9,378,000","-198,000","-694,000","-269,000","17,860,000","14,415,000","-49,114,000","57,898,000","-44,206,000","-27,789,000","5,418,000","-972,000","-1,966,000","-292,000","-32,000","-749,000","-15,686,000","208,000","-200,000","-481,000","-5,571,000","-3,678,000","-3,679,000","-5,127,000","18,297,000","-9,346,000","-4,097,000","-17,461,000","1,954,000","2,551,000","-7,749,000","-10,423,000","-2,640,000","2,423,000","-3,964,000","-6,668,000","-1,340,000","-125,000","-1,811,000","-5,462,000","-19,409,000","1,000","-268,000","70,000","218,000","0","0","0","2,628,000","0","0","186,000","-1,244,000","-604,000","-670,000","-149,000","19,010,000","0","-212,000","1,012,000","-29,378,000","-12,388,000","798,000","1,967,000","-25,483,000","-456,000","-470,000","-522,000",,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,"194,000","301,000","375,000","172,000","174,000","172,000","285,000","202,000","0","0","0","10,000","10,000","9,000","76,000","79,000","339,000","348,000","419,000","483,000","677,000","874,000","1,136,000","1,085,000","2,150,000","-256,000","722,000","391,000","-899,000","229,000","337,000","139,000",,"45,000","135,000","105,000","-906,000","329,000","433,000","509,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,"0","0","0","0","0","0","0","270,625,000","0",,,,,,,,,,,,,,,,,"0",,,"62,817,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-333,000","272,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"21,369,000","6,225,000","5,255,000","4,729,000","5,160,000","5,610,000","2,846,000","4,517,000","3,904,000","-1,201,000","5,136,000","4,639,000","4,082,000","2,443,000","3,694,000","2,568,000","4,033,000","2,958,000","3,219,000","3,132,000","2,737,000","2,565,000","3,148,000","3,364,000","3,023,000","4,229,000","-663,000","3,310,000","3,348,000","2,699,000","2,910,000","2,608,000","2,958,000","3,408,000","3,037,000","3,252,000","2,753,000","2,485,000","2,300,000","2,195,000","2,020,000","6,708,000","1,268,000","3,049,000","961,000","2,410,000","5,450,000","3,062,000","3,959,000","2,280,000","3,194,000","3,934,000","1,389,000","2,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"5,412,000","5,561,000","-10,065,000","-16,865,000","27,645,000","-3,077,000","-6,674,000","-25,861,000","6,517,000","4,568,000","-11,626,000","-22,743,000","-4,804,000","2,440,000","-9,194,000","-17,842,000","-2,159,000","-1,831,000","-6,993,000","-12,058,000","-1,260,000","0","974,000","-974,000","-5,935,000","0","-588,000","-509,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"28,370,000","4,349,000","5,691,000","4,227,000","14,103,000","7,945,000","11,551,000","6,247,000","1,980,000","2,925,000","-2,852,000","1,454,000","1,418,000","942,000","110,000","38,000","40,000","47,000","352,000","327,000","1,620,000","2,336,000","1,492,000","1,517,000","1,902,000","2,029,000","1,034,000","1,324,000","1,258,000","1,586,000","1,269,000","1,234,000","1,218,000","1,226,000","1,281,000","1,353,000","1,456,000","323,000","-17,509,000","18,663,000","-11,410,000","11,432,000","2,185,000","993,000","-1,778,000","-17,000","2,928,000","-12,000","-225,000","219,000","149,000","221,000","-338,000","345,000","-10,844,000","4,174,000","4,060,000","3,167,000","-15,379,000","12,040,000","8,812,000","7,285,000","-54,471,000","62,523,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000","-100,000",
		ChangeInWorkingCapital,"-67,417,000","-8,512,000","-26,362,000","-14,750,000","-17,793,000","2,372,000","16,920,000","-7,406,000","-28,634,000","21,943,000","4,402,000","23,679,000","-26,584,000","-3,873,000","4,602,000","769,000","-1,112,000","-1,686,000","-16,455,000","1,289,000","-6,597,000","6,510,000","-767,000","-430,000","6,370,000","40,831,000","-25,791,000","5,633,000","-2,875,000","34,201,000","-12,912,000","-3,067,000","4,925,000","19,191,000","17,494,000","-2,935,000","8,485,000","23,694,000","2,819,000","-932,000","3,193,000","13,442,000","6,279,000","-3,109,000","4,765,000","-10,636,000","12,264,000","-36,000","2,266,000","-454,000","-948,000","-1,424,000","-1,876,000","1,085,000","-1,927,000","-1,056,000","-6,383,000","-40,494,000","7,228,000","8,017,000","3,424,000","1,807,000","-17,910,000","-500,000","2,292,000","6,024,000","3,346,000","-3,795,000","12,628,000","-11,819,000","-2,432,000","-4,760,000","-392,000","-8,412,000","-1,744,000","8,290,000","6,786,000","1,194,000","-4,479,000","7,330,000","-7,757,000","-9,603,000","858,000","-11,662,000","-9,459,000","-10,884,000","2,248,022","-728,473","-7,085,883","-6,529,659","-4,500,000","-4,000,000","700,000","-6,100,000","2,200,000"
			ChangeInReceivables,"873,000","-2,464,000","-4,463,000","3,254,000","4,015,000","-10,899,000","56,000","4,917,000","11,809,000","-8,848,000","4,591,000","3,346,000","4,226,000","-7,257,000","-14,722,000","605,000","6,853,000","387,000","-6,720,000","-726,000","4,380,000","1,701,000","-764,000","-892,000","3,930,000","18,445,000","-11,016,000","3,311,000","6,178,000","316,000","1,638,000","3,637,000","11,997,000","4,712,000","-504,000","-6,895,000","5,738,000","-6,509,000","-859,000","-2,904,000","-1,127,000","3,628,000","-3,091,000","970,000","-2,327,000","-643,000","-1,068,000","3,098,000","5,173,000","3,836,000","-5,871,000","-5,422,000","-4,480,000","626,000","-1,081,000","1,364,000","1,174,000","5,414,000","-39,973,000","12,473,000","6,355,000","13,547,000","-13,115,000","-942,000","-908,000","8,355,000","2,435,000","-9,282,000","18,424,000","-8,309,000","-11,644,000","-3,199,000","-2,352,000","-14,145,000","5,658,000","-1,187,000","-2,738,000","869,000","-3,814,000","11,395,000","-4,800,000","-4,257,000","-598,000","-574,000","4,030,000","-6,918,000","-267,809","-11,035,167","-9,131,715","-495,601","-15,400,000","-1,600,000","-500,000","-700,000","-2,000,000"
				ChangesInAccountReceivables,"873,000","-2,464,000","-4,214,000","2,599,000","4,952,000","-11,430,000","-5,038,000","5,017,000","11,379,000","-5,609,000","67,000","2,703,000","4,845,000","-7,215,000","-7,722,000","598,000","6,299,000","-2,201,000","-4,132,000","-566,000","4,034,000","-497,000","-3,983,000","-1,088,000","4,616,000","-1,701,000","-9,602,000","3,495,000","5,820,000","-1,575,000","789,000","3,865,000","11,330,000","1,017,000","-1,155,000","-8,165,000","5,634,000","-6,225,000","310,000","-2,355,000","-1,523,000","2,971,000","-4,852,000","-989,000","1,164,000","-1,057,000","-2,853,000","3,362,000","4,943,000","4,099,000","-6,809,000","-3,477,000","-3,625,000","868,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,"761,000","-419,000","-4,769,000","-1,487,000","2,805,000","-1,051,000","-687,000","-2,249,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-9,016,000","-2,741,000","-6,640,000","2,853,000","-1,957,000","-1,694,000","-893,000","1,120,000","3,150,000","-1,715,000","-3,291,000","1,570,000","15,343,000","-3,085,000","-2,184,000","908,000","780,000","-319,000","-2,589,000","2,265,000","-66,000","-479,000","-2,262,000","1,133,000","2,161,000","2,709,000","-4,643,000","2,102,000","-1,406,000","3,454,000","-4,974,000","-25,000","527,000","347,000","-4,183,000","2,311,000","796,000","3,587,000","-6,567,000","-18,272,000","20,541,000","-1,564,000","-565,000","263,000","363,000","223,000","-290,000","611,000","282,000","-27,000","-333,000","397,000","-575,000","-248,000","280,000","-259,000","-71,000","185,000","-1,148,000","-395,000","200,000","2,842,000","-1,638,000","-289,000","-235,000","2,477,000","-5,768,000","-387,000","-1,064,000","-1,316,000","1,129,000","1,169,000","1,375,000","-2,706,000","502,000","439,000","1,761,000","-3,184,000","2,166,000","2,168,000","1,782,000","-1,464,000","1,225,000","5,228,000","-5,404,000","3,112,000",,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-38,222,000","6,238,000","-14,970,000","-18,736,000","-10,754,000","23,215,000","10,828,000","-11,765,000","-42,433,000","39,055,000","-141,000","16,150,000","-24,337,000","11,834,000","4,815,000","-3,941,000","-7,557,000","3,568,000","2,959,000","-2,978,000","-8,062,000","10,591,000","1,310,000","-3,249,000","265,000","22,321,000","-17,492,000","-285,000","-6,246,000","35,035,000","-8,685,000","-9,986,000","-5,767,000","14,545,000","20,914,000","1,476,000","1,965,000","25,608,000","7,652,000","21,470,000","-14,972,000","9,515,000","10,043,000","-4,486,000","6,779,000","-9,972,000","14,075,000","-3,711,000","-3,273,000","-4,464,000","4,903,000","3,489,000","3,086,000","553,000","-58,186,000","527,000","790,000","-1,781,000","-9,814,000","6,328,000","1,660,000","-3,619,000","761,000","2,782,000","848,000","-2,549,000","-222,000","4,929,000","213,000","-2,676,000","2,177,000","-2,625,000","-3,532,000","2,231,000","1,416,000","-996,000","-758,000","-84,000","1,193,000","-2,611,000","-970,000","-2,063,000","1,238,000","2,010,000","1,135,000","-670,000","13,879,130","-10,777,354","-858,257","251,204","1,100,000","100,000","100,000","-1,100,000","0"
				ChangeInPayable,"-1,291,000","13,110,000","-1,073,000","-1,881,000","-11,447,000","12,470,000","4,954,000","-7,762,000","-18,047,000","15,779,000","3,409,000","710,000","-8,546,000","4,888,000","1,653,000","-4,286,000","-3,608,000","3,012,000","2,501,000","-159,000","-3,728,000","2,489,000","-99,000","3,022,000","-6,983,000","3,512,000","4,554,000","2,296,000","-9,158,000","2,677,000","-5,131,000","-371,000","-12,744,000","-5,267,000","10,402,000","4,514,000","-5,763,000","3,122,000","744,000","3,113,000","-1,744,000","-3,713,000","20,272,000","-3,844,000","2,865,000","6,960,000","1,879,000","-1,681,000","838,000","-4,464,000","-6,487,000","3,489,000","3,086,000","553,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"-1,291,000","13,110,000","-1,073,000","-1,881,000","-11,447,000","12,470,000","4,954,000","-7,762,000","-18,047,000","15,779,000","3,409,000","710,000","-8,546,000","4,888,000","1,653,000","-4,286,000","-3,608,000","3,012,000","2,501,000","-159,000","-3,728,000","2,489,000","-99,000","3,022,000","-6,983,000","3,512,000","4,554,000","2,296,000","-9,158,000","2,677,000","-5,131,000","-371,000","-12,744,000","-5,267,000","10,402,000","4,514,000","-5,763,000","3,122,000","744,000","3,113,000","-1,744,000","-3,713,000","20,272,000","-3,844,000","2,865,000","6,960,000","1,879,000","-1,681,000","-2,167,000","-1,459,000","497,000","1,344,000","-701,000","-499,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"-36,931,000","-6,872,000","-13,897,000","-16,855,000","693,000","10,745,000","5,874,000","-4,003,000","-24,386,000","23,276,000","-3,550,000","15,440,000","-15,791,000","6,946,000","3,162,000","345,000","-3,949,000","556,000","458,000","-2,819,000","-4,334,000","8,102,000","1,409,000","-6,271,000","7,248,000","18,809,000","-22,046,000","-2,581,000","2,912,000","32,358,000","-3,554,000","-9,615,000","6,977,000","19,812,000","10,512,000","-3,038,000","7,728,000","22,486,000","6,908,000","-471,000",,"13,228,000","-10,229,000","-642,000","3,914,000","-16,932,000","12,196,000","-2,030,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-20,396,000","-3,363,000","-6,963,000","-1,659,000","-8,411,000","-828,000","-531,000","-399,000","602,000","2,560,000","2,880,000","852,000","486,000","-841,000","4,352,000","-138,000","345,000","-1,109,000","-12,713,000","91,000","219,000","122,000","287,000","-1,269,000","0","95,000","204,000","-217,000","-26,000","24,000","73,000","-5,000","-27,000","75,000","2,552,000","-2,202,000","20,000","-114,000",,,,,,,,,,,,"201,000",,"112,000","93,000","154,000",,,,,,,,,,,,,,"185,000",,,,"-247,000","-446,000","-4,000","-190,000","59,000","78,000","-56,000","122,000","136,000","243,000","243,000",,"-1,866,000","707,000","1,314,000","4,382,519","-4,650,920","2,783,071","-3,035,409","-2,500,000","-3,100,000","-1,600,000","-900,000","-1,000,000"
			ChangeInOtherCurrentLiabilities,"-2,910,000","-1,229,000","-806,000","-616,000","-259,000","-172,000","-326,000","-996,000","-1,283,000","-1,289,000","-3,964,000","-1,305,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,524,000",,,,,,,,,,"-634,000","6,577,000","760,000","-5,200,000","2,436,000","5,752,000","142,000","4,563,000","6,212,000","-9,130,000","9,975,000","8,443,000","3,649,000","-4,146,000","-3,758,000","-4,012,000","-2,062,000","-852,000","-16,460,000","-9,927,000","-7,722,000","-15,745,818","25,734,968","121,018","-3,249,853","12,300,000","600,000","2,700,000","-3,400,000","5,200,000"
			ChangeInOtherWorkingCapital,"2,254,000","-4,953,000","7,480,000","154,000","-427,000","-7,250,000","7,786,000","-283,000","-479,000","-7,820,000","4,327,000","3,066,000","-20,236,000","-4,524,000","12,341,000","3,335,000","-1,533,000","-4,213,000","2,608,000","2,637,000","-3,068,000","-5,425,000","662,000","3,847,000","14,000","-2,739,000","2,729,000","-39,000","-956,000","141,000","523,000","507,000","-754,000","199,000","964,000","1,475,000","-34,000","1,122,000","2,593,000","-1,226,000","-1,249,000","1,863,000","-108,000","144,000","-50,000","-244,000","-453,000","-34,000",,,,,,,"-1,494,000","836,000","46,754,000","-44,312,000","24,281,000","-10,389,000","-4,791,000","-10,963,000","-3,076,000","-2,893,000","1,953,000","-1,625,000",,,,"-1,954,000",,,,,,,,,,,,,,,,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,"0","0","0","3,211,000","688,000","1,746,000","8,402,000",,,,,,,,,,,,,"0","0","0","0","0","0",,,,,,,"0","0","0","0","-4,168,000","-37,000","-344,000","-13,449,000","-82,719,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
