name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
TotalRevenue,"398,971,000","97,133,000","106,516,000","95,758,000","99,564,000","89,390,000","87,042,000","82,711,000","81,109,000","79,242,000","76,685,000","77,942,000","76,119,000","75,468,000","71,226,000","71,924,000","70,971,000","68,086,000","66,602,000","64,870,000","64,986,000","62,837,000","52,773,000","53,251,000","53,196,000","54,954,000","56,043,000","50,252,000","49,068,000","49,969,000","46,306,000","25,902,000","13,628,000","7,547,000","2,474,000","1,232,000","200,000"
	OperatingRevenue,"398,971,000","97,133,000","106,516,000","95,758,000","99,564,000","89,390,000","87,042,000","82,711,000","81,109,000","79,242,000","76,685,000","77,942,000","76,119,000","75,468,000","67,283,000","68,661,000","65,562,000","63,792,000","62,556,000","61,270,000","60,214,000","58,492,000","50,046,000","50,756,000","51,736,000","51,511,000","52,118,000","47,836,000","47,234,000","47,432,000","42,220,000","25,400,000","13,223,000","7,315,000","2,437,000","1,221,000","200,000"
CostOfRevenue,"32,636,000","7,460,000","10,962,000","6,747,000","7,467,000","7,570,000","9,635,000","7,525,000","7,835,000","7,377,000","5,701,000","8,205,000","7,049,000","7,359,000","7,750,000","5,301,000","8,211,000","7,470,000","6,849,000","7,202,000","7,570,000","7,236,000","5,648,000","4,201,000","3,542,000","5,647,000","7,389,000","3,355,000","3,377,000","4,059,000","5,500,000","1,428,000","786,000","233,000","28,000","14,000","0"
GrossProfit,"366,335,000","89,673,000","95,554,000","89,011,000","92,097,000","81,820,000","77,407,000","75,186,000","73,274,000","71,865,000","70,984,000","69,737,000","69,070,000","68,109,000","63,476,000","66,623,000","62,760,000","60,616,000","59,753,000","57,668,000","57,416,000","55,601,000","47,125,000","49,050,000","49,654,000","49,307,000","48,654,000","46,897,000","45,691,000","45,910,000","40,806,000","24,474,000","12,842,000","7,314,000","2,446,000","1,218,000","200,000"
OperatingExpense,"230,945,000","56,586,000","59,793,000","58,177,000","56,389,000","56,028,000","52,006,000","49,108,000","48,783,000","47,776,000","44,681,000","45,591,000","43,993,000","44,661,000","41,455,000","42,419,000","39,484,000","37,546,000","36,362,000","38,346,000","33,028,000","34,630,000","31,669,000","31,351,000","30,721,000","31,321,000","30,471,000","31,782,000","47,052,000","24,105,000","14,704,000","16,087,000","9,314,000","5,393,000","1,325,000","721,000","140,000"
	SellingGeneralAndAdministration,"67,664,000","16,697,000","17,768,000","16,512,000","16,687,000","16,344,000","16,029,000","14,059,000","14,799,000","14,243,000","12,692,000","13,971,000","12,909,000","13,358,000","11,377,000","12,224,000","9,671,000","8,050,000","7,804,000","8,467,000","5,531,000","7,516,000","8,264,000","7,869,000","6,909,000","7,565,000","6,553,000","8,833,000","24,963,000","2,991,000","1,437,000","961,000","1,674,000","1,039,000","51,000","37,000","16,000"
		GeneralAndAdministrativeExpense,"67,664,000","16,697,000","17,768,000","16,512,000","16,687,000","16,344,000","16,029,000","14,059,000","14,799,000","14,243,000","12,692,000","13,971,000","12,909,000","13,358,000","11,377,000","12,224,000","9,671,000","8,050,000","7,804,000","8,467,000","5,531,000","7,516,000","8,264,000","7,869,000","6,909,000","7,565,000","6,553,000","8,833,000","24,963,000","2,991,000","1,437,000","961,000","1,674,000","1,039,000","51,000","37,000","16,000"
			SalariesAndWages,"11,182,000","2,727,000","2,727,000","2,721,000","3,007,000","2,577,000","2,585,000","2,479,000","2,513,000","2,488,000","2,491,000","2,501,000","2,429,000","2,109,000","1,451,000","2,053,000","-23,000","-832,000","-1,177,000","-391,000","-2,235,000","16,000","1,341,000","1,293,000","70,000","1,044,000","-90,000","1,917,000","503,000",,,,,,,,
			OtherGandA,"56,482,000","13,970,000","15,041,000","13,791,000","13,680,000","13,767,000","13,444,000","11,580,000","12,286,000","11,755,000","10,201,000","11,470,000","10,480,000","11,249,000","9,926,000","10,171,000","9,694,000","8,882,000","8,981,000","8,858,000","7,766,000","7,500,000","6,923,000","6,576,000","6,839,000","6,521,000","6,643,000","6,916,000","24,460,000","2,991,000","1,437,000","961,000","1,674,000","1,039,000","51,000","37,000","16,000"
	DepreciationAmortizationDepletionIncomeStatement,"163,281,000","39,889,000","42,025,000","41,665,000","39,702,000","39,684,000","35,977,000","35,049,000","33,984,000","33,533,000","31,989,000","31,620,000","31,084,000","31,303,000","30,078,000","30,195,000","29,813,000","29,496,000","28,558,000","29,879,000","27,497,000","27,114,000","23,405,000","23,482,000","23,812,000","23,756,000","23,918,000","22,949,000","22,089,000","21,114,000","13,267,000","15,126,000","7,640,000","4,354,000","1,274,000","684,000","124,000"
