name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009
OperatingCashFlow,"736,526,000","255,375,000","21,405,000","470,408,000","-10,662,000","-80,275,000","232,935,000","425,606,000","140,418,000","184,969,000","99,780,000","215,696,000","50,983,000","216,407,000","8,636,000","301,604,000","-27,037,000","122,223,000","68,858,000","174,067,000","3,995,000","99,235,000","65,959,000","205,436,000","11,647,000","68,237,000","92,310,000","69,591,000","19,096,000","81,900,000","27,529,000","108,803,000","91,726,000","40,384,000","152,725,000","65,762,000","73,847,000","65,720,000","9,186,000","315,705,000","74,043,000","108,027,000","74,902,000","123,273,000","53,844,000","15,534,000","109,920,000","160,874,000","10,011,000","51,084,000","102,645,000","178,466,000","-61,711,000"
	CashFlowFromContinuingOperatingActivities,"736,526,000","255,375,000","21,405,000","470,408,000","-10,662,000","-80,275,000","232,935,000","425,606,000","140,418,000","184,969,000","99,780,000","215,696,000","50,983,000","216,407,000","8,636,000","301,604,000","-27,037,000","122,223,000","68,858,000","174,067,000","3,995,000","99,235,000","65,959,000","205,436,000","11,647,000","68,237,000","92,310,000","69,591,000","19,096,000","81,900,000","27,529,000","108,803,000","91,726,000","40,384,000","152,725,000","65,762,000","73,847,000","65,720,000","9,186,000","315,705,000","74,043,000","108,027,000","74,902,000","123,273,000","53,844,000","15,534,000","109,920,000","160,874,000","10,011,000","51,084,000","102,645,000","178,466,000","-61,711,000"
		NetIncomeFromContinuingOperations,"466,577,000","90,795,000","128,846,000","154,834,000","92,102,000","199,177,000","144,371,000","136,081,000","129,329,000","138,866,000","112,026,000","114,325,000","117,386,000","89,575,000","132,037,000","92,713,000","104,204,000","84,885,000","69,773,000","70,913,000","79,540,000","66,253,000","55,590,000","62,830,000","67,817,000","65,517,000","108,055,000","56,216,000","64,306,000","43,363,000","52,807,000","65,284,000","71,115,000","46,895,000","47,167,000","67,813,000","70,313,000","54,813,000","56,184,000","46,116,000","61,945,000","50,627,000","62,860,000","75,332,000","51,136,000","18,070,000","23,638,000","14,817,000","28,169,000","4,890,000","1,294,000","10,810,000","8,425,000"
		OperatingGainsLosses,"-13,632,000","178,000","-7,641,000","-8,657,000","2,488,000","157,000","-3,504,000","13,261,000","3,000","612,000","579,000","558,000","23,000","-5,872,000","0","7,000","401,000",,,"549,000","174,000","4,553,000","84,000","33,000","3,000","486,000","32,000","0","29,000","145,000","312,000","739,000","345,000","113,000","236,000","90,000","585,000","-9,729,000","-254,000","10,027,000","808,000","376,000","-10,000","-9,514,000","10,000",,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","-254,000",,,"0","0",,,,,,,,,,
			GainLossOnSaleOfPPE,,,"-546,000","-2,991,000","-27,000","157,000","-3,504,000","22,000","3,000","612,000","579,000","558,000","23,000","-5,872,000","0","7,000","401,000","-246,000","-723,000","549,000","174,000","4,553,000","84,000","33,000","3,000","486,000","32,000","0","29,000","145,000","312,000","739,000","345,000","113,000","236,000","90,000","585,000","150,000","0","148,000","808,000",,,"0","10,000",,,"0","0",,,"0","0"
			EarningsLossesFromEquityInvestments,"-12,759,000","2,000","-7,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"145,747,000","40,824,000","39,576,000","37,602,000","27,745,000","21,455,000","21,113,000","21,015,000","20,732,000","20,773,000","20,655,000","19,632,000","20,021,000","18,216,000","17,780,000","16,426,000","16,153,000","16,560,000","16,701,000","16,046,000","15,449,000","15,956,000","14,410,000","14,677,000","14,501,000","14,919,000","16,148,000","15,352,000","15,117,000","15,427,000","15,191,000","15,810,000","16,232,000","17,950,000","17,945,000","18,102,000","18,330,000","19,766,000","18,127,000","17,613,000","18,503,000","19,281,000","19,530,000","18,536,000","17,858,000","20,835,000","20,796,000","19,588,000","19,384,000","23,090,000","24,645,000","24,025,000","24,003,000"
			DepreciationAndAmortization,"145,747,000","40,824,000","39,576,000","37,602,000","27,745,000","21,455,000","21,113,000","21,015,000","20,732,000","20,773,000","20,655,000","19,632,000","20,021,000","18,216,000","17,780,000","16,426,000","16,153,000","16,560,000","16,701,000","16,046,000","15,449,000","15,956,000","14,410,000","14,677,000","14,501,000","14,919,000","16,148,000","15,352,000","15,117,000","15,427,000","15,191,000","15,810,000","16,232,000","17,950,000","17,945,000","18,102,000","18,330,000","19,766,000","18,127,000","17,613,000","18,503,000","19,281,000","19,530,000","18,536,000","17,858,000","20,835,000","20,796,000","19,588,000","19,384,000","23,090,000","24,645,000","24,025,000","24,003,000"
		DeferredTax,"-130,197,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,437,000","17,585,000",,,"7,583,000","6,255,000"
