name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"358,867,000","381,347,000","399,444,000","328,401,000","326,097,000","298,269,000","301,384,000","184,510,000","101,791,000","113,001,000","122,331,000","133,358,000","92,675,000","96,541,000"
	CurrentAssets,"256,049,000","250,996,000","268,963,000","279,789,000","308,158,000","288,605,000","281,337,000","173,950,000","89,464,000","101,654,000","112,161,000","122,632,000","79,877,000","90,667,000"
		CashCashEquivalentsAndShortTermInvestments,"252,599,000","246,770,000","264,551,000","274,176,000","302,321,000","283,585,000","278,683,000","170,414,000","87,863,000","98,956,000","109,356,000","120,163,000","79,020,000","89,961,000"
			CashAndCashEquivalents,"55,291,000","92,046,000","108,428,000","90,427,000","136,752,000","72,037,000","81,238,000","147,543,000","35,462,000","34,067,000","38,848,000","88,115,000","35,302,000","20,505,000"
			OtherShortTermInvestments,"197,308,000","154,724,000","156,123,000","183,749,000","165,569,000","211,548,000","197,445,000","22,871,000","52,401,000","64,889,000","70,508,000","32,048,000","43,718,000","69,456,000"
		Receivables,"697,000","1,103,000","1,018,000","1,325,000","2,922,000","1,877,000",,,,,,,,
			AccountsReceivable,"697,000","1,103,000","1,018,000","1,325,000","2,922,000","1,877,000",,,,,,,,
		PrepaidAssets,"2,753,000","3,123,000","3,394,000","4,288,000","2,915,000","3,143,000","2,654,000","3,536,000","1,601,000","2,698,000","2,805,000","2,469,000","857,000","706,000"
	TotalNonCurrentAssets,"102,818,000","130,351,000","130,481,000","48,612,000","17,939,000","9,664,000","20,047,000","10,560,000","12,327,000","11,347,000","10,170,000","10,726,000","12,798,000","5,874,000"
		NetPPE,"8,828,000","8,661,000","8,941,000","9,461,000","9,642,000","9,476,000","9,610,000","8,883,000","9,165,000","9,699,000","10,046,000","10,595,000","10,874,000","5,152,000"
			GrossPPE,"14,883,000","14,258,000","14,095,000","14,167,000","13,918,000","13,370,000","13,143,000","12,069,000","12,014,000","12,215,000","12,233,000","12,467,000","12,447,000","6,435,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"931,000","787,000","752,000","708,000","680,000","656,000","656,000","543,000","543,000","543,000","543,000","558,000","549,000","530,000"
				OtherProperties,"10,776,000","10,338,000","10,231,000","10,414,000","10,272,000","9,998,000","9,851,000","8,928,000","8,890,000","9,091,000","9,109,000","9,329,000","9,318,000","3,335,000"
				Leases,"3,176,000","3,133,000","3,112,000","3,045,000","2,966,000","2,716,000","2,636,000","2,598,000","2,581,000","2,581,000","2,581,000","2,580,000","2,580,000","2,570,000"
			AccumulatedDepreciation,"-6,055,000","-5,597,000","-5,154,000","-4,706,000","-4,276,000","-3,894,000","-3,533,000","-3,186,000","-2,849,000","-2,516,000","-2,187,000","-1,872,000","-1,573,000","-1,283,000"
		InvestmentsAndAdvances,"93,628,000","121,293,000","121,217,000","38,254,000","8,080,000",,"10,158,000","1,545,000","3,040,000","1,526,000",,,,
			InvestmentinFinancialAssets,"93,628,000","121,293,000","121,217,000","38,254,000","8,080,000",,"10,158,000","1,545,000","3,040,000","1,526,000",,,,
