name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988
TotalRevenue,"1,212,365,000","351,837,000","291,898,000","288,301,000","280,329,000","279,079,000","228,260,000","223,360,000","187,911,000","195,689,000","186,734,000","190,310,000","171,878,000","176,882,000","161,054,000","167,171,000","164,015,000","169,451,000","147,214,000","149,118,000","146,418,000","152,917,000","138,784,000","150,210,000","145,840,000","154,749,000","137,463,000","133,004,000","142,690,000","137,611,000","131,500,000","133,834,000","127,376,000","122,624,000","122,588,000","121,431,000","122,544,000","125,535,000","118,922,000","98,194,000","98,297,000","102,448,000","93,957,000","100,128,000","90,324,000","93,871,000","82,775,000","91,835,000","91,460,000","88,809,000","83,805,000","82,561,000","83,755,000","77,870,000","73,452,000","71,983,000","75,661,000","94,663,000","64,877,000","68,243,000","58,707,000","59,398,000","59,308,000","59,539,000","62,191,090","62,451,015","58,248,144","55,329,010","58,178,849","55,243,948","48,219,407","46,694,000","50,809,668","47,705,618","41,852,797","40,196,997","43,310,448","42,210,678","38,299,529","38,277,594","36,097,146","25,414,691","30,920,504","31,767,533","64,715,828","66,081,528","68,161,696","75,618,968","68,491,838","62,024,265","49,400,000","40,400,000","43,500,000","37,800,000","19,700,000","15,500,000","17,100,000","13,200,000","1,200,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000","-1,400,000","800,000","300,000","400,000","400,000","400,000","400,000","500,000","3,000,000","2,700,000","2,800,000","2,900,000","2,900,000","3,400,000","3,900,000","3,200,000","3,500,000","3,200,000","2,600,000","2,600,000","2,100,000","2,000,000","2,000,000","2,000,000"
	OperatingRevenue,"1,212,365,000","351,837,000","291,898,000","288,301,000","280,329,000","279,079,000","228,260,000","223,360,000","187,911,000","195,689,000","186,734,000","190,310,000","171,878,000","176,882,000","161,054,000","167,171,000","164,015,000","169,451,000","147,214,000","149,118,000","146,418,000","152,917,000","138,784,000","150,210,000","145,840,000","154,749,000","137,463,000","133,004,000","142,690,000","137,611,000","131,500,000","133,834,000","127,376,000","122,624,000","122,588,000","121,431,000","122,544,000","125,535,000","118,922,000","98,194,000","98,297,000","102,448,000","93,957,000","100,128,000","90,324,000","93,871,000","82,775,000","82,611,000","82,602,000","80,746,000","75,756,000","75,242,000","77,012,000","71,782,000","66,919,000","65,413,000","69,226,000","70,369,000","64,877,000","62,228,000","52,863,000","53,515,000","53,376,000","59,539,000","62,191,090","57,104,882","53,200,020","50,580,738","53,595,902","51,239,054","44,177,438","46,694,000","47,232,534","44,429,224","38,642,711","40,196,997","40,320,144","39,536,978","35,730,236","35,925,718","33,821,210","32,520,005","28,655,084","29,342,546","64,715,828","66,081,528","68,161,696","75,618,968","68,491,838","62,024,265","49,400,000","40,400,000","43,500,000","37,800,000","19,700,000","15,500,000","17,100,000","13,200,000","1,200,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000","-1,400,000","800,000","300,000","400,000","400,000","400,000","400,000","500,000","3,000,000","2,700,000","2,800,000","2,900,000","2,900,000","3,400,000","3,900,000","3,200,000","3,500,000","3,200,000","2,600,000","2,600,000","2,100,000","2,000,000","2,000,000","2,000,000"
CostOfRevenue,"663,631,000","196,452,000","157,248,000","157,167,000","152,764,000","148,773,000","118,816,000","116,690,000","94,874,000","102,260,000","97,504,000","99,826,000","88,885,000","92,624,000","81,740,000","85,366,000","84,168,000","89,493,000","74,951,000","75,623,000","75,206,000","79,581,000","71,836,000","77,997,000","75,513,000","85,501,000","72,702,000","71,596,000","75,087,000","72,147,000","66,672,000","68,156,000","65,471,000","63,782,000","62,092,000","62,823,000","62,789,000","65,765,000","60,941,000","56,204,000","56,185,000","59,725,000","54,298,000","57,807,000","51,562,000","54,129,000","48,154,000","47,269,000","46,433,000","45,265,000","42,442,000","42,318,000","43,082,000","41,111,000","38,094,000","37,437,000","39,027,000","40,097,000","36,874,000","36,028,000","31,538,000","31,308,000","31,289,000","31,140,000","31,336,146","32,421,933","29,636,023","28,114,524","29,260,574","27,944,465","23,258,377","25,325,000","25,242,363","23,496,478","19,882,443","21,195,825","20,935,751","21,245,519","19,011,745","19,066,304","17,749,726","17,416,028","14,506,250","16,032,843","38,189,494","46,285,814","39,803,981","44,263,322","38,879,279","40,738,778","29,200,000","22,300,000","25,100,000","26,400,000","11,400,000","10,000,000","10,400,000",,,,,,,,,"800,000",,,"200,000","6,200,000","900,000",,,,,,,"300,000","200,000","200,000","200,000","2,400,000","2,100,000","2,100,000","2,200,000","2,400,000","2,500,000","3,200,000","2,400,000","2,700,000","2,700,000",,,,,,
GrossProfit,"548,734,000","155,385,000","134,650,000","131,134,000","127,565,000","130,306,000","109,444,000","106,670,000","93,037,000","93,429,000","89,230,000","90,484,000","82,993,000","84,258,000","79,314,000","81,805,000","79,847,000","79,958,000","72,263,000","73,495,000","71,212,000","73,336,000","66,948,000","72,213,000","70,327,000","69,248,000","64,761,000","61,408,000","67,603,000","65,464,000","64,828,000","65,678,000","61,905,000","58,842,000","60,496,000","58,608,000","59,755,000","59,770,000","57,981,000","41,990,000","42,112,000","42,723,000","39,659,000","42,321,000","38,762,000","39,742,000","34,621,000","44,566,000","45,027,000","43,544,000","41,363,000","40,243,000","40,673,000","36,759,000","35,358,000","34,546,000","36,634,000","54,566,000","28,003,000","32,215,000","27,169,000","28,090,000","28,019,000","28,399,000","30,854,944","30,029,082","28,612,121","27,214,486","28,918,275","27,299,483","24,961,030","21,369,000","25,567,305","24,209,140","21,970,354","19,001,172","22,374,697","20,965,159","19,287,784","19,211,290","18,347,420","7,998,663","16,414,254","15,734,690","26,526,334","19,795,714","28,357,715","31,355,646","29,612,559","21,285,487","20,200,000","18,100,000","18,400,000","11,400,000","8,300,000","5,500,000","6,700,000",,,,,,,,,"-800,000",,,"-100,000","-6,200,000","-800,000",,,,,,,"100,000","200,000","200,000","300,000","600,000","600,000","700,000","700,000","500,000","900,000","700,000","800,000","800,000","500,000",,,,,,
OperatingExpense,"417,264,000","117,505,000","106,870,000","99,066,000","93,823,000","73,163,000","81,968,000","77,326,000","65,779,000","80,751,000","71,539,000","70,444,000","61,113,000","63,945,000","63,028,000","65,698,000","64,910,000","64,773,000","64,874,000","63,581,000","59,104,000","63,131,000","61,358,000","63,175,000","57,645,000","62,634,000","57,362,000","61,371,000","59,480,000","53,071,000","52,280,000","52,955,000","49,614,000","48,069,000","57,261,000","48,672,000","46,954,000","45,379,000","44,676,000","41,694,000","40,181,000","37,783,000","38,668,000","39,909,000","35,270,000","35,804,000","34,437,000","33,916,000","31,384,000","31,815,000","30,843,000","29,528,000","29,367,000","28,498,000","27,940,000","27,269,000","27,627,000","26,393,000","27,936,000","26,140,000","22,988,000","24,873,000","27,085,000","30,533,000","23,357,370","22,060,392","20,855,764","22,198,414","20,680,399","20,089,999","17,751,217","17,947,000","17,518,588","16,656,967","17,224,011","15,767,784","15,109,636","14,789,185","13,707,687","13,894,101","12,222,063","19,313,498","11,805,304","11,364,254","17,817,721","38,635,742","33,006,936","35,262,546","32,538,311","33,169,959","22,300,000","18,800,000","18,100,000","20,500,000","10,000,000","7,500,000","8,100,000","7,100,000","1,300,000","1,100,000","1,200,000","1,400,000","700,000","900,000","600,000","1,100,000","700,000","700,000","1,000,000","-1,400,000","4,400,000",,,,,,,"300,000","300,000","300,000","300,000","900,000","800,000","900,000","900,000","900,000","900,000","900,000","800,000","800,000","1,000,000",,,,,,
	SellingGeneralAndAdministration,"156,130,000","40,990,000","39,179,000","37,161,000","38,800,000","36,139,000","33,423,000","32,536,000","28,757,000","30,464,000","30,331,000","28,296,000","28,671,000","28,181,000","26,488,000","26,198,000","26,382,000","25,486,000","25,945,000","23,727,000","23,865,000","23,464,000","22,654,000","22,654,000","23,168,000","23,310,000","23,568,000","22,239,000","23,125,000","21,187,000","21,139,000","20,655,000","20,820,000","19,546,000","19,650,000","19,581,000","19,647,000","19,087,000","18,775,000","17,351,000","17,856,000","17,569,000","17,175,000","16,721,000","16,198,000","16,804,000","15,863,000","14,684,000","14,790,000","15,376,000","13,945,000","13,964,000","13,924,000","13,183,000","12,622,000","26,931,000","27,308,000","26,093,000","27,640,000","25,862,000","22,714,000","24,604,000","26,831,000","30,294,000","23,125,616","21,765,929","20,704,547","22,068,832","20,532,390","19,971,740","17,635,323","17,848,000","17,426,240","16,567,527","17,152,561","15,689,438","15,027,819","14,699,907","13,633,512","13,823,456","12,156,958","19,238,725","11,754,056","11,291,784","17,817,721","37,729,069","31,981,049","34,171,723","31,495,674","32,537,331","21,800,000","18,600,000","17,300,000","20,200,000","9,600,000","7,500,000","7,600,000","7,000,000","1,200,000","1,000,000","1,100,000","1,300,000","700,000","900,000","600,000","1,100,000","700,000","600,000","600,000","-2,500,000","3,600,000",,,,,,,"200,000","200,000","200,000","200,000","500,000","400,000","500,000","500,000","500,000","500,000","500,000","400,000","500,000","600,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,033,000","1,210,000","950,000","958,000","915,000","947,000","906,000","928,000","938,000","926,000","975,000","971,000","967,000","1,020,000","985,000","979,000","985,000","1,006,000","1,057,000","1,108,000","1,079,000","1,037,000","1,059,000","1,080,000","1,096,000","1,152,000","1,008,000","1,038,000","1,010,000","1,048,000","935,000","929,000","918,000","878,000","835,000","795,000","777,000","756,000","712,000","696,000","662,000","632,000","594,000","565,000","538,000","523,000","485,000","465,000","456,000","451,000","438,000","412,000","392,000","386,000","352,000","338,000","319,000","300,000","296,000","278,000","274,000","269,000","254,000","239,000","231,754","294,463","151,217","129,582","148,009","118,259","115,894","99,000","92,348","89,440","71,450","78,346","81,817","89,278","74,175","70,645","65,105","74,773","51,248","72,470","611,409","906,673","1,025,887","1,090,823","1,042,637","632,628","500,000","200,000","800,000","300,000","400,000",,"500,000","100,000","100,000","100,000","100,000","100,000",,,,"0",,"100,000","400,000","1,100,000","800,000",,,,,,,"100,000","100,000","100,000","100,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","300,000","400,000",,,,,,
		DepreciationAndAmortizationInIncomeStatement,"4,033,000","1,210,000","950,000","958,000","915,000","947,000","906,000","928,000","938,000","926,000","975,000","971,000","967,000","1,020,000","985,000","979,000","985,000","1,006,000","1,057,000","1,108,000","1,079,000","1,037,000","1,059,000","1,080,000","1,096,000","1,152,000","1,008,000","1,038,000","1,010,000","1,048,000","935,000","929,000","918,000","878,000","835,000","795,000","777,000","756,000","712,000","696,000","662,000","632,000","594,000","565,000","538,000","523,000","485,000","465,000","456,000","451,000","438,000","412,000","392,000","386,000","352,000","338,000","319,000","300,000","296,000","278,000","274,000","269,000","254,000","239,000","231,754","294,463","151,217","129,582","148,009","118,259","115,894","99,000","92,348","89,440","71,450","78,346","81,817","89,278","74,175","70,645","65,105","74,773","51,248","72,470","611,409","906,673","1,025,887","1,090,823","1,042,637","632,628","500,000","200,000","800,000","300,000","400,000",,"500,000","100,000","100,000","100,000","100,000","100,000",,,,"0",,"100,000","400,000","1,100,000","800,000",,,,,,,"100,000","100,000","100,000","100,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","300,000","400,000",,,,,,
	ProvisionForDoubtfulAccounts,"257,101,000","75,305,000","66,741,000","60,947,000","54,108,000","36,077,000","47,639,000","43,862,000","36,084,000","49,361,000","40,233,000","41,177,000","31,475,000","34,744,000","35,555,000","38,521,000","37,543,000","38,281,000","37,872,000","38,746,000","34,160,000","38,630,000","37,645,000","39,441,000","33,381,000","38,172,000","32,786,000","38,094,000","35,345,000","30,836,000","30,206,000","31,371,000","27,876,000","27,645,000","36,776,000","28,296,000","26,530,000","25,536,000","25,189,000","23,647,000","21,663,000","19,582,000","20,899,000","22,623,000","18,534,000","17,970,000","18,089,000","18,767,000","16,138,000","15,613,000","16,460,000","15,152,000","15,051,000","14,929,000","14,966,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"233,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-611,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
