name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalRevenue,"1,602,712","199,074","839,115","291,698","272,824","371,120","5,580,581","236,178","267,187","1,327,274","279,488","866,863","135,673","2,829,905","2,502,624","2,000,868","24,448,761","1,529,644","8,787,234","2,644,543","20,412,124","10,376,185","8,513,952","12,540,463","6,203,791","8,110,155","5,935,562","24,183,234","5,286,678","5,166,637","2,457,108","1,840,353","3,801,662","2,357,643","1,739,666","9,486,845","785,610","1,455,225","1,134,753","854,696","436,082","1,693,121","1,632,668","2,637,561","2,419,763","3,105,265","2,359,914","1,276,543","1,134,859","1,373,389","2,612,611","3,646,461","2,491,589","369,450","326,847","454,737","663,034","653,014","3,321,739","486,511","495,577","503,902","1,531,666","575,829","662,690","697,993","829,237","724,480","2,951,616","961,921","542,738","455,157","99,819","69,385","38,077","22,311","9,004","11,137","76,193","67,887","40,971","791,533","1,301,826","837,722","1,312,311","1,190,906","1,354,063","1,252,176","1,477,339","1,300,000","1,500,000","900,000","5,200,000","900,000"
	OperatingRevenue,"1,132,743","74,737","723,713","176,583","157,710","89,564","5,086,268","125,174","169,248","1,243,626","240,188","670,441","135,673","2,826,291","2,428,807","1,998,277","24,446,171","1,437,054","7,635,700","480,405","16,535,195","4,521,916","665,864","2,901,912","2,389,708","1,933,857","2,195,643","16,600,083","4,501,903","4,358,071","1,870,608","1,227,452","3,245,281","1,552,691","928,467","8,495,010","120,561","120,509","-2,323,896","854,696","436,082","1,693,121","1,632,668","2,637,561","2,419,763","3,105,265","2,359,914","1,276,543","1,134,859","1,373,389","2,612,611","3,646,461","2,491,589","369,450","326,847","454,737","663,034","653,014","3,321,739","486,511","495,577","503,902","1,531,666","575,829","662,690","697,993","829,237","724,480","2,951,616","961,921","542,738","455,157","99,819","69,385","38,077","22,311","9,004","11,137","76,193","67,887","40,971","791,533","1,274,479","837,722","668,181","1,190,906","1,354,063","1,252,176","1,477,339","1,300,000","1,500,000","900,000","5,200,000","900,000"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"316,535","592,075","367,116","187,406","317,348","445,548","319,319","557,541","400,000","300,000","200,000","300,000","200,000"
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,935,562","24,183,234","5,286,678","5,166,637","2,457,108",,"3,801,662","2,357,643","1,739,666","9,486,845","785,610","1,455,225","1,134,753","854,696","436,082","1,693,121","1,632,668","2,637,561","2,419,763","3,105,265","2,359,914","1,276,543","1,134,859","1,373,389","2,612,611","3,646,461","2,491,589","369,450","326,847","454,737","663,034","653,014","3,321,739","486,511","495,577",,"1,531,666","575,829","662,690","697,993","829,237",,"2,951,616","961,921","542,738",,"99,819","69,385","38,077","22,311",,,"76,193","67,887","40,971","474,998","709,751","470,606","1,124,905","873,558","908,515","932,857","919,798","900,000","1,200,000","700,000","4,900,000","700,000"
OperatingExpense,"321,999,134","71,932,069","106,347,454","60,244,852","83,474,759","52,925,612","34,920,019","36,565,618","33,448,085","26,559,542","30,700,541","24,818,650","28,336,367","31,364,917","32,001,788","28,643,551","29,651,930","34,275,766","32,675,023","31,830,014","30,047,857","32,310,093","30,877,248","32,735,946","25,430,331","23,560,773","20,461,977","20,452,817","21,406,771","13,534,248","13,468,902","10,171,519","13,954,608","12,357,698","10,743,544","8,721,201","7,457,668","8,089,265","7,361,841","7,646,681","7,223,995","6,530,667","7,412,390","9,311,012","7,556,364","7,741,031","7,640,231","5,833,061","6,110,822","5,780,753","6,423,192","7,242,833","5,481,966","3,929,875","3,788,444","3,203,315","4,765,444","3,998,893","5,133,089","5,513,101","5,252,387","4,807,572","5,325,422","4,112,559","3,865,416","3,510,975","3,896,963","3,757,784","5,136,858","4,850,618","4,429,614","3,997,119","2,565,008","1,686,056","1,846,045","1,719,753","1,408,795","1,756,427","1,518,342","1,540,063","1,564,167","1,940,770","2,418,034","3,209,443","3,073,806","3,141,127","2,980,730","2,973,439","3,454,408","2,700,000","3,200,000","3,700,000","3,800,000","3,900,000"
	SellingGeneralAndAdministration,"55,824,617","15,953,458","14,048,635","13,156,183","12,666,341","13,881,194","8,617,458","10,110,506","11,071,510","7,448,354","8,696,586","5,681,441","5,850,101","6,975,029","5,636,141","6,791,693","7,189,310","9,698,015","8,033,899","6,319,775","6,169,106","7,767,589","6,965,517","5,755,603","5,799,530","5,371,613","4,860,086","4,377,616","4,718,260","4,107,928","4,224,429","3,153,714","4,347,327","4,132,218","4,339,539","3,282,796","3,046,586","2,974,153","2,919,000","2,674,362","2,696,909","2,488,088","3,253,990","2,323,188","3,092,386","3,319,232","3,148,516","2,881,994","3,027,593","3,050,158","2,571,792","3,830,703","4,300,772","2,966,142","2,588,989","1,928,928","3,086,180","2,401,505","3,266,767","3,177,723","2,288,301","2,234,911","2,567,638","1,870,378","1,827,271","1,814,300","1,658,988","1,288,490","1,560,985","1,472,737","1,843,608","1,609,828","1,578,565","1,097,196","1,247,537","1,076,320","979,560","1,263,463","903,638","946,358","930,432","1,278,258","1,614,427","2,336,383","1,713,889","1,172,020","1,403,528","1,443,288","1,310,830","1,200,000","1,400,000","1,600,000","1,700,000","1,500,000"
		GeneralAndAdministrativeExpense,"55,824,617","15,953,458","14,048,635","13,156,183","12,666,341","13,881,194","8,617,458","10,110,506","11,071,510","7,448,354","8,696,586","5,681,441","5,850,101","6,975,029","5,636,141","6,791,693","7,189,310","9,698,015","8,033,899","6,319,775","6,169,106","7,767,589","6,965,517","5,755,603","5,799,530","5,371,613","4,860,086","4,377,616","4,718,260","4,107,928","4,224,429","3,153,714","4,347,327","4,132,218","4,339,539","3,282,796","3,046,586","2,974,153","2,919,000","2,674,362","2,696,909","2,488,088",,"2,323,188","3,092,386","3,319,232","3,148,516","2,881,994","3,027,593","3,050,158","2,571,792","3,830,703","4,300,772","2,966,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"55,824,617","15,953,458","14,048,635","13,156,183","12,666,341","13,881,194","8,617,458","10,110,506","11,071,510","7,448,354","8,696,586","5,681,441","5,850,101","6,975,029","5,636,141","6,791,693","7,189,310","9,698,015","8,033,899","6,319,775","6,169,106","7,767,589","6,965,517","5,755,603","5,799,530","5,371,613","4,860,086","4,377,616","4,718,260","4,107,928","4,224,429","3,153,714","4,347,327","4,132,218","4,339,539","3,282,796","3,046,586","2,974,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"266,174,517","55,978,611","92,298,819","47,088,669","70,808,418","39,044,418","26,302,561","26,455,112","22,376,575","19,111,188","22,003,955","19,137,209","22,486,266","24,389,888","26,365,647","21,851,858","22,462,620","24,577,751","24,641,124","25,510,239","23,878,751","24,542,504","23,911,731","26,980,343","19,630,801","18,189,160","15,601,891","16,075,201","16,688,511","9,426,320","9,244,473","7,017,805","9,607,281","8,225,480","6,404,005","5,438,405","4,411,082","5,115,112","4,442,841","4,972,319","4,527,086","4,042,579","4,158,400","6,987,824","4,463,978","4,421,799","4,491,715","2,951,067","3,083,229","2,730,595","3,851,400","3,412,130","1,181,194","963,733","1,199,455","1,274,387","1,679,264","1,597,388","1,866,322","2,335,378","2,907,836","2,516,411","2,701,534","2,185,931","1,981,895","1,640,425","2,181,725","2,413,044","3,519,623","3,340,381","2,586,006","2,387,291","986,443","588,860","598,508","643,433","429,235","475,734","614,704","593,705","633,735","662,512","803,607","873,060","1,786,308","1,824,034","1,431,205","1,394,830","1,977,220","1,400,000","1,700,000","2,000,000","2,000,000","2,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,250","56,250","56,250","56,250","56,250","56,250","56,250","56,250","56,250","37,500",,,,,,,,,,,,,,,"229,106","145,073","145,997","135,321","166,358","100,000","100,000","100,000","100,000","100,000"
