name,ttm,03/31/2022
MarketCap,"1,315,904,602","1,228,458,864"
EnterpriseValue,"4,303,680,602","3,579,096,864"
PeRatio,"882.083","828.913"
ForwardPeRatio,"6.297","11.223"
PsRatio,"1.975","1.856"
PbRatio,,"1.22"
EnterprisesValueRevenueRatio,"6.501","13.913"
EnterprisesValueEBITDARatio,"11.815","33.615"
