name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
TotalAssets,"43,551,457,000","43,446,443,000","41,278,007,000","41,274,228,000","41,178,011,000","40,686,076,000","40,747,492,000","41,717,265,000","39,120,629,000","37,436,020,000","33,765,539,000","33,027,741,000","32,476,991,000","31,863,088,000","30,881,948,000","30,182,979,000","29,464,357,000","24,002,306,000","23,780,661,000","23,449,350,000","23,220,456,000","22,864,439,000","22,368,453,000","21,809,738,000","21,727,523,000","21,612,616,000","19,571,532,000","19,290,005,000","18,980,010,000","18,793,855,000","16,726,410,000","16,335,967,000","16,344,464,000","16,156,541,000","15,976,943,000","15,977,202,000","16,028,703,000","16,012,646,000","15,771,134,000","16,018,244,000","15,950,054,000","14,244,507,000","14,231,155,000","14,469,776,000","14,363,839,000","14,143,826,000","14,087,611,000","14,112,481,000","14,473,796,000","14,284,153,000","14,231,870,000","14,132,031,000","14,429,597,000","14,718,129,000","14,288,151,000","12,987,718,000","12,961,211,000","12,748,959,000","12,439,474,000","12,319,087,000","12,302,728,000","12,395,027,000","12,438,555,000","12,429,815,000","12,317,577,000","12,436,102,000","12,483,716,000","12,267,025,000","11,407,946,000","10,763,391,000","10,630,850,000","10,484,538,000","10,139,088,000","9,880,740,000","9,735,580,000","9,506,570,000","9,456,663,000","9,134,674,000","9,021,817,000","8,782,717,000","8,580,659,000","8,583,765,000","8,225,245,000","8,126,153,000","8,017,193,000","6,425,837,000","6,266,398,000","6,292,729,000","6,292,744,000","6,360,400,000","6,109,800,000","6,110,100,000","5,706,400,000","5,541,200,000","5,043,000,000","5,097,100,000","5,085,700,000","5,090,700,000","5,175,500,000","5,129,900,000","5,117,100,000","4,686,700,000","4,605,100,000","4,563,100,000","4,524,800,000","4,585,800,000","4,417,000,000","4,459,200,000","3,824,100,000","3,743,900,000","3,525,400,000","3,501,500,000","3,438,000,000","3,413,500,000","3,380,700,000","3,394,700,000","3,202,000,000","3,169,800,000","3,075,400,000","3,023,000,000","2,913,900,000","2,864,900,000","2,676,900,000","2,267,400,000","2,024,200,000","2,004,200,000","1,860,000,000","1,857,200,000","1,817,700,000","1,823,400,000","1,765,500,000"
TotalLiabilitiesNetMinorityInterest,"38,455,073,000","38,362,377,000","36,455,509,000","36,536,421,000","36,518,341,000","36,093,956,000","36,213,729,000","37,242,777,000","34,699,631,000","33,051,832,000","30,207,464,000","29,523,623,000","29,032,112,000","28,512,634,000","27,579,012,000","26,905,667,000","26,219,354,000","21,469,141,000","21,242,677,000","21,025,449,000","20,821,915,000","20,487,283,000","20,111,380,000","19,577,526,000","19,507,921,000","19,405,525,000","17,574,583,000","17,304,478,000","17,112,857,000","16,930,838,000","15,142,212,000","14,762,311,000","14,784,575,000","14,615,501,000","14,456,887,000","14,455,649,000","14,520,704,000","14,510,269,000","14,257,811,000","14,515,171,000","14,456,600,000","12,978,259,000","12,924,053,000","13,158,558,000","13,056,315,000","12,848,621,000","12,809,592,000","12,843,814,000","13,214,544,000","13,031,299,000","12,947,768,000","12,813,135,000","13,042,210,000","13,354,520,000","13,199,539,000","12,036,387,000","12,002,439,000","11,799,899,000","11,496,692,000","11,392,485,000","11,371,735,000","11,445,437,000","11,459,962,000","11,485,304,000","11,381,271,000","11,504,192,000","11,565,589,000","11,350,300,000","10,587,077,000","10,055,793,000","9,934,684,000","9,825,975,000","9,462,391,000","9,227,951,000","9,097,476,000","8,877,436,000","8,630,213,000","8,502,936,000","8,368,586,000","8,109,597,000","7,925,579,000","7,905,390,000","7,519,121,000","7,430,747,000","7,335,891,000","5,880,763,000","5,742,830,000","5,772,164,000","5,764,610,000","5,806,900,000","5,541,500,000","5,546,900,000","5,140,700,000","4,985,400,000","4,538,600,000","4,604,600,000","4,603,700,000","4,615,300,000","4,711,400,000","4,679,300,000","4,680,600,000","4,290,200,000","4,222,700,000","4,185,800,000","4,138,700,000","4,185,600,000","4,026,900,000","4,076,400,000","3,502,000,000","3,443,700,000","3,244,800,000","3,228,100,000","3,167,000,000","3,149,100,000","3,124,600,000","3,147,300,000","2,974,100,000","2,951,500,000","2,862,600,000","2,816,300,000","2,713,400,000","2,670,400,000","2,486,400,000","2,080,000,000","1,840,000,000","1,823,600,000","1,678,200,000","1,677,700,000","1,642,100,000","1,651,900,000","1,597,500,000"
TotalEquityGrossMinorityInterest,"5,096,384,000","5,084,066,000","4,822,498,000","4,737,807,000","4,659,670,000","4,592,120,000","4,533,763,000","4,474,488,000","4,420,998,000","4,384,188,000","3,558,075,000","3,504,118,000","3,444,879,000","3,350,454,000","3,302,936,000","3,277,312,000","3,245,003,000","2,533,165,000","2,537,984,000","2,423,901,000","2,398,541,000","2,377,156,000","2,257,073,000","2,232,212,000","2,219,602,000","2,207,091,000","1,996,949,000","1,985,527,000","1,867,153,000","1,863,017,000","1,584,198,000","1,573,656,000","1,559,889,000","1,541,040,000","1,520,056,000","1,521,553,000","1,507,999,000","1,502,377,000","1,513,323,000","1,503,073,000","1,493,454,000","1,266,248,000","1,307,102,000","1,311,218,000","1,307,524,000","1,295,205,000","1,278,019,000","1,268,667,000","1,259,252,000","1,252,854,000","1,284,102,000","1,318,896,000","1,387,387,000","1,363,609,000","1,088,612,000","951,331,000","958,772,000","949,060,000","942,782,000","926,602,000","930,993,000","949,590,000","978,593,000","944,511,000","936,306,000","931,910,000","918,127,000","916,725,000","820,869,000","707,598,000","696,166,000","658,563,000","676,697,000","652,789,000","638,104,000","629,134,000","826,450,000","631,738,000","653,231,000","673,120,000","655,080,000","678,375,000","706,124,000","695,406,000","681,302,000","545,074,000","523,568,000","520,565,000","528,134,000","553,500,000","568,300,000","563,200,000","565,700,000","555,800,000","504,400,000","492,500,000","482,000,000","475,400,000","464,100,000","450,600,000","436,500,000","396,500,000","382,400,000","377,300,000","386,100,000","400,200,000","390,100,000","382,800,000","322,100,000","300,200,000","280,600,000","273,400,000","271,000,000","264,400,000","256,100,000","247,400,000","227,900,000","218,300,000","212,800,000","206,700,000","200,500,000","194,500,000","190,500,000","187,400,000","184,200,000","180,600,000","181,800,000","179,500,000","175,600,000","171,500,000","168,000,000"
	StockholdersEquity,"5,096,384,000","5,084,066,000","4,822,498,000","4,737,807,000","4,659,670,000","4,592,120,000","4,533,763,000","4,474,488,000","4,420,998,000","4,384,188,000","3,558,075,000","3,504,118,000","3,444,879,000","3,350,454,000","3,302,936,000","3,277,312,000","3,245,003,000","2,533,165,000","2,537,984,000","2,423,901,000","2,398,541,000","2,377,156,000","2,257,073,000","2,232,212,000","2,219,602,000","2,207,091,000","1,996,949,000","1,985,527,000","1,867,153,000","1,863,017,000","1,584,198,000","1,573,656,000","1,559,889,000","1,541,040,000","1,520,056,000","1,521,553,000","1,507,999,000","1,502,377,000","1,513,323,000","1,503,073,000","1,493,454,000","1,266,248,000","1,307,102,000","1,311,218,000","1,307,524,000","1,295,205,000","1,278,019,000","1,268,667,000","1,259,252,000","1,252,854,000","1,284,102,000","1,318,896,000","1,387,387,000","1,363,609,000","1,088,612,000","951,331,000","958,772,000","949,060,000","942,782,000","926,602,000","930,993,000","949,590,000","978,593,000","944,511,000","936,306,000","931,910,000","918,127,000","916,725,000","820,869,000","707,598,000","696,166,000","658,563,000","676,697,000","652,789,000","638,104,000","629,134,000","626,450,000","631,738,000","653,231,000","673,120,000","655,080,000","678,375,000","706,124,000","695,406,000","681,302,000","545,074,000","523,568,000","520,565,000","528,134,000","553,500,000","568,300,000","563,200,000","565,700,000","555,800,000","504,400,000","492,500,000","482,000,000","475,400,000","464,100,000","450,600,000","436,500,000","396,500,000","382,400,000","377,300,000","386,100,000","400,200,000","390,100,000","382,800,000","322,100,000","300,200,000","280,600,000","273,400,000","271,000,000","264,400,000","256,100,000","247,400,000","227,900,000","218,300,000","212,800,000","206,700,000","200,500,000","194,500,000","190,500,000","187,400,000","184,200,000","180,600,000","181,800,000","179,500,000","175,600,000","171,500,000","168,000,000"
		CapitalStock,"358,173,000","358,173,000","352,667,000","352,241,000","352,126,000","351,437,000","351,409,000","351,358,000","351,304,000","351,114,000","326,341,000","326,262,000","326,157,000","325,931,000","325,845,000","325,718,000","325,515,000","302,418,000","302,260,000","204,013,000","203,960,000","203,943,000","200,597,000","200,502,000","200,325,000","200,216,000","192,942,000","192,827,000","81,170,000","81,072,000","70,204,000","70,116,000","70,013,000","69,941,000","69,826,000","69,707,000","69,601,000","69,494,000","0","0","0","59,955,000","0","0","0","57,041,000","0","0","54,361,000","54,293,000","97,625,000","219,333,000","292,013,000","339,767,000",,"45,287,000",,"43,185,000",,"43,221,000","41,211,000","41,212,000",,"41,250,000","39,297,000","39,302,000","0","39,332,000","36,482,000","34,930,000","34,963,000","34,956,000","33,303,000","33,304,000","33,326,000","33,332,000","33,336,000","33,332,000",,"33,347,000","33,306,000","33,310,000","33,356,000","33,316,000","31,994,000","25,886,000","25,963,000","25,956,000","25,947,000","25,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","209,691,000","111,590,000","111,590,000","111,590,000","111,590,000","111,590,000","111,590,000","111,590,000","111,590,000","111,590,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","97,625,000","219,333,000","292,013,000","291,539,000",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"148,482,000","148,482,000","142,976,000","142,550,000","142,435,000","141,746,000","141,718,000","141,667,000","141,613,000","141,423,000","116,650,000","116,571,000","116,466,000","116,240,000","116,154,000","116,027,000","115,824,000","92,727,000","92,569,000","92,423,000","92,370,000","92,353,000","89,007,000","88,912,000","88,735,000","88,626,000","81,352,000","81,237,000","81,170,000","81,072,000","70,204,000","70,116,000","70,013,000","69,941,000","69,826,000","69,707,000","69,601,000","69,494,000",,"69,308,000",,"59,955,000",,,,"57,041,000",,,"54,361,000","54,293,000",,,,"48,228,000",,"45,287,000",,"43,185,000",,"43,221,000","41,211,000","41,212,000",,"41,250,000","39,297,000","39,302,000",,"39,332,000","36,482,000","34,930,000","34,963,000","34,956,000","33,303,000","33,304,000","33,326,000","33,332,000","33,336,000","33,332,000",,"33,347,000","33,306,000","33,310,000","33,356,000","33,316,000","31,994,000","25,886,000","25,963,000","25,956,000","25,947,000","25,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,,,,,,"3,637,468,000","3,633,321,000","3,628,792,000","3,624,036,000","3,622,208,000","2,807,266,000","2,804,059,000","2,799,434,000","2,796,499,000","2,793,158,000","2,789,190,000","2,784,194,000","2,060,356,000","2,054,843,000","2,049,613,000","2,047,357,000","2,044,401,000","1,937,572,000","1,934,469,000","1,930,844,000","1,927,399,000","1,702,907,000","1,699,195,000","1,696,834,000","1,693,752,000","1,411,246,000","1,408,325,000","1,405,543,000","1,403,375,000","1,400,238,000","1,396,996,000","1,394,079,000","1,390,851,000","1,457,297,000","1,454,037,000","1,450,438,000","1,239,090,000","1,237,620,000","1,236,564,000","1,236,076,000","1,235,366,000","1,235,787,000","1,234,977,000","1,234,302,000","1,233,285,000","1,169,851,000","1,097,777,000","1,096,479,000","1,095,313,000","1,087,073,000","879,360,000","923,987,000","879,892,000","923,796,000","880,286,000","881,533,000","881,022,000","925,202,000","882,589,000","741,832,000","741,456,000","782,672,000","742,238,000","550,617,000","437,659,000","439,370,000","438,481,000","318,836,000","318,599,000","318,919,000","319,140,000","319,482,000","318,964,000","33,352,000","318,851,000","406,408,000","406,608,000","406,631,000","405,336,000","320,849,000","324,300,000","325,901,000","325,688,000","325,331,000","325,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"945,225,000","883,645,000","818,780,000","744,768,000","672,651,000","611,158,000","553,826,000","499,511,000","452,424,000","443,559,000","454,020,000","412,190,000","375,983,000","299,642,000","262,368,000","232,593,000","199,555,000","216,733,000","214,981,000","207,177,000","188,089,000","172,754,000","153,531,000","140,591,000","131,494,000","125,171,000","150,255,000","141,948,000","135,571,000","130,845,000","131,241,000","125,614,000","118,108,000","106,340,000","88,703,000","94,002,000","92,451,000","93,495,000","100,253,000","92,925,000","92,166,000","90,011,000","96,101,000","91,867,000","85,926,000","79,803,000","74,733,000","72,746,000","70,155,000","73,592,000","76,851,000","81,785,000","99,971,000","85,234,000","98,147,000","125,906,000","110,080,000","104,225,000","102,930,000","92,575,000","78,533,000","97,639,000","85,150,000","66,650,000","193,182,000","177,332,000","157,793,000","140,462,000","248,361,000","232,431,000","215,025,000","198,042,000","304,333,000","288,313,000","271,508,000","254,078,000","355,776,000","338,770,000","319,315,000","304,919,000","286,797,000","270,730,000","261,261,000","245,994,000","326,287,000","213,362,000","203,801,000","193,534,000","255,778,000","244,600,000","233,500,000","222,400,000","234,100,000","223,200,000","192,500,000","181,600,000","170,500,000","159,100,000","149,500,000","139,600,000","187,500,000","145,100,000","136,600,000","131,400,000","171,400,000","162,000,000","159,200,000","151,100,000","136,600,000","169,100,000","161,500,000","154,200,000","147,400,000","211,300,000","203,300,000","195,100,000","187,300,000","177,800,000","172,500,000","166,500,000","160,500,000","154,400,000","150,500,000","147,400,000","144,200,000","140,600,000","142,000,000","139,800,000","135,800,000","131,700,000","127,500,000"
		TreasuryStock,"23,152,000","22,855,000","41,000","103,000","50,000","225,000","10,000","235,000","200,000","479,000","3,084,000","3,262,000","3,438,000","2,187,000","1,491,000","1,065,000","158,000","337,000","0","223,000","1,779,000","1,849,000","284,000","351,000","366,000","0","103,000","183,000","1,760,000","157,000","106,000","102,000","111,000","364,000","25,000","0","506,000","554,000","164,000","22,000","58,000","412,000","2,817,000","6,925,000","10,872,000","14,245,000","22,658,000","26,329,000","30,246,000","34,207,000","41,946,000","46,808,000","47,530,000","47,546,000","49,724,000","61,787,000","63,190,000","65,260,000","64,791,000","64,504,000","55,749,000","39,410,000","12,025,000","918,000","2,362,000","2,144,000","4,709,000","3,574,000",,"689,000","4,338,000","4,938,000","4,556,000","7,699,000","9,930,000","13,187,000","116,978,000","100,212,000","63,010,000","21,684,000","89,629,000","51,309,000","25,648,000",,"9,549,000","12,776,000","17,097,000","5,041,000","58,392,000","24,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
