name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010
TotalAssets,"7,341,512,000","7,214,011,000","7,100,991,000","7,136,128,000","6,949,501,000","6,659,950,000","6,600,676,000","6,385,431,000","6,028,330,000","5,895,512,000","5,990,050,000","5,858,002,000","5,802,666,000","5,676,666,000","5,585,104,000","5,647,256,000","5,657,583,000","4,843,465,000","4,768,972,000","4,692,769,000","4,728,295,000","4,573,046,000","4,606,413,000","4,627,820,000","4,615,974,000","4,683,908,000","4,788,049,000","4,777,850,000","4,991,050,000","4,819,646,000","4,812,807,000","4,880,186,000","4,913,587,000","4,914,115,000","5,161,969,000","5,220,688,000","5,257,543,000","5,410,775,000","5,522,826,000","5,789,075,000","6,352,026,000","5,363,551,000","4,595,856,000","5,105,521,000"
TotalLiabilitiesNetMinorityInterest,"6,521,297,000","6,373,905,000","6,256,275,000","6,284,262,000","6,117,511,000","5,839,259,000","5,801,319,000","5,608,464,000","5,264,876,000","5,128,592,000","5,236,724,000","5,124,085,000","5,087,664,000","4,981,660,000","4,912,039,000","4,987,071,000","5,011,720,000","4,311,058,000","4,218,728,000","4,148,282,000","4,190,677,000","4,036,857,000","4,056,641,000","4,028,910,000","4,012,051,000","4,066,364,000","4,166,856,000","4,059,584,000","4,228,374,000","4,025,071,000","4,003,845,000","4,016,253,000","4,017,738,000","4,016,323,000","4,130,719,000","4,176,445,000","4,170,800,000","4,320,216,000","4,426,991,000","4,692,334,000","5,263,297,000","4,263,575,000","3,570,262,000","4,111,762,000"
TotalEquityGrossMinorityInterest,"820,215,000","840,106,000","844,716,000","851,866,000","831,990,000","820,691,000","799,357,000","776,967,000","763,454,000","766,920,000","753,326,000","733,917,000","715,002,000","695,006,000","673,065,000","660,185,000","645,863,000","532,407,000","550,244,000","544,487,000","537,618,000","536,189,000","549,772,000","598,910,000","603,923,000","617,544,000","621,193,000","718,266,000","762,676,000","794,575,000","808,962,000","863,933,000","895,849,000","897,792,000","1,031,250,000","1,044,243,000","1,086,743,000","1,090,559,000","1,095,835,000","1,096,741,000","1,088,729,000","1,099,976,000","1,025,594,000","993,759,000"
	StockholdersEquity,"820,215,000","840,106,000","844,716,000","851,866,000","831,990,000","820,691,000","799,357,000","776,967,000","763,454,000","766,920,000","753,326,000","733,917,000","715,002,000","695,006,000","673,065,000","660,185,000","645,863,000","532,407,000","550,244,000","544,487,000","537,618,000","536,189,000","549,772,000","598,910,000","603,923,000","617,544,000","621,193,000","718,266,000","762,676,000","794,575,000","808,962,000","863,933,000","895,849,000","897,792,000","1,031,250,000","1,044,243,000","1,086,743,000","1,090,559,000","1,095,835,000","1,096,741,000","1,088,729,000","1,099,976,000","1,025,594,000","993,759,000"
		CapitalStock,"515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","514,000","514,000","514,000","514,000","513,000","513,000","513,000","513,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","514,000","523,000","523,000","522,000","522,000","522,000","520,000","520,000","520,000"
			CommonStock,"515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","515,000","514,000","514,000","514,000","514,000","513,000","513,000","513,000","513,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","514,000","523,000","523,000","522,000","522,000","522,000","520,000","520,000","520,000"
		AdditionalPaidInCapital,"1,014,332,000","1,014,294,000","1,013,064,000","1,011,200,000","1,010,798,000","1,011,362,000","1,010,145,000","1,008,773,000","1,009,478,000","1,009,223,000","1,007,628,000","1,006,008,000","1,012,974,000","1,014,399,000","1,013,314,000","1,012,175,000","1,012,268,000","970,668,000","972,027,000","971,145,000","971,742,000","984,087,000","997,665,000","996,855,000","997,243,000","997,926,000","995,440,000","994,454,000","993,874,000","993,212,000","992,587,000","991,440,000","990,700,000","990,216,000","989,614,000","991,538,000","1,007,401,000","1,006,194,000","1,005,627,000","998,963,000","994,705,000","997,109,000","991,260,000","982,637,000"
		RetainedEarnings,"301,220,000","289,876,000","273,900,000","260,821,000","243,446,000","223,175,000","202,238,000","180,537,000","168,984,000","164,082,000","150,866,000","135,210,000","120,879,000","106,990,000","95,055,000","81,182,000","68,008,000","60,795,000","73,358,000","68,570,000","61,812,000","55,454,000","47,347,000","40,419,000","37,409,000","38,670,000","36,778,000","36,709,000","39,866,000","40,528,000","40,197,000","39,019,000","39,121,000","39,966,000","41,266,000","42,941,000","42,692,000","43,273,000","42,934,000","50,825,000","46,480,000","49,445,000","10,275,000","4,517,000"
		TreasuryStock,"457,219,000","457,616,000","441,366,000","422,365,000","423,254,000","424,127,000","424,621,000","425,053,000","427,890,000","408,962,000","408,770,000","409,322,000","413,226,000","415,623,000","415,605,000","416,281,000","420,040,000","493,329,000","494,321,000","494,547,000","494,594,000","502,104,000","504,301,000","450,156,000","439,795,000","419,660,000","420,274,000","317,854,000","283,661,000","245,516,000","226,230,000","172,114,000","134,953,000","126,146,000","0","0","0","4,000",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-38,633,000","-6,963,000","-1,397,000","1,695,000","485,000","9,766,000","11,080,000","12,195,000","12,367,000","2,062,000","3,087,000","1,506,000","-6,140,000","-11,275,000","-20,214,000","-17,406,000","-14,888,000","-6,242,000","-1,335,000","-1,196,000","-1,856,000","-1,762,000","8,547,000","11,278,000","8,553,000","95,000","8,736,000","4,444,000","12,085,000","5,839,000","1,896,000","5,076,000","469,000","-6,756,000","-142,000","9,250,000","36,127,000","40,573,000","46,752,000","46,431,000","47,022,000","52,902,000","23,539,000","6,085,000"
