name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
MarketCap,"624,487,624","1,388,720,485","2,205,937,171","2,301,618,479","2,487,317,136","3,155,371,305"
EnterpriseValue,"253,407,624","934,621,485","1,690,579,171","1,734,893,479","1,877,678,136","2,913,657,305"
PsRatio,,,,"45,123.202","26,460.821","11,256.399"
PbRatio,"1.228","2.502","3.671","3.625","3.739",
EnterprisesValueEBITDARatio,"-1.383","-17.507","-31.983","-41.053","-54.073","-126.879"
