name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,12/31/2006
CapitalLeaseObligations,"16,074,000","16,443,000","16,802,000","17,155,000","17,502,000","17,686,000","18,011,000","18,351,000","18,732,000","12,556,000","12,796,000","13,033,000","13,265,000","13,482,000","13,561,000","13,369,000","2,914,000",,,,,,,,,,,,,,,,,"0","0","0","4,000","18,000","24,000","37,000","60,000","100,000","122,000","156,000","189,000","304,000","413,000","465,000","521,000","572,000","36,000","46,000","54,000","27,000","36,000","46,000","54,000","63,000","101,000"
NetTangibleAssets,"168,142,000","165,952,000","163,909,000","166,993,000","173,505,000","158,785,000","151,142,000","144,570,000","125,414,000","123,158,000","121,793,000","114,343,000","106,646,000","99,948,000","96,009,000","88,617,000","77,572,000","68,472,000","54,051,000","51,153,000","54,144,000","50,443,000","43,565,000","43,076,000","45,072,000","48,338,000","46,640,000","46,059,000","47,279,000","53,962,000","58,217,000","64,043,000","67,249,000","70,117,000","62,600,000","65,533,000","66,262,000","69,662,000","70,040,000","71,002,000","72,781,000","77,173,000","86,360,000","96,614,000","98,862,000","99,658,000","97,640,000","100,106,000","98,772,000","97,192,000","111,134,000","109,696,000","108,883,000","106,678,000","101,137,000","23,359,000","21,427,000","19,716,000","7,815,000"
WorkingCapital,"123,003,000","131,978,000","130,594,000","134,584,000","140,563,000","127,462,000","118,224,000","108,290,000","78,061,000","85,137,000","95,060,000","98,283,000","93,574,000","92,516,000","90,816,000","89,444,000","92,438,000","106,363,000","101,605,000","102,068,000","108,121,000","105,211,000","98,089,000","98,603,000","103,039,000","107,507,000","35,682,000","34,570,000","36,889,000","41,719,000","44,088,000","46,026,000","45,100,000","41,191,000","35,105,000","41,446,000","45,362,000","48,003,000","48,243,000","49,274,000","46,764,000","46,791,000","65,613,000","76,833,000","78,369,000","77,851,000","74,169,000","75,923,000","76,267,000","78,684,000","101,377,000","101,599,000","100,262,000","103,135,000","99,589,000","19,397,000","17,741,000","14,797,000","5,956,000"
InvestedCapital,"180,966,000","178,779,000","176,739,000","179,826,000","186,340,000","171,624,000","163,985,000","157,417,000","138,265,000","136,013,000","134,754,000","127,460,000","119,920,000","113,378,000","109,614,000","102,383,000","91,499,000","82,558,000","68,298,000","65,561,000","68,713,000","65,171,000","58,454,000","58,125,000","60,282,000","63,707,000","62,170,000","61,751,000","63,131,000","69,918,000","74,369,000","80,410,000","83,831,000","86,915,000","79,628,000","82,791,000","83,751,000","87,381,000","89,036,000","90,281,000","92,353,000","97,039,000","106,581,000","117,213,000","119,839,000","121,013,000","119,612,000","122,793,000","122,174,000","121,480,000","111,816,000","110,409,000","109,635,000","107,593,000","102,096,000","24,368,000","22,481,000","20,828,000","8,791,000"
TangibleBookValue,"168,142,000","165,952,000","163,909,000","166,993,000","173,505,000","158,785,000","151,142,000","144,570,000","125,414,000","123,158,000","121,793,000","114,343,000","106,646,000","99,948,000","96,009,000","88,617,000","77,572,000","68,472,000","54,051,000","51,153,000","54,144,000","50,443,000","43,565,000","43,076,000","45,072,000","48,338,000","46,640,000","46,059,000","47,279,000","53,962,000","58,217,000","64,043,000","67,249,000","70,117,000","62,600,000","65,533,000","66,262,000","69,662,000","70,040,000","71,002,000","72,781,000","77,173,000","86,360,000","96,614,000","98,862,000","99,658,000","97,640,000","100,106,000","98,772,000","97,192,000","111,134,000","109,696,000","108,883,000","106,678,000","101,137,000","23,359,000","21,427,000","19,716,000","7,815,000"
TotalDebt,"16,074,000","16,443,000","16,802,000","17,155,000","17,502,000","17,686,000","18,011,000","18,351,000","18,732,000","12,556,000","12,796,000","13,033,000","13,265,000","13,482,000","13,580,000","13,391,000","2,939,000","27,000","30,000","33,000","36,000","38,000","41,000","43,000","46,000","48,000","50,000","53,000","55,000",,,,,"0","0","0","4,000","18,000","24,000","58,000","113,000","185,000","239,000","305,000","370,000","517,000","658,000","742,000","830,000","1,083,000","409,000","451,000","491,000","621,000","672,000","726,000","777,000","830,000","765,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"527,000","622,000"
ShareIssued,"56,701,973","63,544,419","63,298,983","63,267,293","62,877,567","61,798,004","61,170,000","61,133,000","60,999,000","60,717,702","60,569,655","60,359,930","59,934,601","59,396,020","59,230,828","58,950,907","58,699,997","58,168,433","57,855,263","57,835,209","57,651,383","56,884,207","56,023,054","55,731,277","55,368,637","54,948,235","54,736,742","54,510,642","54,494,813","54,398,421","53,916,801","53,595,051","53,395,001","53,136,704","52,891,423","52,814,752","52,801,852","52,685,129","52,656,629","52,653,129","52,651,629","52,645,129","52,643,129","52,636,004","52,608,629","52,596,170","52,479,358","52,436,769","51,311,892","51,215,653","50,164,317","50,153,944","50,096,887","50,096,887","50,008,118","50,006,385","50,006,385","50,006,385","50,006,385"
OrdinarySharesNumber,"56,701,973","56,823,266","56,890,382","57,154,420","57,421,632","56,342,069","55,714,000","55,677,000","55,543,000","55,261,767","55,113,720","54,903,995","54,478,666","53,940,085","53,774,893","53,494,972","54,027,314","53,905,600","53,592,430","53,572,376","53,929,727","53,162,551","52,301,398","52,124,021","52,215,481","52,468,779","52,257,286","52,031,186","52,015,357","51,918,965","51,766,598","51,697,148","51,497,098","51,354,101","51,108,820","51,032,149","51,019,249","50,902,526","50,874,026","50,870,526","52,306,567","52,645,129","52,643,129","52,636,004","52,608,629","52,596,170","52,479,358","52,436,769","51,311,892","51,215,653","50,164,317","50,153,944","50,096,887","50,096,887","50,008,118","50,006,385","50,006,385","50,006,385","50,006,385"
TreasurySharesNumber,,"6,721,153","6,408,601","6,112,873","5,455,935","5,455,935","5,456,000","5,456,000","5,456,000","5,455,935","5,455,935","5,455,935","5,455,935","5,455,935","5,455,935","5,455,935","4,672,683","4,262,833","4,262,833","4,262,833","3,721,656","3,721,656","3,721,656","3,607,256","3,153,156","2,479,456","2,479,456","2,479,456","2,479,456","2,479,456","2,150,203","1,897,903","1,897,903","1,782,603","1,782,603","1,782,603","1,782,603","1,782,603","1,782,603","1,782,603","345,062",,,,,,,,,,,,,,,,,,
