name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalAssets,"1,143,307,000","1,252,225,000","1,477,322,000","1,568,795,000","1,625,387,000","1,718,393,000","1,558,178,000","817,457,000","913,623,000","707,694,000","737,925,000","807,178,000","544,663,000","540,124,000","606,110,000","665,113,000","664,468,000","715,737,000","420,118,000","444,721,000","252,648,000","282,795,000","167,849,000","186,520,000","206,010,000","178,898,000","195,288,000","204,208,000","55,910,000","49,925,000"
	CurrentAssets,"687,244,000","554,025,000","771,848,000","704,070,000","937,710,000","927,759,000","841,655,000","568,312,000","704,683,000","516,786,000","513,726,000","612,952,000","426,516,000","499,787,000","565,657,000","622,213,000","615,698,000","685,505,000","400,279,000","431,328,000","213,958,000","220,425,000","159,448,000","178,120,000","197,667,000","170,416,000","188,587,000","201,443,000","52,180,000","48,274,000"
		CashCashEquivalentsAndShortTermInvestments,"586,826,000","477,114,000","701,878,000","628,349,000","851,961,000","871,849,000","757,430,000","521,798,000","666,764,000","483,554,000","493,442,000","592,861,000","415,856,000","494,012,000","559,636,000","613,456,000","607,325,000","673,356,000","390,652,000","421,014,000","206,396,000","214,159,000","152,544,000","172,553,000","191,507,000","162,707,000","179,780,000","193,587,000","50,298,000","47,240,000"
			CashAndCashEquivalents,"37,199,000","209,948,000","553,593,000","534,317,000","697,966,000","684,636,000","565,221,000","288,678,000","375,168,000","113,938,000","89,237,000","82,425,000","79,391,000","68,064,000","78,641,000","117,751,000","134,886,000","400,304,000","57,329,000","91,346,000","56,356,000","52,069,000","74,403,000","109,386,000","122,289,000","162,707,000","179,780,000","193,587,000","50,298,000","47,240,000"
				CashEquivalents,,,,,,,"565,221,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"549,627,000","267,166,000","148,285,000","94,032,000","153,995,000","187,213,000","192,209,000","233,120,000","291,596,000","369,616,000","404,205,000","510,436,000","336,465,000","425,948,000","480,995,000","495,705,000","472,439,000","273,052,000","333,323,000","329,668,000","150,040,000","162,090,000","78,141,000","63,167,000","69,218,000",,,,,
		Receivables,"32,598,000","37,030,000","29,724,000","39,240,000","43,863,000","25,309,000","61,256,000","24,280,000","25,107,000","23,412,000","5,076,000","5,264,000",,,,,,"0","3,435,000","3,075,000","2,826,000","3,577,000","3,455,000","3,351,000","4,232,000","3,414,000","2,470,000","1,923,000","484,000",
			AccountsReceivable,"28,758,000","25,155,000","18,400,000","25,473,000","34,662,000","7,096,000","44,369,000","3,403,000","4,510,000","663,000","2,414,000","750,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,"3,840,000","11,875,000","11,324,000","13,767,000","9,201,000","18,213,000","16,887,000","20,877,000","20,597,000","22,749,000","2,662,000","4,514,000",,,,,,,"3,435,000","3,075,000","2,826,000","3,577,000","3,455,000","3,351,000","4,232,000","3,414,000","2,470,000","1,923,000","484,000",
		Inventory,"30,145,000","21,817,000","16,570,000","15,211,000","16,030,000","8,581,000","5,565,000","4,359,000","2,665,000",,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,"5,415,000","4,221,000","2,580,000",,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,"150,000","138,000","85,000",,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"37,675,000","18,064,000","23,676,000","21,270,000","25,856,000","22,020,000","17,404,000","17,875,000","10,147,000","9,820,000","15,208,000","14,827,000","10,660,000","5,775,000","6,021,000","8,757,000","8,373,000","12,149,000","6,192,000","7,239,000","4,736,000","2,689,000","3,449,000","2,216,000","1,928,000","4,176,000","6,218,000","5,814,000","1,279,000","915,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","119,000","119,000","119,000","119,000","119,000"
	TotalNonCurrentAssets,"456,063,000","698,200,000","705,474,000","864,725,000","687,677,000","790,634,000","716,523,000","249,145,000","208,940,000","190,908,000","224,199,000","194,226,000","118,147,000","40,337,000","40,453,000","42,900,000","48,770,000","30,232,000","19,839,000","13,393,000","38,690,000","62,370,000","8,401,000","8,400,000","8,343,000","8,482,000","6,701,000","2,765,000","3,730,000","1,651,000"
		NetPPE,"119,229,000","120,862,000","94,190,000","96,294,000","98,978,000","101,668,000","104,219,000","107,216,000","109,725,000","111,114,000","112,277,000","108,780,000","107,143,000","29,627,000","29,720,000","30,250,000","29,074,000","24,363,000","13,416,000","7,774,000","6,081,000","6,188,000","6,578,000","6,565,000","6,537,000","6,661,000","4,805,000","1,393,000","1,295,000","1,482,000"
			GrossPPE,"119,229,000","146,280,000","94,190,000","119,183,000","120,274,000","121,399,000","122,778,000","124,138,000","124,980,000","124,798,000","124,530,000","119,739,000","116,889,000","38,282,000","29,720,000","30,250,000","29,074,000","29,007,000","13,416,000","7,774,000","6,081,000","9,456,000","6,578,000","6,565,000","6,537,000","8,738,000","4,805,000","1,393,000","1,295,000","3,028,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,,,"0",,,,"0",,,,"0"
				BuildingsAndImprovements,"88,119,000","90,162,000","62,986,000","64,446,000","65,987,000","67,539,000","69,020,000","70,471,000","71,903,000","72,753,000","73,967,000","75,255,000","76,528,000",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"5,840,000",,"5,384,000","5,382,000","5,345,000","5,686,000","5,569,000","5,546,000","5,487,000","5,531,000","4,412,000","4,417,000","4,454,000",,,,"1,724,000",,,,"1,724,000",,,,"1,414,000",,,,"837,000"
				OtherProperties,"31,110,000","13,120,000","31,204,000","12,246,000","11,729,000","11,418,000","10,937,000","10,929,000","10,475,000","8,975,000","8,370,000","7,376,000","6,742,000","6,232,000","29,720,000","30,250,000","29,074,000","3,604,000","13,416,000","7,774,000","6,081,000","3,059,000","6,578,000","6,565,000","6,537,000","2,712,000","4,805,000","1,393,000","1,295,000","2,000,000"
				ConstructionInProgress,,"213,000",,"162,000","232,000","151,000","190,000","1,166,000","1,081,000","956,000","1,149,000","6,036,000","2,542,000","956,000",,,,"18,998,000",,,,,,,,,,,,
				Leases,,"36,945,000",,"36,945,000","36,944,000","36,946,000","36,945,000","36,003,000","35,975,000","36,627,000","35,513,000","26,660,000","26,660,000","26,640,000",,,,"4,681,000",,,,"4,673,000",,,,"4,612,000",,,,"191,000"
			AccumulatedDepreciation,,"-25,418,000",,"-22,889,000","-21,296,000","-19,731,000","-18,559,000","-16,922,000","-15,255,000","-13,684,000","-12,253,000","-10,959,000","-9,746,000","-8,655,000",,,,"-4,644,000",,,,"-3,268,000",,,,"-2,077,000",,,,"-1,546,000"
		InvestmentsAndAdvances,"306,525,000","557,529,000","591,920,000","751,702,000","578,168,000","677,873,000","598,470,000","128,475,000","83,666,000","64,406,000","101,017,000","74,398,000",,,,"3,195,000","13,798,000","0",,"0","29,929,000","54,059,000",,,,,,,,
			InvestmentinFinancialAssets,"306,525,000","557,529,000","591,920,000","751,702,000","578,168,000","677,873,000","598,470,000","128,475,000","83,666,000","64,406,000","101,017,000","74,398,000",,,,"3,195,000","13,798,000","0",,"0","29,929,000","54,059,000",,,,,,,,
				AvailableForSaleSecurities,"306,525,000","557,529,000","591,920,000","751,702,000","578,168,000","677,873,000","598,470,000","128,475,000","83,666,000","64,406,000","101,017,000","74,398,000",,,,"3,195,000","13,798,000",,,,"29,929,000","54,059,000",,,,,,,,
		OtherNonCurrentAssets,"30,309,000","19,809,000","19,364,000","16,729,000","10,531,000","11,093,000","13,834,000","13,454,000","15,549,000","15,388,000","10,905,000","11,048,000","11,004,000","10,710,000","10,733,000","9,455,000","5,898,000","5,869,000","6,423,000","5,619,000","2,680,000","2,123,000","1,823,000","1,835,000","1,806,000","1,821,000","1,896,000","1,372,000","2,435,000","169,000"
TotalLiabilitiesNetMinorityInterest,"261,641,000","281,490,000","230,235,000","239,991,000","225,366,000","248,305,000","238,178,000","236,090,000","230,692,000","243,335,000","221,581,000","214,351,000","200,450,000","121,115,000","116,814,000","112,181,000","93,595,000","91,767,000","78,878,000","70,632,000","64,426,000","69,717,000","70,139,000","73,958,000","76,351,000","34,919,000","37,146,000","34,619,000","31,187,000","14,496,000"
	CurrentLiabilities,"137,025,000","149,765,000","119,691,000","125,397,000","112,437,000","130,802,000","110,108,000","105,086,000","98,288,000","106,482,000","94,142,000","81,506,000","64,763,000","60,323,000","56,279,000","50,333,000","39,998,000","42,890,000","35,490,000","32,992,000","25,759,000","28,512,000","24,380,000","27,754,000","23,782,000","18,640,000","19,291,000","14,451,000","14,630,000","6,764,000"
		PayablesAndAccruedExpenses,"99,952,000","97,070,000","78,823,000","90,190,000","76,392,000","81,720,000","73,593,000","74,025,000","72,642,000","79,980,000","71,662,000","64,409,000","50,702,000","46,938,000","42,579,000","42,788,000","32,375,000","28,520,000","25,889,000","19,977,000","12,628,000","9,839,000","9,258,000","10,337,000","8,108,000","6,160,000","7,612,000","4,335,000","6,113,000","4,001,000"
			Payables,"17,961,000","8,333,000","9,549,000","1,847,000","2,889,000","4,370,000","2,929,000","5,591,000","8,468,000","4,793,000","2,203,000","6,608,000","4,421,000","3,298,000","3,988,000","2,980,000","3,288,000","3,744,000","2,092,000","2,581,000","2,282,000","2,211,000","1,848,000","2,730,000","2,773,000","2,455,000","1,562,000","1,611,000","2,334,000","814,000"
				AccountsPayable,"17,961,000","8,333,000","9,549,000","1,847,000","2,889,000","4,370,000","2,929,000","5,591,000","8,468,000","4,793,000","2,203,000","6,608,000","4,421,000","3,298,000","3,988,000","2,980,000","3,288,000","3,744,000","2,092,000","2,581,000","2,282,000","2,211,000","1,848,000","2,730,000","2,773,000","2,455,000","1,562,000","1,611,000","2,334,000","814,000"
			CurrentAccruedExpenses,"81,991,000","88,737,000","69,274,000","88,343,000","73,503,000","77,350,000","70,664,000","68,434,000","64,174,000","75,187,000","69,459,000","57,801,000","46,281,000","43,640,000","38,591,000","39,808,000","29,087,000","24,776,000","23,797,000","17,396,000","10,346,000","7,628,000","7,410,000","7,607,000","5,335,000","3,705,000","6,050,000","2,724,000","3,779,000","3,187,000"
				InterestPayable,,,,,,,,,,,,,,,,,,"197,000",,,,"212,000",,,,"34,000","35,000","37,000","40,000","150,000"
		CurrentProvisions,"5,094,000","3,926,000","2,939,000","2,163,000","1,649,000","966,000","722,000","644,000","327,000",,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"13,613,000","29,166,000","22,327,000","16,667,000","11,327,000","27,622,000","17,730,000","14,985,000","9,460,000","13,519,000","10,960,000","6,325,000","4,545,000","8,071,000","6,590,000",,,"5,765,000",,,,"4,118,000",,,,"2,731,000","1,759,000","1,314,000","625,000","623,000"
