name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,12/31/2017
TotalAssets,"294,679,000","343,657,000","387,038,000","432,510,000","482,469,000","539,433,000","584,178,000","625,076,000","371,478,000","426,604,000","469,754,000","507,174,000","515,949,000","239,419,000","262,181,000","445,000"
	CurrentAssets,"280,774,000","331,780,000","373,992,000","416,987,000","465,847,000","522,322,000","566,206,000","608,400,000","355,438,000","409,317,000","452,374,000","489,586,000","497,788,000","231,953,000","258,351,000","445,000"
		CashCashEquivalentsAndShortTermInvestments,"271,623,000","325,218,000","366,020,000","405,919,000","453,297,000","512,628,000","555,378,000","600,364,000","346,165,000","401,829,000","446,472,000","463,995,000","481,221,000","228,658,000","256,443,000","315,000"
			CashAndCashEquivalents,"138,907,000","183,403,000","213,474,000","342,453,000","439,659,000","486,055,000","461,956,000","486,062,000","111,353,000","135,089,000","130,708,000","148,500,000","170,847,000","105,219,000","141,067,000","315,000"
			OtherShortTermInvestments,"132,716,000","141,815,000","152,546,000","63,466,000","13,638,000","26,573,000","93,422,000","114,302,000","234,812,000","266,740,000","315,764,000","315,495,000","310,374,000","123,439,000","115,376,000","0"
		PrepaidAssets,"9,087,000","6,498,000","7,908,000","10,502,000","11,985,000","9,129,000","10,828,000","8,036,000","9,273,000","7,488,000","5,902,000","25,591,000","16,567,000","3,095,000","1,708,000","130,000"
		RestrictedCash,"64,000","64,000","64,000","566,000","565,000","565,000",,,,"0","0","0","0","200,000","200,000","0"
	TotalNonCurrentAssets,"13,905,000","11,877,000","13,046,000","15,523,000","16,622,000","17,111,000","17,972,000","16,676,000","16,040,000","17,287,000","17,380,000","17,588,000","18,161,000","7,466,000","3,830,000","0"
		NetPPE,"12,886,000","10,797,000","11,932,000","14,453,000","15,612,000","16,084,000","17,111,000","16,049,000","15,406,000","15,728,000","15,993,000","16,221,000","16,032,000","3,193,000","3,007,000","0"
			GrossPPE,"17,617,000","15,077,000","15,828,000","17,918,000","18,651,000","18,707,000","19,369,000","17,942,000","16,949,000","16,942,000","16,915,000","16,892,000","16,498,000","3,490,000","3,170,000","0"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				MachineryFurnitureEquipment,"1,350,000","1,350,000","1,350,000","1,406,000","1,406,000","1,392,000","1,410,000","1,354,000","1,315,000","1,308,000","1,287,000","1,167,000","747,000","983,000","882,000",
				OtherProperties,"13,579,000","11,165,000","11,916,000","13,943,000","14,683,000","14,760,000","15,419,000","14,057,000","13,351,000","13,357,000","13,390,000","13,549,000","13,792,000","1,070,000","1,048,000",
				ConstructionInProgress,"127,000",,"0","7,000","0","15,000","0","57,000","16,000","48,000","68,000","337,000","645,000","194,000","0",
				Leases,"2,561,000","2,562,000","2,562,000","2,562,000","2,562,000","2,540,000","2,540,000","2,474,000","2,267,000","2,229,000","2,170,000","1,839,000","1,314,000","1,243,000","1,240,000",
			AccumulatedDepreciation,"-4,731,000","-4,280,000","-3,896,000","-3,465,000","-3,039,000","-2,623,000","-2,258,000","-1,893,000","-1,543,000","-1,214,000","-922,000","-671,000","-466,000","-297,000","-163,000",
		OtherNonCurrentAssets,"1,019,000","1,080,000","1,114,000","1,070,000","1,010,000","1,027,000","861,000","627,000","634,000","1,559,000","1,387,000","1,367,000","2,129,000","4,273,000","823,000",
TotalLiabilitiesNetMinorityInterest,"264,520,000","222,194,000","217,229,000","211,817,000","210,385,000","218,749,000","212,077,000","204,752,000","65,015,000","74,119,000","70,881,000","65,730,000","35,689,000","359,488,000","15,592,000","7,307,000"
	CurrentLiabilities,"34,568,000","39,859,000","35,896,000","29,982,000","29,444,000","38,650,000","32,607,000","27,544,000","28,362,000","36,923,000","33,169,000","27,511,000","25,152,000","20,403,000","14,939,000","1,266,000"
		PayablesAndAccruedExpenses,"25,693,000","25,041,000","23,275,000","17,884,000","19,473,000","22,823,000","20,436,000","17,436,000","21,739,000","25,287,000","24,513,000","20,992,000","20,449,000","16,301,000","12,200,000","1,232,000"
			Payables,"592,000","3,244,000","1,185,000","895,000","1,073,000","7,508,000","865,000","222,000","2,602,000","956,000","2,555,000","3,030,000","4,548,000","2,182,000","3,622,000","97,000"
				AccountsPayable,"592,000","3,244,000","1,185,000","895,000","1,073,000","7,508,000","865,000","222,000","2,602,000","956,000","2,555,000","3,030,000","4,548,000","2,182,000","3,622,000","97,000"
			CurrentAccruedExpenses,"25,101,000","21,797,000","22,090,000","16,989,000","18,400,000","15,315,000","19,571,000","17,214,000","19,137,000","24,331,000","21,958,000","17,962,000","15,901,000","14,119,000","8,578,000","1,135,000"
				InterestPayable,"3,566,000","1,066,000","3,558,000","1,058,000","3,594,000","1,094,000","3,864,000","1,343,000",,,,,,"0","0","117,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"6,114,000","11,916,000","9,591,000","8,695,000","6,453,000","12,194,000","8,623,000","6,863,000","4,205,000","9,282,000","6,365,000","4,290,000","2,533,000","4,102,000","2,739,000","34,000"
		CurrentDebtAndCapitalLeaseObligation,"2,761,000","2,902,000","3,030,000","3,403,000","3,518,000","3,633,000","3,548,000","3,245,000","2,418,000","2,354,000","2,291,000","2,229,000","2,170,000",,,
