name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
MarketCap,"135,464,557,528","153,487,804,887","173,961,756,184","175,051,819,998","168,193,411,981","145,140,740,351","124,013,542,588","76,221,260,219","76,125,885,072","53,567,017,238","81,483,934,521","69,278,460,618","73,698,695,854","71,171,181,093","67,398,217,589","81,254,856,748","83,910,344,808","95,722,258,901","94,860,468,977","88,468,091,885","81,971,603,433","79,337,220,555","79,126,699,460","60,159,514,258","49,816,896,602","48,476,742,143","61,075,964,298","61,049,183,328","75,859,869,862","70,360,827,044","75,698,029,509","67,701,410,519","63,512,393,499","61,457,456,952","60,991,084,031","52,642,801,661","47,885,610,549","43,098,891,232","37,743,685,391","33,069,991,616","28,855,750,103","38,856,239,111","29,161,594,257","26,041,061,387","44,387,039,734","42,211,148,807","41,142,121,204","37,340,587,696","32,424,542,148","40,961,173,881","40,273,618,334","41,962,849,725","38,750,906,325","24,466,309,555","15,664,250,887","45,286,816,247","49,045,117,349","46,555,301,286","55,687,590,822","66,188,813,748","89,508,546,111","79,538,374,248","79,882,472,776","69,649,541,862","63,899,891,574","63,860,512,225","59,261,698,003","55,078,322,490","53,202,515,751","62,301,282,447","55,169,671,137","55,635,955,393","58,760,781,442","65,595,690,213","59,962,019,534","53,088,788,100","49,718,130,184","40,157,137,925","48,923,322,135","46,695,181,824","49,874,612,462","54,090,666,619","60,661,874,292","59,022,034,517","72,165,096,164","72,583,122,176","70,173,257,227","120,642,416,094","80,928,764,264","79,889,441,278","67,459,366,744","47,990,964,616","54,694,945,500","51,638,395,000","39,385,409,046","33,839,176,624","45,876,105,072","42,237,888,884","32,301,024,626","28,485,586,896","24,333,234,500","11,327,724,800","10,590,382,200","8,338,000,000","9,408,981,600","9,589,710,000","7,933,600,000","9,607,841,600","8,013,500,000","6,935,990,400","5,721,656,400","6,433,909,200","6,408,732,910","5,569,155,780","5,907,093,240","7,506,400,000","6,391,670,455","6,523,801,000"
PeRatio,"9.852","10.884","12.48","12.896","11.993","12.011","11.576","8.743","10.042","6.551","10.894","9.28","9.385","8.922","9.463","11.79","13.428","17.519","14.494","13.763","13.183","14.671","16.9","14.706","11.395","8.595","19.396","15.909","18.922","22.168","15.458","16.462","20.081","22.587","18.447","37.958","43.625",,,"12.586","20.843","15.587","8.005","7.148","35.4","14.688","11.152","11.697","8.565","57.431",,"20.052","18.513","14.786","61.458","123.727","31.148","29.662","22.245","7.12","9.775","9.388","10.742","9.923","9.838","11.767","11.649","12.083","12.364","13.445","12.439","13.008","14.307","17.322","17.384","18.911","16.636","13.4","16.1","14.68","15.622","16.319","17.398","15.509","16.712","15.042","13.399","21.008","14.863","15.447","14.71","11.596","15.615","16.395","12.613","12.072","18.811","16.823","18.925","16.769","14.46","12.152","11.959","10.036","11.803","12.666","11.19","13.787","11.52","10.291","6.721","7.465","7.56","6.741","7.869","3.846","3.278","3.354"
ForwardPeRatio,"10.395","11.481","12.87","13.298","14.556","13.889","13.193","9.728","12.285","6.527","9.737","8.203","9.108","8.681","7.868","9.149","10.288","12.151","13.072","12.107","13.141","12.92","13.245","10.65","10.395","8","10.03","9.39","11.806","10.917","13.175","11.976","11.442","11.013","12.707","10.917","9.97","8.734","9.606","7.734","6.489","8.432","7.508","5.465","7.943","8.569","9.294",,"6.636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"46.168","3.589","6.126","6.335",,,,,,,,,,"1.335","1.21","1.307","1.471","3.575","3.844","5.501","5.975","32.308","44.148","35.504","34.64","0.616","0.772","0.733","0.922","0.853","0.775","0.677","0.646","0.622","0.046","0.039","0.036","0.416","0.458","0.389","0.326","0.843","0.766","0.482","0.701","0.695","0.772",,"0.565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"2.508","2.81","3.247","3.282","3.028","2.786","2.53","1.872","2.053","1.432","2.324","1.973","2.032","1.945","1.802","2.18","2.306","2.741","2.719","2.536","2.405","2.471","2.563","2.036","1.619","1.468","1.875","1.797","2.289","2.166","2.35","2.156","2.018","1.986","2.08","1.926","1.846","1.687","1.467","1.141","0.963","1.015","0.719","0.642","1.117","1.325","1.176","1.163","1.036","1.355","1.512","1.685","1.555","1.242","0.754","2.09","1.984","1.89","2.108","1.652","2.314","2.206","2.412","2.135","1.995","2.206","2.213","2.115","2.179","2.469","2.272","2.305","2.592","2.969","2.854","2.597","2.451","1.974","2.433","2.253","2.397","2.488","2.713","2.483","2.924","2.835","2.661","4.512","3.162","3.298","3.103","2.394","3.057","3.115","2.396","1.994","2.912","2.604","2.418","2.142","1.847","1.552","1.524","1.308","1.575","1.69","1.49","1.838","1.536","1.371","0.906","1.006","1.022","0.857","0.949","1.202","1.024","1.048"
PbRatio,"1.424","1.571","1.772","1.766","1.707","1.569","1.553","0.976","0.984","0.734","1.103","0.946","1.006","0.992","0.96","1.139","1.193","1.39","1.332","1.242","1.181","1.158","1.124","0.864","0.727","0.716","0.901","0.904","1.138","1.084","1.132","1.03","0.995","0.98","0.972","0.854","0.782","0.711","0.623","0.539","0.474","0.642","0.483","0.432","0.763","0.869","0.864","0.79","0.783","1.059","1.086","1.142","1.048","0.816","0.452","1.356","1.524","1.447","1.846","1.938","2.33","2.158","2.331","2.106","1.981","2.12","2.031","1.951","1.878","2.186","1.956","2.029","2.254","2.638","2.529","2.346","2.213","1.788","2.284","2.195","2.344","2.589","2.978","3.005","3.706","3.779","3.747","6.662","4.607","4.616","4.127","3.248","3.607","3.575","2.727","2.355","3.361","3","2.712","2.32","4.456","2.075","2.051","1.675","1.915","1.984","1.679","2.124","1.771","1.611","1.421","1.598","1.66","1.518","1.699","2.237","1.999","2.146"
