name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002
TotalRevenue,"130,443,000","34,123,000","33,258,000","32,444,000","30,618,000","29,045,000","29,834,000","29,900,000","27,597,000","30,584,000","30,100,000","29,879,000","29,578,000","29,694,000","18,599,000","34,596,000","33,072,000","33,596,000","33,831,000","33,653,000","30,208,000","28,267,000","28,365,000","25,508,000","25,129,000","25,435,000","25,595,000","24,599,000","21,970,000","21,252,000","17,993,000","18,928,000","17,674,000","17,787,000","17,190,000","16,291,000","14,795,000","13,869,000","13,523,000","11,618,000","10,987,000","10,426,000","10,146,000","8,779,000","7,995,000","8,086,000","8,059,000","7,933,000","7,832,000","7,709,000","7,954,000","8,484,000","8,203,000","8,044,000","8,052,000","7,643,000","7,750,000","8,125,000","8,064,000","7,805,000","7,568,000","7,545,000","7,076,336","7,476,443","7,776,850","7,510,371","6,431,555","6,204,629","6,270,409","6,312,640","5,978,633","5,922,856","6,095,742","5,486,426","4,916,112","5,034,083","5,485,617","5,537,139","5,308,868","5,112,764","5,214,460"
	OperatingRevenue,"130,287,000","34,496,000","33,258,000","32,444,000","30,618,000","29,045,000","29,834,000","29,900,000","27,597,000","30,584,000","30,100,000","29,879,000","29,578,000","29,694,000","11,792,000","25,256,000","24,650,000","24,946,000","25,371,000","24,891,000","23,010,000","21,296,000","21,153,000","19,844,000","19,649,000","19,422,000","19,417,000","18,785,000","17,176,000","16,465,000","13,670,000","14,811,000","13,839,000","13,973,000","13,455,000","12,594,000","11,812,000","11,001,000","3,100,000","11,618,000","10,987,000","10,426,000","10,146,000","8,779,000","7,995,000","8,086,000","8,059,000","7,933,000","7,832,000","7,709,000","7,954,000","8,484,000","8,203,000","8,044,000","8,052,000","7,643,000","7,750,000","8,125,000","8,038,000","7,791,000","7,528,000","7,450,000","7,413,532","7,440,802","7,376,611","7,357,055","6,317,892","6,022,890","6,229,399","6,137,131","5,918,990","5,841,085","5,929,340","5,349,551","4,896,933","4,988,172","5,318,587","5,401,469","5,225,064","5,032,265","5,086,332"
CostOfRevenue,"40,537,000","10,092,000","10,463,000","10,378,000","9,604,000","8,877,000","9,966,000","9,699,000","8,780,000","10,133,000","9,670,000","9,528,000","9,233,000","8,473,000","5,116,000","11,627,000","10,323,000","10,365,000","11,549,000","11,285,000","9,862,000","9,414,000","9,639,000","8,318,000","7,987,000","8,148,000","8,787,000","8,297,000","7,264,000","6,987,000","5,997,000","6,792,000","6,393,000","5,970,000","6,469,000","6,818,000","5,360,000","4,863,000","5,117,000","4,598,000","4,262,000","3,662,000","3,722,000","3,614,000","3,062,000","2,974,000","3,208,000","3,083,000","3,039,000","2,953,000","3,222,000","3,264,000","3,268,000","3,427,000","3,601,000","3,348,000","3,113,000","3,244,000","-298,000","3,379,000","2,921,000","2,793,000","2,912,433","2,710,931","2,774,865","2,528,771","2,311,891","2,132,142","1,997,307","1,705,107","1,561,128","1,534,520","1,607,800","1,548,000","1,328,968","1,497,883","1,087,329","1,448,086","1,604,600","1,417,162","1,386,720"
GrossProfit,"89,906,000","24,031,000","22,795,000","22,066,000","21,014,000","20,168,000","19,868,000","20,201,000","18,817,000","20,451,000","20,430,000","20,351,000","20,345,000","21,221,000","13,483,000","22,969,000","22,749,000","23,231,000","22,282,000","22,368,000","20,346,000","18,853,000","18,726,000","17,190,000","17,142,000","17,287,000","16,808,000","16,302,000","14,706,000","14,265,000","11,996,000","12,136,000","11,281,000","11,817,000","10,721,000","9,473,000","9,435,000","9,006,000","8,406,000","7,020,000","6,725,000","6,764,000","6,424,000","5,165,000","4,933,000","5,112,000","4,851,000","4,850,000","4,793,000","4,756,000","4,732,000","5,220,000","4,935,000","4,617,000","4,451,000","4,295,000","4,637,000","4,881,000","8,362,000","4,426,000","4,647,000","4,752,000","4,163,903","4,765,512","5,001,985","4,981,600","4,119,664","4,072,487","4,273,102","4,607,533","4,417,505","4,388,336","4,487,942","3,938,426","3,587,144","3,536,200","4,398,288","4,089,053","3,704,268","3,695,602","3,827,740"
OperatingExpense,"49,887,000","10,959,000","14,081,000","13,012,000","11,835,000","12,647,000","12,890,000","13,031,000","11,614,000","12,071,000","12,022,000","12,386,000","11,527,000","12,466,000","8,963,000","12,442,000","14,020,000","13,535,000","13,655,000","12,828,000","12,529,000","12,177,000","13,550,000","11,667,000","10,934,000","10,228,000","10,515,000","10,836,000","9,673,000","9,049,000","8,434,000","8,210,000","7,490,000","6,865,000","6,876,000","6,172,000","5,776,000","5,517,000","4,134,000","5,000,000","4,526,000","4,185,000","4,178,000","3,657,000","3,739,000","3,453,000","3,159,000","3,093,000","3,031,000","2,934,000","1,726,000","3,290,000","3,335,000","3,137,000","3,075,000","3,012,000","3,961,000","3,586,000","7,103,000","3,035,000","3,267,000","3,815,000","3,884,266","2,563,198","2,196,149","3,718,890","2,418,858","2,208,206","2,021,496","2,315,792","1,960,970","2,093,486","2,114,520","1,985,069","1,851,003","1,780,342","2,099,823","2,047,170","1,825,161","1,540,396","1,461,211"
	SellingGeneralAndAdministration,"20,040,000","3,049,000","6,589,000","5,672,000","4,730,000","5,634,000","5,699,000","5,860,000","4,644,000","5,100,000","5,147,000","5,597,000","4,915,000","6,002,000","5,384,000","4,959,000","6,624,000","6,314,000","6,351,000","5,581,000","5,848,000","6,169,000","7,455,000","6,218,000","5,413,000","4,836,000","5,142,000","5,687,000","4,998,000","4,485,000","4,523,000","4,212,000","3,582,000","2,957,000","3,230,000","2,722,000","2,516,000","2,444,000","2,224,000","1,888,000","1,863,000","1,641,000","1,911,000","1,495,000","1,778,000","1,464,000","1,257,000","1,263,000","1,272,000","1,200,000","1,469,000","1,549,000","1,625,000","1,429,000","1,475,000","1,100,000","2,170,000","1,963,000","1,823,000","1,413,000","1,450,000","2,034,000","2,047,357","928,167","679,701","861,775","622,189","658,341","673,561","781,201","662,558","717,822","753,029","805,274","685,128","603,468","784,371","734,074","742,065","649,804","504,097"
		GeneralAndAdministrativeExpense,"20,040,000","3,049,000","6,589,000","5,672,000","4,730,000","5,634,000","5,699,000","5,860,000","4,644,000","5,100,000","5,147,000","5,597,000","4,915,000","6,002,000","5,384,000","4,959,000","6,624,000","6,314,000","6,351,000","5,581,000","5,848,000","6,169,000","7,455,000","6,218,000","5,413,000","4,836,000","5,142,000","5,687,000","4,998,000","4,485,000","4,523,000","4,212,000","3,582,000","2,957,000","3,230,000","2,722,000","2,516,000","2,444,000","2,224,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"781,201","662,558","717,822","753,029","805,274","685,128","603,468","784,371","734,074","742,065","649,804","504,097"
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104,759","108,988","111,994","111,011","127,808","137,459","131,533","130,802","109,704","67,353","154,154","85,944"
			OtherGandA,"20,040,000","3,049,000","6,589,000","5,672,000","4,730,000","5,634,000","5,699,000","5,860,000","4,644,000","5,100,000","5,147,000","5,597,000","4,915,000","6,002,000","5,384,000","4,959,000","6,624,000","6,314,000","6,351,000","5,581,000","5,848,000","6,169,000","7,455,000","6,218,000","5,413,000","4,836,000","5,142,000","5,687,000","4,998,000","4,485,000","4,523,000","4,212,000","3,582,000","2,957,000","3,230,000","2,722,000","2,516,000","2,444,000","2,224,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"676,442","553,570","605,828","642,018","677,466","547,669","471,935","653,569","624,370","674,712","495,650","418,153"
	DepreciationAmortizationDepletionIncomeStatement,"29,847,000","7,910,000","7,492,000","7,340,000","7,105,000","7,013,000","7,191,000","7,171,000","6,970,000","6,971,000","6,875,000","6,789,000","6,612,000","6,464,000","3,579,000","7,483,000","7,396,000","7,221,000","7,304,000","7,247,000","6,681,000","6,008,000","6,095,000","5,449,000","5,521,000","5,392,000","5,373,000","5,149,000","4,675,000","4,564,000","3,911,000","3,998,000","3,908,000","3,908,000","3,646,000","3,450,000","3,260,000","3,073,000","1,910,000","3,112,000","2,663,000","2,544,000","2,267,000","2,162,000","1,961,000","1,989,000","1,902,000","1,830,000","1,759,000","1,734,000","1,799,000","1,741,000","1,710,000","1,708,000","1,600,000","1,912,000","1,791,000","1,623,000","1,492,000","1,622,000","1,618,000","1,612,000","1,696,248","1,505,842","1,389,008","1,558,836","1,822,269","1,463,640","1,446,360","1,366,606","1,385,422","1,321,589","1,282,091","1,234,320","1,234,625","1,178,874","1,187,727","1,156,821","1,095,096","990,592","961,364"
