name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
OperatingCashFlow,"29,900,000","12,200,000","25,000,000","8,100,000","31,200,000"
	CashFlowFromContinuingOperatingActivities,"29,900,000","12,200,000","25,000,000","8,100,000","31,200,000"
		NetIncomeFromContinuingOperations,"-246,200,000","-40,900,000","-65,600,000","-52,600,000","26,000,000"
		OperatingGainsLosses,,"-11,800,000","23,800,000",,"1,400,000"
			GainLossOnInvestmentSecurities,,"-11,800,000","22,800,000",,
		DepreciationAmortizationDepletion,"242,300,000","62,300,000","60,000,000","60,600,000","59,400,000"
			DepreciationAndAmortization,"242,300,000","62,300,000","60,000,000","60,600,000","59,400,000"
		DeferredTax,"-31,200,000","4,100,000","-11,100,000","-12,900,000","25,000,000"
			DeferredIncomeTax,"-31,200,000","4,100,000","-11,100,000","-12,900,000","25,000,000"
		AssetImpairmentCharge,,,"0",,"-115,900,000"
		ProvisionandWriteOffofAssets,"-1,300,000","-300,000","-100,000","-200,000","-1,500,000"
		StockBasedCompensation,"11,000,000","3,400,000","4,100,000","1,900,000","2,500,000"
		OtherNonCashItems,"12,500,000","4,000,000","3,400,000","6,900,000","2,900,000"
		ChangeInWorkingCapital,"19,000,000","-8,600,000","10,500,000","4,400,000","31,400,000"
			ChangeInReceivables,"-13,600,000","-9,000,000","8,100,000","21,000,000","17,100,000"
				ChangesInAccountReceivables,"-13,600,000","-9,000,000","8,100,000","21,000,000","16,300,000"
			ChangeInPrepaidAssets,"3,100,000","2,300,000","500,000","2,800,000","2,200,000"
			ChangeInPayablesAndAccruedExpense,"-34,100,000","-1,600,000","5,300,000","-23,200,000","4,200,000"
				ChangeInPayable,"-7,400,000","-400,000","500,000","-25,800,000","-12,200,000"
					ChangeInAccountPayable,"-7,400,000","-400,000","400,000","-3,100,000","-10,100,000"
				ChangeInAccruedExpense,"-26,700,000","-1,200,000","4,800,000","2,600,000","16,400,000"
			ChangeInOtherCurrentAssets,"16,900,000","9,900,000","-1,600,000","-500,000","600,000"
			ChangeInOtherCurrentLiabilities,"46,700,000","-10,200,000","-1,800,000","4,300,000","7,300,000"
InvestingCashFlow,"-96,200,000","-32,400,000","-33,400,000","103,400,000","-29,200,000"
	CashFlowFromContinuingInvestingActivities,"-96,200,000","-32,400,000","-33,400,000","103,400,000","-29,200,000"
		NetPPEPurchaseAndSale,"-96,200,000","-32,400,000","-33,400,000","-13,700,000","-24,700,000"
			PurchaseOfPPE,"-96,200,000","-32,400,000","-33,400,000","-13,700,000","-24,700,000"
		NetOtherInvestingChanges,,,"0","117,100,000","-4,500,000"
FinancingCashFlow,"12,600,000","32,300,000","-11,800,000","-117,300,000","33,600,000"
	CashFlowFromContinuingFinancingActivities,"12,600,000","32,300,000","-11,800,000","-117,300,000","33,600,000"
		NetIssuancePaymentsOfDebt,"-503,400,000","-44,000,000","-446,300,000","-19,400,000","33,600,000"
			NetLongTermDebtIssuance,"-503,400,000","-44,000,000","-446,300,000","-19,400,000","33,600,000"
				LongTermDebtIssuance,"55,000,000","10,000,000","-431,000,000","0","46,000,000"
				LongTermDebtPayments,"-558,400,000","-54,000,000","-15,300,000","-19,400,000","-12,400,000"
		ProceedsFromStockOptionExercised,,"76,300,000",,"0",
		NetOtherFinancingCharges,,,"434,500,000","-97,900,000",
EndCashPosition,"59,900,000","60,100,000","52,400,000","113,600,000","120,700,000"
	ChangesInCash,"-53,700,000","12,100,000","-20,200,000","-5,800,000","35,600,000"
	EffectOfExchangeRateChanges,"200,000","-4,400,000","-1,900,000","-1,300,000","5,600,000"
	BeginningCashPosition,"113,600,000","52,400,000","74,500,000","120,700,000","79,400,000"
IncomeTaxPaidSupplementalData,"4,900,000","700,000","200,000","300,000","2,000,000"
InterestPaidSupplementalData,"42,600,000","9,600,000","-9,000,000","25,600,000","114,000,000"
CapitalExpenditure,"-96,200,000","-32,400,000","-33,400,000","-13,700,000","-24,700,000"
IssuanceOfDebt,"55,000,000","10,000,000","-431,000,000","0","46,000,000"
RepaymentOfDebt,"-558,400,000","-54,000,000","-15,300,000","-19,400,000","-12,400,000"
FreeCashFlow,"-66,300,000","-20,200,000","-8,400,000","-5,600,000","6,500,000"
