name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
TotalRevenue,"1,408,492,000","323,080,000","466,829,000","316,914,000","301,669,000","285,186,000","387,044,000","315,883,000","299,910,000","291,485,000","399,920,000","354,901,000","297,618,000","205,855,000","319,950,000","245,525,000","234,995,000","209,310,000","326,395,000","225,735,000","240,599,000","231,462,000","342,730,000","216,975,000","219,930,000","226,066,000","308,637,000","238,701,000","265,822,000","232,817,000","290,224,000","249,644,000","254,808,000","221,473,000","283,162,000","213,939,000","205,830,000","161,997,000","224,095,000","155,062,000","149,797,000","137,625,000","135,037,000","112,149,000","113,366,000","104,543,000","141,241,000","97,017,000","92,423,000","87,743,000","125,911,000","104,461,000","87,170,000","88,213,000","107,283,000","108,560,000","109,219,000","92,591,000","101,282,000","84,872,000","98,109,000","89,948,000","93,289,000","88,230,000","84,764,000","89,833,000","85,075,000","79,002,000","78,003,000","75,626,000","80,606,000","69,708,000","72,532,000","76,527,000","74,017,000","71,778,000","73,774,000","69,250,000","62,489,000","86,870,000","64,976,000","65,673,000","65,310,000","75,002,000","73,671,000","76,492,000","74,636,000","82,157,000","78,902,000","75,389,000","67,100,000","92,700,000","89,100,000","87,000,000","86,100,000","95,400,000","69,100,000","64,200,000","61,100,000","57,000,000","55,200,000","51,100,000","47,600,000","49,300,000","39,900,000","36,500,000","34,100,000","33,100,000","29,100,000","26,800,000","25,900,000","18,600,000","18,500,000","18,500,000","18,500,000"
	OperatingRevenue,"1,408,492,000","323,080,000","466,829,000","316,914,000","301,669,000","285,186,000","387,044,000","315,883,000","299,910,000","291,485,000","399,920,000","354,901,000","297,618,000","205,855,000","319,950,000","245,525,000","234,995,000","209,310,000","326,395,000","225,735,000","240,599,000","231,462,000","342,730,000","216,975,000","219,930,000","226,066,000","308,637,000","238,701,000","265,822,000","232,817,000","290,224,000","249,644,000","254,808,000","221,473,000","283,162,000","213,939,000","205,830,000","161,997,000","224,095,000","155,062,000","149,797,000","137,625,000","135,037,000","112,149,000","113,366,000","104,543,000","141,241,000","97,017,000","92,423,000","87,743,000","125,911,000","104,461,000","87,170,000","88,213,000","107,283,000","108,560,000","109,219,000","92,591,000","101,282,000","84,872,000","98,109,000","89,948,000","93,289,000","88,230,000","84,764,000","89,833,000","85,075,000","79,002,000","78,003,000","75,626,000","80,606,000","69,708,000","72,532,000","76,527,000","74,017,000","71,778,000","73,774,000","69,250,000","62,489,000","86,870,000","64,976,000","65,673,000","65,310,000","75,002,000","73,671,000","76,492,000","74,636,000","82,157,000","78,902,000","75,389,000","67,100,000","92,700,000","89,100,000","87,000,000","86,100,000","95,400,000","69,100,000","64,200,000","61,100,000","57,000,000","55,200,000","51,100,000","47,600,000","49,300,000","39,900,000","36,500,000","34,100,000","33,100,000","29,100,000","26,800,000","25,900,000","18,600,000","18,500,000","18,500,000","18,500,000"
CostOfRevenue,"645,672,000","166,286,000","162,060,000","158,712,000","158,614,000","159,485,000","150,697,000","158,579,000","147,346,000","165,837,000","173,104,000","174,168,000","155,240,000","114,941,000","104,281,000","102,473,000","116,261,000","107,336,000","115,993,000","107,393,000","120,357,000","108,543,000","110,829,000","100,267,000","115,355,000","118,483,000","117,095,000","109,659,000","126,423,000","119,122,000","110,889,000","110,752,000","119,492,000","113,623,000","100,472,000","86,836,000","88,742,000","67,789,000","60,470,000","57,818,000","61,533,000","45,823,000","31,522,000","33,759,000","35,954,000","33,049,000","34,303,000","32,044,000","32,410,000","30,966,000","33,575,000","31,895,000","31,788,000","30,389,000","35,818,000","45,283,000","48,010,000","41,120,000","34,903,000","35,219,000","36,721,000","34,544,000","34,358,000","29,079,000","27,280,000","26,561,000","27,826,000","25,058,000","20,641,000","19,543,000","19,742,000","20,160,000","19,670,000","20,928,000","21,618,000","22,700,000","21,421,000","21,982,000","20,747,000","17,385,000","22,624,000","24,922,000","26,763,000","26,376,000","31,034,000","32,630,000","25,151,000","25,424,000","24,204,000","16,001,000","22,600,000","23,000,000","23,200,000","24,400,000","29,000,000","30,900,000","21,200,000","19,400,000","18,500,000","17,400,000","17,400,000","16,000,000","16,000,000","16,500,000","13,800,000","12,100,000","10,400,000","16,800,000","8,500,000","8,200,000","10,000,000",,,,
GrossProfit,"762,820,000","156,794,000","304,769,000","158,202,000","143,055,000","125,701,000","236,347,000","157,304,000","152,564,000","125,648,000","226,816,000","180,733,000","142,378,000","90,914,000","215,669,000","143,052,000","118,734,000","101,974,000","210,402,000","118,342,000","120,242,000","122,919,000","231,901,000","116,708,000","104,575,000","107,583,000","191,542,000","129,042,000","139,399,000","113,695,000","179,335,000","138,892,000","135,316,000","107,850,000","182,690,000","127,103,000","117,088,000","94,208,000","163,625,000","97,244,000","88,264,000","91,802,000","103,515,000","78,390,000","77,412,000","71,494,000","106,938,000","64,973,000","60,013,000","56,777,000","92,336,000","72,566,000","55,382,000","57,824,000","71,465,000","63,277,000","61,209,000","51,471,000","66,379,000","49,653,000","61,388,000","55,404,000","58,931,000","59,151,000","57,484,000","63,272,000","57,249,000","53,944,000","57,362,000","56,083,000","60,864,000","49,548,000","52,862,000","55,599,000","52,399,000","49,078,000","52,353,000","47,268,000","41,742,000","69,485,000","42,352,000","40,751,000","38,547,000","48,626,000","42,637,000","43,862,000","49,485,000","56,733,000","54,698,000","59,388,000","44,500,000","69,700,000","65,900,000","62,600,000","57,100,000","64,500,000","47,900,000","44,800,000","42,600,000","39,600,000","37,800,000","35,100,000","31,600,000","32,800,000","26,100,000","24,400,000","23,700,000","16,300,000","20,600,000","18,600,000","15,900,000",,,,
OperatingExpense,"528,947,000","129,128,000","141,965,000","130,223,000","127,631,000","122,011,000","140,640,000","126,122,000","123,426,000","136,931,000","124,403,000","125,415,000","148,260,000","119,007,000","99,255,000","114,693,000","120,892,000","118,678,000","102,365,000","106,919,000","158,685,000","119,296,000","111,558,000","125,572,000","130,920,000","122,604,000","117,569,000","105,156,000","115,735,000","107,270,000","100,064,000","107,023,000","108,575,000","107,559,000","96,710,000","97,548,000","105,566,000","98,217,000","88,090,000","88,936,000","96,122,000","93,415,000","66,472,000","67,122,000","66,990,000","63,996,000","64,139,000","57,585,000","55,647,000","57,682,000","57,366,000","60,623,000","58,618,000","59,931,000","53,457,000","60,319,000","59,950,000","51,983,000","63,527,000","57,292,000","56,506,000","55,193,000","53,966,000","56,610,000","41,964,000","42,070,000","42,734,000","42,803,000","42,176,000","40,040,000","38,779,000","37,283,000","39,887,000","41,533,000","36,891,000","37,224,000","47,699,000","35,990,000","34,269,000","31,902,000","39,209,000","39,049,000","39,308,000","48,909,000","62,143,000","45,046,000","53,409,000","55,524,000","52,781,000","57,436,000","47,900,000","50,000,000","47,300,000","45,500,000","42,000,000","49,400,000","35,000,000","33,000,000","31,400,000","29,200,000","28,100,000","26,400,000","24,900,000","25,700,000","20,900,000","19,700,000","19,500,000","12,600,000","17,400,000","16,300,000","15,600,000",,,,
	SellingGeneralAndAdministration,"254,910,000","60,483,000","70,700,000","63,130,000","60,597,000","55,913,000","76,659,000","59,154,000","54,213,000","66,009,000","58,049,000","57,703,000","82,281,000","60,947,000","44,975,000","57,789,000","61,997,000","60,542,000","49,395,000","50,538,000","101,344,000","59,640,000","51,060,000","61,264,000","63,180,000","55,878,000","61,299,000","48,735,000","56,306,000","50,486,000","48,991,000","52,407,000","52,689,000","53,025,000","46,675,000","48,657,000","53,685,000","50,111,000","44,346,000","44,981,000","51,414,000","55,060,000","40,214,000","38,882,000","37,595,000","35,656,000","40,344,000","34,274,000","31,724,000","34,307,000","34,080,000","35,975,000","34,376,000","36,612,000","44,201,000","48,926,000","47,256,000","39,430,000","47,116,000","42,652,000","43,084,000","43,152,000","41,981,000","37,313,000","31,773,000","32,092,000","32,982,000","32,959,000","32,472,000","29,817,000","28,864,000","27,584,000","30,584,000","31,961,000","27,458,000","27,636,000","28,931,000","27,633,000","26,319,000","22,027,000","30,498,000","30,131,000","30,259,000","36,166,000","46,996,000","34,297,000","35,822,000","37,371,000","35,022,000","33,363,000","32,200,000","34,000,000","32,100,000","32,300,000","30,300,000","37,900,000","26,000,000","24,700,000","23,400,000","40,000,000","21,200,000","19,700,000","18,100,000","18,800,000","14,900,000","13,400,000","13,800,000","19,200,000","11,700,000","11,300,000","10,800,000",,,,
		GeneralAndAdministrativeExpense,"121,901,000","25,875,000","34,372,000","29,717,000","31,937,000","27,775,000","49,784,000","37,000,000","29,758,000","35,926,000","27,174,000","27,286,000","49,319,000","31,517,000","20,399,000","29,537,000","28,837,000","28,649,000","22,700,000","25,302,000","72,527,000","32,503,000","21,639,000","31,390,000","34,437,000","25,878,000","20,552,000","20,284,000","25,008,000","21,575,000","19,938,000","25,329,000","24,682,000","25,116,000","23,557,000","24,559,000","26,147,000","25,037,000","21,616,000","24,533,000","28,236,000","34,362,000","20,191,000","19,068,000","15,804,000","16,362,000","20,558,000","16,341,000","15,735,000","17,462,000","17,811,000","21,064,000","18,865,000","21,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"121,901,000","25,875,000","34,372,000","29,717,000","31,937,000","27,775,000","49,784,000","37,000,000","29,758,000","35,926,000","27,174,000","27,286,000","49,319,000","31,517,000","20,399,000","29,537,000","28,837,000","28,649,000","22,700,000","25,302,000","72,527,000","32,503,000","21,639,000","31,390,000","34,437,000","25,878,000","20,552,000","20,284,000","25,008,000","21,575,000","19,938,000","25,329,000","24,682,000","25,116,000","23,557,000","24,559,000","26,147,000","25,037,000","21,616,000","24,533,000","28,236,000","34,362,000","20,191,000","19,068,000","15,804,000","16,362,000","20,558,000","16,341,000","15,735,000","17,462,000","17,811,000","21,064,000","18,865,000","21,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"133,009,000","34,608,000","36,328,000","33,413,000","28,660,000","28,138,000","26,875,000","22,154,000","24,455,000","30,083,000","30,875,000","30,417,000","32,962,000","29,430,000","24,576,000","28,252,000","33,160,000","31,893,000","26,695,000","25,236,000","28,817,000","27,137,000","29,421,000","29,874,000","28,743,000","30,000,000","40,747,000","28,451,000","31,298,000","28,911,000","29,053,000","27,078,000","28,007,000","27,909,000","23,118,000","24,098,000","27,538,000","25,074,000","22,730,000","20,448,000","23,178,000","20,698,000","20,023,000","19,814,000","21,791,000","19,294,000","19,786,000","17,933,000","15,989,000","16,845,000","16,269,000","14,911,000","15,511,000","15,108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"147,603,000","37,807,000","39,519,000","35,248,000","35,029,000","34,514,000","31,118,000","33,573,000","35,578,000","39,024,000","34,601,000","36,543,000","39,235,000","36,194,000","32,969,000","36,008,000","37,862,000","36,791,000","30,732,000","33,935,000","34,969,000","37,285,000","37,665,000","42,210,000","46,358,000","43,518,000","33,285,000","36,123,000","39,425,000","37,091,000","31,554,000","36,321,000","38,876,000","37,456,000","33,375,000","33,642,000","38,391,000","37,149,000","33,586,000","34,213,000","35,027,000","30,933,000","20,781,000","22,481,000","23,784,000","23,130,000","18,717,000","18,165,000","18,798,000","18,396,000","18,530,000","20,071,000","19,932,000","18,973,000","9,256,000","11,393,000","12,694,000","12,553,000","16,411,000","14,640,000","13,422,000","12,041,000","11,985,000","10,847,000","10,191,000","9,978,000","9,752,000","9,844,000","9,704,000","10,223,000","9,915,000","9,699,000","9,303,000","9,572,000","9,433,000","9,588,000","9,478,000","8,357,000","7,950,000","8,351,000","8,711,000","8,918,000","9,049,000","8,883,000","10,854,000","10,722,000","10,069,000","10,279,000","10,125,000","9,968,000","8,500,000","9,200,000","8,700,000","8,500,000","8,200,000","8,300,000","6,000,000","5,600,000","5,500,000",,"4,600,000","4,500,000","3,900,000","3,700,000","3,500,000","3,900,000","3,400,000",,"3,600,000","2,700,000","2,500,000",,,,
