name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015
TotalRevenue,"2,296,500,000","576,300,000","537,000,000","589,900,000","593,300,000","643,600,000","554,000,000","616,300,000","582,200,000","547,000,000","532,100,000","652,900,000","617,000,000","615,000,000","518,700,000","659,900,000","597,700,000","608,934,000","514,855,000","683,928,000","595,602,000","545,316,000","442,937,000","544,752,000","528,238,000","480,229,000","372,780,000","463,029,000","450,343,000"
	OperatingRevenue,"2,296,500,000","576,300,000","537,000,000","589,900,000","593,300,000","643,600,000","554,000,000","616,300,000","582,200,000","547,000,000","532,100,000","652,900,000","617,000,000","615,000,000","518,700,000","659,900,000","597,700,000","608,934,000","514,855,000","683,928,000","595,602,000","545,316,000","442,937,000","544,752,000","528,238,000","480,229,000","372,780,000","463,029,000","450,343,000"
CostOfRevenue,"2,041,700,000","519,200,000","481,200,000","524,600,000","516,700,000","556,200,000","492,300,000","554,500,000","515,700,000","494,600,000","484,700,000","591,200,000","545,700,000","542,600,000","472,400,000","586,700,000","518,200,000","536,068,000","462,303,000","587,694,000","517,597,000","472,471,000","395,417,000","472,433,000","464,285,000","421,509,000","337,841,000","407,341,000","401,935,000"
GrossProfit,"254,800,000","57,100,000","55,800,000","65,300,000","76,600,000","87,400,000","61,700,000","61,800,000","66,500,000","52,400,000","47,400,000","61,700,000","71,300,000","72,400,000","46,300,000","73,200,000","79,500,000","72,866,000","52,552,000","96,234,000","78,005,000","72,845,000","47,520,000","72,319,000","63,953,000","58,720,000","34,939,000","55,688,000","48,408,000"
OperatingExpense,"204,000,000","53,300,000","51,200,000","51,500,000","48,100,000","52,700,000","51,000,000","51,600,000","58,200,000","59,800,000","51,500,000","59,100,000","54,100,000","54,400,000","53,700,000","55,700,000","49,700,000","54,535,000","47,504,000","53,945,000","46,884,000","46,262,000","60,310,000","45,397,000","39,316,000","38,808,000","30,488,000","29,390,000","28,217,000"
	SellingGeneralAndAdministration,"191,300,000","50,500,000","47,600,000","48,000,000","45,200,000","48,700,000","47,100,000","47,300,000","53,500,000","54,900,000","46,300,000","54,000,000","48,900,000","48,600,000","47,800,000","49,600,000","43,500,000","48,704,000","41,034,000","48,579,000","40,576,000","42,604,000","56,498,000","41,870,000","35,481,000","35,314,000","27,106,000","26,880,000","24,584,000"
	ResearchAndDevelopment,"3,600,000","800,000","1,200,000","1,100,000","600,000","1,500,000","1,300,000","1,400,000","1,700,000","1,500,000","1,200,000","1,100,000","1,200,000","1,200,000","1,300,000","1,600,000","1,600,000","1,500,000","1,731,000","859,000","1,199,000","963,000","1,198,000","1,052,000","1,330,000","1,294,000","1,139,000","362,000","1,485,000"
	DepreciationAmortizationDepletionIncomeStatement,"9,100,000","2,000,000","2,400,000","2,400,000","2,300,000","2,500,000","2,600,000","2,900,000","3,000,000","3,400,000","4,000,000","4,000,000","4,000,000","4,600,000","4,600,000","4,500,000","4,600,000","4,331,000","4,739,000","4,507,000","5,109,000","2,695,000","2,614,000","2,475,000","2,505,000","2,200,000","2,243,000","2,148,000","2,148,000"
		DepreciationAndAmortizationInIncomeStatement,"9,100,000","2,000,000","2,400,000","2,400,000","2,300,000","2,500,000","2,600,000","2,900,000","3,000,000","3,400,000","4,000,000","4,000,000","4,000,000","4,600,000","4,600,000","4,500,000","4,600,000","4,331,000","4,739,000","4,507,000","5,109,000","2,695,000","2,614,000","2,475,000","2,505,000","2,200,000","2,243,000","2,148,000","2,148,000"
			Amortization,"9,100,000","2,000,000","2,400,000","2,400,000","2,300,000","2,500,000","2,600,000","2,900,000","3,000,000","3,400,000","4,000,000","4,000,000","4,000,000","4,600,000","4,600,000","4,500,000","4,600,000","4,331,000","4,739,000","4,507,000","5,109,000","2,695,000","2,614,000","2,475,000","2,505,000","2,200,000","2,243,000","2,148,000","2,148,000"
