name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"84,473,000","57,675,000","26,392,000","232,000","0","313,000","3,634,000","334,000"
	OperatingRevenue,"84,473,000","57,675,000","26,392,000","232,000","0","313,000","3,634,000","334,000"
CostOfRevenue,"400,782,000","245,970,000","151,473,000","3,320,000",,"85,000","2,520,000","609,000"
GrossProfit,"-316,309,000","-188,295,000","-125,081,000","-3,088,000",,"228,000","1,114,000","-275,000"
OperatingExpense,"1,512,874,000","409,235,000","360,603,000","493,962,000","562,194","299,021,000","200,825,000","161,825,000"
	SellingGeneralAndAdministration,"743,982,000","223,159,000","196,997,000","251,554,000",,"131,652,000","31,304,000","27,935,000"
	ResearchAndDevelopment,"768,892,000","186,076,000","163,606,000","242,408,000",,"167,369,000","169,521,000","133,890,000"
	OtherOperatingExpenses,,,,,"562,194",,,
OperatingIncome,"-1,829,183,000","-597,530,000","-485,684,000","-497,050,000","-562,194","-298,793,000","-199,711,000","-162,100,000"
NetNonOperatingInterestIncomeExpense,"-11,791,000","-7,705,000","-1,263,000","-2,793,000","-872,547","-5,000","-44,000","-10,000"
	InterestIncomeNonOperating,,,,,"27,453",,,
	InterestExpenseNonOperating,"9,074,000","7,705,000","1,263,000","76,000","900,000","5,000","44,000","10,000"
	TotalOtherFinanceCost,,,"0","2,717,000",,,,
OtherIncomeExpense,"-71,753,000","524,272,000","-558,715,000","-24,538,000","-587,383,212","-449,150,000","-111,463,000","728,000"
	GainOnSaleOfSecurity,"-71,812,000","523,330,000","-557,973,000","-24,787,000","-587,383,212","-449,140,000","-110,697,000","-57,000"
	OtherNonOperatingIncomeExpenses,"59,000","942,000","-742,000","249,000",,"-10,000","-766,000","785,000"
PretaxIncome,"-1,912,727,000","-80,963,000","-1,045,662,000","-524,381,000","-588,817,953","-747,948,000","-311,218,000","-161,382,000"
TaxProvision,"368,000","323,000","18,000","22,000","1,962","4,000","57,000","-145,000"
NetIncomeCommonStockholders,"-1,913,094,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-2,915,285,000","-297,491,000","-161,237,000"
	NetIncome,"-1,913,095,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-747,952,000","-311,275,000","-161,237,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,913,095,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-747,952,000","-311,275,000","-161,237,000"
			NetIncomeContinuousOperations,"-1,913,095,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-747,952,000","-311,275,000","-161,237,000"
	PreferredStockDividends,,,"0",,,"2,167,333,000",,
DilutedNIAvailtoComStockholders,"-1,913,094,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-2,915,285,000","-297,491,000","-161,237,000"
BasicEPS,,"-0.05","-0.64","-0.43","-0.364","-1.801",,"-0.1"
DilutedEPS,,"-0.05","-0.64","-0.43","-0.364","-1.801",,"-0.1"
BasicAverageShares,,"1,654,322,379","1,636,215,509","1,217,032,285","1,618,621,534","1,618,621,534",,"1,618,621,534"
DilutedAverageShares,,"1,654,322,379","1,636,215,509","1,217,032,285","1,618,621,534","1,618,621,534",,"1,618,621,534"
TotalOperatingIncomeAsReported,"-1,829,183,000","-597,530,000","-485,684,000","-497,050,000","-562,194","-298,793,000","-199,711,000","-162,100,000"
TotalExpenses,"1,913,656,000","655,205,000","512,076,000","497,282,000","562,194","299,106,000","203,345,000","162,434,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,913,095,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-747,952,000","-311,275,000","-161,237,000"
NormalizedIncome,"-1,870,007,800","-395,284,000","-638,359,710","-499,616,000","-160,030,170.24","-298,812,000","-230,466,190","-161,180,000"
InterestIncome,,,,,"27,453",,,
InterestExpense,"9,074,000","7,705,000","1,263,000","76,000","900,000","5,000","44,000","10,000"
NetInterestIncome,"-11,791,000","-7,705,000","-1,263,000","-2,793,000","-872,547","-5,000","-44,000","-10,000"
EBIT,"-1,903,653,000","-73,258,000","-1,044,399,000","-524,305,000","-587,917,953","-747,943,000","-311,174,000","-161,372,000"
EBITDA,"-1,807,423,000"
ReconciledCostOfRevenue,"400,782,000","245,970,000","151,473,000","3,320,000",,"85,000","2,520,000","609,000"
ReconciledDepreciation,"96,230,000","38,242,000","36,286,000",,,"4,919,000","4,770,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-1,913,095,000","-81,286,000","-1,045,680,000","-524,403,000","-588,819,915","-747,952,000","-311,275,000","-161,237,000"
TotalUnusualItemsExcludingGoodwill,"-71,812,000","523,330,000","-557,973,000","-24,787,000","-587,383,212","-449,140,000","-110,697,000","-57,000"
TotalUnusualItems,"-71,812,000","523,330,000","-557,973,000","-24,787,000","-587,383,212","-449,140,000","-110,697,000","-57,000"
NormalizedEBITDA,"-1,735,611,000","-558,346,000","-450,140,000","-499,518,000","-534,741","-293,884,000","-195,707,000","-161,315,000"
TaxRateForCalcs,"0.4","0.4","0.27","0","0.27","0","0.27","0"
TaxEffectOfUnusualItems,"-28,724,800","209,332,000","-150,652,710","0","-158,593,467.24","0","-29,888,190","0"
