name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
TotalAssets,"1,025,368,000","1,113,904,000","800,395,000","836,402,000","879,442,000","708,164,000","541,174,000","449,738,000","463,936,000","497,908,000","509,237,000","529,139,000","519,031,000","543,814,000","514,984,000","335,987,000","317,217,000","198,677,000","209,255,000","224,376,000","224,127,000","172,732,000","195,975,000","206,072,000","214,984,000","221,380,000","227,314,000","88,800,000","3,491,000"
	CurrentAssets,"446,877,000","518,826,000","410,164,000","437,387,000","498,638,000","531,197,000","386,950,000","329,082,000","338,233,000","345,032,000","360,228,000","359,492,000","303,884,000","337,913,000","386,357,000","293,270,000","262,718,000","167,997,000","172,161,000","165,817,000","148,802,000","93,371,000","96,620,000","97,907,000","105,580,000","118,148,000","215,485,000","87,089,000","3,031,000"
		CashCashEquivalentsAndShortTermInvestments,"394,134,000","457,439,000","339,860,000","374,737,000","440,880,000","475,740,000","241,525,000","269,186,000","279,257,000","296,210,000","331,719,000","341,496,000","285,225,000","319,761,000","372,589,000","286,494,000","229,867,000","160,778,000","166,662,000","162,083,000","145,809,000","89,554,000","91,770,000","94,207,000","101,055,000","114,141,000","213,349,000","85,215,000","1,121,000"
			CashAndCashEquivalents,"191,873,000","345,209,000","228,387,000","257,072,000","291,482,000","338,426,000","93,220,000","94,222,000","69,411,000","69,514,000","79,594,000","55,142,000","55,852,000","75,561,000","142,423,000","106,889,000","71,870,000","46,656,000","59,884,000","57,649,000","82,045,000","24,840,000","28,108,000","30,083,000","35,511,000","54,116,000","205,324,000","85,215,000","1,121,000"
			OtherShortTermInvestments,"202,261,000","112,230,000","111,473,000","117,665,000","149,398,000","137,314,000","148,305,000","174,964,000","209,846,000","226,696,000","252,125,000","286,354,000","229,373,000","244,200,000","230,166,000","179,605,000","157,997,000","114,122,000","106,778,000","104,434,000","63,764,000","64,714,000","63,662,000","64,124,000","65,544,000","60,025,000","8,025,000",,
		Receivables,"27,022,000","32,439,000","46,017,000","44,394,000","41,039,000","42,999,000","122,116,000","42,876,000","44,522,000","38,148,000","19,175,000","9,679,000","8,372,000","8,587,000","2,626,000","739,000","25,976,000","473,000","884,000","50,000","228,000","1,032,000","679,000","783,000","2,036,000","2,136,000","609,000","704,000","1,882,000"
			AccountsReceivable,"440,000","365,000","30,248,000","30,158,000","30,584,000","30,573,000","30,086,000","42,876,000","44,522,000","38,148,000","19,175,000","9,679,000","8,372,000","8,587,000","2,626,000","739,000","25,976,000","473,000","884,000","50,000","228,000","1,032,000","679,000","783,000","2,036,000","2,136,000","609,000","704,000","805,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","750,000"
			OtherReceivables,"26,582,000","32,074,000","28,979,000","22,479,000","18,698,000","20,104,000","99,708,000",,,,,,,,,,,,"0",,,,,,,,,,"327,000"
			ReceivablesAdjustmentsAllowances,"0","0","-13,210,000","-8,243,000","-8,243,000","-7,678,000","-7,678,000",,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"18,542,000","18,752,000","18,401,000","13,092,000","13,839,000","10,505,000","16,112,000","9,749,000","7,422,000","6,475,000","6,920,000","6,036,000","6,292,000","5,734,000","6,308,000","3,690,000","4,667,000","5,334,000","3,225,000","2,432,000","1,843,000","1,775,000","2,171,000","1,480,000","1,189,000","1,020,000","1,400,000","1,170,000","28,000"
		OtherCurrentAssets,"7,179,000","10,196,000","5,886,000","5,164,000","2,880,000","1,953,000","7,197,000","7,271,000","7,032,000","4,199,000","2,414,000","2,281,000","3,995,000","3,831,000","4,834,000","2,347,000","2,208,000","1,412,000","1,390,000","1,252,000","922,000","1,010,000","2,000,000","1,437,000","1,300,000","851,000","127,000",,
	TotalNonCurrentAssets,"578,491,000","595,078,000","390,231,000","399,015,000","380,804,000","176,967,000","154,224,000","120,656,000","125,703,000","152,876,000","149,009,000","169,647,000","215,147,000","205,901,000","128,627,000","42,717,000","54,499,000","30,680,000","37,094,000","58,559,000","75,325,000","79,361,000","99,355,000","108,165,000","109,404,000","103,232,000","11,829,000","1,711,000","460,000"
		NetPPE,"195,189,000","192,451,000","183,973,000","168,965,000","151,949,000","120,282,000","96,698,000","41,331,000","39,789,000","39,051,000","34,192,000","33,234,000","29,998,000","28,702,000","19,856,000","16,698,000","14,829,000","13,977,000","11,548,000","11,524,000","11,061,000","9,324,000","5,804,000","2,864,000","1,328,000","538,000","385,000","312,000","0"
			GrossPPE,"226,814,000","221,487,000","210,409,000","195,462,000","176,551,000","142,956,000","117,268,000","59,759,000","56,084,000","53,389,000","46,636,000","43,817,000","38,831,000","35,939,000","25,782,000","21,685,000","18,919,000","17,254,000","14,132,000","13,404,000","12,239,000","9,948,000","6,148,000","3,047,000","1,456,000","618,000","428,000","327,000","0"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				MachineryFurnitureEquipment,"11,384,000","11,072,000","10,585,000","10,326,000","8,653,000","7,878,000","6,170,000","5,925,000","4,968,000","4,733,000","4,408,000","4,288,000","4,039,000","3,917,000","3,817,000","3,509,000","3,133,000","2,865,000","2,671,000","2,547,000","2,418,000","2,251,000","1,735,000","1,137,000","871,000","563,000","426,000","325,000",
				OtherProperties,"120,968,000","117,880,000","111,693,000","100,742,000","96,731,000","90,121,000","80,989,000","29,950,000","29,551,000","29,741,000","24,397,000","22,437,000","22,421,000","14,417,000","11,129,000","9,496,000","8,945,000","8,561,000","6,322,000","5,896,000","4,866,000","2,780,000","756,000","359,000",,"538,000",,,
				ConstructionInProgress,,,,,,,,,,"0","0","0","0","5,854,000",,,,,,,,,,,,,,,
				Leases,"94,462,000","92,535,000","88,131,000","84,394,000","71,167,000","44,957,000","30,109,000","23,884,000","21,565,000","18,915,000","17,831,000","17,092,000","12,371,000","11,751,000","10,836,000","8,680,000","6,841,000","5,828,000","5,139,000","4,961,000","4,955,000","4,917,000","3,657,000","1,551,000","585,000","55,000","2,000","2,000",
			AccumulatedDepreciation,"-31,625,000","-29,036,000","-26,436,000","-26,497,000","-24,602,000","-22,674,000","-20,570,000","-18,428,000","-16,295,000","-14,338,000","-12,444,000","-10,583,000","-8,833,000","-7,237,000","-5,926,000","-4,987,000","-4,090,000","-3,277,000","-2,584,000","-1,880,000","-1,178,000","-624,000","-344,000","-183,000","-128,000","-80,000","-43,000","-15,000",
		InvestmentsAndAdvances,"370,659,000","391,907,000","193,640,000","218,220,000","215,598,000","46,809,000","48,272,000","70,054,000","77,361,000","103,785,000","85,408,000","108,194,000","159,083,000","150,819,000","102,296,000","19,795,000","5,917,000","15,616,000","24,485,000","46,417,000","63,742,000","69,412,000","93,087,000","104,810,000","107,853,000","102,526,000","11,316,000","303,000","303,000"
			InvestmentinFinancialAssets,"370,659,000","391,907,000","193,640,000","218,220,000","215,598,000","46,809,000","48,272,000","70,054,000","77,361,000","103,785,000","85,408,000","108,194,000","159,083,000","150,819,000","102,296,000","19,795,000","5,917,000","15,616,000","24,485,000","46,417,000","63,742,000","69,412,000","93,087,000","104,510,000","107,553,000","102,226,000","11,013,000",,
				AvailableForSaleSecurities,"370,659,000","391,907,000","193,640,000","218,220,000","215,598,000","46,809,000","48,272,000","70,054,000","77,361,000","103,785,000","85,408,000","108,194,000","159,083,000","150,819,000","102,296,000","19,795,000","5,917,000","15,616,000","24,485,000","46,417,000","63,742,000","69,412,000","93,087,000","104,510,000","107,553,000","102,226,000","11,013,000",,
			OtherInvestments,,,,,,,,,,,,,,,,,,,,,,"0",,"300,000","300,000","300,000","303,000","303,000","303,000"
		NonCurrentAccountsReceivable,"2,084,000","2,262,000","2,730,000","2,808,000","2,859,000","3,267,000","3,564,000","3,618,000","4,373,000","4,155,000","24,345,000","23,955,000","22,758,000","23,012,000","4,600,000","4,485,000","32,645,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,056,000","157,000"
		OtherNonCurrentAssets,"10,559,000","8,458,000","9,888,000","9,022,000","10,398,000","6,609,000","5,690,000","5,653,000","4,180,000","5,885,000","5,064,000","4,264,000","3,308,000","3,368,000","1,875,000","1,739,000","1,108,000","1,087,000","1,061,000","618,000","522,000","625,000","464,000","491,000","223,000","168,000","128,000","40,000",
TotalLiabilitiesNetMinorityInterest,"335,699,000","349,606,000","338,981,000","329,157,000","324,938,000","330,411,000","125,514,000","51,877,000","43,784,000","47,711,000","40,842,000","34,547,000","31,978,000","34,966,000","20,927,000","18,765,000","17,877,000","15,648,000","14,604,000","12,679,000","11,229,000","10,995,000","15,749,000","9,897,000","6,383,000","4,572,000","5,506,000","6,172,000","9,189,000"
	CurrentLiabilities,"119,937,000","130,472,000","106,771,000","91,554,000","83,961,000","81,447,000","63,613,000","40,203,000","31,789,000","33,676,000","31,345,000","24,661,000","21,390,000","22,176,000","19,120,000","16,853,000","14,876,000","14,437,000","13,399,000","11,462,000","9,958,000","9,669,000","14,382,000","9,149,000","5,781,000","4,339,000","5,308,000","6,038,000","9,189,000"
		PayablesAndAccruedExpenses,"73,131,000","87,498,000","69,539,000","56,115,000","52,916,000","59,704,000","59,600,000","36,740,000","29,335,000","31,255,000","28,839,000","22,385,000","18,393,000","21,576,000","18,520,000","16,253,000","14,876,000","14,437,000","13,399,000","11,462,000","9,958,000","9,669,000","14,382,000","9,149,000","5,746,000","4,212,000","5,181,000","5,906,000","6,633,000"
			Payables,"37,380,000","22,712,000","19,845,000","9,354,000","15,316,000","13,757,000","15,244,000","10,901,000","9,008,000","6,409,000","10,116,000","6,415,000","5,338,000","5,138,000","6,354,000","6,669,000","5,007,000","4,832,000","2,594,000","3,948,000","4,129,000","1,543,000","5,376,000","2,076,000","1,113,000","1,014,000","3,454,000","2,844,000","5,518,000"
				AccountsPayable,"24,708,000","11,387,000","19,845,000","9,354,000","11,311,000","10,622,000","15,244,000","10,901,000","9,008,000","6,409,000","9,608,000","5,851,000","4,204,000","4,412,000","5,214,000","4,230,000","5,007,000","4,832,000","2,594,000","3,948,000","4,129,000","1,543,000","5,376,000","2,076,000","1,113,000","1,014,000","3,105,000","925,000","334,000"
				TotalTaxPayable,"12,672,000","11,325,000","0","0","4,005,000","3,135,000",,,,"0","508,000","564,000","1,134,000","726,000","1,140,000","2,439,000",,,,,,,,,,,,,
