name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011
TotalRevenue,"396,500,000","98,200,000","124,700,000","84,300,000","89,300,000","81,000,000","72,800,000","77,800,000","73,900,000","80,800,000","107,600,000","89,100,000","109,100,000","129,400,000","299,600,000","119,400,000","112,100,000","113,300,000","122,700,000","111,500,000","98,100,000","93,200,000","37,300,000","138,700,000","102,700,000","108,800,000","121,400,000","144,700,000","153,700,000","150,700,000","164,900,000","153,400,000","146,700,000","94,900,000","183,100,000","72,200,000","71,100,000","41,500,000","89,900,000","92,900,000","72,400,000","41,200,000","1,540,900,000","61,900,000","73,200,000"
	OperatingRevenue,"396,500,000","98,200,000","124,700,000","84,300,000","89,300,000","81,000,000","72,800,000","77,800,000","73,900,000","80,800,000","107,600,000","89,100,000","109,100,000","129,400,000","299,600,000","119,400,000","112,100,000","113,300,000","122,700,000","111,500,000","98,100,000","93,200,000","37,300,000","138,700,000","102,700,000","108,800,000","121,400,000","144,700,000","153,700,000","150,700,000","164,900,000","153,400,000","146,700,000","94,900,000","183,100,000","72,200,000","71,100,000","41,500,000","89,900,000","92,900,000","72,400,000","41,200,000","1,540,900,000","61,900,000","73,200,000"
CostOfRevenue,"266,300,000","67,400,000","75,500,000","60,600,000","62,800,000","55,200,000","54,500,000","66,600,000","55,100,000","57,300,000","80,900,000","71,700,000","87,700,000","100,700,000","114,900,000","87,100,000","89,100,000","91,300,000","90,900,000","75,200,000","69,600,000","66,300,000","2,400,000","102,300,000","81,900,000","81,900,000","126,300,000","118,000,000","118,300,000","113,500,000","133,700,000","125,700,000","111,600,000","71,400,000","151,100,000","53,100,000","50,400,000","25,900,000","74,400,000","73,100,000","50,500,000","25,300,000","1,322,100,000","48,900,000","52,100,000"
GrossProfit,"130,200,000","30,800,000","49,200,000","23,700,000","26,500,000","25,800,000","18,300,000","11,200,000","18,800,000","23,500,000","26,700,000","17,400,000","21,400,000","28,700,000","184,700,000","32,300,000","23,000,000","22,000,000","31,800,000","36,300,000","28,500,000","26,900,000","34,900,000","36,400,000","20,800,000","26,900,000","-4,900,000","26,700,000","35,400,000","37,200,000","31,200,000","27,700,000","35,100,000","23,500,000","32,000,000","19,100,000","20,700,000","15,600,000","15,500,000","19,800,000","21,900,000","15,900,000","218,800,000","13,000,000","21,100,000"
OperatingExpense,"54,900,000","15,800,000","12,600,000","13,300,000","13,200,000","12,200,000","11,600,000","11,700,000","9,000,000","14,500,000","16,900,000","13,300,000","16,200,000","15,500,000","16,500,000","14,600,000","15,100,000","15,000,000","19,200,000","24,500,000","17,700,000","20,200,000","19,300,000","16,600,000","13,200,000","16,600,000","14,000,000","12,600,000","14,100,000","14,600,000","15,000,000","12,100,000","12,300,000","13,400,000","16,800,000","9,600,000","7,200,000","8,600,000","9,000,000","7,200,000","11,800,000","8,000,000","132,200,000","7,400,000","7,300,000"
	SellingGeneralAndAdministration,"54,900,000","15,800,000","12,600,000","13,300,000","13,200,000","12,200,000","11,600,000","11,700,000","9,000,000","14,500,000","16,900,000","13,300,000","16,200,000","15,500,000","16,500,000","14,600,000","15,100,000","15,000,000","15,400,000","20,100,000","15,500,000","15,400,000","13,600,000","14,700,000","13,200,000","16,600,000","14,000,000","12,600,000","14,100,000","14,600,000","15,000,000","12,100,000","12,300,000","13,400,000","16,800,000","9,600,000","7,200,000","8,600,000","9,000,000","7,200,000","11,800,000","8,000,000","132,200,000","7,400,000","7,300,000"
		GeneralAndAdministrativeExpense,,"15,800,000",,"13,300,000","13,200,000",,,"5,400,000",,"14,500,000","5,500,000",,,,,"700,000","800,000","700,000","15,600,000","20,100,000","15,500,000","15,400,000","13,900,000","14,700,000","13,200,000","16,600,000","14,000,000","12,600,000","14,100,000","14,600,000","15,000,000",,"12,300,000","13,400,000","16,800,000","9,600,000","7,200,000","8,600,000","0","700,000","4,400,000","8,000,000",,"0","0"
			SalariesAndWages,,"3,400,000",,"700,000","800,000",,,,,"700,000",,,,,,"700,000","800,000","700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"12,400,000",,"12,600,000","12,400,000",,,"5,400,000",,"13,800,000","5,500,000",,,,,,"15,100,000","15,000,000","15,600,000","20,100,000","15,500,000","15,400,000","13,900,000","14,700,000","13,200,000","16,600,000","14,000,000","12,600,000","14,100,000","14,600,000","15,000,000",,"12,300,000","13,400,000","16,800,000","9,600,000","7,200,000","8,600,000",,,,"8,000,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,"3,800,000","4,400,000","2,200,000","4,800,000","5,700,000","1,900,000",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"75,300,000","15,000,000","36,600,000","10,400,000","13,300,000","13,600,000","6,700,000","-500,000","9,800,000","9,000,000","9,800,000","4,100,000","5,200,000","13,200,000","168,200,000","17,700,000","7,900,000","7,000,000","12,600,000","11,800,000","10,800,000","6,700,000","15,600,000","19,800,000","7,600,000","10,300,000","-18,900,000","14,100,000","21,300,000","22,600,000","16,200,000","15,600,000","22,800,000","10,100,000","15,200,000","9,500,000","13,500,000","7,000,000","6,500,000","12,600,000","10,100,000","7,900,000","86,600,000","5,600,000","13,800,000"
NetNonOperatingInterestIncomeExpense,"-24,200,000","-5,600,000","-5,900,000","-6,300,000","-6,400,000","-6,700,000","-6,900,000","-6,900,000","-7,600,000","-7,200,000","-7,500,000","-7,600,000","-7,500,000","-7,500,000","-7,900,000","-8,800,000","-8,800,000","-8,300,000","-5,500,000","-4,600,000","-5,000,000","-5,200,000","-5,300,000","-5,900,000","-6,000,000","-6,600,000","-6,200,000","-6,100,000","-6,500,000","-6,900,000","-3,900,000","-6,100,000","-6,500,000","-6,500,000","-6,300,000","-3,000,000","-3,100,000","-3,600,000","-3,100,000","-3,600,000","-4,000,000","-4,100,000","-12,300,000","-4,400,000","-4,000,000"
	InterestIncomeNonOperating,"800,000","100,000","200,000","200,000","300,000","300,000","700,000","200,000","200,000","600,000","200,000","600,000","600,000","1,600,000","1,000,000","300,000","100,000","100,000","1,600,000","1,500,000","1,200,000","1,000,000","900,000","500,000","800,000","300,000","400,000","400,000","100,000","200,000","3,500,000","1,100,000","700,000","700,000","1,100,000","1,200,000","800,000",,"100,000","0","0",,"-200,000","0","200,000"
	InterestExpenseNonOperating,"25,000,000","5,700,000","6,100,000","6,500,000","6,700,000","7,000,000","7,600,000","7,100,000","7,800,000","7,800,000","7,700,000","8,200,000","8,100,000","9,100,000","8,900,000","9,100,000","8,900,000","8,400,000","7,100,000","6,100,000","6,200,000","6,200,000","6,200,000","6,400,000","6,800,000","6,900,000","6,600,000","6,500,000","6,600,000","7,100,000","7,400,000","7,200,000","7,200,000","7,200,000","7,400,000","4,200,000","3,900,000","3,600,000","3,200,000","3,600,000","4,000,000","4,100,000","12,100,000","4,400,000","4,200,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,"-600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-13,200,000","1,600,000","-24,000,000","3,000,000","6,200,000","3,100,000","900,000","10,600,000","-6,300,000","4,000,000","2,500,000","-47,300,000","1,000,000","2,700,000","-277,600,000","7,900,000","3,700,000","46,100,000","-19,600,000","3,900,000","1,700,000","2,300,000","55,600,000","-17,700,000","-18,700,000","-13,400,000","3,300,000","2,800,000","2,300,000","25,800,000","1,900,000","-13,600,000","400,000","-1,600,000","3,500,000","-6,600,000","-900,000","500,000","1,900,000","6,300,000","-10,900,000","-3,300,000","-8,800,000","-1,000,000","2,100,000"
	GainOnSaleOfSecurity,,,"2,600,000",,,"200,000","0",,,"500,000",,,,,"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500,000"
	EarningsFromEquityInterest,"15,700,000","1,600,000","5,300,000","2,700,000","6,100,000","3,400,000","600,000","2,200,000","-100,000","3,200,000","-800,000","2,400,000","1,000,000","2,700,000","-10,400,000","4,500,000","4,400,000","-2,600,000","-300,000","4,300,000","1,900,000","1,300,000","15,700,000","100,000","1,300,000","2,100,000","6,100,000","2,900,000","3,800,000","24,000,000","1,500,000","1,500,000","400,000","-1,600,000","2,500,000","-5,900,000","600,000","500,000","-1,000,000","-1,000,000","-1,100,000","-1,600,000","-2,600,000","-1,000,000","-400,000"
	SpecialIncomeCharges,"-28,900,000","0","-29,000,000","0","100,000","100,000","100,000","9,000,000","-5,600,000","0","2,600,000","-49,700,000",,,"-317,900,000","4,100,000","0","49,500,000","-16,100,000","-400,000","-200,000","1,000,000","39,900,000","-17,800,000","-20,000,000","-15,500,000","-2,800,000","-100,000","-1,500,000","1,800,000","400,000","-15,100,000","0",,"1,000,000","-700,000","-1,500,000","0","7,300,000","7,300,000","-9,800,000","-1,700,000","0","0","0"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"100,000","2,000,000","1,500,000",,,,,,,,
		ImpairmentOfCapitalAssets,"129,100,000",,,,"0",,"0",,"5,600,000",,"0","49,700,000",,,"79,400,000",,,,"22,400,000",,,,"11,700,000",,,,,,,,"300,000",,,,"0","0","0",,"-4,700,000","0","9,800,000",,,"0","0"
		WriteOff,,,"29,000,000","0","0","-100,000","5,500,000","-9,000,000",,,,,,,"188,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,"100,000","100,000","200,000","100,000","0","400,000","200,000","2,000,000","-51,500,000","17,800,000","28,000,000","15,500,000","900,000","100,000","1,500,000","100,000","-400,000","15,100,000",,,"-1,100,000","-1,300,000","0",,"0","0","0",,,,
		GainOnSaleOfBusiness,,,,,,,"0","0","0","0",,,,,"0","4,200,000",,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,"-1,700,000",,,
		GainOnSaleOfPPE,"100,000","0","0","0","100,000","100,000","100,000","9,000,000","0",,,,,,,"0","200,000","49,600,000","6,300,000","0","0","3,000,000","100,000",,"8,000,000","0",,"0","0","1,900,000",,,,,"0","0",,,"0","7,300,000",,,,"0",
	OtherNonOperatingIncomeExpenses,,,"-2,900,000","300,000",,"-600,000","200,000","-600,000","-600,000","300,000","-5,500,000",,,,"-700,000","-700,000","-700,000","-800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"37,900,000","11,000,000","6,700,000","7,100,000","13,100,000","10,000,000","700,000","3,200,000","-4,100,000","5,800,000","4,800,000","-50,800,000","-1,300,000","8,400,000","-117,300,000","16,800,000","2,800,000","44,800,000","-12,500,000","11,100,000","7,500,000","3,800,000","65,900,000","-3,800,000","-17,100,000","-9,700,000","-21,800,000","10,800,000","17,100,000","41,500,000","14,200,000","-4,100,000","16,700,000","2,000,000","12,400,000","-100,000","9,500,000","3,900,000","5,300,000","15,300,000","-4,800,000","500,000","65,500,000","200,000","11,900,000"
