name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,12/31/2004
TotalAssets,"13,782,000,000","12,375,000,000","11,766,000,000","12,007,000,000","12,011,000,000","12,023,000,000","11,931,000,000","11,950,000,000","12,441,000,000","12,172,000,000","12,902,000,000","12,863,000,000","12,942,000,000","12,661,000,000","13,156,000,000","12,987,000,000","13,522,000,000","13,463,000,000","14,857,000,000","14,936,000,000","15,185,000,000","15,131,000,000","15,632,000,000","15,762,000,000","15,581,000,000","12,738,900,000","12,869,800,000","10,998,400,000","11,485,300,000","11,338,200,000","11,659,800,000","11,304,900,000","12,475,500,000","10,678,100,000","10,799,000,000","10,251,600,000","10,338,400,000","10,166,900,000","10,182,700,000","9,118,900,000","9,616,900,000","8,974,500,000","9,245,800,000","9,420,000,000","9,189,900,000","8,758,500,000","8,617,500,000","8,595,300,000","2,633,100,000","2,494,900,000","2,357,100,000","2,279,400,000","2,506,100,000","2,387,600,000","3,018,500,000","2,767,300,000","2,530,600,000","2,012,500,000","1,825,300,000","1,587,900,000","1,597,700,000","1,290,400,000","1,291,800,000","1,182,000,000","1,300,800,000","1,228,100,000","1,337,850,000","1,500,811,000","1,546,971,000"
	CurrentAssets,"3,826,000,000","2,593,000,000","1,814,000,000","1,569,000,000","1,489,000,000","1,367,000,000","1,171,000,000","1,136,000,000","1,480,000,000","974,000,000","1,669,000,000","1,488,000,000","1,412,000,000","1,274,000,000","1,597,000,000","1,348,000,000","1,660,000,000","1,465,000,000","2,651,000,000","2,675,000,000","2,805,000,000","2,655,000,000","2,931,000,000","3,374,000,000","3,520,000,000","1,127,100,000","1,764,200,000","1,366,400,000","2,379,700,000","2,614,500,000","3,338,700,000","3,405,700,000","4,911,100,000","2,630,100,000","3,059,700,000","2,719,500,000","2,907,700,000","2,807,600,000","3,015,200,000","1,996,700,000","2,458,400,000","1,798,600,000","2,057,900,000","2,080,400,000","1,808,800,000","1,341,400,000","1,199,000,000","1,267,400,000","1,549,800,000","1,283,100,000","1,084,800,000","1,284,400,000","1,495,000,000","1,433,200,000","2,041,500,000","1,770,800,000","1,516,500,000","1,279,100,000","1,138,800,000","923,300,000","936,700,000","633,100,000","655,300,000","540,800,000","642,400,000","576,100,000","687,656,000","792,346,000","788,797,000"
		CashCashEquivalentsAndShortTermInvestments,"2,617,000,000","1,628,000,000","757,000,000","777,000,000","804,000,000","683,000,000","553,000,000","563,000,000","753,000,000","287,000,000","1,019,000,000","858,000,000","671,000,000","682,000,000","1,022,000,000","728,000,000","936,000,000","835,000,000","1,992,000,000","2,001,000,000","1,312,000,000","1,164,000,000","1,554,000,000","2,008,000,000","2,689,000,000","286,000,000","943,200,000","809,900,000","1,778,800,000","1,996,600,000","2,651,200,000","2,194,100,000","3,530,200,000","1,710,800,000","2,286,200,000","1,934,100,000","2,210,300,000","2,274,900,000","2,221,300,000","1,383,000,000","1,713,300,000","1,207,000,000","1,426,100,000","1,358,800,000","1,137,300,000","800,800,000","648,400,000","601,400,000","1,035,700,000","882,100,000","702,600,000","921,200,000","839,000,000","625,000,000","1,152,200,000","1,044,500,000","852,000,000","861,000,000","730,400,000","565,600,000","490,800,000","325,600,000","305,400,000","228,000,000","196,300,000","216,700,000","317,476,000","510,330,000","419,293,000"
			CashAndCashEquivalents,"2,617,000,000","1,628,000,000","757,000,000","777,000,000","804,000,000","683,000,000","553,000,000","563,000,000","753,000,000","287,000,000","1,019,000,000","858,000,000","671,000,000","682,000,000","1,022,000,000","728,000,000","936,000,000","835,000,000","1,992,000,000","2,001,000,000","1,312,000,000","1,164,000,000","1,554,000,000","2,008,000,000","2,689,000,000","286,000,000","943,200,000","809,900,000","1,778,800,000","1,996,600,000","2,651,200,000","2,194,100,000","3,530,200,000","1,710,800,000","2,286,200,000","1,934,100,000","2,210,300,000","2,274,900,000","2,221,300,000","1,383,000,000","1,713,300,000","1,207,000,000","1,426,100,000","1,355,600,000","1,134,100,000","797,700,000","648,400,000","601,400,000","1,010,500,000","697,100,000","497,500,000","816,100,000","803,800,000","625,000,000","828,400,000","805,800,000","852,000,000","366,500,000","53,000,000","59,600,000","27,800,000","25,400,000","21,400,000","24,700,000","38,700,000","37,400,000","40,376,000","79,436,000","50,003,000"
				CashFinancial,"207,000,000","121,000,000","52,000,000","85,000,000","69,000,000","108,000,000",,,,"59,000,000",,"52,000,000",,"34,000,000","54,000,000","56,000,000","472,000,000","120,000,000","115,000,000","93,000,000","76,000,000","89,000,000","113,000,000","112,000,000","136,000,000","70,700,000","88,300,000","82,300,000","62,400,000","71,300,000","98,600,000","117,300,000",,"148,900,000",,"79,200,000",,"106,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"2,410,000,000","1,507,000,000","705,000,000","692,000,000","735,000,000","575,000,000",,,,"228,000,000",,"806,000,000",,"648,000,000","968,000,000","672,000,000","464,000,000","715,000,000","1,877,000,000","1,908,000,000","1,236,000,000","1,075,000,000","1,441,000,000","1,896,000,000","2,553,000,000","215,300,000","854,900,000","727,600,000","1,716,400,000","1,925,300,000","2,552,600,000","2,076,800,000",,"1,561,900,000",,"1,854,900,000",,"2,168,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","3,200,000","3,200,000","3,100,000","0","0","25,200,000","185,000,000","205,100,000","105,100,000","35,200,000",,"323,800,000","238,700,000",,"494,500,000","677,400,000","506,000,000","463,000,000","300,200,000","284,000,000","203,300,000","157,600,000","179,300,000","277,100,000","430,894,000","369,290,000"
		Receivables,"679,000,000","497,000,000","386,000,000","401,000,000","271,000,000","265,000,000","234,000,000","250,000,000","251,000,000","242,000,000","311,000,000","313,000,000","264,000,000","235,000,000","273,000,000","338,000,000","247,000,000","307,000,000","279,000,000","282,000,000","252,000,000","236,000,000","207,000,000","239,000,000","262,000,000","267,200,000","251,900,000","194,900,000","167,100,000","191,500,000","156,900,000","258,300,000","215,700,000","230,900,000","186,900,000","294,300,000","242,700,000","217,400,000","340,900,000","360,200,000","464,900,000","269,400,000","268,600,000","424,500,000","260,300,000","238,900,000","228,800,000","347,400,000","197,500,000","167,400,000","143,300,000","137,900,000","185,400,000","175,100,000","154,000,000","175,300,000","154,200,000","148,700,000","149,700,000","158,000,000","118,500,000","113,900,000","86,500,000","85,000,000","70,900,000","53,900,000","60,486,000","91,894,000","43,274,000"
			AccountsReceivable,"679,000,000","464,000,000","386,000,000","401,000,000","271,000,000","256,000,000","234,000,000","250,000,000","251,000,000","229,000,000","311,000,000","313,000,000","264,000,000","226,000,000","273,000,000","338,000,000","247,000,000","297,000,000","279,000,000","282,000,000","252,000,000","227,000,000","207,000,000","239,000,000","262,000,000","210,200,000","251,900,000","194,900,000","167,100,000","185,700,000","156,900,000","258,300,000","215,700,000","225,000,000","186,900,000","294,300,000","242,700,000","213,200,000","340,900,000","360,200,000","464,900,000","269,400,000","268,600,000","424,500,000","260,300,000","238,900,000","228,800,000","347,400,000","197,500,000","167,400,000","143,300,000","137,900,000","185,400,000","175,100,000","154,000,000","175,300,000","154,200,000","148,700,000","142,500,000","158,000,000","118,500,000","113,900,000","86,500,000","85,000,000","66,400,000","52,800,000","57,160,000","88,209,000","41,510,000"
			OtherReceivables,,"33,000,000",,,,"9,000,000",,,,"13,000,000",,,,"9,000,000",,,,"10,000,000",,,,"9,000,000",,,,"57,000,000",,,,"5,800,000",,,,"5,900,000",,,,"4,200,000",,,,,,,,,,,,,,,,,,,,,"7,200,000",,,,,,"4,500,000","1,100,000","3,326,000","3,685,000","1,764,000"
