name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalAssets,"1,107,474,000","926,395,000","887,239,000","789,150,000","1,088,290,000","999,570,000","922,256,000","879,619,000","788,011,000","724,826,000","675,953,000","642,307,000","590,114,000","548,193,000","277,693,000","338,692,000","276,745,000","367,337,000","390,972,000","372,023,000","391,872,000","378,996,000","370,542,000","378,109,000","387,829,000","424,072,000","437,631,000","462,086,000","488,699,000","521,654,000","553,713,000","605,610,000","605,034,000","681,255,000","666,016,000","594,704,000","591,519,000","368,582,000","383,943,000","399,422,000","217,727,000","258,782,000","283,325,000","303,120,000","315,108,000","331,202,000","212,580,000","232,449,000","249,930,000","181,393,000","183,472,000","206,085,000","214,792,000","236,156,000","255,262,000","281,390,000","299,515,000","161,983,000","198,623,000","208,008,000","247,659,000","262,424,000","292,350,000","318,897,000","327,334,000","224,835,000","196,988,000","233,801,000","259,196,000","286,022,000","204,974,000","219,001,000"
	CurrentAssets,"317,823,000","313,673,000","236,928,000","148,261,000","372,933,000","342,058,000","572,041,000","500,193,000","466,907,000","431,234,000","366,795,000","317,685,000","251,519,000","199,043,000","121,129,000","178,660,000","113,245,000","200,369,000","220,509,000","198,064,000","214,418,000","198,046,000","186,121,000","190,421,000","196,706,000","214,325,000","223,754,000","243,957,000","262,392,000","252,182,000","273,471,000","353,163,000","389,196,000","483,198,000","522,341,000","457,233,000","474,512,000","261,133,000","282,535,000","303,380,000","204,327,000","244,763,000","269,165,000","288,625,000","300,272,000","316,354,000","197,487,000","216,223,000","232,149,000","162,042,000","162,870,000","184,473,000","189,900,000","209,961,000","227,727,000","252,491,000","268,380,000","134,087,000","144,436,000","156,926,000","190,685,000","207,167,000","227,385,000","247,507,000","266,916,000","166,818,000","177,011,000","213,248,000","238,506,000","264,468,000","182,291,000","191,656,000"
		CashCashEquivalentsAndShortTermInvestments,"216,802,000","201,525,000","135,115,000","43,265,000","282,890,000","246,487,000","479,193,000","417,146,000","383,951,000","350,845,000","297,201,000","249,663,000","192,178,000","114,908,000","55,480,000","107,542,000","56,460,000","129,075,000","168,192,000","135,626,000","169,811,000","150,433,000","148,966,000","153,866,000","168,192,000","187,283,000","206,192,000","229,263,000","251,140,000","240,498,000","263,111,000","334,476,000","370,923,000","465,125,000","506,153,000","443,011,000","459,056,000","248,489,000","273,444,000","295,489,000","200,164,000","240,915,000","265,169,000","283,887,000","293,819,000","309,634,000","192,468,000","210,693,000","225,448,000","155,390,000","154,229,000","175,683,000","178,876,000","200,605,000","218,837,000","232,347,000","257,667,000","126,816,000","137,538,000","150,652,000","184,634,000","201,080,000","223,255,000","242,441,000","258,595,000","161,925,000","172,323,000","202,378,000","231,832,000","257,141,000","174,338,000","188,010,000"
			CashAndCashEquivalents,"216,802,000","201,525,000","135,115,000","43,265,000","282,890,000","246,487,000","479,193,000","413,147,000","351,981,000","278,096,000","172,946,000","141,952,000","65,151,000","62,417,000","48,615,000","87,226,000","27,138,000","73,336,000","138,417,000","127,634,000","159,808,000","118,016,000","93,194,000","112,945,000","151,778,000","159,180,000","78,746,000","149,579,000","141,186,000","96,800,000","119,575,000","208,052,000","125,275,000","143,510,000","171,892,000","199,243,000","266,070,000","94,849,000","112,235,000","161,096,000","14,310,000","44,778,000","62,736,000","90,658,000","147,874,000","163,333,000","63,101,000","69,721,000","109,923,000","47,544,000","65,589,000","61,098,000","72,918,000","92,280,000","128,966,000","87,610,000","81,283,000","86,433,000","78,860,000","45,545,000","77,152,000","72,388,000","85,730,000","84,898,000","103,522,000","49,787,000","22,359,000","63,879,000","85,499,000","101,411,000","38,004,000","106,288,000"
			OtherShortTermInvestments,,,,,,"0","0","3,999,000","31,970,000","72,749,000","124,255,000","107,711,000","127,027,000","52,491,000","6,865,000","20,316,000","29,322,000","55,739,000","29,775,000","7,992,000","10,003,000","32,417,000","55,772,000","40,921,000","16,414,000","28,103,000","127,446,000","79,684,000","109,954,000","143,698,000","143,536,000","126,424,000","245,648,000","321,615,000","334,261,000","243,768,000","192,986,000","153,640,000","161,209,000","134,393,000","185,854,000","196,137,000","202,433,000","193,229,000","145,945,000","146,301,000","129,367,000","140,972,000","115,525,000","107,846,000","88,640,000","114,585,000","105,958,000","108,325,000","89,871,000","144,737,000","176,384,000","40,383,000","58,678,000","105,107,000","107,482,000","128,692,000","137,525,000","157,543,000","155,073,000","112,138,000","149,964,000","138,499,000","146,333,000","155,730,000","136,334,000","81,722,000"
		Receivables,"93,515,000","110,711,000","101,271,000","104,262,000","88,974,000","93,931,000","92,150,000","82,402,000","82,134,000","79,427,000","69,211,000","67,563,000","58,639,000","83,286,000","65,136,000","70,542,000","55,835,000","70,540,000","51,878,000","61,796,000","43,727,000","46,847,000","36,621,000","35,817,000","27,539,000","26,228,000","16,947,000","13,997,000","10,239,000","10,550,000","4,012,000","3,473,000","868,000","3,380,000","3,079,000","2,373,000","2,217,000","1,164,000","171,000","194,000","263,000","323,000","148,000","232,000","702,000","725,000","716,000","467,000","464,000","418,000","368,000","475,000","448,000","553,000","542,000","10,533,000","750,000","539,000","535,000","593,000","246,000","1,726,000","272,000","417,000","4,032,000","990,000","953,000","6,287,000","1,548,000","2,124,000","1,527,000","108,000"
			AccountsReceivable,"93,515,000","110,711,000","101,271,000","104,262,000","88,974,000","93,931,000","92,150,000","82,402,000","82,134,000","79,427,000","69,211,000","67,563,000","58,639,000","83,286,000","65,136,000","70,542,000","55,835,000","70,540,000","51,878,000","61,796,000","43,727,000","46,847,000","36,621,000","35,817,000","27,539,000","26,228,000","16,947,000","13,997,000","10,239,000","10,550,000","4,012,000","3,473,000","868,000","3,380,000","2,939,000","2,233,000","2,217,000","1,064,000","71,000","94,000","63,000","223,000","63,000","32,000","332,000","194,000","184,000","33,000","16,000","274,000","144,000","248,000","269,000","287,000","231,000","10,030,000","167,000","316,000","98,000","228,000","229,000","608,000","272,000","417,000","4,032,000","990,000","953,000","6,287,000","1,548,000","2,124,000","1,527,000","108,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,550,000","4,012,000","3,473,000","1,077,000","3,469,000",,"2,233,000","2,217,000","1,064,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"-209,000","-89,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,000","140,000","0","100,000",,,,,,,,,,,,,,,,"266,000","311,000","503,000","583,000","223,000","437,000","365,000","17,000","1,118,000",,,,,,,,,,
