name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
OperatingCashFlow,"-557,123","-557,123","0","0","0","0","0","0","0"
	CashFlowFromContinuingOperatingActivities,"-557,123","-557,123","0","0","0","0","0","0","0"
		NetIncomeFromContinuingOperations,"-24,831,319","-10,096,418","-17,398,779","862,906","1,800,972","-3,173,250","3","-938","-359"
		OperatingGainsLosses,"21,330,461","9,447,625","15,621,541","-1,529,357","-2,209,348","2,988,177",,,
			GainLossOnInvestmentSecurities,"21,330,461","9,447,625","15,621,541","-1,529,357","-2,209,348","2,988,177",,,
		StockBasedCompensation,"175,610","14,635",,,,,,,
		OtherNonCashItems,"747,225","436,080","30,712","33,727","246,706","21,683",,,
		ChangeInWorkingCapital,"2,020,900","-359,045","1,585,551","632,724","161,670","163,390","-3","938","359"
			ChangeInPayablesAndAccruedExpense,"1,414,835","-494,437","1,449,083","298,519","161,670","-17,415","-3","938","359"
				ChangeInPayable,"-92,284","-707,238","611,668","-139,245","142,531","36,364",,,
					ChangeInTaxPayable,"13,521","-150,115","54,545","54,546","54,545","36,364",,"0","0"
						ChangeInIncomeTaxPayable,"13,521","-150,115","54,545","54,546","54,545","36,364",,"0","0"
				ChangeInAccruedExpense,"1,507,119","212,801","837,415","437,764","19,139","-53,779",,"938","359"
			ChangeInOtherCurrentAssets,"606,065","135,392","136,468",,,,,,
			ChangeInOtherWorkingCapital,,,"0","0","0","180,805",,,
InvestingCashFlow,"25,565","25,565","0","0","0","-300,000,000",,"0","0"
	CashFlowFromContinuingInvestingActivities,"25,565","25,565","0","0","0","-300,000,000",,"0","0"
		NetOtherInvestingChanges,"25,565","25,565","0","0","0","-300,000,000",,,
FinancingCashFlow,"531,558","531,558","0","-34,826","34,826","300,000,000","0","0","25,000"
	CashFlowFromContinuingFinancingActivities,"531,558","531,558","0","-34,826","34,826","300,000,000","0","0","25,000"
		NetIssuancePaymentsOfDebt,"1,335,896","1,034,537","38,192","204,204","58,963","647,795",,"0","0"
			NetLongTermDebtIssuance,"1,335,896","1,034,537","38,192","204,204","58,963","647,795",,"0","0"
				LongTermDebtIssuance,"1,335,896","1,034,537","38,192","204,204","58,963","647,795",,"0","0"
		NetCommonStockIssuance,"0","0","0","0","0","307,000,000","0","0","25,000"
			CommonStockIssuance,"0","0","0","0","0","307,000,000","0","0","25,000"
		NetOtherFinancingCharges,"-804,338","-502,979","-38,192","-239,030","-24,137","-7,647,795",,,
EndCashPosition,,"25,000","25,000","25,000","59,826","25,000","25,000","25,000","25,000"
	ChangesInCash,,,,,,,"0","0","25,000"
	BeginningCashPosition,"25,000","25,000","25,000","59,826","25,000","25,000","25,000","25,000","0"
IssuanceOfCapitalStock,"0","0","0","0","0","307,000,000","0","0","25,000"
IssuanceOfDebt,"1,335,896","1,034,537","38,192","204,204","58,963","647,795",,"0","0"
FreeCashFlow,"-557,123","-557,123","0","0","0","0","0","0","0"
