name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"513,938,115","1,198,402,541","632,136,258","874,125,920"
EnterpriseValue,"496,362,115","1,192,298,541","590,488,258","875,234,979"
PsRatio,"20.202","27.376","32.052","60.737"
PbRatio,"5.716","12.066","6.615","10.797"
EnterprisesValueRevenueRatio,"20.169","200.893","121.6","82.398"
EnterprisesValueEBITDARatio,"-7.107","-19.68","-901.509","17.05"
