name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014
OperatingCashFlow,"47,841,000","-31,717,000","59,223,000","6,246,000","14,089,000","12,423,000","79,365,000","-15,812,000","20,689,000","-33,491,000","54,320,000","-39,579,000","5,066,000","-13,111,000","54,597,000","-10,917,000","-1,598,000","-10,987,000","64,825,000","-22,789,000","-8,624,000","-3,544,000","47,036,000","-27,855,000","4,901,000","-3,829,000","31,479,000","-16,217,073","3,722,073","-4,770,000","37,292,632","-11,188,632"
	CashFlowFromContinuingOperatingActivities,"47,841,000","-31,717,000","59,223,000","6,246,000","14,089,000","12,423,000","79,365,000","-15,812,000","20,689,000","-33,491,000","54,320,000","-39,579,000","5,066,000","-13,111,000","54,597,000","-10,917,000","-1,598,000","-10,987,000","64,825,000","-22,789,000","-8,624,000","-3,544,000","47,036,000","-27,855,000","4,901,000","-3,829,000","31,479,000","-16,217,073","3,722,073","-4,770,000","37,292,632","-11,188,632"
		NetIncomeFromContinuingOperations,"27,729,000","-1,323,000","17,341,000","2,764,000","8,947,000","498,000","21,762,000","899,000","5,898,000","-15,179,000","24,208,000","90,000","1,846,000","-7,645,000","20,472,000","-3,076,000","6,452,000","-683,000","19,605,000","-746,000","4,353,000","415,000","14,019,000","514,000","3,684,000","3,312,000","17,638,000","1,576,085","5,720,915","2,751,000","14,233,659","3,018,027"
		OperatingGainsLosses,"373,000","26,000","-6,000","337,000","16,000","51,000","20,000","-17,000",,,,,,,,,,,,,,,"0",,,,,,,,"75","-75"
			GainLossOnSaleOfPPE,"373,000","26,000","-6,000","337,000","16,000","51,000","20,000","-17,000",,,,,,,,,,,,,,,"0",,,,,,,,"75","-75"
		DepreciationAmortizationDepletion,"29,471,000","7,520,000","7,403,000","7,306,000","7,242,000","7,274,000","7,311,000","7,917,000","6,603,000","6,689,000","6,149,000","6,529,000","5,013,000","4,392,000","4,407,000","3,118,000","2,760,000","2,309,000","2,226,000","1,824,000","1,728,000","1,552,000","1,483,000","1,264,000","1,082,000","869,000","839,000","824,258","619,742","554,000","533,683","463,628"
			DepreciationAndAmortization,"29,471,000","7,520,000","7,403,000","7,306,000","7,242,000","7,274,000","7,311,000","7,917,000","6,603,000","6,689,000","6,149,000","6,529,000","5,013,000","4,392,000","4,407,000","3,118,000","2,760,000","2,309,000","2,226,000","1,824,000","1,728,000","1,552,000","1,483,000","1,264,000","1,082,000","869,000","839,000","824,258","619,742","554,000","533,683","463,628"
		DeferredTax,"-5,430,000","37,000","-5,226,000","55,000","-296,000","-16,000","-3,718,000","163,000","3,321,000","-21,000","-237,000","-220,000","-392,000","-302,000","8,149,000","173,000","-363,000","40,000","593,000","358,000","-396,000","-22,000","1,385,000","379,000","-204,000","-24,000",,,,,,
			DeferredIncomeTax,"-5,430,000","37,000","-5,226,000","55,000","-296,000","-16,000","-3,718,000","163,000","3,321,000","-21,000","-237,000","-220,000","-392,000","-302,000","8,149,000","173,000","-363,000","40,000","593,000","358,000","-396,000","-22,000","1,385,000","379,000","-204,000","-24,000",,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,"449,000",,,,,,,,,,,,,,,"21,193"
