name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
TotalAssets,"15,627,976,000","14,450,031,000","14,234,395,000","14,314,316,000","13,944,449,000","14,149,267,000","13,682,660,000","14,367,553,000","13,566,336,000","13,816,816,000","13,577,167,000","13,720,982,000","13,689,363,000","11,852,247,000","11,805,969,000","11,812,534,000","11,998,149,000","10,972,402,000","10,260,006,000","9,814,693,000","9,672,134,000","9,486,800,000","9,904,916,000","9,741,054,000","6,422,309,000","6,350,587,000","6,669,822,000","6,422,577,000","6,371,454,000","6,570,342,000","6,636,339,000","6,735,124,000","6,706,617,000","6,653,005,000","6,380,779,000","6,334,819,000","6,298,180,000","6,358,339,000","6,327,575,000","6,087,212,000","6,086,622,000","6,041,258,000","6,391,443,000","6,410,699,000","6,470,102,000","6,395,799,000","6,350,918,000","6,647,096,000","6,738,679,000","6,846,834,000","6,706,225,000","6,472,499,000","6,244,564,000","6,356,854,000","6,637,694,000","6,508,610,000","6,326,579,000","6,307,921,000","5,903,183,000","5,713,796,000","5,269,731,000","5,209,521,000","5,058,947,000","4,956,912,000","4,797,357,000","4,766,140,000","4,552,490,000","4,540,455,000","4,507,930,000","4,442,387,000","4,206,228,000","4,066,887,000","4,008,889,000","3,892,099,000","3,739,541,000","3,476,215,000","3,268,870,000","3,230,655,000","3,032,242,000","2,931,334,000","2,891,548,000","2,859,906,000","2,853,887,000","2,823,428,000","2,738,054,000","2,659,096,000","2,619,168,000","2,534,017,000","2,469,619,000","1,317,200,000","751,100,000","733,800,000","729,000,000","666,500,000","654,600,000","582,500,000","452,600,000","394,700,000","365,100,000","342,200,000"
	CurrentAssets,"1,527,695,000","1,441,267,000","1,269,053,000","1,390,608,000","1,174,491,000","1,269,787,000","1,134,025,000","1,897,373,000","1,199,056,000","1,236,339,000","1,203,893,000","1,215,103,000","1,209,850,000","1,208,114,000","1,215,975,000","1,244,334,000","1,524,873,000","1,950,315,000","1,328,224,000","1,205,876,000","1,198,637,000","1,112,107,000","1,467,341,000","1,289,370,000","831,896,000","857,912,000","1,228,298,000","874,727,000","887,473,000","917,719,000","976,386,000","962,868,000","987,629,000","933,607,000","942,478,000","1,045,982,000","1,001,136,000","1,024,092,000","1,065,984,000","891,154,000","931,999,000","914,450,000","1,259,943,000","1,069,646,000","1,018,602,000","1,055,178,000","994,610,000","1,125,234,000","1,090,323,000","1,211,425,000","1,197,667,000","1,112,613,000","973,938,000","976,392,000","1,082,300,000","955,149,000","860,257,000","822,396,000","751,397,000","712,962,000","667,592,000","679,721,000","619,919,000","589,596,000","563,093,000","554,168,000","545,852,000","511,298,000","512,324,000","501,154,000","479,628,000","461,387,000","429,712,000","471,583,000","396,118,000","486,729,000","339,251,000","367,040,000","321,162,000","327,189,000","311,988,000","309,317,000","355,129,000","320,838,000","276,778,000","236,668,000","296,798,000","218,400,000","214,832,000","143,700,000","66,800,000","60,200,000","62,600,000","52,000,000","52,600,000","45,600,000","38,400,000","32,200,000","31,700,000","27,500,000"
		CashCashEquivalentsAndShortTermInvestments,"195,660,000","255,828,000","161,439,000","315,928,000","138,944,000","205,063,000","151,972,000","907,180,000","152,684,000","193,555,000","186,778,000","161,996,000","161,475,000","165,485,000","197,676,000","188,192,000","442,491,000","925,699,000","337,886,000","291,019,000","295,628,000","236,484,000","458,128,000","236,989,000","117,945,000","128,381,000","492,899,000","117,098,000","119,605,000","125,933,000","183,988,000","145,343,000","169,906,000","120,526,000","172,031,000","258,866,000","229,999,000","243,415,000","334,583,000","170,230,000","178,293,000","179,845,000","480,879,000","271,424,000","189,817,000","258,693,000","184,173,000","340,479,000","325,422,000","446,656,000","449,263,000","316,056,000","271,831,000","278,370,000","318,244,000","203,197,000","107,424,000","125,607,000","90,751,000","94,964,000","61,481,000","45,369,000","45,389,000","40,952,000","42,552,000","53,413,000","43,990,000","29,517,000","28,776,000","31,942,000","44,428,000","40,006,000","30,978,000","74,683,000","23,544,000","177,863,000","13,581,000","56,292,000","27,597,000","26,055,000","11,419,000","21,359,000","60,138,000","36,837,000","9,903,000","6,200,000","74,587,000","8,347,000","10,104,000","3,800,000","2,000,000","2,300,000","5,200,000","2,300,000","4,400,000","2,500,000","2,500,000","1,800,000","2,000,000","1,200,000"
			CashAndCashEquivalents,"195,660,000","255,828,000","161,439,000","315,928,000","138,944,000","205,063,000","151,972,000","907,180,000","152,684,000","193,555,000","186,778,000","161,996,000","161,475,000","165,485,000","197,676,000","188,192,000","442,491,000","925,699,000","337,886,000","291,019,000","295,628,000","236,484,000","458,128,000","236,989,000","117,945,000","128,381,000","492,899,000","117,098,000","119,605,000","125,933,000","183,988,000","145,343,000","169,906,000","120,526,000","172,031,000","258,866,000","229,999,000","243,415,000","334,583,000","170,230,000","178,293,000","179,845,000","480,879,000","271,424,000","189,817,000","258,693,000","184,173,000","340,479,000","325,422,000","446,656,000","449,263,000","316,056,000","271,831,000","278,370,000","318,244,000","203,197,000","107,424,000","125,607,000","90,751,000","94,964,000","61,481,000","45,369,000","45,389,000","40,952,000","42,552,000","53,413,000","43,990,000","29,517,000","28,776,000","31,942,000","44,428,000","40,006,000","30,978,000","74,683,000","23,544,000","177,863,000","13,581,000","56,292,000","27,597,000","26,055,000","11,419,000","21,359,000","60,138,000","36,837,000","9,903,000","6,200,000","74,587,000","8,347,000","10,104,000","3,800,000","2,000,000","2,300,000","5,200,000","2,300,000","4,400,000","2,500,000","2,500,000","1,800,000","2,000,000","1,200,000"
		Receivables,"1,063,723,000","961,419,000","884,348,000","852,449,000","814,983,000","859,344,000","791,859,000","805,901,000","831,507,000","850,701,000","821,926,000","852,330,000","837,521,000","846,889,000","847,452,000","867,041,000","859,106,000","835,742,000","784,884,000","730,366,000","721,030,000","714,060,000","700,238,000","710,526,000","574,717,000","597,574,000","573,889,000","596,252,000","590,026,000","645,824,000","618,996,000","636,978,000","626,116,000","648,712,000","614,649,000","581,481,000","571,402,000","640,512,000","576,500,000","572,377,000","558,357,000","543,467,000","548,422,000","577,616,000","610,149,000","575,827,000","590,230,000","581,176,000","582,599,000","585,376,000","596,427,000","589,156,000","562,656,000","552,830,000","610,472,000","603,419,000","586,458,000","564,049,000","560,085,000","522,448,000","485,687,000","473,366,000","457,996,000","440,285,000","421,936,000","408,564,000","394,599,000","375,839,000","376,866,000","354,434,000","343,941,000","322,444,000","305,001,000","279,800,000","276,391,000","239,987,000","248,973,000","225,416,000","228,605,000","232,380,000","228,399,000","219,050,000","223,760,000","215,531,000","208,057,000","176,442,000","177,888,000","169,259,000","160,860,000","104,100,000","56,400,000","50,100,000","49,800,000","43,100,000","42,400,000","37,700,000","31,300,000","25,200,000","27,500,000","24,600,000"
			AccountsReceivable,"1,063,723,000","961,419,000","884,348,000","852,449,000","814,983,000","859,344,000","791,859,000","805,901,000","831,507,000","850,701,000","821,926,000","852,330,000","837,521,000","846,889,000","847,452,000","867,041,000","859,106,000","835,742,000","784,884,000","730,366,000","721,030,000","691,249,000","700,238,000","710,526,000","574,717,000","564,401,000","573,889,000","596,252,000","590,026,000","604,265,000","618,996,000","636,978,000","626,116,000","616,797,000","614,649,000","581,481,000","571,402,000","572,200,000","576,500,000","572,377,000","558,357,000","543,467,000","548,422,000","577,616,000","610,149,000","575,827,000","590,230,000","581,176,000","582,599,000","585,376,000","596,427,000","589,156,000","562,656,000","552,830,000","610,472,000","603,419,000","586,458,000","564,049,000","560,085,000","522,448,000","485,687,000","473,366,000","457,996,000","440,285,000","421,936,000","408,564,000","394,599,000","375,839,000","376,866,000","354,434,000","343,941,000","322,444,000","305,001,000","279,800,000","276,391,000","239,987,000","248,973,000","225,416,000","228,605,000","232,380,000","228,399,000","219,050,000","223,760,000","215,531,000","208,057,000",,,,,,"56,400,000",,,,,,,,,
				GrossAccountsReceivable,"1,124,890,000","1,023,428,000","944,562,000","909,426,000","875,726,000","916,325,000","845,647,000","859,295,000","875,528,000","893,557,000","866,799,000","893,635,000","879,595,000","890,473,000","898,723,000","915,768,000","908,618,000","882,390,000","827,056,000","769,273,000","761,720,000","735,539,000","741,874,000","751,898,000","603,400,000","595,848,000","608,427,000","632,104,000","626,564,000","636,406,000","653,349,000","671,469,000","661,660,000","651,442,000","641,440,000","608,245,000","598,341,000","597,409,000","601,767,000","595,654,000","581,634,000",,"571,434,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-61,167,000","-62,009,000","-60,214,000","-56,977,000","-60,743,000","-56,981,000","-53,788,000","-53,394,000","-44,021,000","-42,856,000","-44,873,000","-41,305,000","-42,074,000","-43,584,000","-51,271,000","-48,727,000","-49,512,000","-46,648,000","-42,172,000","-38,907,000","-40,690,000","-44,290,000","-41,636,000","-41,372,000","-28,683,000","-31,447,000","-34,538,000","-35,852,000","-36,538,000","-32,141,000","-34,353,000","-34,491,000","-35,544,000","-34,645,000","-26,791,000","-26,764,000","-26,939,000","-25,209,000","-25,267,000","-23,277,000","-23,277,000",,"-23,012,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,"22,811,000",,,,"33,173,000",,,,"41,559,000",,,,"31,915,000",,,,"68,312,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000","1,100,000","1,200,000","1,100,000","1,300,000","1,400,000","900,000","800,000","1,300,000","900,000"
