name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
TotalAssets,"4,834,639,000","4,768,078,000","4,594,727,000","4,564,001,000","4,526,915,000","6,499,362,000","7,105,145,000","6,833,228,000","6,717,995,000","6,879,142,000","6,728,125,000","6,790,418,000","6,785,517,000","6,172,504,000","6,529,584,000","6,503,147,000","6,584,729,000","6,424,502,000","6,342,586,000","6,228,022,000","6,065,790,000","6,024,726,000","6,452,978,000","6,684,499,000","6,696,359,000","4,279,208,000","4,145,239,000","3,926,385,000","3,627,145,000","2,223,590,000","2,140,468,000","1,592,552,000","1,282,945,000","1,224,659,000","1,162,986,000","1,114,172,000","1,085,177,000","983,413,000","603,758,000","586,453,000","453,252,000","412,996,000","269,609,000"
	CurrentAssets,"530,099,000","495,031,000","567,159,000","575,626,000","528,225,000","2,523,395,000","756,410,000","610,941,000","502,952,000","542,211,000","536,913,000","471,494,000","452,514,000","450,417,000","490,733,000","489,222,000","503,893,000","471,550,000","463,824,000","459,512,000","424,013,000","427,927,000","392,947,000","392,367,000","393,265,000","294,736,000","378,271,000","325,905,000","325,378,000","274,143,000","229,840,000","449,596,000","157,037,000","145,126,000","142,880,000","127,089,000","212,292,000","140,981,000","87,031,000","184,132,000","62,222,000","112,605,000","36,357,000"
		CashCashEquivalentsAndShortTermInvestments,"140,367,000","133,813,000","196,313,000","185,546,000","178,915,000","378,697,000","338,702,000","211,939,000","81,004,000","124,192,000","92,900,000","43,541,000","43,684,000","50,510,000","48,928,000","79,463,000","57,808,000","67,290,000","75,661,000","79,434,000","43,087,000","57,063,000","27,751,000","30,716,000","36,582,000","11,215,000","50,762,000","34,572,000","38,032,000","94,040,000","42,179,000","277,744,000","7,243,000","4,569,000","4,034,000","7,399,000","99,775,000","49,399,000","11,719,000","120,176,000","840,000","61,118,000","1,254,000"
			CashAndCashEquivalents,"140,367,000","133,813,000","196,313,000","185,546,000","178,915,000","378,697,000","338,702,000","211,939,000","81,004,000","124,192,000","92,900,000","43,541,000","43,684,000","50,510,000","48,928,000","79,463,000","57,808,000","67,290,000","75,661,000","79,434,000","43,087,000","57,063,000","27,751,000","30,716,000","36,582,000","11,215,000","50,762,000","34,572,000","38,032,000","94,040,000","42,179,000","277,744,000","7,243,000","4,569,000","4,034,000","7,399,000","99,775,000","49,399,000","11,719,000","120,176,000","840,000","61,118,000","1,254,000"
		Receivables,"336,630,000","304,448,000","305,435,000","338,841,000","299,179,000","297,083,000","371,060,000","362,474,000","383,261,000","378,204,000","399,120,000","389,864,000","370,016,000","352,061,000","389,237,000","364,620,000","385,603,000","360,024,000","342,610,000","337,253,000","335,509,000","326,488,000","317,498,000","285,132,000","311,723,000","245,974,000","214,883,000","182,315,000","172,938,000","137,990,000","130,253,000","110,904,000","104,585,000","95,885,000","93,311,000","85,872,000","78,780,000","63,870,000","54,777,000","45,658,000","43,802,000","35,127,000","25,469,000"
			AccountsReceivable,"299,022,000","281,332,000","282,161,000","286,522,000","276,041,000","273,551,000","333,231,000","325,507,000","339,505,000","339,775,000","350,225,000","346,489,000","331,851,000","318,087,000","345,659,000","329,256,000","325,148,000","296,925,000","295,756,000","288,106,000","276,089,000","263,327,000","277,568,000","285,132,000","276,880,000","216,626,000","214,883,000","182,315,000","172,938,000","118,378,000","130,253,000","110,904,000","104,585,000","95,885,000","93,311,000","85,872,000","78,780,000","63,870,000","54,777,000","45,658,000","43,802,000","35,127,000","25,469,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,"365,825,000",,,,"336,728,000","337,542,000","329,098,000","317,210,000","302,243,000","315,293,000","321,378,000","309,445,000","255,542,000","242,261,000","208,548,000","197,034,000","140,827,000","151,983,000","130,798,000","122,274,000",,"106,419,000","97,501,000","89,778,000","71,354,000","61,358,000","50,781,000","47,377,000","37,551,000","27,258,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,"-47,738,000",,,,"-39,803,000","-41,786,000","-40,992,000","-41,121,000","-38,916,000","-37,725,000","-36,246,000","-32,565,000","-38,916,000","-27,378,000","-26,233,000","-24,096,000","-22,449,000","-21,730,000","-19,894,000","-17,689,000",,"-13,108,000","-11,629,000","-10,998,000","-7,484,000","-6,581,000","-5,123,000","-3,575,000","-2,424,000","-1,789,000"
			LoansReceivable,,,,,,,,,,,,,,,"2,049,000","1,688,000","10,000,000","17,588,000","6,472,000","6,472,000","6,472,000","6,472,000","5,290,000",,"5,290,000","5,290,000",,,,"3,500,000",,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,"11,875,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"10,251,000","1,523,000","7,952,000","36,700,000","5,255,000","897,000","12,686,000","11,437,000","9,358,000","5,579,000","5,001,000","9,727,000","5,119,000","2,380,000","11,326,000","3,885,000","17,588,000","15,056,000","9,472,000","11,983,000","7,182,000","11,714,000","9,790,000","4,873,000","6,676,000","6,540,000",,,,"3,399,000",,,,,,,,,,,,,
			OtherReceivables,"27,357,000","21,593,000","15,322,000","15,619,000","17,883,000","22,635,000","25,143,000","25,530,000","34,398,000","32,850,000","32,019,000","33,648,000","33,046,000","31,594,000","32,252,000","31,479,000","42,867,000","48,043,000","37,382,000","37,164,000","52,238,000","51,447,000","30,140,000","27,746,000","28,167,000","22,808,000","0","0","0","16,213,000",,"0","0","0","0","0","0","0","0","0","0",,"0"
		Inventory,"4,768,000","4,786,000","4,322,000","4,666,000","4,579,000","4,851,000","5,092,000","4,712,000","4,882,000","4,759,000","4,337,000","6,076,000","6,115,000","5,055,000","5,021,000","4,733,000","4,772,000","4,787,000","4,698,000","4,917,000","4,723,000","4,633,000","4,758,000",,"4,779,000","4,681,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,"30,166,000","34,292,000","40,664,000","28,456,000","27,227,000","31,480,000","39,785,000","30,010,000","32,161,000","33,708,000","38,495,000","29,963,000","30,807,000","40,802,000","45,682,000","38,379,000","53,335,000","37,320,000","38,874,000","36,001,000","38,423,000","37,455,000","40,068,000","27,970,000","36,897,000","29,317,000",,,,"16,546,000",,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","24,405,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","7,500,000",,"7,500,000","7,500,000",,,,"4,800,000",,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,291,000","38,693,000","36,812,000","20,155,000","19,782,000","12,756,000","17,029,000","15,703,000","13,019,000","13,830,000","12,573,000","11,380,000","5,230,000","5,416,000","5,683,000","6,239,000",
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,291,000","38,693,000","36,812,000","20,155,000","19,782,000","12,756,000","17,029,000","15,703,000","13,019,000","13,830,000","12,573,000","11,380,000","5,230,000","5,416,000","5,683,000","6,239,000",
		AssetsHeldForSaleCurrent,"14,758,000","15,808,000","17,566,000","15,842,000","16,991,000","1,809,815,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"3,410,000","1,884,000","2,859,000","2,275,000","1,334,000","1,469,000","1,771,000","1,806,000","1,644,000","1,348,000","2,061,000","2,050,000","1,892,000","1,989,000","1,865,000","2,027,000","2,375,000","2,129,000","1,981,000","1,907,000","2,271,000","2,288,000","2,872,000","76,519,000","3,284,000","3,549,000","75,335,000","70,325,000","77,596,000","5,412,000","37,626,000","48,192,000","28,180,000","28,969,000","32,516,000","19,988,000","21,164,000","16,332,000","15,305,000","12,882,000","11,897,000","10,121,000","9,634,000"
	TotalNonCurrentAssets,"4,304,540,000","4,273,047,000","4,027,568,000","3,988,375,000","3,998,690,000","3,975,967,000","6,348,735,000","6,222,287,000","6,215,043,000","6,336,931,000","6,191,212,000","6,318,924,000","6,333,003,000","5,722,087,000","6,038,851,000","6,013,925,000","6,080,836,000","5,952,952,000","5,878,762,000","5,768,510,000","5,641,777,000","5,596,799,000","6,060,031,000","6,292,132,000","6,303,094,000","3,984,472,000","3,766,968,000","3,600,480,000","3,301,767,000","1,949,447,000","1,910,628,000","1,142,956,000","1,125,908,000","1,079,533,000","1,020,106,000","987,083,000","872,885,000","842,432,000","516,727,000","402,321,000","391,030,000","300,391,000","233,252,000"
		NetPPE,"1,935,055,000","1,904,920,000","1,768,187,000","1,752,965,000","1,750,937,000","1,719,833,000","3,718,316,000","3,636,046,000","3,627,767,000","3,725,871,000","3,611,300,000","3,655,627,000","3,679,839,000","3,107,766,000","3,126,642,000","3,103,331,000","3,151,529,000","3,048,130,000","2,966,215,000","2,866,086,000","2,749,538,000","2,703,695,000","2,786,646,000","3,274,540,000","3,337,765,000","1,709,053,000","1,624,166,000","1,455,390,000","1,229,677,000","1,069,700,000","1,026,378,000","419,386,000","403,366,000","370,109,000","329,735,000","312,147,000","268,531,000","236,942,000","155,188,000","112,841,000","98,290,000","82,972,000","57,783,000"
			GrossPPE,"2,504,514,000","2,446,046,000","2,282,122,000","2,243,392,000","2,223,409,000","2,169,476,000","4,557,960,000","4,414,618,000","4,375,235,000","4,467,646,000","4,166,646,000","4,199,104,000","4,195,583,000","3,593,751,000","3,571,765,000","3,525,133,000","3,548,365,000","3,395,549,000","3,277,612,000","3,144,839,000","2,997,622,000","2,918,284,000","2,977,729,000","3,456,468,000","3,488,383,000","1,828,523,000","1,725,459,000","1,540,795,000","1,302,216,000","1,130,313,000","1,076,615,000","459,644,000","437,851,000","399,398,000","354,627,000","332,864,000","284,970,000","249,972,000","165,881,000","121,585,000","105,567,000","88,796,000","62,813,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"156,139,000","154,376,000","149,759,000","149,462,000","144,399,000","144,221,000","448,342,000","430,222,000","429,601,000","448,716,000","437,214,000","446,795,000","451,157,000","430,771,000","444,579,000","451,264,000","466,913,000","450,342,000","445,598,000","432,988,000","417,369,000","411,331,000","430,179,000","529,258,000","838,181,000","214,138,000","209,297,000","201,362,000","167,749,000","132,406,000","132,114,000","66,955,000","66,598,000","58,947,000","50,312,000","49,727,000","42,762,000","39,130,000","24,518,000","18,748,000","17,319,000","14,115,000","11,164,000"
				BuildingsAndImprovements,"1,694,282,000","1,683,560,000","1,640,951,000","1,629,115,000","1,502,862,000","1,490,149,000","2,896,202,000","2,747,858,000","2,738,302,000","2,746,111,000","2,555,105,000","2,591,815,000","2,565,195,000","2,423,594,000","2,443,980,000","2,440,139,000","2,475,543,000","2,370,918,000","2,273,128,000","2,189,441,000","2,097,801,000","2,031,819,000","2,081,246,000","2,418,108,000","2,118,535,000","1,277,800,000","1,229,551,000","1,102,767,000","936,929,000","858,055,000","829,078,000","306,219,000","284,168,000","259,523,000","227,205,000","220,568,000","198,769,000","171,769,000","112,384,000","79,008,000","65,555,000","53,514,000","40,691,000"
				MachineryFurnitureEquipment,"259,132,000","253,100,000","244,484,000","237,884,000","224,755,000","220,690,000","534,665,000","503,569,000","502,246,000","516,769,000","462,865,000","469,107,000","456,369,000","444,538,000","434,205,000","438,033,000","440,189,000","400,596,000","377,857,000","354,679,000","335,944,000","318,020,000","320,234,000","359,728,000","361,703,000","141,543,000","127,275,000","118,736,000","102,452,000","73,584,000","69,538,000","43,020,000","39,713,000","36,742,000","33,715,000","29,793,000","23,552,000","19,773,000","13,791,000","11,680,000","10,725,000","8,222,000","6,087,000"
				OtherProperties,"139,264,000","133,761,000","103,162,000","101,691,000","96,205,000","96,937,000","464,596,000","475,262,000","476,028,000","501,837,000","479,881,000","491,551,000","506,787,000","3,107,766,000","3,126,642,000","3,103,331,000","3,151,529,000","3,048,130,000","2,966,215,000","0","2,749,538,000","2,703,695,000","0","0","0","1,709,053,000","1,624,166,000","1,455,390,000","1,229,677,000","1,069,700,000",,"419,386,000","403,366,000","370,109,000","329,735,000","312,147,000","268,531,000","236,942,000","0","0","0",,"0"
				ConstructionInProgress,"255,697,000","221,249,000","143,766,000","125,240,000","255,188,000","217,479,000","214,155,000","257,707,000","229,058,000","254,213,000","231,581,000","199,836,000","216,075,000","294,848,000","249,001,000","195,697,000","165,720,000","173,693,000","181,029,000","167,731,000","146,508,000","157,114,000","146,070,000","149,374,000","169,964,000","195,042,000","159,336,000","117,930,000","95,086,000","66,268,000","45,885,000","43,450,000","47,372,000","44,186,000","43,395,000","32,776,000","19,887,000","19,300,000","15,188,000","12,149,000","11,968,000","12,945,000","4,871,000"
			AccumulatedDepreciation,"-569,459,000","-541,126,000","-513,935,000","-490,427,000","-472,472,000","-449,643,000","-839,644,000","-778,572,000","-747,468,000","-741,775,000","-555,346,000","-543,477,000","-515,744,000","-485,985,000","-445,123,000","-421,802,000","-396,836,000","-347,419,000","-311,397,000","-278,753,000","-248,084,000","-214,589,000","-191,083,000","-181,928,000","-150,618,000","-119,470,000","-101,293,000","-85,405,000","-72,539,000","-60,613,000","-50,237,000","-40,258,000","-34,485,000","-29,289,000","-24,892,000","-20,717,000","-16,439,000","-13,030,000","-10,693,000","-8,744,000","-7,277,000","-5,824,000","-5,030,000"
