name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"5,980,857,000","5,833,249,000","5,216,022,000","4,806,399,000","4,732,567,000","4,692,646,000","4,265,757,000","4,279,436,000","4,537,305,000","4,164,645,000","3,745,289,000","3,462,157,000","3,239,474,000","3,102,532,000","2,989,275,000","2,831,127,000","2,695,932,000","2,680,667,000","2,601,472,000","2,506,683,000","2,251,205,000","2,186,156,000","2,048,544,000","1,902,561,000","1,897,946,000","1,906,236,000","1,824,207,000","1,749,742,000","1,692,349,000","1,629,317,000","1,500,990,000","1,350,153,000","1,312,940,000","1,270,281,000","1,213,152,000","1,149,046,000","1,049,003,000","1,005,124,000","803,911,000","709,803,000","657,205,000","580,946,000","531,619,000","208,895,000","509,041,000","211,910,000","215,106,000","217,572,000","220,116,000"
	CurrentAssets,"200,633,000","177,749,000","197,536,000","156,153,000","147,114,000","142,050,000","190,678,000","219,071,000","441,996,000","150,706,000","106,440,000","92,385,000","99,739,000","101,680,000","85,547,000","83,500,000","95,001,000","107,011,000","78,572,000","71,326,000","70,188,000","67,849,000","76,495,000","71,631,000","76,189,000","66,880,000","68,029,000","63,805,000","63,993,000","70,278,000","49,135,000","41,638,000","64,718,000","39,074,000","55,474,000","51,966,000","42,029,000","42,594,000","29,258,000","23,303,000","33,881,000","25,924,000","25,127,000","8,317,000","11,712,000","8,414,000","8,851,000","8,591,000","8,948,000"
		CashCashEquivalentsAndShortTermInvestments,"34,830,000","18,981,000","42,001,000","14,588,000","18,579,000","15,666,000","70,137,000","102,097,000","324,877,000","9,041,000","6,540,000","5,092,000","7,857,000","7,968,000","6,024,000","11,932,000","10,455,000","24,562,000","11,040,000","7,676,000","7,082,000","12,192,000","12,273,000","8,005,000","15,469,000","12,011,000","12,496,000","11,530,000","11,688,000","23,878,000","5,290,000","6,031,000","28,726,000","6,690,000","23,909,000","19,763,000","11,980,000","19,006,000","10,684,000","5,113,000","18,462,000","11,988,000","13,307,000","954,000","997,000","1,657,000","2,389,000","2,073,000","2,772,000"
			CashAndCashEquivalents,"34,830,000","18,981,000","42,001,000","14,588,000","18,579,000","15,666,000","70,137,000","102,097,000","324,877,000","9,041,000","6,540,000","5,092,000","7,857,000","7,968,000","6,024,000","11,932,000","10,455,000","24,562,000","11,040,000","7,676,000","7,082,000","12,192,000","12,273,000","8,005,000","15,469,000","12,011,000","12,496,000","11,530,000","11,688,000","23,878,000","5,290,000","6,031,000","28,726,000","6,690,000","23,909,000","19,763,000","11,980,000","19,006,000","10,684,000","5,113,000","18,462,000","11,988,000","13,307,000","954,000","997,000","1,657,000","2,389,000","2,073,000","2,772,000"
		Receivables,"98,320,000","93,600,000","88,023,000","83,262,000","79,956,000","77,796,000","66,761,000","65,122,000","62,144,000","57,592,000","50,460,000","45,871,000","44,928,000","42,236,000","39,170,000","35,236,000","34,013,000","33,602,000","30,591,000","26,695,000","26,555,000","25,223,000","23,302,000","21,702,000","22,425,000","21,478,000","20,475,000","19,506,000","18,675,000","16,963,000","15,521,000","14,543,000","14,165,000","13,975,000","13,091,000","11,205,000","10,673,000","10,157,000","7,100,000","6,210,000","5,710,000","4,808,000","4,229,000","3,678,000","4,618,000","3,926,000","3,684,000","3,646,000","3,608,000"
			AccountsReceivable,"98,320,000","93,600,000","88,023,000","83,262,000","79,956,000","77,796,000","66,761,000","65,122,000","62,144,000","57,592,000","50,460,000","45,871,000","44,928,000","42,236,000","39,170,000","35,236,000","34,013,000","33,602,000","30,591,000","26,695,000","26,555,000","25,223,000","23,302,000","21,702,000","22,425,000","21,478,000","20,475,000","19,407,000","18,554,000","16,833,000","15,371,000","14,387,000","13,978,000","13,790,000","12,911,000","10,949,000","10,373,000","9,351,000","7,100,000","6,210,000","5,710,000","4,808,000","4,229,000","3,678,000",,"3,926,000","3,684,000","3,618,000","3,580,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,000","121,000","130,000","150,000","156,000","187,000","185,000","180,000","256,000","300,000","806,000",,,,,,,,"0",,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,000","28,000"
		PrepaidAssets,"64,308,000","60,953,000","63,340,000","51,639,000","44,841,000","43,471,000","49,157,000","39,347,000","37,312,000","38,231,000","46,707,000","36,919,000","42,503,000","36,902,000","35,122,000","28,699,000","29,776,000","25,364,000","27,721,000","24,611,000","26,224,000","20,821,000","24,978,000","20,741,000","26,896,000","24,996,000","26,518,000","24,810,000","26,397,000","22,531,000","21,656,000","4,687,000","4,987,000","2,594,000","3,590,000","3,268,000","3,657,000","1,556,000","5,706,000","1,954,000","1,490,000","1,817,000","1,954,000","573,000","1,251,000","546,000","426,000","535,000","585,000"
		RestrictedCash,"3,175,000","4,215,000","4,172,000","3,927,000","3,738,000","4,673,000","4,623,000","12,505,000","16,506,000","2,823,000","2,733,000","4,503,000","4,451,000","14,574,000","5,231,000","6,124,000","7,259,000","3,567,000","3,547,000","8,783,000","8,720,000","9,613,000","9,325,000","14,566,000","8,403,000","8,395,000","8,540,000","7,959,000","7,233,000","6,906,000","6,668,000","6,525,000","6,813,000","6,806,000","6,810,000","9,274,000","7,540,000","5,497,000","5,768,000","10,026,000","8,219,000","7,311,000","5,637,000","3,112,000","4,846,000","2,285,000","2,352,000","2,337,000","1,983,000"
