name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,005,000",,,,,,,,,,,"1,410,000","457,000",,,,,,,,,,,,,"95,000","356,000","1,029,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,400,000","23,900,000","24,100,000","22,900,000","17,700,000","19,500,000","20,500,000","20,100,000","25,400,000","21,800,000","22,000,000","22,300,000","50,500,000","50,800,000","53,600,000","50,200,000","52,100,000","47,400,000","43,500,000","32,700,000","31,200,000","34,100,000","38,200,000","38,400,000","38,700,000","39,300,000","39,400,000","34,800,000","29,500,000","32,400,000","38,300,000","28,600,000","26,000,000","26,900,000","28,100,000","25,800,000","23,400,000"
		PrepaidAssets,"63,586,000","55,513,000","47,546,000","52,413,000","38,106,000","30,864,000","29,743,000","33,343,000","33,964,000","24,717,000","24,544,000","26,881,000","23,839,000","33,258,000","32,790,000","34,985,000","30,262,000","27,252,000","23,219,000","23,676,000","21,445,000","21,039,000","21,384,000","22,976,000","20,984,000","22,334,000","18,044,000","18,979,000","17,352,000","17,851,000","15,561,000","15,838,000","15,158,000","13,522,000","12,107,000","11,811,000","10,255,000","9,000,000","8,171,000","8,159,000","8,361,000","8,348,000","8,008,000","8,238,000","7,915,000","7,801,000","7,642,000","7,470,000","7,814,000","7,921,000","7,766,000","8,811,000","8,597,000","8,602,000","7,693,000","8,787,000","8,611,000","7,726,000","6,401,000","6,407,000","7,083,000","6,864,000","5,937,000","5,829,000","5,776,000","5,158,000","5,796,000","5,423,000","4,768,000","5,042,000","4,262,000","4,953,000","4,681,000","4,237,000","3,881,000","4,177,000","3,829,000","4,009,000","2,982,000","4,314,000","3,828,000","3,318,000","2,619,000","2,503,000","2,507,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","5,082,000","5,082,000","5,082,000","5,082,000","5,082,000","4,462,000","4,462,000","4,462,000","4,462,000","4,962,000","5,000,000","5,000,000","5,000,000","4,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,674,000","9,674,000","9,674,000","9,674,000","7,759,000","7,759,000","7,759,000","7,759,000","5,512,000","5,512,000","5,544,000","5,544,000","5,051,000","5,095,000","5,095,000","5,095,000","3,106,000","3,106,000","3,106,000",,"4,112,000","3,288,000","3,279,000","3,338,000","2,555,000","2,589,000","2,586,000","2,570,000","1,839,000","1,922,000","1,922,000","2,355,000","2,579,000","2,579,000","2,579,000","2,579,000","2,128,000","2,128,000","2,128,000","2,128,000","1,611,000","1,611,000","1,611,000","1,611,000","1,536,000","1,536,000","1,536,000","1,536,000","1,197,000","1,197,000","1,197,000","1,197,000","1,329,000","1,329,000","1,329,000","1,329,000","1,731,000","1,731,000","1,503,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,674,000","9,674,000","9,674,000","9,674,000","7,759,000","7,759,000","7,759,000","7,759,000","5,512,000","5,512,000","5,544,000","5,544,000","5,051,000","5,095,000","5,095,000","5,095,000","3,106,000","3,106,000","3,106,000",,"4,112,000","3,288,000","3,279,000","3,338,000","2,555,000","2,589,000","2,586,000","2,570,000","1,839,000","1,922,000","1,922,000","2,355,000","2,579,000","2,579,000","2,579,000","2,579,000","2,128,000","2,128,000","2,128,000","2,128,000","1,611,000","1,611,000","1,611,000","1,611,000","1,536,000","1,536,000","1,536,000","1,536,000","1,197,000","1,197,000","1,197,000","1,197,000","1,329,000","1,329,000","1,329,000","1,329,000","1,731,000","1,731,000","1,503,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"6,878,000","8,151,000","5,599,000","3,959,000","4,574,000","2,479,000","3,157,000","3,245,000","3,220,000","2,328,000","2,907,000","2,939,000","3,060,000","3,406,000","2,299,000","1,944,000","2,098,000","1,997,000","2,182,000","2,784,000","2,620,000","2,268,000","2,756,000","3,529,000","1,749,000","1,931,000","6,821,000","10,590,000","238,000","339,000","446,000","598,000","933,000","787,000","4,522,000","4,905,000","1,035,000","1,480,000","2,521,000","3,184,000","1,403,000","2,286,000","2,483,000","4,067,000","1,896,000","6,649,000","2,019,000","3,886,000","1,493,000","1,437,000","1,767,000","2,113,000","1,551,000","1,444,000","1,771,000","3,594,000","1,556,000","1,324,000","2,487,000","2,047,000","2,360,000","2,326,000","2,783,000","1,741,000","2,150,000","2,201,000",,,,,,,,,,,,,,,,,,"517,000","501,000","3,968,000","5,208,000","6,019,000","8,184,000","5,739,000","6,800,000","4,700,000","9,600,000","16,600,000","3,600,000","3,200,000","2,100,000","1,200,000","1,900,000","4,300,000","4,400,000","4,400,000","6,300,000","6,800,000","6,800,000","14,400,000","11,300,000","12,000,000","11,600,000","11,600,000","9,900,000","9,700,000","9,800,000","6,700,000","6,500,000","6,300,000","6,400,000","6,100,000","800,000","5,300,000","1,300,000","1,200,000","2,000,000","1,500,000","1,700,000","1,100,000","1,500,000","1,500,000","1,200,000","700,000","800,000"
	TotalNonCurrentAssets,"3,863,907,000","3,767,830,000","3,804,682,000","3,712,075,000","1,531,438,000","1,494,204,000","1,501,564,000","1,508,654,000","1,507,156,000","1,511,917,000","1,485,283,000","1,495,861,000","1,507,028,000","1,272,105,000","1,262,928,000","1,257,771,000","1,092,988,000","1,092,792,000","1,093,397,000","1,086,231,000","1,084,106,000","1,074,985,000","1,075,439,000","1,089,101,000","1,092,473,000","1,088,355,000","266,877,000","250,510,000","240,607,000","227,272,000","229,263,000","225,785,000","226,622,000","227,253,000","228,650,000","222,376,000","217,825,000","215,558,000","202,030,000","203,186,000","194,084,000","188,299,000","167,403,000","167,820,000","170,764,000","165,583,000","167,399,000","166,635,000","168,942,000","160,983,000","158,033,000","155,621,000","155,278,000","154,537,000","156,982,000","136,203,000","135,790,000","110,444,000","112,169,000","110,403,000","111,903,000","108,602,000","109,895,000","109,822,000","110,508,000","98,073,000","105,835,000","107,842,000","109,863,000","111,628,000","112,793,000","113,260,000","114,320,000","116,131,000","89,923,000","90,426,000","89,996,000","117,385,000","110,366,000","116,325,000","116,960,000","101,650,000","100,104,000","107,953,000","108,268,000","102,886,000","186,584,000","202,700,000","213,261,000","221,516,000","190,600,000","170,700,000","132,000,000","117,500,000","121,000,000","113,600,000","108,400,000","18,600,000","16,400,000","9,700,000","10,000,000","10,100,000","66,200,000","66,100,000","66,600,000","68,000,000","145,700,000","146,800,000","147,400,000","146,300,000","143,500,000","139,600,000","140,600,000","98,500,000","98,200,000","99,900,000","101,700,000","100,000,000","98,800,000","99,800,000","101,000,000","102,600,000","103,800,000","106,100,000","109,000,000","86,800,000","87,900,000","83,900,000","149,200,000","142,800,000","233,100,000"
		NetPPE,"219,877,000","220,913,000","217,194,000","205,942,000","188,487,000","186,738,000","186,154,000","191,626,000","193,452,000","190,853,000","190,122,000","190,499,000","184,684,000","155,177,000","156,498,000","154,464,000","154,254,000","152,315,000","149,142,000","147,956,000","142,109,000","124,268,000","120,963,000","115,886,000","114,291,000","101,112,000","68,092,000","67,908,000","67,301,000","65,910,000","66,694,000","67,160,000","66,222,000","64,844,000","63,145,000","55,378,000","48,170,000","45,381,000","43,017,000","42,500,000","40,721,000","40,915,000","40,780,000","40,511,000","41,386,000","34,851,000","35,321,000","35,695,000","36,190,000","35,750,000","31,961,000","28,454,000","27,874,000","26,522,000","24,773,000","13,220,000","10,030,000","9,826,000","9,556,000","8,747,000","8,506,000","7,390,000","7,233,000","6,948,000","6,193,000","5,759,000","5,841,000","6,147,000","6,486,000","6,624,000","6,697,000","6,375,000","6,238,000","6,505,000","6,226,000","6,418,000","6,595,000","6,819,000","6,934,000","6,986,000","7,039,000","6,967,000","7,016,000","6,625,000","6,285,000","6,175,000","13,250,000","21,141,000","21,580,000","21,789,000","17,500,000","16,200,000","14,700,000","14,100,000","18,200,000","17,500,000","16,900,000","5,600,000","5,500,000","7,700,000","8,100,000","8,100,000","11,000,000","10,100,000","9,500,000","9,700,000","56,200,000","56,700,000","56,100,000","54,400,000","50,600,000","49,400,000","49,600,000","46,100,000","46,100,000","47,300,000","47,800,000","45,400,000","44,700,000","45,200,000","46,300,000","47,300,000","49,000,000","50,700,000","52,400,000","50,100,000","50,300,000","46,500,000","46,100,000","44,900,000","45,500,000"
			GrossPPE,"219,877,000","362,295,000","217,194,000","205,942,000","188,487,000","324,648,000","186,154,000","191,626,000","193,452,000","303,436,000","190,122,000","190,499,000","184,684,000","244,524,000",,,,"224,013,000",,,,"180,853,000",,,,"144,324,000",,,,"105,153,000",,,,"96,469,000",,,,"73,517,000",,,,"66,055,000",,,,"61,669,000",,,,"57,747,000",,,,"44,519,000","42,631,000","31,078,000","27,888,000","27,684,000","24,758,000","23,949,000","23,708,000","22,592,000","20,423,000","20,138,000","19,383,000","18,949,000","17,359,000","17,665,000","18,004,000","18,142,000","16,343,000","16,021,000","15,884,000","16,151,000","14,364,000","14,556,000","14,733,000","14,957,000","12,867,000","12,919,000","12,972,000","12,900,000","10,725,000","10,334,000","9,994,000","9,884,000","23,064,000","30,018,000","29,011,000","27,811,000","22,300,000","20,400,000","17,200,000","16,600,000","23,300,000","22,600,000","21,700,000","10,400,000","10,000,000","13,500,000","15,000,000","14,500,000","18,600,000","17,300,000","16,200,000","16,100,000","180,400,000","179,300,000","177,500,000","174,100,000","169,600,000","167,000,000","165,600,000","160,100,000","158,400,000","160,100,000","163,600,000","159,600,000","157,200,000","156,000,000","155,900,000","154,900,000","154,800,000","154,200,000","156,600,000","149,600,000","147,800,000","141,900,000","139,800,000","136,700,000","129,800,000"
