name,ttm
OperatingCashFlow,"33,034,782"
FinancingCashFlow,"-29,927,546"
EndCashPosition,"3,423,280"
	ChangesInCash,"3,107,236"
	BeginningCashPosition,"316,044"
RepaymentOfDebt,"-3,500,000"
FreeCashFlow,"33,034,782"
