name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
NetInterestIncome,"-12,853,000","-2,876,000","-3,257,000","-3,331,000","-3,389,000","-3,955,000","-3,397,000","-3,639,000","-2,388,000","-1,938,000","-1,362,000","-1,274,000","-1,351,000","-1,309,000","-789,000","-1,367,000","-1,666,000","-1,016,000","418,000","23,000","-152,000","-249,000",,"15,000","12,000","220,000","17,000","18,000","18,000","7,000","9,000","9,000","11,000","13,000","16,000","17,000","11,000","12,000","16,000","24,000","15,000","17,000","24,000","30,000","20,000","5,000","5,000","7,000","3,000","2,000","5,000","386,000","0","0",,,,,,,,,,,,,,,,,
EBIT,"-19,878,000","-39,558,000","-11,494,000","64,206,000","-33,032,000","-39,778,000","-21,402,000","-27,104,000","-18,215,000","-29,550,000","-6,160,000","-20,636,000","-15,277,000","-15,348,000","-14,238,000","-12,665,000","-10,406,000","-581,000","-5,337,000","-6,534,000","-6,024,000","-6,422,000",,"-1,565,000","-3,100,000","-6,080,000","-3,226,000","-3,420,000","-6,579,000","-4,528,000","-5,240,000","-3,691,000","-4,749,000","-6,194,000","-2,438,000","-803,000","-9,637,000","-5,215,000","-5,909,000","-5,853,000","-6,072,000","-4,310,000","-4,494,000","4,142,000","-3,948,000","-5,439,000","-5,305,000","-8,173,000","-8,667,000","-10,389,000","-11,166,000","-10,898,000","-10,629,000","-11,718,000","-10,316,000","-13,993,000","-11,045,000","-10,637,000","-11,676,000","-10,970,000","-4,199,000","-5,319,000","-3,858,000",,,,,,,,
EBITDA,"-19,527,000"
ReconciledCostOfRevenue,"1,590,000","234,000","925,000","431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
ReconciledDepreciation,"351,000","114,000","107,000","92,000","38,000","37,000","73,000","42,000","38,000","39,000","38,000","39,000","39,000","11,000","12,000","11,000","-31,000","53,000","12,000","10,000","8,000","5,000",,"0","1,000","50,000","30,000","-14,000","47,000","62,000","102,000","141,000","152,000","154,000","156,000","157,000","158,000","159,000","167,000","170,000","173,000","188,000","194,000","206,000","230,000","250,000","252,000","255,000","249,000","242,000","245,000","234,000","223,000","211,000","209,000","181,000","185,000","133,000","68,000","-21,000","99,000","90,000","86,000",,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-32,731,000","-42,434,000","-10,962,000","57,086,000","-36,421,000","-43,733,000","-24,799,000","-30,743,000","-20,603,000","-31,488,000","-7,522,000","-21,910,000","-16,628,000","-16,657,000","-15,864,000","-14,025,000","-14,603,000","-1,619,000","-5,056,000","-6,511,000","-6,176,000","-6,671,000",,"-1,577,000","-3,095,000","-5,868,000","-3,215,000","-3,232,000","-6,462,000","-4,356,000","-4,687,000","-2,286,000","-3,204,000","-6,198,000","-2,443,000","-815,000","-9,631,000","-5,220,000","-3,669,000","-5,879,000","-6,051,000","-4,316,000","-4,501,000","4,133,000","-3,974,000","-5,442,000","-5,308,000","-8,104,000","-8,629,000","-10,409,000","-11,148,000","-10,469,000","-11,148,000","-11,629,000","-10,024,000","-12,665,000","-10,111,000","-9,557,000","-11,025,000","-10,000,000","-3,668,000","-5,215,000","-3,668,000","-2,306,000","-2,306,000","-2,306,000","-1,151,000","-846,000","-846,000","-846,000","-846,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,"6,000","-4,000",,"2,000","176,000","119,000","166,000","546,000","1,399,000","1,548,000","-426,000","2,586,000","3,536,000","-4,431,000","-116,000","2,228,000","156,000","1,355,000","146,000","-145,000","-8,721,000","-1,355,000","-237,000","2,772,000",,,"0","0",,"-54,000","-78,000",,,,,,,,,,,,,,,,,
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,"6,000","-4,000",,"2,000","176,000","119,000","166,000","546,000","1,399,000","1,548,000","-426,000","2,586,000","3,536,000","-4,431,000","-116,000","2,228,000","156,000","1,355,000","146,000","-145,000","-8,721,000","-1,355,000","-237,000","2,772,000",,,"0","0",,"-54,000","-78,000",,,,,,,,,,,,,,,,,
NormalizedEBITDA,"-19,527,000","-39,444,000","-11,387,000","64,298,000","-32,994,000","-39,741,000","-21,329,000","-27,062,000","-18,177,000","-29,511,000","-6,122,000","-20,597,000","-15,238,000","-15,337,000","-14,226,000","-12,654,000","-10,406,000","-528,000","-5,325,000","-6,524,000","-6,016,000","-6,417,000",,"-1,571,000","-3,095,000","-6,030,000","-3,198,000","-3,596,000","-6,651,000","-4,632,000","-5,684,000","-4,949,000","-6,145,000","-5,614,000","-4,868,000","-4,182,000","-5,048,000","-4,940,000","-7,970,000","-5,839,000","-7,254,000","-4,268,000","-4,155,000","13,069,000","-2,363,000","-4,952,000","-7,825,000","-7,918,000","-8,418,000","-10,147,000","-10,921,000","-10,664,000","-10,352,000","-11,429,000","-10,107,000","-13,812,000","-10,860,000","-10,504,000","-11,608,000","-10,970,000","-4,100,000","-5,229,000","-3,772,000",,,,,,,,
TaxRateForCalcs,"0","0","0","0.062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0","0","0",,"0.4","0","0","0","0.4","0","0","0","0.35","0","0","0","0.35","0","0","0","0.35","0.003","0.35","0.35","0.002","0.35","0.35","0.35","0.008","0.004","0.35","0.002","0.004","0.35","0.008","0.005","0.04","0.051","0.35","0.35","0.35","0.35","0.35","0","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"2,400","0","0","0","70,400","0","0","0","489,650","0","0","0","1,237,600","0","0","0","54,600","4,686.265","51,100","-50,750","-18,949.541","-474,250","-82,950","970,200","0","0","0","0","0","-18,900","-592.422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
