name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
			Amortization,"22,004,000","5,498,000","5,504,000","5,505,000","5,497,000","5,488,000","5,495,000","5,494,000","5,490,000","7,128,000","7,181,000","7,152,000","7,206,000","7,256,000","7,256,000","7,430,000","7,524,000","7,216,000","7,412,000","7,373,000","7,169,000","7,039,000","7,227,000","7,361,000","4,060,000","4,094,000","4,255,000","4,032,000","4,462,000","3,967,000","4,487,000","4,081,000","4,748,000","3,972,000","4,235,000","3,899,000","4,522,000","4,617,000","5,526,000","3,736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"423,768",,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"22,004,000","5,498,000","5,504,000","5,505,000","5,497,000","5,488,000","5,495,000","5,494,000","5,490,000","7,128,000","7,181,000","7,152,000","7,206,000","7,256,000","7,256,000","7,430,000","7,524,000","7,216,000","7,412,000","7,373,000","7,169,000","7,039,000","7,227,000","7,361,000","4,060,000","4,094,000","4,255,000","4,032,000","4,462,000","3,967,000","4,487,000","4,081,000","4,748,000","3,972,000","4,235,000","3,899,000","4,522,000","4,617,000","5,526,000","3,736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"423,768",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"8,856,000","1,952,000","2,329,000","2,617,000","1,958,000","1,947,000","4,868,000","5,388,000","3,476,000","3,284,000","2,948,000","2,837,000","3,454,000","2,537,000","1,968,000","2,229,000","1,568,000","1,231,000","3,397,000","1,764,000","2,991,000","1,587,000","2,167,000","815,000","1,966,000","875,000","1,807,000","1,105,000","1,673,000","785,000","1,459,000","803,000","1,501,000","756,000","1,165,000","624,000","1,172,000","312,000",,,,,,,,,,,,,,,,,,,,"-100",,,,,,,,,,,"150,000","150,000",,,"83,421","91,579",,,"87,500","87,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"226,336,000","62,250,000","56,462,000","57,728,000","49,896,000","63,558,000","65,779,000","48,426,000","-1,185,000","44,506,000","34,489,000","40,830,000","48,664,000","34,360,000","15,273,000","26,032,000","10,911,000","4,519,000","57,880,000","15,790,000","60,519,000","12,058,000","34,759,000","-3,003,000","34,025,000","2,546,000","26,624,000","8,362,000","-4,481,000","1,771,000","17,075,000","6,080,000","28,838,000","6,628,000","19,420,000","4,247,000","21,731,000","-7,154,000","8,371,000","-6,061,000","12,910,000","-1,558,000","3,566,444","5,935,069","-1,070,753","-2,744,023","-210,276","-3,882,545","-1,909,144","-4,224,332","-4,169,657","-3,792,776","-6,310,763","-5,993,598","-5,793,193","-5,832,864","-5,929,945","-5,106,812","-5,131,844","-4,072,749","-5,998,505","-5,168,760","-5,538,048","-3,506,573","-4,853,172","-3,992,324","-5,479,564","-3,307,896","-3,462,757","-5,209,987","-4,366,794","-3,891,290","-4,751,396","-4,192,272","-5,725,181","-3,720,517","-4,157,722","-3,933,085","-5,025,356","-4,438,105","-4,628,247","-4,272,478","-4,724,827","-1,535,043","-4,873,462","-3,914,658","-3,843,133","-1,937,844","-2,233,586","-1,862,999","-1,879,817","-1,200,000","-1,700,000","-600,000","-1,000,000","-700,000","-700,000","-400,000","-4,000,000","-600,000","-700,000","-500,000","-500,000","-400,000","-400,000","-300,000","-3,100,000","100,000","100,000","100,000"
NetNonOperatingInterestIncomeExpense,"663,000","291,000","160,000","137,000","75,000","133,000","695,000","1,029,000","1,268,000","2,147,000","2,459,000","2,748,000","2,757,000","2,831,000","2,504,000","2,118,000","1,766,000","1,271,000","966,000","861,000","796,000","671,000","569,000","568,000","653,000","324,000","221,000","225,000","176,000","161,000","164,000","170,000","172,000","201,000","201,000","193,000","168,000","202,000","249,000","267,000","339,000","337,000","331,927","350,437","176,447","85,835","69,114","58,416","55,477","68,596","102,021","121,541","188,295","250,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"663,000","291,000","160,000","137,000","75,000","133,000","695,000","1,029,000","1,268,000","2,147,000","2,459,000","2,748,000","2,757,000","2,831,000","2,504,000","2,118,000","1,766,000","1,271,000","966,000","861,000","796,000","671,000","548,000","573,000","661,000","332,000","244,000","232,000","188,000","173,000","179,000","187,000","193,000","218,000","217,000","206,000","178,000","210,000","254,000","272,000","357,000","357,000","350,171","363,700","184,877","95,473","78,321","64,373","61,125","75,655","105,713","121,927","188,593","253,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,,,,,,,,,"5,000","8,000","8,000","23,000","7,000","12,000","12,000","15,000","17,000","21,000","17,000","16,000","13,000","10,000","8,000","5,000","5,000","18,000","20,000","18,244","13,263","8,430","9,638","9,207","5,957","5,648","7,059","3,692","386","298","2,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"5,000","-34,000","-80,000","-102,000","221,000","59,000","230,000","262,000","170,000","202,000","27,000","53,000","405,000","282,000","-17,000","-7,000","-12,000","-47,000","3,000","6,000","6,000","-19,000","54,000","-68,000","-1,829,000",,,,,,,,,,,,,,,,,,"0","239,562","4,496,367","-8,926,212","-4,845,439","-3,362,441","-2,582,428","713,243","90,025","-1,001,612",,"173,242",,,,,,,,,,,,,,,"-150,000","-76,745",,,"-83,421","-91,579","0",,"-76,468","-82,500","-24,343","-10,011,780",,,,,,,,,,,,,,,"100,000",,"100,000","100,000",,,,,"0",,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","239,562","4,496,367","-8,926,212","-4,845,439","-3,362,441","-2,582,428","713,243","90,025","-1,001,612",,"173,242",,,,,,,,,,,,,,,"-150,000","-76,745",,,"-83,421","-91,579","0",,"-76,468","-82,500","-24,343","-10,011,780",,,,,,,,,,,,,,,"100,000",,"100,000","100,000",,,,,"0",,,,,,,
	OtherNonOperatingIncomeExpenses,"5,000","-34,000","-80,000","-102,000","221,000","59,000","230,000","262,000","170,000","202,000","27,000","53,000","405,000","282,000","-17,000","-7,000","-12,000","-47,000","3,000","6,000","6,000","-19,000","54,000","-68,000","-1,829,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
