name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
OperatingCashFlow,"247,531,000","2,912,000","-5,685,000","164,132,000","86,172,000","92,570,000","38,986,000","152,505,000","198,253,000","13,806,000","62,325,000","116,592,000","93,713,000","59,854,000","50,256,000","90,731,000","102,480,000","75,246,000","104,204,000","120,963,000","63,921,000","69,041,000","90,453,000","102,192,000","36,605,000","143,079,000","69,129,000","93,876,000","32,459,000","117,416,000","57,036,000","122,509,000","34,563,000","98,796,000","60,104,000","113,327,000","60,960,000","93,009,000","43,158,000","101,021,000","58,471,000","94,111,000","43,979,000","96,704,000","69,512,000","97,355,000","28,270,000","69,420,000","54,904,000","73,132,000","19,790,000","59,346,000","39,767,000","93,186,000","31,034,000","65,847,000","24,532,000","38,266,000","-18,165,000","64,786,000","31,530,000","37,938,000","58,082,000","46,674,000"
	CashFlowFromContinuingOperatingActivities,"247,531,000","2,912,000","-5,685,000","164,132,000","86,172,000","92,570,000","38,986,000","152,505,000","198,253,000","13,806,000","62,325,000","116,592,000","93,713,000","59,854,000","50,256,000","90,731,000","102,480,000","75,246,000","104,204,000","120,963,000","63,921,000","69,041,000","90,453,000","102,192,000","36,605,000","143,079,000","69,129,000","93,876,000","32,459,000","117,416,000","57,036,000","122,509,000","34,563,000","98,796,000","60,104,000","113,327,000","60,960,000","93,009,000","43,158,000","101,021,000","58,471,000","94,111,000","43,979,000","96,704,000","69,512,000","97,355,000","28,270,000","69,420,000","54,904,000","73,132,000","19,790,000","59,346,000","39,767,000","93,186,000","31,034,000","65,847,000","24,532,000","38,266,000","-18,165,000","64,786,000","31,530,000","37,938,000","58,082,000","46,674,000"
		NetIncomeFromContinuingOperations,"260,001,000","46,808,000","68,838,000","68,149,000","76,206,000","38,312,000","57,191,000","70,188,000","-23,526,000","13,368,000","53,215,000","69,007,000","71,164,000","65,725,000","65,727,000","55,186,000","58,226,000","61,371,000","83,264,000","35,719,000","66,539,000","56,992,000","55,826,000","52,621,000","67,919,000","60,159,000","42,243,000","56,180,000","62,463,000","61,535,000","54,909,000","61,750,000","67,756,000","58,492,000","57,995,000","64,813,000","72,465,000","64,890,000","58,983,000",,,,"30,134,000",,,"49,278,000","40,949,000","42,026,000","41,116,000","34,560,000","26,126,000","26,974,000","31,489,000","24,595,000","16,059,000","21,479,000","29,359,000","12,396,000","14,343,000","16,864,000","13,448,000","11,039,000","3,141,000","30,663,000"
		OperatingGainsLosses,"1,499,000","77,000","3,000","463,000","956,000","1,542,000","1,589,000","1,047,000","2,928,000","-152,000","-223,000","-987,000","1,415,000",,,"181,000","0",,,,,,,"495,000","0","0","33,296,000",,,,,,,,,,,,,"75,000","3,240,000","590,000","34,560,000","642,000","2,213,000","-1,348,000","1,585,000","211,000","383,000","370,000","-20,000","1,027,000","-48,000","-16,000","-2,000","-30,000","-67,000","63,000","150,000","481,000","429,000","279,000","631,000","891,000"
			GainLossOnSaleOfPPE,,"77,000","3,000",,"-103,000","152,000","1,589,000",,"2,928,000",,,,"-9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"75,000","9,000","3,000","2,000","122,000","1,709,000",,,"-8,000","-7,000","-6,000","-20,000","10,000","-48,000",,,,,,,,,,,
		DepreciationAmortizationDepletion,"97,727,000","24,050,000","24,421,000","24,111,000","25,145,000","26,559,000","26,386,000","25,950,000","26,832,000","26,921,000","27,076,000","27,233,000","27,150,000","26,769,000","26,506,000","27,401,000","27,419,000","26,919,000","27,090,000","28,351,000","29,256,000","27,877,000","26,839,000","27,133,000","25,433,000","23,705,000","23,386,000","25,223,000","22,601,000","20,988,000","20,579,000","20,924,000","19,989,000","19,495,000","19,255,000","19,339,000","18,798,000","17,247,000","16,808,000","16,906,000","16,299,000","15,940,000","15,553,000","15,561,000","15,273,000","14,777,000","14,111,000","14,137,000","12,666,000","12,431,000","11,889,000","5,917,000","13,730,000","13,569,000","13,850,000","15,263,000","13,919,000","13,937,000","13,883,000","19,432,000","10,765,000","10,025,000","9,790,000","9,944,000"
			DepreciationAndAmortization,"97,727,000","24,050,000","24,421,000","24,111,000","25,145,000","26,559,000","26,386,000","25,950,000","26,832,000","26,921,000","27,076,000","27,233,000","27,150,000","26,769,000","26,506,000","27,401,000","27,419,000","26,919,000","27,090,000","28,351,000","29,256,000","27,877,000","26,839,000","27,133,000","25,433,000","23,705,000","23,386,000","25,223,000","22,601,000","20,988,000","20,579,000","20,924,000","19,989,000","19,495,000","19,255,000","19,339,000","18,798,000","17,247,000","16,808,000","16,906,000","16,299,000","15,940,000","15,553,000","15,561,000","15,273,000","14,777,000","14,111,000","14,137,000","12,666,000","12,431,000","11,889,000","5,917,000","13,730,000","13,569,000","13,850,000","15,263,000","13,919,000","13,937,000","13,883,000","19,432,000","10,765,000","10,025,000","9,790,000","9,944,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,642,000","11,471,000","11,747,000","13,154,000","11,806,000","11,821,000","11,752,000",,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,088,000","2,098,000","2,103,000","2,109,000","2,113,000","2,116,000","2,131,000",,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,088,000","2,098,000","2,103,000","2,109,000","2,113,000","2,116,000","2,131,000",,,,,
