name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009
TotalAssets,"5,624,964,000","5,480,437,000","5,164,915,000","4,698,609,000","4,605,288,000","4,802,568,000","4,444,284,000","4,391,720,000","4,347,146,000","4,597,469,000","4,394,863,000","2,041,650,000","2,039,608,000","1,979,807,000","1,835,552,000","1,877,575,000","1,816,033,000","1,807,327,000","1,754,176,000","1,855,039,000","1,784,227,000","1,774,086,000","1,756,509,000","1,696,696,000","1,665,015,000","1,640,847,000","1,641,050,000","1,645,806,000","1,503,603,000","1,460,583,000","1,443,388,000","1,462,113,000","1,321,644,000","1,264,827,000","1,091,656,000","1,015,757,000","893,178,000","839,003,000","734,096,000","711,522,000","719,279,000","634,031,000","559,644,000","547,259,000","459,519,000","460,314,000","442,763,000","383,760,000","354,827,000","409,122,000"
	CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"703,654,000","98,969,000","626,178,000","554,299,000","543,423,000","455,546,000","456,510,000","442,763,000","383,760,000","354,827,000","409,122,000"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"654,702,000","30,121,000","587,493,000","506,177,000","482,710,000","432,926,000","423,803,000","406,088,000","348,990,000","318,028,000","376,294,000"
			CashAndCashEquivalents,"136,169,000","182,683,000","181,090,000","156,930,000","77,104,000","27,027,000","25,136,000","30,439,000","24,359,000","19,426,000","6,517,000","8,282,000","5,842,000","13,002,000","6,037,000","6,925,000","5,868,000","5,750,000","3,988,000","12,827,000","4,614,000","5,709,000","10,947,000","3,167,000","5,335,000","6,871,000","5,468,000","6,487,000","3,068,000","5,740,000","5,135,000","11,392,000","12,810,000","31,891,000","16,309,000","12,936,000","8,950,000","21,420,000","13,891,000","18,070,000","30,121,000","25,447,000","46,350,000","44,117,000","43,866,000","41,389,000","61,219,000","71,380,000","24,802,000","0"
				CashFinancial,"130,453,000","180,203,000","175,593,000","154,323,000","75,919,000","26,500,000","24,569,000","29,266,000","23,705,000","18,914,000","6,463,000","8,158,000","5,635,000","12,706,000","5,878,000","6,814,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"5,716,000","2,480,000","5,497,000","2,607,000","1,185,000","527,000","567,000","1,173,000","654,000","512,000","54,000","124,000","207,000","296,000","159,000","111,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"636,632,000",,"562,046,000","459,827,000","438,593,000","389,060,000","382,414,000","344,869,000","277,610,000","293,226,000","376,294,000"
		Receivables,"21,251,000","24,291,000","18,358,000","17,199,000","18,386,000","18,628,000","17,522,000","18,589,000","14,886,000","14,507,000","16,790,000","6,648,000","7,418,000","6,349,000","6,664,000","6,463,000","7,640,000","6,536,000","6,271,000","7,188,000","6,013,000","5,661,000","5,935,000","5,707,000","10,843,000","10,960,000","5,700,000","10,094,000","14,179,000","8,417,000","5,791,000","5,222,000","4,958,000","4,178,000","4,316,000","5,520,000","4,278,000","3,245,000","3,906,000","3,893,000","3,716,000","3,190,000","3,063,000","31,049,000","6,570,000","5,089,000","1,956,000","1,746,000","1,708,000","2,198,000"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,475,000","4,389,000","2,895,000",,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,893,000","3,716,000","3,190,000","3,063,000","2,574,000","2,181,000","2,194,000","1,956,000","1,746,000","1,708,000","2,198,000"
