name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988
TotalRevenue,"188,575,399","53,495,000","51,109,000","45,235,962","38,735,356","29,691,934","27,092,147","27,317,969","25,970,045","20,408,509","19,377,991","23,968,423","21,892,244","19,084,365","20,089,150","22,472,985","21,480,590","16,830,895","16,866,884","18,418,389","19,611,297","17,651,771","18,266,162","21,052,104","21,598,720","16,947,187","15,689,715","15,770,602","18,195,911","12,370,784","13,986,620","14,320,881","14,362,934","13,213,855","16,147,622","19,038,581","13,534,769","10,514,368","10,265,362","10,402,913","10,793,755","7,112,097","9,165,201","10,701,634","10,124,665","7,119,564","7,246,669","7,921,129","6,778,193","4,724,766","4,942,667","6,618,907","7,160,039","5,232,604","5,933,287","7,188,484","6,165,379","5,442,493","4,697,440","4,907,046","4,287,331","4,429,117","4,817,813","5,025,917","3,756,715","4,379,192","4,069,367","3,512,563","3,225,401","3,305,299","3,668,068","3,687,718","3,482,932","3,301,955","3,557,586","1,566,992","284,132","40,674","38,900","72,451","24,958","49,089","87,574","434,335","429,816","280,945","123,462","51,517","220,809","100,000","100,000","100,000","70,878","134,128","200,000","200,000","400,000","500,000","700,000","700,000","900,000","700,000","700,000","500,000","600,000","600,000","700,000","600,000","500,000","600,000","400,000","500,000","400,000","500,000","600,000","600,000","700,000","600,000","600,000","500,000","500,000","600,000","500,000","500,000","700,000","600,000","700,000","600,000","700,000","700,000","700,000","600,000","600,000","500,000","500,000","500,000"
	OperatingRevenue,"188,575,399","53,495,000","51,109,000","45,235,962","38,735,356","29,691,934","27,092,147","27,317,969","25,970,045","20,408,509","19,377,991","23,968,423","21,892,244","19,084,365","20,089,150","22,472,985","21,480,590","16,830,895","16,866,884","18,418,389","19,611,297","17,651,771","18,266,162","21,052,104","21,598,720","16,947,187","15,689,715","15,770,602","18,195,911","12,370,784","13,986,620","14,320,881","14,362,934","13,213,855","16,147,622","19,038,581","13,534,769","10,514,368","10,265,362","10,402,913","10,793,755","7,112,097","9,165,201","10,701,634","10,124,665","7,119,564","7,246,669","7,921,129","6,778,193","4,724,766","4,942,667","6,618,907","7,160,039","5,232,604","5,933,287","7,188,484","6,165,379","5,442,493","4,697,440","4,907,046","4,287,331","4,429,117","4,817,813","5,025,917","3,756,715","4,379,192","4,069,367","3,512,563","3,225,401","3,305,299","3,668,068","3,687,718","3,482,932","3,301,955","3,557,586","1,566,992","284,132","40,674","38,900","72,451","24,958","49,089","87,574","434,335","429,816","280,945","123,462","51,517","220,809","100,000","100,000","100,000","70,878","134,128","200,000","200,000","400,000","500,000","700,000","700,000","900,000","700,000","700,000","500,000","600,000","600,000","700,000","600,000","500,000","600,000","400,000","500,000","400,000","500,000","600,000","600,000","700,000","600,000","600,000","500,000","500,000","600,000","500,000","500,000","700,000","600,000","700,000","600,000","700,000","700,000","700,000","600,000","600,000","500,000","500,000","500,000"
CostOfRevenue,"105,572,506","30,331,000","28,137,000","25,506,676","21,597,574","16,750,354","15,722,902","16,072,909","15,179,875","12,257,076","11,650,456","14,663,868","13,479,617","12,059,122","12,142,452","13,856,487","12,988,545","10,051,061","9,758,477","10,742,914","11,674,047","10,208,957","11,057,442","11,479,298","12,258,523","9,666,738","9,012,919","9,195,340","10,399,171","7,617,347","8,244,106","8,423,776","8,319,481","7,493,292","9,209,977","10,817,711","7,905,646","6,299,043","6,341,102","6,187,674","6,236,984","4,392,668","5,370,919","6,221,719","5,805,914","4,225,825","4,280,716","4,821,875","4,174,998","2,991,390","3,240,959","4,264,713","4,475,573","3,414,452","3,919,079","4,659,503","4,057,560","3,676,929","3,247,969","3,456,901","3,388,773","3,204,504","3,458,236","3,695,930","2,893,124","3,354,859","3,165,297","2,787,453","2,521,370","2,704,159","2,885,804","3,086,843","3,392,444","3,314,468","3,339,257","1,867,881","771,867","554,053","718,944","753,720","619,010","1,026,341","957,316","942,853","783,833","632,108","512,947","538,711","788,664","800,000","600,000","600,000","520,784","405,405","400,000","400,000","400,000","500,000","600,000","400,000","500,000","400,000","300,000","300,000","500,000","400,000","400,000","300,000",,,"300,000","200,000","300,000","300,000","400,000","300,000","400,000","400,000","400,000","400,000",,,,"300,000",,,,,,,,,,,,
GrossProfit,"83,002,893","23,164,000","22,972,000","19,729,286","17,137,782","12,941,580","11,369,245","11,245,060","10,790,170","8,151,433","7,727,535","9,304,555","8,412,627","7,025,243","7,946,698","8,616,498","8,492,045","6,779,834","7,108,407","7,675,475","7,937,250","7,442,814","7,208,720","9,572,806","9,340,197","7,280,449","6,676,796","6,575,262","7,796,740","4,753,437","5,742,514","5,897,105","6,043,453","5,720,563","6,937,645","8,220,870","5,629,123","4,215,325","3,924,260","4,215,239","4,556,771","2,719,429","3,794,282","4,479,915","4,318,751","2,893,739","2,965,953","3,099,254","2,603,195","1,733,376","1,701,708","2,354,194","2,684,466","1,818,152","2,014,208","2,528,981","2,107,819","1,765,564","1,449,471","1,450,145","898,558","1,224,613","1,359,577","1,329,987","863,591","1,024,333","904,070","725,110","704,031","601,140","782,264","600,875","90,488","-12,513","218,329","-300,889","-487,735","-513,379","-680,044","-681,269","-594,052","-977,252","-869,742","-508,518","-354,017","-351,163","-389,485","-487,194","-567,855","-700,000","-500,000","-500,000","-449,906","-271,277","-200,000","-200,000","0","0","100,000","300,000","400,000","300,000","400,000","200,000","100,000","200,000","300,000","300,000",,,"100,000","300,000","100,000","200,000","200,000","300,000","300,000","200,000","200,000","100,000",,,,"200,000",,,,,,,,,,,,
OperatingExpense,"40,952,752","11,233,000","9,923,000","10,362,218","9,435,877","8,490,120","7,655,537","7,565,160","7,207,157","7,431,261","7,326,620","7,126,376","6,870,994","6,727,744","6,775,875","6,069,011","6,087,362","7,305,589","6,463,971","6,157,981","6,614,693","6,162,178","6,017,524","6,426,237","5,878,352","5,136,952","4,697,015","4,555,533","4,845,764","4,289,304","4,125,997","4,225,453","4,185,157","3,805,011","3,865,019","4,407,560","3,832,889","3,265,883","3,038,511","2,867,453","2,774,253","2,572,375","2,773,114","3,126,668","3,032,036","2,368,299","2,459,319","2,267,208","1,992,576","1,864,722","1,889,615","2,022,637","2,142,074","1,689,950","1,804,978","1,813,598","1,897,625","1,721,252","1,422,459","1,977,583","2,494,202","1,726,141","1,825,189","1,521,790","807,465","2,348,342","2,023,738","1,794,006","1,663,428","1,583,109","1,696,644","1,532,017","1,794,116","1,628,133","1,916,524","1,215,141","898,428","656,816","734,504","677,291","824,107","658,066","746,516","619,208","1,023,417","894,733","804,168","515,605","285,768","300,000","400,000","400,000","336,193","359,133","500,000","300,000","300,000","300,000","300,000","300,000","500,000","300,000","500,000","400,000","200,000","200,000","200,000","300,000",,,"300,000","300,000","600,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000",,,,"300,000",,,,,,,,,,,,
	SellingGeneralAndAdministration,"40,952,752","11,233,000","9,923,000","10,362,218","9,435,877","8,490,120","7,655,537","7,565,160","7,207,157","7,431,261","7,326,620","7,126,376","6,870,994","6,727,744","6,775,875","6,069,011","6,087,362","7,305,589","6,463,971","6,157,981","6,614,693","6,162,178","6,017,524","6,426,237","5,878,352","5,136,952","4,697,015","4,555,533","4,845,764","4,289,304","4,125,997","4,225,453","4,185,157","3,805,011","3,865,019","4,407,560","3,832,889","3,265,883","3,038,511","2,867,453","2,774,253","2,572,375","2,773,114","3,082,316","3,076,388","2,368,299","2,459,319","2,267,208","1,992,576","1,864,722","1,889,615","1,991,493","2,142,074","1,689,950","1,804,978","1,813,598","1,897,625","1,721,252","1,422,459","1,977,583","1,644,457","1,624,576","1,696,482","1,713,003","1,577,079","2,035,215","1,677,031","1,470,408","1,285,410","1,268,958","1,476,049","1,340,809","1,500,681","1,380,005","1,705,663","1,070,952","736,234","296,638","397,824","321,579","471,172","315,842","510,217","436,615","580,488","504,300","414,092","328,816","182,694","200,000","200,000","200,000","172,248","143,710","300,000","100,000","200,000","100,000","100,000","100,000","200,000","100,000","300,000","200,000","100,000","100,000","100,000","200,000",,,"100,000","100,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000",,,,"200,000",,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,912","105,624","135,205","153,787","428,681","313,127","346,707","323,598","378,018","314,151","220,595","191,208","293,435","248,128","210,861","144,189","162,194","360,178","336,680","355,712","352,935","342,224","236,299","182,593","316,425","285,478","293,303","90,999","26,989",,"100,000","100,000","95,249","84,119","100,000","100,000","0","100,000","100,000","100,000","100,000","100,000","100,000","100,000","-100,000",,,,,,"100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,504","104,955","96,773","95,790","76,085","100,000","100,000","100,000","68,696","131,304","100,000","100,000","100,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000",,,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000",,,,"100,000",,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,504","104,955","96,773","95,790","76,085","100,000","100,000","100,000","68,696","131,304","100,000","100,000","100,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000",,,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000",,,,"100,000",,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-44,352",,,,,,,,,,,,,,,,"770,833","-4,059","-6,498","-345,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
