name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"7,040,000,000","1,736,000,000","1,834,000,000","1,972,000,000","1,499,000,000","733,000,000","662,000,000","492,000,000","215,000,000","1,588,000,000","2,031,000,000","2,086,000,000","2,105,000,000","1,871,000,000","1,968,000,000","2,008,000,000","1,928,000,000","1,754,000,000","1,756,000,000","1,813,000,000","1,842,000,000","1,604,000,000","1,641,000,000","1,732,000,000","1,643,000,000","1,616,000,000","1,594,000,000","1,687,000,000","1,612,000,000","1,523,000,000","1,446,000,000","1,529,000,000","1,493,000,000","1,349,000,000","1,365,000,000","1,442,000,000","1,335,000,000","1,299,000,000","1,194,000,000","1,308,000,000","1,277,000,000","1,203,000,000","1,146,000,000","1,195,000,000","1,151,000,000","1,012,000,000","940,000,000","1,030,000,000","939,000,000","870,000,000","832,000,000","854,000,000","807,000,000","793,000,000","811,000,000","902,000,000","859,000,000","816,000,000","739,000,000","765,000,000","730,000,000","608,000,000","633,000,000","628,000,000","612,000,000","490,000,000","445,710,000","452,915,000","430,052,000","374,222,000","334,036,000","323,215,000","319,718,000","289,003,000","262,944,000","273,576,000","244,701,000","217,130,000","187,258,000","165,261,000","149,303,000","133,369,000"
	OperatingRevenue,"6,542,000,000","1,603,000,000","1,696,000,000","1,856,000,000","1,388,000,000","670,000,000","607,000,000","445,000,000","170,000,000","1,511,000,000","1,948,000,000","2,005,000,000","2,031,000,000","1,802,000,000","1,891,000,000","1,941,000,000","1,858,000,000","1,692,000,000","1,564,000,000","1,623,000,000","1,650,000,000","1,451,000,000","1,477,000,000","1,571,000,000","1,487,000,000","1,478,000,000","1,438,000,000","1,551,000,000","1,496,000,000","1,408,000,000","1,327,000,000","1,414,000,000","1,372,000,000","1,230,000,000","1,242,000,000","1,321,000,000","1,222,000,000","1,186,000,000","762,000,000","1,308,000,000","1,277,000,000","1,203,000,000","1,146,000,000","1,195,000,000","1,151,000,000","1,012,000,000","940,000,000","1,030,000,000","939,000,000","870,000,000","832,000,000","854,000,000","807,000,000","793,000,000","811,000,000","902,000,000","859,000,000","816,000,000","739,000,000","765,000,000","730,000,000","608,000,000","633,000,000","628,000,000","612,000,000","490,000,000","445,710,000","452,915,000","430,052,000","374,222,000","334,036,000","323,215,000","319,718,000","289,003,000","262,944,000","273,576,000","244,701,000","217,130,000","187,258,000","165,261,000","149,303,000","133,369,000"
CostOfRevenue,"6,316,000,000","1,712,000,000","1,580,000,000","1,615,000,000","1,410,000,000","1,083,000,000","957,000,000","929,000,000","797,000,000","1,398,000,000","1,456,000,000","1,494,000,000","1,501,000,000","1,431,000,000","1,401,000,000","1,464,000,000","1,418,000,000","1,299,000,000","1,253,000,000","1,206,000,000","1,189,000,000","1,167,000,000","1,067,000,000","1,095,000,000","1,045,000,000","989,000,000","1,021,000,000","1,068,000,000","1,074,000,000","1,024,000,000","1,070,000,000","1,140,000,000","1,106,000,000","1,073,000,000","1,040,000,000","1,079,000,000","1,039,000,000","1,031,000,000","1,922,000,000","671,000,000","640,000,000","620,000,000","346,000,000","610,000,000","592,000,000","496,000,000","250,000,000","244,000,000","231,000,000","208,000,000","212,000,000","199,000,000","175,000,000","169,000,000","231,000,000","341,000,000","321,000,000","620,000,000","542,000,000","527,000,000","502,000,000","461,000,000","417,000,000","457,000,000","426,000,000","389,000,000","358,566,000","325,254,000","283,928,000","250,234,000","233,210,000","222,020,000","194,553,000","187,787,000","161,304,000","155,623,000","136,534,000","133,394,000","139,293,000","94,197,000","86,473,000","81,298,000"
GrossProfit,"724,000,000","24,000,000","254,000,000","357,000,000","89,000,000","-350,000,000","-295,000,000","-437,000,000","-582,000,000","190,000,000","575,000,000","592,000,000","604,000,000","440,000,000","567,000,000","544,000,000","510,000,000","455,000,000","503,000,000","607,000,000","653,000,000","437,000,000","574,000,000","637,000,000","598,000,000","627,000,000","573,000,000","619,000,000","538,000,000","499,000,000","376,000,000","389,000,000","387,000,000","276,000,000","325,000,000","363,000,000","296,000,000","268,000,000","-728,000,000","637,000,000","637,000,000","583,000,000","800,000,000","585,000,000","559,000,000","516,000,000","690,000,000","786,000,000","708,000,000","662,000,000","620,000,000","655,000,000","632,000,000","624,000,000","580,000,000","561,000,000","538,000,000","196,000,000","197,000,000","238,000,000","228,000,000","147,000,000","216,000,000","171,000,000","186,000,000","101,000,000","87,144,000","127,661,000","146,124,000","123,988,000","100,826,000","101,195,000","125,165,000","101,216,000","101,640,000","117,953,000","108,167,000","83,736,000","47,965,000","71,064,000","62,830,000","52,071,000"
OperatingExpense,"879,000,000","391,000,000","365,000,000","171,000,000","-49,000,000","-55,000,000","179,000,000","-141,000,000","-172,000,000","322,000,000","348,000,000","345,000,000","352,000,000","352,000,000","342,000,000","349,000,000","335,000,000","327,000,000","314,000,000","297,000,000","299,000,000","290,000,000","278,000,000","283,000,000","285,000,000","278,000,000","243,000,000","268,000,000","256,000,000","246,000,000","207,000,000","225,000,000","246,000,000","235,000,000","210,000,000","211,000,000","194,000,000","209,000,000","-772,000,000","524,000,000","507,000,000","494,000,000","717,000,000","477,000,000","473,000,000","471,000,000","457,000,000","462,000,000","436,000,000","450,000,000","388,000,000","415,000,000","384,000,000","387,000,000","373,000,000","369,000,000","355,000,000","882,000,000","785,000,000","762,000,000","734,000,000","696,000,000","639,000,000","656,000,000","627,000,000","575,000,000","528,577,000","484,518,000","437,374,000","392,470,000","362,595,000","342,482,000","314,238,000","295,111,000","238,730,000","254,265,000","253,134,000","212,044,000","209,058,000","154,665,000","141,575,000","129,421,000"
	SellingGeneralAndAdministration,"217,000,000","57,000,000","53,000,000","60,000,000","47,000,000","23,000,000","26,000,000","24,000,000","8,000,000","53,000,000","75,000,000","74,000,000","75,000,000","66,000,000","80,000,000","72,000,000","75,000,000","67,000,000","72,000,000","68,000,000","68,000,000","60,000,000","62,000,000","60,000,000","72,000,000","64,000,000","65,000,000","69,000,000","70,000,000","60,000,000","49,000,000","59,000,000","69,000,000","54,000,000","60,000,000","60,000,000","53,000,000","50,000,000","-730,000,000","313,000,000","319,000,000","302,000,000","295,000,000","285,000,000","286,000,000","280,000,000","276,000,000","274,000,000","261,000,000","259,000,000","238,000,000","237,000,000","230,000,000","222,000,000","208,000,000","211,000,000","210,000,000","173,000,000","149,000,000","152,000,000","155,000,000","149,000,000","138,000,000","138,000,000","129,000,000","118,000,000","102,890,000","94,629,000","94,999,000","89,464,000","80,637,000","81,608,000","79,818,000","73,713,000","63,342,000","68,444,000","62,066,000","57,082,000","32,207,000","35,525,000","41,445,000","39,219,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"262,000,000","265,000,000","255,000,000","241,000,000","236,000,000","235,000,000","235,000,000","227,000,000","227,000,000","218,000,000","219,000,000","200,000,000","199,000,000","192,000,000","185,000,000","175,000,000","173,000,000","168,000,000","134,000,000","120,000,000","120,000,000","124,000,000","120,000,000","111,000,000","111,000,000","99,000,000","98,000,000","83,634,000","72,633,000","74,708,000","70,007,000","63,862,000","66,951,000","61,476,000","60,289,000","50,790,000","53,377,000","47,525,000","45,655,000","21,292,000","23,730,000","29,660,000","29,369,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"262,000,000","265,000,000","255,000,000","241,000,000","236,000,000","235,000,000","235,000,000","227,000,000","227,000,000","218,000,000","219,000,000","200,000,000","199,000,000","192,000,000","185,000,000","175,000,000","173,000,000","168,000,000","-178,000,000","-167,000,000","-159,000,000","-158,000,000","-164,000,000","-147,000,000","-140,000,000","-134,000,000","-132,000,000","-116,261,000","-107,757,000","-105,429,000","-98,456,000","-89,377,000","-86,255,000","-83,902,000","-77,584,000","-72,731,000","-69,875,000","-67,827,000","-56,901,000","-49,261,000","-41,747,000","-37,622,000","-33,561,000"
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,000,000","105,000,000","99,000,000",,"97,000,000","99,000,000","91,000,000","88,000,000","92,000,000","89,000,000","85,000,000","84,000,000","87,000,000","86,000,000","82,000,000","79,000,000","85,000,000","81,000,000","-83,000,000","-76,000,000","-76,000,000","-77,000,000","-75,000,000","-70,000,000","-69,000,000","-62,000,000","-60,000,000","-51,740,000","-45,449,000","-46,392,000","-43,910,000","-40,765,000","-42,252,000","-39,608,000","-38,772,000","-33,547,000","-34,525,000","-31,216,000","-29,367,000","-53,241,000","-11,865,000","-19,979,000","-19,430,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-105,000,000","-105,000,000","-99,000,000",,"-97,000,000","-99,000,000","-91,000,000","-88,000,000","-92,000,000","-89,000,000","-85,000,000","-84,000,000","-87,000,000","-86,000,000","-82,000,000","-79,000,000","-85,000,000","-81,000,000","395,000,000","363,000,000","355,000,000","359,000,000","359,000,000","328,000,000","320,000,000","295,000,000","290,000,000","251,635,000","225,839,000","226,529,000","212,373,000","194,004,000","195,458,000","184,986,000","176,645,000","157,068,000","157,777,000","146,568,000","131,923,000","123,794,000","77,342,000","87,261,000","82,360,000"
