name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010
OperatingCashFlow,"-13,178,000","-11,480,000","-3,010,000","-107,042,000","108,354,000","5,611,000","13,329,000","-15,707,000","107,159,000","4,571,000","19,474,000","-18,138,000","102,933,000","26,214,000","14,226,000","-27,247,000","103,844,000","20,169,000","47,694,000","-31,248,000","85,623,000","21,888,000","42,559,000","-12,910,000","49,259,000","23,611,000","37,920,000","-10,890,000","33,013,000","26,597,000","9,615,000","-5,548,000","49,438,000","20,324,000","20,312,000","-14,583,000","24,435,000","5,003,000","19,388,000","-16,279,000","19,110,000","10,252,000","14,817,000","-27,085,000","19,741,000","7,015,000","14,029,000","-13,099,000","11,725,000"
	CashFlowFromContinuingOperatingActivities,"-13,178,000","-11,480,000","-3,010,000","-107,042,000","108,354,000","5,611,000","13,329,000","-15,707,000","107,159,000","4,571,000","19,474,000","-18,138,000","102,933,000","26,214,000","14,226,000","-27,247,000","103,844,000","20,169,000","47,694,000","-31,248,000","85,623,000","21,888,000","42,559,000","-12,910,000","49,259,000","23,611,000","37,920,000","-10,890,000","33,013,000","26,597,000","9,615,000","-5,548,000","49,438,000","20,324,000","20,312,000","-14,583,000","24,435,000","5,003,000","19,388,000","-16,279,000","19,110,000","10,252,000","14,817,000","-27,085,000","19,741,000","7,015,000","14,029,000","-13,099,000","11,725,000"
		NetIncomeFromContinuingOperations,"-150,433,000","-57,444,000","-40,681,000","-51,276,000","-1,032,000","-36,633,000","-8,652,000","-20,190,000","38,775,000","-31,038,000","-19,944,000","-14,991,000","23,005,000","-8,518,000","756,000","5,489,000","83,426,000","-48,622,000","-45,555,000","-8,914,000","26,927,000","-1,819,000","3,974,000","-7,858,000","16,097,000","-404,000","913,000","-1,630,000","11,893,000","-2,987,000","3,976,000","-2,997,000","27,586,000","-1,358,000","-892,000","-10,615,000","12,105,000","-2,670,000","5,501,000","447,000","3,548,000",,,,,,,,
		OperatingGainsLosses,,,,,,,,,,,"-652,000","-1,360,000",,,,,,,,,,,,,,,"5,000","18,000",,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000","18,000",,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,"-652,000","-1,360,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"33,672,000","8,766,000","8,545,000","8,434,000","7,927,000","8,057,000","10,434,000","10,537,000","10,386,000","10,611,000","10,758,000","10,886,000","10,813,000","9,698,000","9,789,000","9,653,000","9,494,000","9,802,000","9,681,000","6,634,000","6,517,000","5,825,000","3,309,000","3,074,000","3,007,000","2,293,000","1,751,000","1,791,000","1,930,000","1,929,000","1,848,000","1,773,000","1,773,000","1,770,000","1,617,000","1,591,000","1,639,000","1,137,000","945,000","1,100,000","770,000","783,000","685,000","679,000","1,191,000","414,000","379,000","242,000","371,000"
			DepreciationAndAmortization,"33,672,000","8,766,000","8,545,000","8,434,000","7,927,000","8,057,000","10,434,000","10,537,000","10,386,000","10,611,000","10,758,000","10,886,000","10,813,000","9,698,000","9,789,000","9,653,000","9,494,000","9,802,000","9,681,000","6,634,000","6,517,000","5,825,000","3,309,000","3,074,000","3,007,000","2,293,000","1,751,000","1,791,000","1,930,000","1,929,000","1,848,000","1,773,000","1,773,000","1,770,000","1,617,000","1,591,000","1,639,000","1,137,000","945,000","1,100,000","770,000","783,000","685,000","679,000","1,191,000","414,000","379,000","242,000","371,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"371,000"
		DeferredTax,"-52,952,000","-17,208,000","-12,698,000","-17,551,000","-5,495,000","-10,000,000","-8,467,000","-11,827,000","-813,000","-6,685,000","3,014,000","-7,375,000","-2,162,000","-4,496,000","-3,355,000","-3,985,000","-28,085,000","19,134,000","47,995,000","-23,708,000","5,552,000","-1,162,000","4,885,000","-10,502,000","199,000","-3,064,000","5,202,000","-6,905,000","8,151,000","-4,397,000","-2,504,000","-955,000","7,994,000","-1,004,000","-2,277,000","-7,431,000","878,000","-2,776,000","-1,086,000","-917,000","-255,000","1,776,000","1,022,000","2,819,000",,,"0","0",
