name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,12/31/2013
TotalAssets,"769,883,000","786,759,000","750,215,000","738,882,000","708,423,000","707,006,000","687,502,000","654,727,000","643,716,000","646,396,000","626,761,000","279,982,000","256,281,000","231,111,000","200,448,000","181,694,000","178,637,000","157,715,000","155,590,000","154,193,000","139,822,000","143,143,000","129,922,000","122,696,000","124,306,000","143,895,000","146,320,000","151,330,000","154,264,000","164,551,000","82,556,000","73,944,000"
	CurrentAssets,"645,058,000","657,092,000","630,915,000","658,962,000","633,369,000","633,085,000","609,376,000","577,671,000","565,234,000","571,232,000","550,897,000","205,353,000","183,515,000","177,231,000","150,691,000","133,673,000","131,269,000","115,292,000","111,649,000","110,606,000","95,434,000","98,042,000","84,057,000","76,973,000","78,849,000","97,878,000","99,072,000","103,593,000","106,065,000","116,541,000","34,590,000","35,884,000"
		CashCashEquivalentsAndShortTermInvestments,"523,533,000","530,446,000","522,349,000","551,613,000","540,619,000","530,038,000","523,882,000","508,572,000","496,023,000","487,956,000","484,768,000","137,568,000","114,404,000","98,348,000","96,988,000","80,711,000","81,057,000","76,697,000","77,751,000","72,863,000","64,702,000","62,716,000","53,837,000","50,929,000","55,891,000","76,170,000","81,753,000","86,432,000","89,893,000","101,131,000","20,275,000","17,951,000"
			CashAndCashEquivalents,"303,076,000","300,386,000","291,125,000","322,194,000","331,173,000","322,831,000","426,132,000","402,121,000","393,434,000","381,742,000","389,124,000","94,713,000","78,736,000","77,584,000","71,843,000","57,495,000","65,256,000","60,333,000","62,718,000","59,986,000","52,204,000","51,281,000","42,842,000","39,885,000","43,226,000","58,750,000","69,094,000","86,432,000","89,893,000","101,131,000","20,275,000","15,515,000"
			OtherShortTermInvestments,"220,457,000","230,060,000","231,224,000","229,419,000","209,446,000","207,207,000","97,750,000","106,451,000","102,589,000","106,214,000","95,644,000","42,855,000","35,668,000","20,764,000","25,145,000","23,216,000","15,801,000","16,364,000","15,033,000","12,877,000","12,498,000","11,435,000","10,995,000","11,044,000","12,665,000","17,420,000","12,659,000",,,"0","0","2,436,000"
		Receivables,"73,492,000","80,386,000","67,453,000","68,658,000","57,068,000","72,077,000","57,988,000","44,100,000","48,205,000","62,660,000","45,241,000","48,442,000","51,955,000","66,288,000","42,089,000","39,889,000","40,151,000","29,775,000","25,392,000","24,306,000","20,285,000","24,080,000","23,614,000","19,157,000","17,512,000","16,465,000","13,084,000","13,359,000","12,395,000","11,415,000","11,772,000","16,741,000"
			AccountsReceivable,"70,133,000","76,848,000","64,099,000","65,908,000","53,754,000","68,922,000","55,571,000","41,470,000","45,522,000","60,228,000","43,590,000","47,206,000","50,560,000","65,107,000","40,697,000","39,088,000","39,202,000","28,800,000","24,283,000","22,733,000","19,580,000","22,535,000","22,353,000","18,260,000","16,470,000","15,647,000","12,133,000","12,452,000","11,913,000","11,120,000","11,156,000","13,885,000"
				GrossAccountsReceivable,"70,694,000","77,439,000","64,654,000","66,525,000","54,353,000","69,639,000","56,250,000","42,680,000","46,412,000","61,094,000","44,480,000","48,206,000","51,329,000","66,063,000","41,416,000","39,678,000","39,653,000","29,188,000","24,929,000","24,068,000","20,766,000","23,435,000","23,147,000","19,146,000","17,307,000","16,360,000","12,749,000","12,851,000","12,258,000","11,394,000","11,395,000","13,996,000"
				AllowanceForDoubtfulAccountsReceivable,"-561,000","-591,000","-555,000","-617,000","-599,000","-717,000","-679,000","-1,210,000","-890,000","-866,000","-890,000","-1,000,000","-769,000","-956,000","-719,000","-590,000","-451,000","-388,000","-646,000","-1,335,000","-1,186,000","-900,000","-794,000","-886,000","-837,000","-713,000","-616,000","-399,000","-345,000","-274,000","-239,000","-111,000"
			OtherReceivables,"3,359,000","3,538,000","3,354,000","2,750,000","3,314,000","3,155,000","2,417,000","2,630,000","2,683,000","2,432,000","1,651,000","1,236,000","1,395,000","1,181,000","1,392,000","801,000","949,000","975,000","1,109,000","1,573,000","705,000","1,545,000","1,261,000","897,000","1,042,000","818,000","951,000","907,000","482,000","295,000","616,000","2,856,000"
		PrepaidAssets,"16,217,000","15,108,000","13,092,000","12,045,000","12,758,000","9,047,000","9,587,000","9,349,000","8,452,000","6,508,000","8,148,000","7,963,000","7,656,000","4,417,000","5,727,000","8,229,000","6,216,000","6,444,000","6,298,000","11,416,000","8,580,000","9,382,000","4,972,000","5,387,000","4,063,000","3,875,000","3,282,000","3,064,000","2,998,000","3,143,000","1,833,000","891,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000",,,
		CurrentDeferredAssets,"31,816,000","31,152,000","28,021,000","26,646,000","22,924,000","21,923,000","17,919,000","15,650,000","12,554,000","14,108,000","12,740,000","11,380,000","9,500,000","8,178,000","5,887,000","4,844,000","3,845,000","2,376,000","2,208,000","2,021,000","1,867,000","1,864,000","1,634,000","1,500,000","1,383,000","1,368,000","953,000","738,000","706,000","852,000","710,000","301,000"
