name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996
TotalAssets,"5,622,900,000","5,766,600,000","5,815,800,000","5,723,600,000","5,587,900,000","5,566,600,000","5,510,900,000","5,593,800,000","5,529,000,000","5,721,500,000","5,426,700,000","5,552,400,000","5,510,400,000","3,300,200,000","3,194,800,000","3,299,400,000","3,346,800,000","3,328,100,000","3,232,300,000","3,336,700,000","3,225,800,000","3,199,300,000","3,153,000,000","3,183,900,000","3,207,200,000","3,162,800,000","3,315,700,000","3,415,300,000","3,420,800,000","3,507,500,000","3,667,400,000","3,951,400,000","3,996,600,000","3,932,300,000","3,882,200,000","3,894,200,000","3,893,200,000","3,942,900,000","3,856,900,000","3,913,700,000","4,030,200,000","4,065,600,000","4,207,282,000","4,003,892,000","3,713,519,000","3,527,770,000","3,498,445,000","3,217,258,000","3,037,302,000","2,860,463,000","2,812,510,000","2,670,213,000","2,597,130,000","2,650,658,000","2,745,898,000","2,976,932,000","2,790,885,000","2,724,742,000","2,652,711,000","2,583,164,000","2,573,001,000","2,524,372,000","2,188,001,000","2,026,073,000","1,977,684,000","1,915,460,000","1,883,323,000","1,853,269,000","1,818,361,000","1,798,413,000","1,813,238,000","1,848,364,000","1,802,399,000","1,791,728,000","1,831,211,000","1,775,772,000","1,746,280,000","1,723,808,000","1,758,295,000","1,726,207,000","1,718,393,000","1,694,032,000","1,776,396,000","1,777,438,000","1,812,463,000","958,799,000","939,331,000","935,171,000","923,889,000","918,500,000","910,986,000","923,600,000","914,100,000","878,000,000","829,400,000","842,000,000","829,500,000","549,500,000","550,100,000","551,900,000","529,800,000","523,400,000","512,300,000","476,100,000","466,300,000","459,800,000"
	CurrentAssets,"1,616,800,000","1,704,000,000","1,664,100,000","1,566,900,000","1,382,700,000","1,346,300,000","1,302,800,000","1,305,900,000","1,247,900,000","1,307,600,000","1,249,000,000","1,341,800,000","1,353,100,000","1,110,100,000","976,700,000","1,075,200,000","1,088,600,000","1,044,000,000","994,500,000","1,125,000,000","1,065,600,000","1,037,100,000","920,300,000","946,300,000","928,100,000","922,300,000","1,008,500,000","1,080,000,000","1,070,600,000","1,072,100,000","1,154,700,000","1,234,600,000","1,169,500,000","1,114,500,000","1,094,000,000","1,134,300,000","1,123,700,000","1,126,500,000","1,064,000,000","1,147,500,000","1,187,200,000","1,235,900,000","1,305,337,000","1,375,148,000","1,261,309,000","1,188,660,000","1,165,889,000","1,078,716,000","967,772,000","831,099,000","833,761,000","788,658,000","755,667,000","817,647,000","922,650,000","1,080,247,000","930,675,000","904,692,000","841,785,000","815,982,000","827,447,000","798,087,000","793,037,000","745,155,000","705,183,000","635,434,000","625,952,000","646,139,000","643,677,000","606,290,000","612,682,000","628,452,000","580,082,000","551,070,000","583,457,000","520,062,000","492,216,000","473,618,000","509,821,000","485,201,000","478,386,000","448,266,000","509,404,000","533,506,000","546,327,000","193,689,000","213,143,000","216,884,000","219,153,000","220,600,000","217,298,000","228,900,000","203,800,000","196,700,000","256,700,000","269,800,000","260,400,000","170,800,000","172,900,000","176,000,000","172,300,000","177,900,000","185,400,000","175,700,000","177,700,000","185,700,000"
		CashCashEquivalentsAndShortTermInvestments,"108,700,000","119,700,000","124,600,000","99,800,000","110,400,000","101,400,000","105,900,000","98,500,000","72,400,000","90,800,000","77,300,000","75,800,000","89,800,000","84,500,000","94,200,000","100,900,000","108,200,000","94,300,000","142,300,000","94,600,000","87,000,000","106,800,000","103,700,000","94,300,000","89,600,000","65,300,000","106,200,000","101,700,000","67,400,000","55,800,000","85,100,000","65,000,000","87,400,000","82,000,000","78,100,000","94,900,000","85,600,000","91,600,000","91,700,000","91,700,000","104,900,000","104,000,000","127,413,000","109,086,000","95,548,000","117,736,000","106,957,000","84,174,000","85,033,000","89,409,000","111,896,000","85,670,000","66,775,000","55,776,000","77,627,000","99,310,000","96,978,000","107,438,000","123,699,000","97,116,000","115,370,000","78,470,000","187,101,000","167,651,000","152,030,000","115,421,000","122,411,000","70,810,000","52,029,000","56,138,000","38,109,000","25,013,000","29,592,000","38,121,000","49,767,000","21,485,000","20,192,000","19,302,000","25,396,000","21,164,000","51,818,000","25,804,000","29,720,000","56,301,000","76,612,000","21,072,000","13,388,000","17,673,000","10,192,000","27,500,000","14,249,000","30,900,000","11,600,000","13,500,000","41,300,000","63,400,000","55,700,000","16,800,000","17,700,000","15,400,000","19,100,000","22,000,000","26,600,000","42,200,000","34,200,000","34,400,000"
			CashAndCashEquivalents,"108,700,000","119,700,000","124,600,000","99,800,000","110,400,000","101,400,000","105,900,000","98,500,000","72,400,000","90,800,000","77,300,000","75,800,000","89,800,000","84,500,000","94,200,000","100,900,000","108,200,000","94,300,000","142,300,000","94,600,000","87,000,000","106,800,000","103,700,000","94,300,000","89,600,000","65,300,000","106,200,000","101,700,000","67,400,000","55,800,000","85,100,000","65,000,000","87,400,000","82,000,000","78,100,000","94,900,000","85,600,000","91,600,000","91,700,000","91,700,000","104,900,000","104,000,000","127,413,000","109,086,000","95,548,000","117,736,000","106,957,000","84,174,000","85,033,000","89,409,000","111,896,000","85,670,000","66,775,000","55,776,000","77,627,000","99,310,000","96,978,000","107,438,000","123,699,000","97,116,000","115,370,000","78,470,000","187,101,000","167,651,000","152,030,000","115,421,000","122,411,000","70,810,000","52,029,000","56,138,000","38,109,000","25,013,000","29,592,000","38,121,000","49,767,000","21,485,000","20,192,000","19,302,000","25,396,000","21,164,000","51,818,000","25,804,000","29,720,000","56,301,000","76,612,000","21,072,000","13,388,000","17,673,000","10,192,000","22,100,000","8,935,000","25,700,000","11,600,000","13,500,000","41,300,000","63,400,000","55,700,000","16,800,000","17,700,000","15,400,000","19,100,000","22,000,000","26,600,000","42,200,000","34,200,000","34,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"5,400,000","5,314,000","5,200,000",,,,,,,,,,,,,,
		Receivables,"880,300,000","816,100,000","889,500,000","834,700,000","751,100,000","679,700,000","636,600,000","624,500,000","640,500,000","641,700,000","664,200,000","720,300,000","704,800,000","561,400,000","456,700,000","469,200,000","463,400,000","448,700,000","447,000,000","453,600,000","428,800,000","391,300,000","399,200,000","418,100,000","404,800,000","373,000,000","403,700,000","461,900,000","459,800,000","462,700,000","501,500,000","528,600,000","491,600,000","468,500,000","484,700,000","492,000,000","474,400,000","445,500,000","456,400,000","495,100,000","518,800,000","561,600,000","570,338,000","590,534,000","521,396,000","475,800,000","480,158,000","464,778,000","418,982,000","337,161,000","337,054,000","326,221,000","309,296,000","315,928,000","392,537,000","477,612,000","399,616,000","374,941,000","347,907,000","361,115,000","350,769,000","360,394,000","315,661,000","338,207,000","283,496,000","267,445,000","258,636,000","327,243,000","282,564,000","263,020,000","307,750,000","344,365,000","306,462,000","270,613,000","294,957,000","281,752,000","263,631,000","240,427,000","274,222,000","268,805,000","247,094,000","235,108,000","282,982,000","282,716,000","265,158,000","110,115,000","133,988,000","115,440,000","122,004,000","121,300,000","124,754,000","105,600,000","100,100,000","96,600,000","113,900,000","107,700,000","109,800,000","80,600,000","81,600,000","74,600,000","68,500,000","70,500,000","74,000,000","63,500,000","65,000,000","68,900,000"
			AccountsReceivable,"880,300,000","816,100,000","889,500,000","834,700,000","751,100,000","679,700,000","636,600,000","624,500,000","640,500,000","641,700,000","664,200,000","720,300,000","704,800,000","561,400,000","456,700,000","469,200,000","463,400,000","448,700,000","447,000,000","453,600,000","428,800,000","391,300,000","399,200,000","418,100,000","404,800,000","373,000,000","403,700,000","461,900,000","459,800,000","462,700,000","501,300,000","526,700,000","489,200,000","465,500,000","481,900,000","489,200,000","471,800,000","443,000,000","453,900,000","492,800,000","503,900,000","546,800,000","568,624,000","588,820,000","521,396,000","475,800,000","480,158,000","464,778,000","418,982,000","337,161,000","337,054,000","326,221,000","309,296,000","315,928,000","392,537,000","477,612,000","399,616,000","374,941,000","347,907,000","361,115,000","350,769,000","360,394,000","315,661,000","301,635,000","283,496,000","267,445,000","258,636,000","276,352,000","282,564,000","263,020,000","307,750,000","344,365,000","306,462,000","270,613,000","294,957,000","281,752,000","263,631,000","240,427,000","274,222,000","268,805,000","247,094,000","235,108,000","282,982,000","282,716,000","263,709,000",,"119,645,000",,,,"124,754,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,"895,600,000","841,000,000","757,600,000","688,100,000","646,000,000","632,900,000","648,800,000","649,000,000","671,000,000","727,600,000","711,900,000","567,100,000","460,900,000","474,200,000","470,400,000","457,800,000","455,900,000","459,900,000","435,800,000","399,100,000","408,000,000","427,300,000","414,200,000","382,300,000","415,500,000","473,700,000","471,800,000","477,300,000","518,100,000","541,600,000","502,600,000","478,400,000","495,400,000","501,600,000","485,000,000","460,100,000","471,000,000","508,400,000","516,900,000","560,000,000","582,378,000","601,552,000",,,"493,469,000","477,895,000","431,548,000","348,859,000","349,564,000","338,239,000","323,696,000","330,049,000","406,069,000","490,388,000","411,338,000","386,699,000","360,446,000","373,595,000","362,665,000","370,496,000","324,236,000","310,586,000","291,528,000","275,564,000","267,111,000","284,608,000","291,536,000","273,059,000","319,204,000","356,900,000",,,"306,182,000",,,,"284,079,000",,,,"293,578,000",,,,"121,938,000",,,,"127,210,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-6,100,000","-6,300,000","-6,500,000","-8,400,000","-9,400,000","-8,400,000","-8,300,000","-7,300,000","-6,800,000","-7,300,000","-7,100,000","-5,700,000","-4,200,000","-5,000,000","-7,000,000","-9,100,000","-8,900,000","-6,300,000","-7,000,000","-7,800,000","-8,800,000","-9,200,000","-9,400,000","-9,300,000","-11,800,000","-11,800,000","-12,000,000","-14,600,000","-16,800,000","-14,900,000","-13,400,000","-12,900,000","-13,500,000","-12,400,000","-13,200,000","-17,100,000","-17,100,000","-15,600,000","-13,000,000","-13,200,000","-13,754,000","-12,732,000",,,"-13,311,000","-13,117,000","-12,566,000","-11,698,000","-12,510,000","-12,018,000","-14,400,000","-14,121,000","-13,532,000","-12,776,000","-11,722,000","-11,758,000","-12,539,000","-12,480,000","-11,896,000","-10,102,000","-8,575,000","-8,951,000","-8,032,000","-8,119,000","-8,475,000","-8,256,000","-8,972,000","-10,039,000","-11,454,000","-12,535,000",,,"-11,225,000",,,,"-9,857,000",,,,"-10,596,000",,,,"-2,293,000",,,,"-2,456,000",,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,891,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
