name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,12/31/2012
TotalAssets,"2,594,233,000","2,351,865,000","2,153,557,000","2,058,837,000","1,825,486,000","1,826,087,000","1,762,843,000","1,636,375,000","1,719,044,000","1,666,115,000","1,636,193,000","1,486,060,000","1,436,203,000","1,395,473,000","1,333,787,000","1,199,919,000","1,170,854,000","1,079,892,000","1,022,932,000","931,680,000","867,626,000","814,514,000","768,612,000","707,448,000","653,057,000","622,333,000","546,966,000","503,149,000","466,459,000","438,127,000","379,704,000","304,105,000","239,568,000","221,009,584","91,893,421","79,803,932","45,556,151"
	CurrentAssets,"2,437,384,000","2,194,327,000","2,004,023,000","1,932,086,000","1,717,079,000","1,721,370,000","1,656,859,000","1,565,590,000","1,645,071,000","1,594,359,000","1,563,090,000","1,409,461,000","1,357,926,000","1,317,716,000","1,257,342,000","1,143,328,000","1,114,035,000","1,031,210,000","983,252,000","897,422,000","837,556,000","784,254,000","738,473,000","674,664,000","622,353,000","586,121,000","512,762,000","471,592,000","439,050,000","406,643,000","347,862,000","272,713,000","208,737,000","201,481,564","78,466,908","68,000,155","37,508,484"
		CashCashEquivalentsAndShortTermInvestments,"53,325,000","50,514,000","46,717,000","111,704,000","48,157,000","35,942,000","46,335,000","49,102,000","118,232,000","38,345,000","37,030,000","37,555,000","35,084,000","46,624,000","37,969,000","48,886,000","52,024,000","67,571,000","47,968,000","27,300,000","31,648,000","49,518,000","45,915,000","49,666,000","47,574,000","37,568,000","36,465,000","49,747,000","39,008,000","31,370,000","46,161,000","42,851,000","25,658,000","54,068,733","9,392,646","15,205,244","7,069,471"
			CashAndCashEquivalents,"53,325,000","50,514,000","46,717,000","111,704,000","48,157,000","35,942,000","46,335,000","49,102,000","118,232,000","38,345,000","37,030,000","37,555,000","35,084,000","46,624,000","37,969,000","48,886,000","52,024,000","67,571,000","47,968,000","27,300,000","31,648,000","49,518,000","45,915,000","49,666,000","47,574,000","37,568,000","36,465,000","49,747,000","39,008,000","31,370,000","46,161,000","42,851,000","25,658,000","54,068,733","9,392,646","15,205,244","7,069,471"
		Receivables,"48,489,000","57,909,000","49,171,000","69,522,000","59,229,000","115,939,000","62,018,000","58,230,000","45,006,000","56,390,000","45,431,000","43,207,000","31,987,000","42,836,000","31,379,000","31,746,000","21,660,000","44,706,000","32,716,000","34,137,000","17,150,000","17,055,000","15,641,000","15,073,000","13,769,000","17,325,000","15,822,000","14,773,000","12,983,000","7,365,000","9,713,000","9,225,000","5,541,000","5,430,087","2,273,717","3,603,608","1,949,822"
			AccountsReceivable,"48,489,000","57,909,000","49,171,000","69,522,000","59,229,000","115,939,000","62,018,000","58,230,000","45,006,000","56,390,000","45,431,000","43,207,000","31,987,000","42,836,000","31,379,000","31,746,000","21,660,000","44,706,000","32,716,000","34,137,000","17,150,000","17,055,000","15,641,000","15,073,000","13,769,000","17,325,000","15,822,000","14,773,000","12,983,000","7,365,000","9,713,000","9,225,000","5,541,000","5,401,851","1,604,638","2,718,313","922,897"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,236","669,079","885,295","1,026,925"
		Inventory,"2,335,570,000","2,085,904,000","1,908,135,000","1,750,860,000","1,609,693,000","1,569,489,000","1,548,506,000","1,458,258,000","1,481,833,000","1,499,624,000","1,480,629,000","1,328,699,000","1,290,855,000","1,228,256,000","1,187,994,000","1,062,696,000","1,040,351,000","918,933,000","902,568,000","835,985,000","788,758,000","717,681,000","676,917,000","609,925,000","561,010,000","531,228,000","460,475,000","407,072,000","387,059,000","367,908,000","291,988,000","220,637,000","177,538,000","141,982,744","66,800,545","49,191,303","28,489,191"
			FinishedGoods,"2,335,570,000","2,085,904,000","1,908,135,000","1,750,860,000","1,609,693,000","1,569,489,000","1,548,506,000","1,458,258,000","1,481,833,000","1,499,624,000","1,480,629,000","1,328,699,000","1,290,855,000","1,228,256,000","1,187,994,000","1,062,696,000","1,040,351,000","918,933,000","902,568,000","835,985,000","788,758,000","717,681,000","676,917,000","609,925,000","561,010,000","531,228,000","460,475,000","407,072,000","387,059,000","367,908,000","291,988,000","220,637,000","177,538,000","141,982,744","66,800,545","49,191,303","28,489,191"
		PrepaidAssets,,,,,,,,,,"37,244,000","40,137,000","45,991,000","43,698,000","45,752,000","40,055,000","29,562,000","24,609,000","18,866,000","14,159,000","13,444,000","11,562,000","10,651,000","11,450,000","12,718,000","9,262,000","7,001,000","7,879,000","7,936,000","7,070,000","9,878,000","12,729,000","13,318,000","14,056,000","3,703,293","3,671,963","3,059,966","997,875"
