name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"752,531,000","182,848,000","193,307,000","193,863,000","182,513,000","180,418,000","185,282,000","187,774,000","131,409,000","117,840,000","117,119,000","119,150,000","112,292,000","114,631,000","120,365,000","116,981,000","86,426,000","86,680,000","85,397,000","69,840,000","69,360,000","44,474,000","44,520,000","43,128,000","40,275,000","37,641,000","31,668,000","29,787,000","30,228,000","24,146,000","23,745,000","22,482,000","19,231,000","17,742,000","18,342,000","16,550,000","15,321,000","14,280,000","15,697,000","13,800,000","17,856,000","11,017,000","11,296,000","12,511,000","9,397,000","14,555,000","7,726,000","8,328,000","6,134,000","6,260,000","8,335,000","6,009,000","5,661,000","5,907,000","4,680,000","6,197,000","6,191,000","5,508,000","5,790,000","6,234,000","6,381,000","6,220,000","6,352,000","6,272,000","5,489,000","5,565,000","5,618,000","5,364,000","5,532,000","4,752,000","4,798,000","4,606,000","4,482,000","5,766,000","3,357,000","2,862,000","2,991,000","2,694,000","2,510,000","3,003,000","2,882,000","3,438,000","2,051,000","2,979,000","2,291,000","4,288,000","-2,459,000","4,557,000","6,348,000","6,324,000","8,600,000","10,700,000","10,900,000","7,500,000","-500,000","11,000,000","8,400,000","13,300,000","16,300,000","11,300,000","5,100,000",
	OperatingRevenue,"752,531,000","182,848,000","193,307,000","193,863,000","182,513,000","180,418,000","185,282,000","187,774,000","131,409,000","117,840,000","117,119,000","119,150,000","112,292,000","114,631,000","120,365,000","116,981,000","86,426,000","86,680,000","85,397,000","69,840,000","69,360,000","44,474,000","44,520,000","43,128,000","40,275,000","37,641,000","31,668,000","29,787,000","30,228,000","24,146,000","23,745,000","22,482,000","19,231,000","17,742,000","18,342,000","16,550,000","15,321,000","14,280,000","15,697,000","13,800,000","17,856,000","11,017,000","11,296,000","12,511,000","9,397,000","14,555,000","7,726,000","8,328,000","6,134,000","6,260,000","8,335,000","6,009,000","5,661,000","5,907,000","4,680,000","6,197,000","6,191,000","5,508,000","5,790,000","6,234,000","6,381,000","6,220,000","6,352,000","6,272,000","5,489,000","5,565,000","5,618,000","5,364,000","5,532,000","4,752,000","4,798,000","4,606,000","4,482,000","5,766,000","3,357,000","2,862,000","2,991,000","2,694,000","2,510,000","3,003,000","2,882,000","3,438,000","2,051,000","2,979,000","2,291,000","4,288,000","-2,459,000","4,557,000","6,348,000","6,324,000","8,600,000","10,700,000","10,900,000","7,500,000","-500,000","11,000,000","8,400,000","13,300,000","16,300,000","11,300,000","5,100,000",
PretaxIncome,"459,531,000","89,637,000","115,396,000","122,855,000","131,643,000","90,929,000","89,936,000","90,515,000","-139,415,000","31,565,000","54,207,000","56,867,000","52,695,000","53,984,000","55,019,000","36,190,000","37,485,000","36,886,000","35,541,000","30,851,000","21,697,000","14,137,000","19,189,000","15,104,000","16,727,000","14,296,000","12,815,000","12,638,000","12,426,000","2,845,000","6,780,000","8,860,000","7,498,000","4,197,000","6,678,000","4,912,000","-158,000","3,148,000","6,232,000","5,588,000","9,606,000","4,339,000","4,074,000","3,945,000","1,088,000","7,876,000","2,538,000","2,870,000","357,000","556,000","52,000","-111,000","-1,305,000","817,000","94,000","1,582,000","-2,245,000","1,310,000","951,000","1,425,000","1,859,000","1,491,000","2,029,000","2,349,000","1,609,000","1,891,000","2,081,000","2,231,000","2,555,000","1,790,000","1,863,000","1,369,000","1,544,000","2,938,000","733,000","527,000","466,000",,"-177,000","86,000","260,000","363,000","-2,384,000","-1,769,000","-1,255,000","-2,000","-18,756,000","-1,736,000","230,000","540,000","-35,400,000","1,800,000","3,200,000","1,200,000","-9,900,000","3,200,000","2,200,000","6,300,000","8,500,000","6,700,000","2,600,000",
TaxProvision,"121,406,000","22,733,000","30,565,000","32,767,000","35,341,000","22,261,000","22,800,000","23,949,000","-40,324,000","5,825,000","13,109,000","15,492,000","14,168,000","15,266,000","15,376,000","7,798,000","10,182,000","8,884,000","19,370,000","10,619,000","7,521,000","4,616,000","7,238,000","5,877,000","6,358,000","5,742,000","4,750,000","4,801,000","4,601,000","1,056,000","2,889,000","3,410,000","2,855,000","1,565,000","2,474,000","1,846,000","91,000","1,176,000","2,421,000","2,126,000","3,795,000","1,647,000","1,519,000","1,485,000","303,000","3,104,000","938,000","1,025,000","20,000","100,000","329,000","-104,000","-592,000","280,000","-12,000","581,000","-1,000,000","464,000","289,000","574,000","698,000","546,000","752,000","845,000","-1,298,000","151,000","380,000","398,000","502,000","156,000","547,000","219,000","194,000","12,000","-3,000","-197,000","-398,000",,"0","-2,328,000","7,000","-25,000","-324,000","966,000","-4,000","4,000","-214,000","3,337,000","105,000","236,000","-14,100,000","800,000","1,400,000","500,000","-4,300,000","1,400,000","1,000,000","2,600,000","3,500,000","2,800,000","1,100,000",
NetIncomeCommonStockholders,"334,588,000","66,219,000","83,955,000","90,088,000","96,302,000","68,003,000","66,507,000","65,954,000","-99,313,000","25,508,000","39,448,000","41,375,000","38,083,000","38,371,000","39,643,000","28,392,000","27,303,000","28,002,000","16,171,000","20,232,000","14,176,000","9,521,000","11,951,000","9,227,000","10,369,000","8,554,000","8,065,000","7,837,000","7,825,000","1,789,000","3,891,000","5,450,000","4,643,000","2,632,000","4,204,000","3,066,000","-249,000","1,972,000","3,811,000","3,462,000","5,811,000","2,692,000","2,555,000","2,460,000","785,000","4,772,000","1,600,000","1,845,000","337,000","456,000","-277,000","-7,000","-713,000","537,000","106,000","1,001,000","-1,245,000","846,000","662,000","851,000","1,161,000","945,000","1,277,000","1,504,000","2,907,000","1,740,000","1,701,000","1,833,000","2,053,000","1,634,000","1,316,000","1,150,000","1,350,000","2,926,000","736,000","724,000","864,000","-258,000","-177,000","2,414,000","253,000","388,000","-2,060,000","-2,735,000","-1,251,000","-6,000","-8,922,000","-11,211,000","125,000","304,000","-21,300,000","1,000,000","1,800,000","700,000","-5,600,000","1,800,000","1,200,000","3,700,000","5,000,000","3,900,000","1,500,000","2,200,000"
	NetIncome,"338,125,000","66,904,000","84,831,000","90,088,000","96,302,000","68,668,000","67,136,000","66,566,000","-99,091,000","25,740,000","41,098,000","41,375,000","38,527,000","38,718,000","39,643,000","28,392,000","27,303,000","28,002,000","16,171,000","20,232,000","14,176,000","9,521,000","11,951,000","9,227,000","10,369,000","8,554,000","8,065,000","7,837,000","7,825,000","1,789,000","3,891,000","5,450,000","4,643,000","2,632,000","4,204,000","3,066,000","-249,000","1,972,000","3,811,000","3,462,000","5,811,000","2,692,000","2,555,000","2,460,000","785,000","4,772,000","1,600,000","1,845,000","337,000","456,000","-277,000","-7,000","-713,000","537,000","106,000","1,001,000","-1,245,000","846,000","662,000","851,000","1,161,000","945,000","1,277,000","1,504,000","2,907,000","1,740,000","1,701,000","1,833,000","2,053,000","1,634,000","1,316,000","1,150,000","1,350,000","2,926,000","736,000","724,000","864,000","-258,000","-177,000","2,414,000","253,000","388,000","-2,060,000","-2,735,000","-1,251,000","-6,000","-8,922,000","-11,211,000","125,000","304,000","-21,300,000","1,000,000","1,800,000","700,000","-5,600,000","1,800,000","1,200,000","3,700,000","5,000,000","3,900,000","1,500,000","2,200,000"
		NetIncomeIncludingNoncontrollingInterests,"338,125,000","66,904,000","84,831,000","90,088,000","96,302,000","68,668,000","67,136,000","66,566,000","-99,091,000","25,740,000","41,098,000","41,375,000","38,527,000","38,718,000","39,643,000","28,392,000","27,303,000","28,002,000","16,171,000","20,232,000","14,176,000","9,521,000","11,951,000","9,227,000","10,369,000","8,554,000","8,065,000","7,837,000","7,825,000","1,789,000","3,891,000","5,450,000","4,643,000","2,632,000","4,204,000","3,066,000","-249,000","1,972,000","3,811,000","3,462,000","5,811,000","2,692,000","2,555,000","2,460,000","785,000","4,772,000","1,600,000","1,845,000","337,000","456,000","-277,000","-7,000","-713,000","537,000","106,000","1,001,000","-1,245,000","846,000","662,000","851,000","1,161,000","945,000","1,277,000","1,504,000","2,907,000","1,740,000","1,701,000","1,833,000","2,053,000","1,634,000","1,316,000","1,150,000","1,350,000","2,926,000","736,000","724,000","864,000","-258,000","-177,000","2,414,000","253,000","388,000","-2,060,000","-2,735,000","-1,251,000","-6,000","-8,922,000","-11,211,000","125,000","304,000","-21,300,000","1,000,000","1,800,000","700,000","-5,600,000","1,800,000","1,200,000","3,700,000","5,000,000","3,900,000","1,500,000","2,200,000"
			NetIncomeContinuousOperations,"338,125,000","66,904,000","84,831,000","90,088,000","96,302,000","68,668,000","67,136,000","66,566,000","-99,091,000","25,740,000","41,098,000","41,375,000","38,527,000","38,718,000","39,643,000","28,392,000","27,303,000","28,002,000","16,171,000","20,232,000","14,176,000","9,521,000","11,951,000","9,227,000","10,369,000","8,554,000","8,065,000","7,837,000","7,825,000","1,789,000","3,891,000","5,450,000","4,643,000","2,632,000","4,204,000","3,066,000","-249,000","1,972,000","3,811,000","3,462,000","5,811,000","2,692,000","2,555,000","2,460,000","785,000","4,772,000","1,600,000","1,845,000","337,000","456,000","-277,000","-7,000","-713,000","537,000","106,000","1,001,000","-1,245,000","846,000","662,000","851,000","1,161,000","945,000","1,277,000","1,504,000","2,907,000","1,740,000","1,701,000","1,833,000","2,053,000","1,634,000","1,316,000","1,150,000","1,350,000","2,926,000","736,000","724,000","864,000","-258,000","-177,000","2,414,000","253,000","388,000","-2,060,000","-2,735,000","-1,251,000","-6,000","-18,542,000","-5,073,000","125,000","304,000","-21,300,000","1,000,000","1,800,000","700,000","-5,600,000","1,800,000","1,200,000","3,700,000","5,000,000","3,900,000","1,500,000","2,200,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,138,000",,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"3,537,000","685,000","876,000",,,"665,000","629,000","612,000","222,000","232,000",,,"444,000","347,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
